year,month,district,mal_cases,avg_temp_max,avg_temp_min,avg_humidity,sum_precipitation,sum_sunshine_hours
2020,1,Abim,5945,30,18.6,51.77,55.8,320.49
2020,2,Abim,4520,30.43,18.94,55.38,29.4,320.15
2020,3,Abim,4611,30.03,19.19,65.87,121.3,316.67
2020,4,Abim,4957,28.89,18.84,69.03,164.4,284.33
2020,5,Abim,7536,26.65,17.76,80.55,177.9,330.79
2020,6,Abim,10059,25.63,16.87,82.93,266.3,315.61
2020,7,Abim,10552,24.7,16.74,83,233.3,289.26
2020,8,Abim,9203,25.54,16.98,82.45,271.7,318.14
2020,9,Abim,9644,26.45,16.79,80.37,242.9,316.52
2020,10,Abim,9549,26.31,17.07,78.65,142,321.63
2020,11,Abim,7287,27.77,17.4,67.63,48.5,321.36
2020,12,Abim,7082,29.46,17.25,50.71,3,336.16
2021,1,Abim,4841,30.41,18.06,45.77,8.5,331.15
2021,2,Abim,4859,31.71,19.07,38.46,0.6,302.46
2021,3,Abim,3977,31.49,19.33,47.23,29.6,340.15
2021,4,Abim,3418,28.28,18.07,71.47,104.4,318.34
2021,5,Abim,5600,25.97,17.53,77.71,194.6,302.47
2021,6,Abim,8676,27.46,17.38,65.5,64.1,336.37
2021,7,Abim,7612,25.21,16.83,76.1,123.1,295.84
2021,8,Abim,5929,26.81,17.1,69.23,76.2,340.93
2021,9,Abim,6298,26.75,17.01,77.8,233.5,320.3
2021,10,Abim,7325,28.86,18.03,64.1,94.4,336.8
2021,11,Abim,5635,30.85,18.89,49,3.9,322.1
2021,12,Abim,6137,31.42,19.4,41.16,1.9,330.61
2022,1,Abim,7532,30.99,18.4,42.42,29,311.39
2022,2,Abim,3983,31.71,18.82,42.07,2.7,299.16
2022,3,Abim,5336,32.67,19.43,44.16,43,342.94
2022,4,Abim,3432,29.34,18.66,63.23,170.8,295.62
2022,5,Abim,5054,27.86,17.6,71.13,169.3,309.9
2022,6,Abim,9880,26.4,16.7,69.8,72.8,320.19
2022,7,Abim,8014,25.9,16.73,72.55,131.2,324.6
2022,8,Abim,6063,25.51,16.07,81.06,275.4,310.08
