time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2020-01-01,30.9,17.8,0.0,46,40237.59,Abim,2.7032,33.6732
2020-01-02,29.8,19.1,0.1,48,40007.37,Abim,2.7032,33.6732
2020-01-03,30.1,20.0,0.0,48,39772.42,Abim,2.7032,33.6732
2020-01-04,30.1,19.3,0.0,50,39856.54,Abim,2.7032,33.6732
2020-01-05,29.7,19.7,0.0,56,39398.23,Abim,2.7032,33.6732
2020-01-06,27.4,18.3,6.9,66,39338.04,Abim,2.7032,33.6732
2020-01-07,29.3,18.2,0.6,58,40011.62,Abim,2.7032,33.6732
2020-01-08,30.3,19.2,0.2,57,39879.84,Abim,2.7032,33.6732
2020-01-09,30.0,18.3,0.1,54,40424.27,Abim,2.7032,33.6732
2020-01-10,29.3,16.7,0.1,55,39725.71,Abim,2.7032,33.6732
2020-01-11,30.5,18.3,0.2,54,38632.41,Abim,2.7032,33.6732
2020-01-12,29.8,17.7,0.0,37,40379.34,Abim,2.7032,33.6732
2020-01-13,28.6,17.6,0.0,43,39551.06,Abim,2.7032,33.6732
2020-01-14,32.2,16.6,0.0,38,40549.0,Abim,2.7032,33.6732
2020-01-15,30.2,19.1,0.0,51,40555.95,Abim,2.7032,33.6732
2020-01-16,32.2,17.7,0.0,48,39615.49,Abim,2.7032,33.6732
2020-01-17,33.0,18.5,0.0,40,34522.83,Abim,2.7032,33.6732
2020-01-18,32.6,19.6,0.0,39,39563.22,Abim,2.7032,33.6732
2020-01-19,32.0,19.1,0.0,37,40586.45,Abim,2.7032,33.6732
2020-01-20,31.9,19.2,0.0,33,40594.66,Abim,2.7032,33.6732
2020-01-21,32.3,17.7,0.0,36,39659.09,Abim,2.7032,33.6732
2020-01-22,31.7,18.2,0.0,39,40611.7,Abim,2.7032,33.6732
2020-01-23,31.9,18.5,0.0,33,35575.88,Abim,2.7032,33.6732
2020-01-24,31.5,18.6,0.0,32,32644.79,Abim,2.7032,33.6732
2020-01-25,30.3,19.6,0.1,48,39608.46,Abim,2.7032,33.6732
2020-01-26,29.6,20.9,3.4,63,33788.34,Abim,2.7032,33.6732
2020-01-27,28.8,19.8,2.3,69,37900.69,Abim,2.7032,33.6732
2020-01-28,26.9,18.7,14.6,82,26426.93,Abim,2.7032,33.6732
2020-01-29,24.8,18.7,8.5,83,16383.26,Abim,2.7032,33.6732
2020-01-30,27.4,18.3,6.5,80,26914.04,Abim,2.7032,33.6732
2020-01-31,25.0,17.7,12.2,82,31049.29,Abim,2.7032,33.6732
2020-02-01,26.7,16.9,12.4,80,39797.56,Abim,2.7032,33.6732
2020-02-02,27.0,17.5,0.4,72,39640.8,Abim,2.7032,33.6732
2020-02-03,27.3,18.7,1.6,70,40724.2,Abim,2.7032,33.6732
2020-02-04,27.9,16.5,5.7,80,40166.63,Abim,2.7032,33.6732
2020-02-05,26.1,16.7,5.8,81,39784.35,Abim,2.7032,33.6732
2020-02-06,27.8,16.8,0.5,71,39454.58,Abim,2.7032,33.6732
2020-02-07,30.8,17.3,0.0,59,40764.61,Abim,2.7032,33.6732
2020-02-08,30.9,18.9,0.0,51,40775.03,Abim,2.7032,33.6732
2020-02-09,30.4,18.4,0.0,48,40785.54,Abim,2.7032,33.6732
2020-02-10,31.3,17.4,0.0,47,40796.15,Abim,2.7032,33.6732
2020-02-11,30.7,18.6,0.0,47,40806.82,Abim,2.7032,33.6732
2020-02-12,30.4,18.2,0.0,50,40817.54,Abim,2.7032,33.6732
2020-02-13,28.0,18.4,1.2,54,40179.97,Abim,2.7032,33.6732
2020-02-14,30.1,19.2,0.1,60,39744.48,Abim,2.7032,33.6732
2020-02-15,30.1,18.4,0.0,53,40849.86,Abim,2.7032,33.6732
2020-02-16,30.6,18.6,0.0,49,40579.44,Abim,2.7032,33.6732
2020-02-17,32.5,19.3,0.0,49,40871.44,Abim,2.7032,33.6732
2020-02-18,31.7,19.8,0.0,47,40882.2,Abim,2.7032,33.6732
2020-02-19,31.0,19.7,0.1,53,40474.39,Abim,2.7032,33.6732
2020-02-20,31.1,19.8,0.1,53,40903.6,Abim,2.7032,33.6732
2020-02-21,31.5,20.2,0.0,52,40914.21,Abim,2.7032,33.6732
2020-02-22,31.9,20.6,0.0,48,40924.77,Abim,2.7032,33.6732
2020-02-23,32.8,21.8,0.0,44,39623.5,Abim,2.7032,33.6732
2020-02-24,33.2,19.1,0.0,37,40945.43,Abim,2.7032,33.6732
2020-02-25,31.7,19.1,0.0,40,29253.96,Abim,2.7032,33.6732
2020-02-26,32.9,20.8,0.2,52,33922.41,Abim,2.7032,33.6732
2020-02-27,32.4,22.1,0.7,49,37624.15,Abim,2.7032,33.6732
2020-02-28,32.3,20.9,0.2,53,40445.86,Abim,2.7032,33.6732
2020-02-29,31.3,19.7,0.4,57,40083.36,Abim,2.7032,33.6732
2020-03-01,30.4,20.5,5.9,58,40475.6,Abim,2.7032,33.6732
2020-03-02,30.2,19.9,0.8,60,38059.32,Abim,2.7032,33.6732
2020-03-03,32.6,18.7,0.5,53,25227.69,Abim,2.7032,33.6732
2020-03-04,31.0,20.8,2.2,56,37676.53,Abim,2.7032,33.6732
2020-03-05,31.0,19.0,0.0,59,33855.46,Abim,2.7032,33.6732
2020-03-06,33.6,18.9,0.0,42,41059.07,Abim,2.7032,33.6732
2020-03-07,34.3,19.6,0.0,50,40452.73,Abim,2.7032,33.6732
2020-03-08,32.0,22.0,4.6,56,39853.29,Abim,2.7032,33.6732
2020-03-09,29.1,18.8,1.5,77,21826.53,Abim,2.7032,33.6732
2020-03-10,29.0,20.1,10.4,72,38388.93,Abim,2.7032,33.6732
2020-03-11,26.5,19.1,18.9,79,39164.48,Abim,2.7032,33.6732
2020-03-12,31.4,19.1,0.0,66,39413.24,Abim,2.7032,33.6732
2020-03-13,31.9,19.9,0.3,60,40929.95,Abim,2.7032,33.6732
2020-03-14,29.2,18.6,2.0,68,38754.16,Abim,2.7032,33.6732
2020-03-15,29.2,19.8,0.7,63,40358.28,Abim,2.7032,33.6732
2020-03-16,29.8,18.9,10.0,79,32173.22,Abim,2.7032,33.6732
2020-03-17,31.2,18.9,1.1,69,41002.62,Abim,2.7032,33.6732
2020-03-18,29.7,19.4,12.7,72,39456.25,Abim,2.7032,33.6732
2020-03-19,28.8,17.8,4.7,77,35458.04,Abim,2.7032,33.6732
2020-03-20,29.8,17.7,0.6,68,40342.71,Abim,2.7032,33.6732
2020-03-21,30.4,20.0,0.0,59,40961.46,Abim,2.7032,33.6732
2020-03-22,31.1,19.3,0.0,51,40743.96,Abim,2.7032,33.6732
2020-03-23,31.2,20.0,0.0,54,40765.2,Abim,2.7032,33.6732
2020-03-24,28.9,19.6,0.8,65,39121.2,Abim,2.7032,33.6732
2020-03-25,29.0,19.5,15.8,78,29915.1,Abim,2.7032,33.6732
2020-03-26,28.3,18.5,2.0,80,31855.04,Abim,2.7032,33.6732
2020-03-27,27.0,18.8,21.4,82,23450.21,Abim,2.7032,33.6732
2020-03-28,26.0,18.0,3.7,83,26780.71,Abim,2.7032,33.6732
2020-03-29,29.0,17.4,0.6,72,40160.71,Abim,2.7032,33.6732
2020-03-30,29.6,17.4,0.1,70,41276.76,Abim,2.7032,33.6732
2020-03-31,29.8,19.0,0.0,64,41047.3,Abim,2.7032,33.6732
2020-04-01,31.0,19.4,0.0,58,41066.55,Abim,2.7032,33.6732
2020-04-02,31.7,19.4,0.0,54,41200.14,Abim,2.7032,33.6732
2020-04-03,31.5,19.9,0.1,52,41307.86,Abim,2.7032,33.6732
2020-04-04,32.0,20.2,0.0,52,38730.67,Abim,2.7032,33.6732
2020-04-05,29.7,20.2,0.4,53,40457.52,Abim,2.7032,33.6732
2020-04-06,31.9,20.1,0.0,45,41329.45,Abim,2.7032,33.6732
2020-04-07,32.0,18.6,0.0,52,41336.51,Abim,2.7032,33.6732
2020-04-08,33.4,19.4,0.0,45,41343.51,Abim,2.7032,33.6732
2020-04-09,32.6,20.0,0.0,45,41350.43,Abim,2.7032,33.6732
2020-04-10,31.1,20.9,0.1,52,40894.12,Abim,2.7032,33.6732
2020-04-11,32.1,20.2,0.7,56,40577.81,Abim,2.7032,33.6732
2020-04-12,30.2,19.8,0.1,64,40040.75,Abim,2.7032,33.6732
2020-04-13,30.0,20.0,2.3,72,36683.13,Abim,2.7032,33.6732
2020-04-14,29.3,18.0,18.0,83,31352.66,Abim,2.7032,33.6732
2020-04-15,28.2,18.2,11.8,82,37964.93,Abim,2.7032,33.6732
2020-04-16,30.9,18.6,0.1,67,40670.9,Abim,2.7032,33.6732
2020-04-17,29.6,19.6,16.0,74,38851.04,Abim,2.7032,33.6732
2020-04-18,24.1,19.5,26.0,87,15184.77,Abim,2.7032,33.6732
2020-04-19,24.6,18.2,4.1,83,15990.05,Abim,2.7032,33.6732
2020-04-20,23.2,17.6,10.9,89,11878.21,Abim,2.7032,33.6732
2020-04-21,23.9,17.5,7.5,87,37537.23,Abim,2.7032,33.6732
2020-04-22,25.4,18.0,1.5,82,14506.34,Abim,2.7032,33.6732
2020-04-23,26.5,18.3,9.2,82,34202.42,Abim,2.7032,33.6732
2020-04-24,26.1,17.8,2.8,79,13813.77,Abim,2.7032,33.6732
2020-04-25,28.8,17.4,0.0,65,27923.83,Abim,2.7032,33.6732
2020-04-26,27.5,18.3,2.8,77,40249.23,Abim,2.7032,33.6732
2020-04-27,28.8,17.9,10.0,79,39927.84,Abim,2.7032,33.6732
2020-04-28,26.7,17.4,27.4,87,30388.34,Abim,2.7032,33.6732
2020-04-29,27.1,17.1,7.0,81,38015.12,Abim,2.7032,33.6732
2020-04-30,26.9,17.6,5.6,87,28800.0,Abim,2.7032,33.6732
2020-05-01,27.7,17.8,1.4,78,39826.39,Abim,2.7032,33.6732
