time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,33.9,20.5,0.0,58,36215.0,Adjumani,3.3869,31.7909
2024-01-02,32.7,20.4,1.3,64,37594.26,Adjumani,3.3869,31.7909
2024-01-03,34.9,21.0,0.0,44,38213.66,Adjumani,3.3869,31.7909
2024-01-04,35.2,19.4,0.0,33,39354.54,Adjumani,3.3869,31.7909
2024-01-05,34.6,19.4,0.0,34,39352.02,Adjumani,3.3869,31.7909
2024-01-06,34.4,18.9,0.0,30,38316.3,Adjumani,3.3869,31.7909
2024-01-07,35.6,18.9,0.0,28,39468.73,Adjumani,3.3869,31.7909
2024-01-08,36.8,19.8,0.0,27,37849.15,Adjumani,3.3869,31.7909
2024-01-09,36.3,21.2,0.0,29,35062.22,Adjumani,3.3869,31.7909
2024-01-10,35.6,21.2,0.0,31,34117.46,Adjumani,3.3869,31.7909
2024-01-11,37.7,20.7,0.0,35,37567.37,Adjumani,3.3869,31.7909
2024-01-12,36.9,20.7,0.0,35,38328.34,Adjumani,3.3869,31.7909
2024-01-13,35.7,22.7,0.0,33,38459.46,Adjumani,3.3869,31.7909
2024-01-14,36.3,22.5,0.0,38,38599.05,Adjumani,3.3869,31.7909
2024-01-15,36.7,23.1,0.0,28,37945.16,Adjumani,3.3869,31.7909
2024-01-16,35.6,21.1,0.0,26,39344.14,Adjumani,3.3869,31.7909
2024-01-17,35.0,20.7,0.0,24,38417.02,Adjumani,3.3869,31.7909
2024-01-18,35.1,21.4,0.0,25,36694.64,Adjumani,3.3869,31.7909
2024-01-19,34.6,18.9,0.0,31,38731.29,Adjumani,3.3869,31.7909
2024-01-20,36.1,19.6,0.0,23,39708.32,Adjumani,3.3869,31.7909
2024-01-21,35.8,22.1,0.0,18,39196.72,Adjumani,3.3869,31.7909
2024-01-22,35.8,20.0,0.0,24,37258.95,Adjumani,3.3869,31.7909
2024-01-23,36.0,23.3,0.0,26,38346.98,Adjumani,3.3869,31.7909
2024-01-24,36.2,22.2,0.0,38,38433.27,Adjumani,3.3869,31.7909
2024-01-25,36.8,21.8,0.0,37,39082.12,Adjumani,3.3869,31.7909
2024-01-26,36.4,21.5,0.0,30,37014.02,Adjumani,3.3869,31.7909
2024-01-27,34.4,20.7,0.0,24,39718.62,Adjumani,3.3869,31.7909
2024-01-28,35.5,20.4,0.0,23,39734.62,Adjumani,3.3869,31.7909
2024-01-29,34.9,20.7,0.0,26,38107.34,Adjumani,3.3869,31.7909
2024-01-30,35.9,21.5,0.0,28,37482.82,Adjumani,3.3869,31.7909
2024-01-31,36.1,22.6,0.0,28,32522.51,Adjumani,3.3869,31.7909
2024-02-01,34.2,23.4,0.3,37,36699.74,Adjumani,3.3869,31.7909
2024-02-02,35.9,21.1,0.0,44,38404.23,Adjumani,3.3869,31.7909
2024-02-03,34.8,21.9,0.0,34,39121.51,Adjumani,3.3869,31.7909
2024-02-04,36.0,22.5,0.1,34,37299.8,Adjumani,3.3869,31.7909
2024-02-05,35.1,21.6,0.0,48,34924.59,Adjumani,3.3869,31.7909
2024-02-06,35.1,21.9,0.0,35,38380.89,Adjumani,3.3869,31.7909
2024-02-07,36.4,22.0,0.0,33,38649.68,Adjumani,3.3869,31.7909
2024-02-08,36.6,22.6,0.0,31,35462.4,Adjumani,3.3869,31.7909
2024-02-09,36.9,21.9,0.0,36,39635.98,Adjumani,3.3869,31.7909
2024-02-10,36.5,23.6,0.5,44,36921.76,Adjumani,3.3869,31.7909
2024-02-11,35.6,22.1,0.2,48,39416.63,Adjumani,3.3869,31.7909
2024-02-12,36.2,21.4,0.0,51,39074.32,Adjumani,3.3869,31.7909
2024-02-13,37.5,23.9,0.0,43,36173.82,Adjumani,3.3869,31.7909
2024-02-14,35.4,24.7,0.0,51,16340.81,Adjumani,3.3869,31.7909
2024-02-15,32.3,21.5,2.6,68,9093.51,Adjumani,3.3869,31.7909
2024-02-16,35.6,21.2,0.4,62,32914.95,Adjumani,3.3869,31.7909
2024-02-17,36.4,23.1,0.0,40,40015.94,Adjumani,3.3869,31.7909
2024-02-18,36.3,21.8,0.0,31,39774.34,Adjumani,3.3869,31.7909
2024-02-19,37.1,22.8,0.0,29,34275.27,Adjumani,3.3869,31.7909
