time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2017-01-01,34.5,19.3,0.0,32,38813.59,Agago,2.8394,33.3486
2017-01-02,34.5,21.8,0.0,26,39951.57,Agago,2.8394,33.3486
2017-01-03,35.2,17.6,0.0,31,40464.75,Agago,2.8394,33.3486
2017-01-04,34.7,19.7,0.0,22,40469.01,Agago,2.8394,33.3486
2017-01-05,34.0,19.4,0.0,23,40473.5,Agago,2.8394,33.3486
2017-01-06,34.1,17.6,0.0,25,40478.25,Agago,2.8394,33.3486
2017-01-07,34.5,20.3,0.0,24,33010.38,Agago,2.8394,33.3486
2017-01-08,35.1,17.6,0.0,18,39710.06,Agago,2.8394,33.3486
2017-01-09,35.4,17.9,0.0,21,40494.05,Agago,2.8394,33.3486
2017-01-10,34.7,16.3,0.0,24,40500.2,Agago,2.8394,33.3486
2017-01-11,34.1,18.7,0.0,24,40506.68,Agago,2.8394,33.3486
2017-01-12,34.0,17.6,0.0,22,40513.45,Agago,2.8394,33.3486
2017-01-13,34.3,16.3,0.0,24,40285.39,Agago,2.8394,33.3486
2017-01-14,34.1,17.0,0.0,28,40032.55,Agago,2.8394,33.3486
2017-01-15,35.4,17.1,0.0,27,40535.42,Agago,2.8394,33.3486
2017-01-16,34.9,19.1,0.0,23,40543.25,Agago,2.8394,33.3486
2017-01-17,33.7,20.7,0.0,24,40551.3,Agago,2.8394,33.3486
2017-01-18,34.1,20.7,0.0,27,40559.55,Agago,2.8394,33.3486
2017-01-19,34.9,18.8,0.0,28,40568.0,Agago,2.8394,33.3486
2017-01-20,35.0,18.8,0.0,30,40576.62,Agago,2.8394,33.3486
2017-01-21,35.6,17.2,0.0,29,40585.41,Agago,2.8394,33.3486
2017-01-22,35.3,20.0,0.0,29,40594.34,Agago,2.8394,33.3486
2017-01-23,35.5,20.8,0.0,29,40603.39,Agago,2.8394,33.3486
2017-01-24,35.3,21.9,0.0,27,40612.58,Agago,2.8394,33.3486
2017-01-25,36.0,21.1,0.0,27,40621.86,Agago,2.8394,33.3486
2017-01-26,36.3,19.7,0.0,29,40631.23,Agago,2.8394,33.3486
2017-01-27,33.9,17.7,0.0,31,40640.69,Agago,2.8394,33.3486
2017-01-28,34.3,18.5,0.0,33,40370.97,Agago,2.8394,33.3486
2017-01-29,32.8,20.4,1.9,49,40365.35,Agago,2.8394,33.3486
2017-01-30,31.7,19.3,0.4,60,40669.65,Agago,2.8394,33.3486
2017-01-31,31.0,18.9,0.4,55,40611.57,Agago,2.8394,33.3486
2017-02-01,32.4,18.5,0.2,56,40689.9,Agago,2.8394,33.3486
2017-02-02,31.8,19.9,0.2,52,40700.28,Agago,2.8394,33.3486
2017-02-03,34.6,19.9,0.0,36,40710.8,Agago,2.8394,33.3486
2017-02-04,31.7,19.6,0.0,43,40721.45,Agago,2.8394,33.3486
2017-02-05,34.0,20.4,0.0,40,40732.21,Agago,2.8394,33.3486
2017-02-06,33.5,19.9,0.4,40,40743.07,Agago,2.8394,33.3486
2017-02-07,34.6,19.6,0.0,38,40754.02,Agago,2.8394,33.3486
2017-02-08,35.6,18.9,0.0,35,40765.02,Agago,2.8394,33.3486
2017-02-09,34.8,21.2,0.2,32,40776.07,Agago,2.8394,33.3486
2017-02-10,35.7,20.3,0.0,29,40787.17,Agago,2.8394,33.3486
2017-02-11,36.2,19.6,0.0,29,40798.28,Agago,2.8394,33.3486
2017-02-12,35.8,20.9,0.0,33,40809.41,Agago,2.8394,33.3486
2017-02-13,36.0,22.0,0.0,32,40301.67,Agago,2.8394,33.3486
2017-02-14,32.8,20.7,0.0,40,38922.51,Agago,2.8394,33.3486
2017-02-15,35.1,21.7,0.0,37,40842.71,Agago,2.8394,33.3486
2017-02-16,33.7,22.9,0.3,39,40853.75,Agago,2.8394,33.3486
2017-02-17,32.5,22.6,0.1,42,39358.22,Agago,2.8394,33.3486
2017-02-18,31.2,20.6,0.0,47,40526.23,Agago,2.8394,33.3486
2017-02-19,32.0,21.5,0.1,50,39890.21,Agago,2.8394,33.3486
2017-02-20,32.1,21.1,0.9,50,40897.25,Agago,2.8394,33.3486
2017-02-21,34.4,19.3,0.0,46,40908.18,Agago,2.8394,33.3486
2017-02-22,30.9,19.3,0.0,54,40692.29,Agago,2.8394,33.3486
2017-02-23,32.9,19.1,0.0,47,39933.63,Agago,2.8394,33.3486
2017-02-24,33.3,21.8,0.0,42,36107.65,Agago,2.8394,33.3486
2017-02-25,33.1,20.8,3.3,57,40952.2,Agago,2.8394,33.3486
2017-02-26,31.7,19.8,0.4,55,40963.22,Agago,2.8394,33.3486
2017-02-27,32.8,18.5,1.5,58,40499.9,Agago,2.8394,33.3486
2017-02-28,31.5,20.0,0.0,60,40985.22,Agago,2.8394,33.3486
2017-03-01,32.6,18.4,1.0,48,40996.17,Agago,2.8394,33.3486
2017-03-02,33.0,17.6,0.0,47,41007.08,Agago,2.8394,33.3486
2017-03-03,33.1,19.1,0.6,54,40941.38,Agago,2.8394,33.3486
2017-03-04,31.9,20.1,0.0,60,41028.72,Agago,2.8394,33.3486
2017-03-05,32.5,19.5,0.0,57,41039.43,Agago,2.8394,33.3486
2017-03-06,33.5,18.9,0.0,51,41050.07,Agago,2.8394,33.3486
2017-03-07,32.8,19.4,0.0,49,41060.62,Agago,2.8394,33.3486
2017-03-08,36.4,18.5,0.0,43,38763.9,Agago,2.8394,33.3486
2017-03-09,32.0,20.7,3.8,59,37721.59,Agago,2.8394,33.3486
2017-03-10,33.9,19.5,0.0,57,41091.53,Agago,2.8394,33.3486
2017-03-11,36.2,19.0,0.0,39,41101.43,Agago,2.8394,33.3486
2017-03-12,36.3,19.0,0.0,31,41111.32,Agago,2.8394,33.3486
2017-03-13,37.3,19.7,0.0,31,41121.2,Agago,2.8394,33.3486
2017-03-14,35.9,20.1,0.2,33,41131.04,Agago,2.8394,33.3486
2017-03-15,34.4,20.7,0.3,43,41140.84,Agago,2.8394,33.3486
2017-03-16,28.6,20.2,8.9,70,22887.37,Agago,2.8394,33.3486
2017-03-17,31.0,19.1,1.6,64,40445.9,Agago,2.8394,33.3486
2017-03-18,33.7,19.1,0.0,53,41169.99,Agago,2.8394,33.3486
2017-03-19,34.7,19.6,1.2,39,41179.59,Agago,2.8394,33.3486
2017-03-20,35.0,19.6,0.0,40,41189.11,Agago,2.8394,33.3486
2017-03-21,34.8,19.3,0.9,46,41198.56,Agago,2.8394,33.3486
2017-03-22,34.8,20.8,0.0,43,41207.92,Agago,2.8394,33.3486
2017-03-23,35.6,19.1,0.0,37,41217.2,Agago,2.8394,33.3486
2017-03-24,35.1,20.0,0.0,40,41226.39,Agago,2.8394,33.3486
2017-03-25,32.1,21.0,7.3,62,39068.34,Agago,2.8394,33.3486
2017-03-26,31.7,19.7,2.0,70,39926.53,Agago,2.8394,33.3486
2017-03-27,32.2,19.9,0.1,63,41253.32,Agago,2.8394,33.3486
2017-03-28,34.3,20.4,0.0,53,41262.08,Agago,2.8394,33.3486
2017-03-29,33.6,21.0,0.0,50,41270.71,Agago,2.8394,33.3486
2017-03-30,33.7,22.1,0.2,43,41279.09,Agago,2.8394,33.3486
2017-03-31,35.3,18.5,0.0,43,41100.66,Agago,2.8394,33.3486
2017-04-01,35.1,20.0,0.3,46,41295.3,Agago,2.8394,33.3486
2017-04-02,35.0,19.3,0.2,38,41303.33,Agago,2.8394,33.3486
2017-04-03,35.5,19.3,0.7,34,41311.29,Agago,2.8394,33.3486
2017-04-04,35.9,20.3,0.0,34,41319.18,Agago,2.8394,33.3486
2017-04-05,34.7,20.1,0.0,38,41327.0,Agago,2.8394,33.3486
2017-04-06,35.6,21.4,0.8,45,41101.19,Agago,2.8394,33.3486
2017-04-07,32.0,21.6,5.8,55,40911.73,Agago,2.8394,33.3486
2017-04-08,33.4,21.8,0.1,46,40909.88,Agago,2.8394,33.3486
2017-04-09,34.9,20.5,0.9,48,41357.46,Agago,2.8394,33.3486
2017-04-10,34.8,22.3,0.0,39,41364.86,Agago,2.8394,33.3486
2017-04-11,35.8,22.3,0.0,36,41372.14,Agago,2.8394,33.3486
2017-04-12,34.9,22.9,0.1,36,41379.34,Agago,2.8394,33.3486
2017-04-13,36.9,22.3,0.0,33,41386.42,Agago,2.8394,33.3486
2017-04-14,37.6,22.9,0.0,29,41393.4,Agago,2.8394,33.3486
2017-04-15,35.1,21.7,0.0,38,41400.27,Agago,2.8394,33.3486
2017-04-16,34.8,23.1,0.0,43,41407.02,Agago,2.8394,33.3486
2017-04-17,31.9,20.8,21.0,70,38896.42,Agago,2.8394,33.3486
2017-04-18,30.9,21.4,15.9,69,38686.16,Agago,2.8394,33.3486
2017-04-19,31.0,20.5,14.0,65,36721.73,Agago,2.8394,33.3486
2017-04-20,34.1,20.4,0.0,56,41432.59,Agago,2.8394,33.3486
2017-04-21,34.5,19.9,0.5,54,41436.75,Agago,2.8394,33.3486
2017-04-22,34.1,20.2,0.6,55,40686.22,Agago,2.8394,33.3486
2017-04-23,32.6,20.1,1.4,52,41352.36,Agago,2.8394,33.3486
2017-04-24,31.4,20.3,11.6,62,41412.57,Agago,2.8394,33.3486
2017-04-25,29.4,20.3,17.7,75,38678.96,Agago,2.8394,33.3486
2017-04-26,30.8,19.8,1.5,67,39870.45,Agago,2.8394,33.3486
2017-04-27,32.1,20.9,3.0,61,41130.04,Agago,2.8394,33.3486
2017-04-28,30.8,19.6,0.6,67,40909.86,Agago,2.8394,33.3486
2017-04-29,30.0,20.8,2.1,71,36000.0,Agago,2.8394,33.3486
2017-04-30,28.0,19.1,10.0,81,27132.88,Agago,2.8394,33.3486
2017-05-01,29.5,19.7,4.3,77,33682.51,Agago,2.8394,33.3486
2017-05-02,29.3,19.2,5.2,77,37323.51,Agago,2.8394,33.3486
2017-05-03,29.2,18.9,8.8,77,36363.19,Agago,2.8394,33.3486
2017-05-04,28.4,19.7,3.9,78,40075.68,Agago,2.8394,33.3486
2017-05-05,30.4,20.3,0.1,68,40804.79,Agago,2.8394,33.3486
2017-05-06,30.7,20.0,0.4,70,40258.1,Agago,2.8394,33.3486
2017-05-07,30.2,19.7,4.2,77,40806.83,Agago,2.8394,33.3486
2017-05-08,29.1,19.4,0.9,78,41347.57,Agago,2.8394,33.3486
2017-05-09,30.3,19.0,0.1,66,40809.19,Agago,2.8394,33.3486
2017-05-10,31.1,19.4,0.9,66,37746.83,Agago,2.8394,33.3486
2017-05-11,30.7,19.0,0.1,69,40921.71,Agago,2.8394,33.3486
2017-05-12,28.6,19.8,4.9,78,41143.09,Agago,2.8394,33.3486
2017-05-13,30.3,19.1,2.3,76,39934.99,Agago,2.8394,33.3486
2017-05-14,26.9,19.8,13.4,81,37216.72,Agago,2.8394,33.3486
2017-05-15,29.0,19.8,0.6,71,41039.11,Agago,2.8394,33.3486
2017-05-16,29.7,20.1,0.3,72,40709.8,Agago,2.8394,33.3486
2017-05-17,30.7,20.2,2.2,72,40047.31,Agago,2.8394,33.3486
2017-05-18,28.1,19.4,7.7,83,38799.87,Agago,2.8394,33.3486
2017-05-19,28.2,19.5,1.3,79,38792.72,Agago,2.8394,33.3486
2017-05-20,29.8,18.9,0.4,72,40716.82,Agago,2.8394,33.3486
2017-05-21,30.2,19.2,0.3,71,40941.9,Agago,2.8394,33.3486
2017-05-22,29.1,19.5,1.0,73,40944.27,Agago,2.8394,33.3486
2017-05-23,30.1,18.7,2.1,72,41171.03,Agago,2.8394,33.3486
2017-05-24,30.4,18.7,0.5,69,41286.5,Agago,2.8394,33.3486
2017-05-25,30.7,18.0,0.0,66,40951.6,Agago,2.8394,33.3486
2017-05-26,30.1,18.8,0.0,66,41180.19,Agago,2.8394,33.3486
2017-05-27,30.3,20.1,7.9,74,39600.0,Agago,2.8394,33.3486
2017-05-28,29.8,19.4,0.7,72,39600.0,Agago,2.8394,33.3486
2017-05-29,29.6,19.1,0.0,69,39935.56,Agago,2.8394,33.3486
2017-05-30,28.3,20.2,3.7,75,39935.01,Agago,2.8394,33.3486
2017-05-31,28.9,20.2,1.4,80,32051.24,Agago,2.8394,33.3486
2017-06-01,29.4,18.4,0.5,71,40393.95,Agago,2.8394,33.3486
2017-06-02,29.9,18.9,1.2,73,40856.63,Agago,2.8394,33.3486
2017-06-03,28.1,20.0,2.1,76,40163.52,Agago,2.8394,33.3486
2017-06-04,30.4,18.7,1.1,71,40628.59,Agago,2.8394,33.3486
2017-06-05,31.7,18.7,0.2,63,40513.25,Agago,2.8394,33.3486
2017-06-06,31.1,19.8,0.1,63,40748.55,Agago,2.8394,33.3486
2017-06-07,31.8,19.5,0.2,60,40750.31,Agago,2.8394,33.3486
2017-06-08,31.1,20.3,0.0,58,40633.93,Agago,2.8394,33.3486
2017-06-09,31.4,20.8,0.7,64,40872.14,Agago,2.8394,33.3486
2017-06-10,32.3,19.9,0.3,54,40993.09,Agago,2.8394,33.3486
2017-06-11,31.6,20.1,0.0,54,40517.82,Agago,2.8394,33.3486
2017-06-12,31.3,20.3,0.0,53,40158.81,Agago,2.8394,33.3486
2017-06-13,31.9,20.6,0.0,57,40037.69,Agago,2.8394,33.3486
2017-06-14,28.4,21.4,6.4,69,39818.09,Agago,2.8394,33.3486
2017-06-15,28.4,19.3,14.9,83,32131.76,Agago,2.8394,33.3486
2017-06-16,30.0,18.3,0.1,72,40487.16,Agago,2.8394,33.3486
2017-06-17,30.2,18.7,0.0,67,40963.01,Agago,2.8394,33.3486
2017-06-18,28.4,19.1,0.9,68,40953.03,Agago,2.8394,33.3486
2017-06-19,29.9,18.1,0.4,65,40207.11,Agago,2.8394,33.3486
2017-06-20,28.8,18.1,0.1,64,41054.93,Agago,2.8394,33.3486
2017-06-21,30.7,19.0,0.0,56,40920.71,Agago,2.8394,33.3486
2017-06-22,30.5,18.7,0.5,56,40290.37,Agago,2.8394,33.3486
2017-06-23,31.7,18.4,0.5,60,41145.37,Agago,2.8394,33.3486
2017-06-24,32.0,18.5,0.0,58,41258.38,Agago,2.8394,33.3486
2017-06-25,31.2,18.0,0.1,55,41247.02,Agago,2.8394,33.3486
2017-06-26,31.3,18.9,0.1,54,40484.1,Agago,2.8394,33.3486
2017-06-27,31.1,19.2,0.0,58,40470.3,Agago,2.8394,33.3486
2017-06-28,31.1,19.7,0.7,57,40582.43,Agago,2.8394,33.3486
2017-06-29,28.8,19.9,1.9,68,40442.73,Agago,2.8394,33.3486
2017-06-30,30.9,19.0,0.0,64,40049.36,Agago,2.8394,33.3486
2017-07-01,30.9,19.6,2.2,58,40542.52,Agago,2.8394,33.3486
2017-07-02,31.3,20.6,0.1,57,40973.71,Agago,2.8394,33.3486
2017-07-03,26.2,20.2,9.0,77,38749.8,Agago,2.8394,33.3486
2017-07-04,29.8,17.8,2.5,74,39713.27,Agago,2.8394,33.3486
2017-07-05,29.0,18.2,13.3,78,39329.74,Agago,2.8394,33.3486
2017-07-06,28.1,18.4,7.1,75,39801.02,Agago,2.8394,33.3486
2017-07-07,27.7,18.7,10.0,82,40214.37,Agago,2.8394,33.3486
2017-07-08,27.4,18.1,6.4,83,39300.43,Agago,2.8394,33.3486
2017-07-09,27.4,17.9,1.2,78,40579.53,Agago,2.8394,33.3486
2017-07-10,27.5,17.4,4.9,80,40271.23,Agago,2.8394,33.3486
2017-07-11,27.0,18.9,11.4,80,38824.46,Agago,2.8394,33.3486
2017-07-12,27.2,18.4,10.5,87,32411.42,Agago,2.8394,33.3486
2017-07-13,28.1,17.3,1.3,82,38113.68,Agago,2.8394,33.3486
2017-07-14,29.0,16.7,0.0,73,40532.88,Agago,2.8394,33.3486
2017-07-15,29.0,18.7,1.4,73,40395.04,Agago,2.8394,33.3486
2017-07-16,28.5,18.6,5.5,81,39556.19,Agago,2.8394,33.3486
2017-07-17,28.7,18.1,6.4,77,40766.14,Agago,2.8394,33.3486
2017-07-18,28.9,18.9,3.3,72,41146.2,Agago,2.8394,33.3486
2017-07-19,28.4,17.8,7.9,80,40653.56,Agago,2.8394,33.3486
2017-07-20,27.6,18.9,7.2,85,34479.02,Agago,2.8394,33.3486
2017-07-21,28.0,18.5,0.0,74,39201.01,Agago,2.8394,33.3486
2017-07-22,29.9,19.4,0.3,71,40731.68,Agago,2.8394,33.3486
2017-07-23,26.7,19.1,30.6,85,29741.82,Agago,2.8394,33.3486
2017-07-24,27.1,18.5,14.0,86,36409.12,Agago,2.8394,33.3486
2017-07-25,26.2,17.9,12.0,85,39257.27,Agago,2.8394,33.3486
2017-07-26,26.5,17.2,0.3,83,38538.75,Agago,2.8394,33.3486
2017-07-27,26.1,17.6,2.2,83,37556.63,Agago,2.8394,33.3486
2017-07-28,28.8,19.0,2.0,74,40578.93,Agago,2.8394,33.3486
2017-07-29,29.5,18.1,7.2,74,40833.71,Agago,2.8394,33.3486
2017-07-30,28.8,18.5,5.4,81,39295.78,Agago,2.8394,33.3486
2017-07-31,28.1,18.7,4.7,80,39193.15,Agago,2.8394,33.3486
2017-08-01,27.8,18.7,3.0,78,40958.08,Agago,2.8394,33.3486
2017-08-02,27.9,17.6,1.3,80,40590.37,Agago,2.8394,33.3486
2017-08-03,28.5,18.1,0.2,72,41465.89,Agago,2.8394,33.3486
2017-08-04,28.7,18.5,0.0,64,40958.49,Agago,2.8394,33.3486
2017-08-05,28.4,17.8,0.2,67,41465.07,Agago,2.8394,33.3486
