time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2022-01-01,31.4,20.8,0.1,55,39455.52,Alebtong,2.254,33.3486
2022-01-02,33.2,19.7,0.0,52,39539.65,Alebtong,2.254,33.3486
2022-01-03,35.2,20.7,0.0,33,38827.77,Alebtong,2.254,33.3486
2022-01-04,33.2,21.2,0.0,30,38933.25,Alebtong,2.254,33.3486
2022-01-05,34.3,19.7,0.0,27,38780.23,Alebtong,2.254,33.3486
2022-01-06,34.1,18.9,0.0,31,36808.41,Alebtong,2.254,33.3486
2022-01-07,34.4,21.0,0.0,34,32541.52,Alebtong,2.254,33.3486
2022-01-08,36.6,20.4,0.0,28,36143.73,Alebtong,2.254,33.3486
2022-01-09,36.1,20.4,0.0,27,38555.16,Alebtong,2.254,33.3486
2022-01-10,36.1,19.7,0.0,28,40610.04,Alebtong,2.254,33.3486
2022-01-11,35.5,21.8,0.0,27,40506.23,Alebtong,2.254,33.3486
2022-01-12,35.5,21.7,0.0,30,40621.59,Alebtong,2.254,33.3486
2022-01-13,36.4,21.4,0.0,24,40627.67,Alebtong,2.254,33.3486
2022-01-14,34.9,21.3,0.0,30,38219.62,Alebtong,2.254,33.3486
2022-01-15,33.4,21.2,0.0,47,35287.48,Alebtong,2.254,33.3486
2022-01-16,32.9,20.9,3.6,59,29300.21,Alebtong,2.254,33.3486
2022-01-17,24.3,19.0,8.4,77,5114.99,Alebtong,2.254,33.3486
2022-01-18,25.4,17.3,1.4,74,15398.76,Alebtong,2.254,33.3486
2022-01-19,29.3,16.8,0.0,66,39290.59,Alebtong,2.254,33.3486
2022-01-20,30.4,18.2,0.4,53,38575.64,Alebtong,2.254,33.3486
2022-01-21,31.7,18.0,0.0,41,30659.38,Alebtong,2.254,33.3486
2022-01-22,32.1,17.7,0.0,42,38012.86,Alebtong,2.254,33.3486
2022-01-23,32.3,18.6,0.0,36,40696.59,Alebtong,2.254,33.3486
2022-01-24,33.7,18.7,0.0,46,39448.84,Alebtong,2.254,33.3486
2022-01-25,34.8,21.4,0.0,27,38169.7,Alebtong,2.254,33.3486
2022-01-26,35.1,19.5,0.0,26,40569.39,Alebtong,2.254,33.3486
2022-01-27,35.3,19.3,0.0,24,37641.88,Alebtong,2.254,33.3486
2022-01-28,34.6,18.8,0.0,25,39916.64,Alebtong,2.254,33.3486
2022-01-29,36.0,19.2,0.0,26,35879.13,Alebtong,2.254,33.3486
2022-01-30,34.9,19.3,0.0,36,34790.7,Alebtong,2.254,33.3486
2022-01-31,32.4,22.1,0.0,38,24831.87,Alebtong,2.254,33.3486
2022-02-01,31.1,19.8,0.0,50,35990.17,Alebtong,2.254,33.3486
2022-02-02,33.7,20.1,0.0,41,39498.18,Alebtong,2.254,33.3486
2022-02-03,34.1,19.6,0.0,39,38753.89,Alebtong,2.254,33.3486
2022-02-04,34.1,20.2,0.0,35,37934.92,Alebtong,2.254,33.3486
2022-02-05,32.7,20.5,0.3,44,36811.14,Alebtong,2.254,33.3486
2022-02-06,33.0,19.3,0.0,42,38860.04,Alebtong,2.254,33.3486
2022-02-07,33.6,18.7,0.0,25,40389.14,Alebtong,2.254,33.3486
2022-02-08,34.7,18.3,0.0,40,36793.51,Alebtong,2.254,33.3486
2022-02-09,34.4,23.4,0.0,27,29063.5,Alebtong,2.254,33.3486
2022-02-10,33.9,20.6,0.0,48,40649.72,Alebtong,2.254,33.3486
2022-02-11,34.0,20.5,0.0,49,34844.02,Alebtong,2.254,33.3486
2022-02-12,32.4,20.7,0.0,48,37273.29,Alebtong,2.254,33.3486
2022-02-13,34.0,20.4,0.0,47,40882.39,Alebtong,2.254,33.3486
2022-02-14,34.4,19.2,0.0,32,40891.56,Alebtong,2.254,33.3486
2022-02-15,32.7,20.5,0.0,50,40900.8,Alebtong,2.254,33.3486
2022-02-16,34.0,19.5,0.0,40,40910.1,Alebtong,2.254,33.3486
2022-02-17,33.5,20.0,0.0,44,40919.45,Alebtong,2.254,33.3486
2022-02-18,34.5,20.0,0.0,45,40928.83,Alebtong,2.254,33.3486
2022-02-19,34.9,21.8,0.0,47,40477.18,Alebtong,2.254,33.3486
2022-02-20,32.4,21.6,0.3,47,40602.73,Alebtong,2.254,33.3486
2022-02-21,32.8,20.1,0.0,40,38161.36,Alebtong,2.254,33.3486
2022-02-22,34.2,18.5,0.0,32,40966.45,Alebtong,2.254,33.3486
2022-02-23,36.1,20.0,0.0,32,31857.56,Alebtong,2.254,33.3486
2022-02-24,32.5,21.9,0.0,41,33785.17,Alebtong,2.254,33.3486
2022-02-25,33.4,20.3,0.5,55,32654.48,Alebtong,2.254,33.3486
2022-02-26,33.5,20.2,0.0,50,34904.97,Alebtong,2.254,33.3486
2022-02-27,35.7,20.2,0.0,41,40521.22,Alebtong,2.254,33.3486
2022-02-28,35.1,21.0,0.0,48,39612.24,Alebtong,2.254,33.3486
2022-03-01,35.7,20.5,0.0,48,41031.12,Alebtong,2.254,33.3486
2022-03-02,35.0,22.3,0.0,32,41040.11,Alebtong,2.254,33.3486
2022-03-03,33.2,18.9,1.1,36,41049.0,Alebtong,2.254,33.3486
2022-03-04,36.1,19.6,0.0,39,39329.87,Alebtong,2.254,33.3486
2022-03-05,37.1,21.2,0.0,23,36366.29,Alebtong,2.254,33.3486
2022-03-06,36.8,20.5,0.0,23,38664.56,Alebtong,2.254,33.3486
2022-03-07,36.5,21.0,0.0,40,39499.72,Alebtong,2.254,33.3486
2022-03-08,36.3,21.5,0.0,40,40399.39,Alebtong,2.254,33.3486
2022-03-09,34.9,21.3,0.1,43,40542.61,Alebtong,2.254,33.3486
2022-03-10,35.8,21.0,0.0,45,40606.52,Alebtong,2.254,33.3486
2022-03-11,37.5,20.0,0.0,36,41116.75,Alebtong,2.254,33.3486
2022-03-12,36.5,19.6,0.0,36,39449.75,Alebtong,2.254,33.3486
2022-03-13,36.3,20.9,0.0,28,39623.52,Alebtong,2.254,33.3486
2022-03-14,33.8,21.3,0.1,47,33645.95,Alebtong,2.254,33.3486
2022-03-15,36.0,20.2,0.0,44,40902.53,Alebtong,2.254,33.3486
2022-03-16,35.4,22.3,0.0,34,40921.48,Alebtong,2.254,33.3486
2022-03-17,34.0,21.6,1.4,25,41032.84,Alebtong,2.254,33.3486
2022-03-18,33.2,20.3,0.0,37,40959.61,Alebtong,2.254,33.3486
2022-03-19,34.8,20.8,0.0,47,40978.64,Alebtong,2.254,33.3486
2022-03-20,36.7,20.8,0.0,41,39294.59,Alebtong,2.254,33.3486
2022-03-21,35.9,22.5,0.3,39,41124.48,Alebtong,2.254,33.3486
2022-03-22,35.1,21.7,7.0,51,35351.8,Alebtong,2.254,33.3486
2022-03-23,31.7,19.5,9.3,68,37074.37,Alebtong,2.254,33.3486
2022-03-24,34.5,20.1,2.0,61,32789.28,Alebtong,2.254,33.3486
2022-03-25,34.2,20.1,0.3,57,36317.13,Alebtong,2.254,33.3486
2022-03-26,33.7,18.8,3.0,60,34811.58,Alebtong,2.254,33.3486
2022-03-27,32.3,20.6,2.3,63,41126.52,Alebtong,2.254,33.3486
2022-03-28,33.7,19.9,2.2,64,37756.73,Alebtong,2.254,33.3486
2022-03-29,33.4,18.8,0.0,63,35075.11,Alebtong,2.254,33.3486
2022-03-30,31.0,20.7,0.5,67,34183.94,Alebtong,2.254,33.3486
2022-03-31,33.6,19.7,0.0,55,41265.78,Alebtong,2.254,33.3486
2022-04-01,35.3,19.0,0.0,48,41220.61,Alebtong,2.254,33.3486
2022-04-02,35.3,20.6,0.0,36,40304.72,Alebtong,2.254,33.3486
2022-04-03,36.0,19.6,0.0,37,40792.15,Alebtong,2.254,33.3486
2022-04-04,37.4,21.8,0.0,30,40916.87,Alebtong,2.254,33.3486
2022-04-05,33.7,19.6,0.1,49,37694.36,Alebtong,2.254,33.3486
2022-04-06,36.1,20.5,3.3,51,31649.96,Alebtong,2.254,33.3486
2022-04-07,36.7,21.8,0.0,44,38252.41,Alebtong,2.254,33.3486
2022-04-08,35.6,21.5,0.0,46,29285.79,Alebtong,2.254,33.3486
2022-04-09,36.8,21.2,0.0,40,41249.54,Alebtong,2.254,33.3486
2022-04-10,36.6,22.9,0.0,32,40014.3,Alebtong,2.254,33.3486
2022-04-11,31.6,20.7,1.4,60,30024.05,Alebtong,2.254,33.3486
2022-04-12,32.9,20.0,0.2,56,36522.37,Alebtong,2.254,33.3486
2022-04-13,34.7,21.3,0.2,45,40748.94,Alebtong,2.254,33.3486
2022-04-14,36.1,22.0,1.5,54,39458.88,Alebtong,2.254,33.3486
2022-04-15,29.6,19.9,28.1,75,22856.23,Alebtong,2.254,33.3486
2022-04-16,25.0,19.6,12.0,81,18857.99,Alebtong,2.254,33.3486
2022-04-17,29.4,17.7,0.3,71,39507.62,Alebtong,2.254,33.3486
2022-04-18,31.3,19.9,0.0,60,41367.12,Alebtong,2.254,33.3486
2022-04-19,32.5,20.1,1.1,64,40171.21,Alebtong,2.254,33.3486
2022-04-20,29.5,19.0,14.3,75,35213.55,Alebtong,2.254,33.3486
2022-04-21,28.9,19.0,13.4,78,35530.54,Alebtong,2.254,33.3486
2022-04-22,28.4,17.9,2.5,81,39583.03,Alebtong,2.254,33.3486
2022-04-23,29.4,18.0,2.1,80,36440.66,Alebtong,2.254,33.3486
2022-04-24,29.2,19.7,5.2,79,39600.0,Alebtong,2.254,33.3486
2022-04-25,27.3,19.4,24.5,84,30294.86,Alebtong,2.254,33.3486
2022-04-26,28.0,19.1,0.6,80,40138.21,Alebtong,2.254,33.3486
2022-04-27,28.2,18.8,11.0,81,34847.25,Alebtong,2.254,33.3486
