time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,29.8,19.1,0.0,64,40556.95,Amolatar,1.6346,32.8286
2019-01-02,30.5,19.5,0.1,72,38928.01,Amolatar,1.6346,32.8286
2019-01-03,30.9,19.8,0.2,70,39341.95,Amolatar,1.6346,32.8286
2019-01-04,31.2,22.4,0.3,57,34469.29,Amolatar,1.6346,32.8286
2019-01-05,32.9,20.7,0.0,58,39881.96,Amolatar,1.6346,32.8286
2019-01-06,33.0,21.1,0.0,50,37351.22,Amolatar,1.6346,32.8286
2019-01-07,32.7,20.4,0.0,55,40318.16,Amolatar,1.6346,32.8286
2019-01-08,30.7,18.9,0.0,60,31853.59,Amolatar,1.6346,32.8286
2019-01-09,30.9,19.2,0.0,65,40728.88,Amolatar,1.6346,32.8286
2019-01-10,31.7,19.9,0.0,63,40626.8,Amolatar,1.6346,32.8286
2019-01-11,33.4,20.9,0.0,42,34836.51,Amolatar,1.6346,32.8286
2019-01-12,34.1,19.7,0.0,32,40742.46,Amolatar,1.6346,32.8286
2019-01-13,33.9,20.0,0.0,27,40747.27,Amolatar,1.6346,32.8286
2019-01-14,32.0,20.5,0.0,40,40383.67,Amolatar,1.6346,32.8286
2019-01-15,31.4,20.3,0.0,65,40206.05,Amolatar,1.6346,32.8286
2019-01-16,28.5,21.0,4.6,75,36785.32,Amolatar,1.6346,32.8286
2019-01-17,29.3,20.2,0.0,72,40767.68,Amolatar,1.6346,32.8286
2019-01-18,28.7,20.2,0.5,72,40750.45,Amolatar,1.6346,32.8286
2019-01-19,29.4,19.9,0.1,69,40608.49,Amolatar,1.6346,32.8286
2019-01-20,30.9,19.9,0.2,72,40784.47,Amolatar,1.6346,32.8286
2019-01-21,29.0,21.3,1.0,72,40050.42,Amolatar,1.6346,32.8286
2019-01-22,31.2,20.4,0.0,70,40796.76,Amolatar,1.6346,32.8286
2019-01-23,30.8,21.2,0.0,71,39514.87,Amolatar,1.6346,32.8286
2019-01-24,31.1,21.3,0.0,72,35590.17,Amolatar,1.6346,32.8286
2019-01-25,31.2,20.3,0.1,70,40816.34,Amolatar,1.6346,32.8286
2019-01-26,31.7,21.4,0.1,70,40823.11,Amolatar,1.6346,32.8286
2019-01-27,32.8,20.1,0.0,67,39114.86,Amolatar,1.6346,32.8286
2019-01-28,33.7,20.1,0.0,62,40836.95,Amolatar,1.6346,32.8286
2019-01-29,32.7,20.3,0.2,52,40843.99,Amolatar,1.6346,32.8286
2019-01-30,33.5,20.0,0.0,48,40851.1,Amolatar,1.6346,32.8286
2019-01-31,33.2,18.8,0.0,42,40858.26,Amolatar,1.6346,32.8286
2019-02-01,35.0,19.9,0.0,41,40078.21,Amolatar,1.6346,32.8286
2019-02-02,34.5,20.1,0.0,39,40872.7,Amolatar,1.6346,32.8286
2019-02-03,34.0,19.3,0.0,47,40879.95,Amolatar,1.6346,32.8286
2019-02-04,34.8,20.4,0.0,58,40887.22,Amolatar,1.6346,32.8286
2019-02-05,33.7,21.5,0.0,54,40894.49,Amolatar,1.6346,32.8286
2019-02-06,32.7,20.9,0.0,63,40901.74,Amolatar,1.6346,32.8286
2019-02-07,31.0,21.2,0.2,68,40908.98,Amolatar,1.6346,32.8286
2019-02-08,32.6,20.9,0.0,67,40916.16,Amolatar,1.6346,32.8286
2019-02-09,33.0,21.3,0.1,67,40923.38,Amolatar,1.6346,32.8286
2019-02-10,35.4,21.7,0.0,41,40930.66,Amolatar,1.6346,32.8286
2019-02-11,33.5,21.8,0.0,44,40938.02,Amolatar,1.6346,32.8286
2019-02-12,33.0,21.4,0.1,63,39322.31,Amolatar,1.6346,32.8286
2019-02-13,34.9,19.9,0.0,40,40952.88,Amolatar,1.6346,32.8286
2019-02-14,34.0,23.6,0.0,34,40960.37,Amolatar,1.6346,32.8286
2019-02-15,33.2,22.5,0.0,43,40628.91,Amolatar,1.6346,32.8286
2019-02-16,33.1,20.9,0.0,49,40975.39,Amolatar,1.6346,32.8286
2019-02-17,32.6,22.0,0.0,46,40982.91,Amolatar,1.6346,32.8286
2019-02-18,32.8,21.5,0.4,52,40990.43,Amolatar,1.6346,32.8286
2019-02-19,32.4,21.1,0.0,50,40997.92,Amolatar,1.6346,32.8286
2019-02-20,31.3,22.1,0.2,67,40869.73,Amolatar,1.6346,32.8286
2019-02-21,30.4,21.3,4.5,69,40235.07,Amolatar,1.6346,32.8286
2019-02-22,31.3,20.7,2.3,64,41020.21,Amolatar,1.6346,32.8286
2019-02-23,30.8,19.8,17.9,75,37460.54,Amolatar,1.6346,32.8286
2019-02-24,28.4,19.2,11.9,80,34640.2,Amolatar,1.6346,32.8286
2019-02-25,29.0,19.8,4.6,75,41042.06,Amolatar,1.6346,32.8286
2019-02-26,32.0,20.0,0.0,66,41049.22,Amolatar,1.6346,32.8286
2019-02-27,32.2,19.8,0.0,63,41056.29,Amolatar,1.6346,32.8286
2019-02-28,33.4,20.2,0.0,51,41063.17,Amolatar,1.6346,32.8286
2019-03-01,32.4,21.1,0.3,60,41069.88,Amolatar,1.6346,32.8286
2019-03-02,30.0,21.7,0.4,67,39040.04,Amolatar,1.6346,32.8286
2019-03-03,31.0,20.9,0.0,68,41083.27,Amolatar,1.6346,32.8286
2019-03-04,30.7,22.2,3.7,73,36543.41,Amolatar,1.6346,32.8286
2019-03-05,30.4,21.4,0.8,73,41096.57,Amolatar,1.6346,32.8286
2019-03-06,31.2,20.2,2.9,65,41103.18,Amolatar,1.6346,32.8286
2019-03-07,29.7,20.9,0.2,70,41109.75,Amolatar,1.6346,32.8286
2019-03-08,31.3,21.4,0.7,60,41116.27,Amolatar,1.6346,32.8286
2019-03-09,33.2,20.2,0.0,52,41122.74,Amolatar,1.6346,32.8286
2019-03-10,33.2,21.0,0.0,53,40709.05,Amolatar,1.6346,32.8286
2019-03-11,32.1,21.0,0.0,65,41135.5,Amolatar,1.6346,32.8286
2019-03-12,32.4,20.4,0.0,56,41141.79,Amolatar,1.6346,32.8286
2019-03-13,32.4,22.4,0.5,65,41147.99,Amolatar,1.6346,32.8286
2019-03-14,31.3,20.6,0.0,65,41154.12,Amolatar,1.6346,32.8286
2019-03-15,33.3,21.0,0.1,59,41160.17,Amolatar,1.6346,32.8286
2019-03-16,34.7,21.5,0.0,46,41166.14,Amolatar,1.6346,32.8286
2019-03-17,34.8,21.3,0.0,44,40831.06,Amolatar,1.6346,32.8286
2019-03-18,32.8,21.9,0.0,66,40974.27,Amolatar,1.6346,32.8286
2019-03-19,34.7,20.7,0.0,54,41183.49,Amolatar,1.6346,32.8286
2019-03-20,35.5,21.5,0.0,45,41188.94,Amolatar,1.6346,32.8286
