time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,30.9,17.1,0.0,36,39262.92,Amudat,1.95,34.95
2023-01-02,27.5,18.3,0.4,50,40237.94,Amudat,1.95,34.95
2023-01-03,26.9,19.2,0.3,56,38677.53,Amudat,1.95,34.95
2023-01-04,30.2,19.3,0.0,43,39302.19,Amudat,1.95,34.95
2023-01-05,30.4,18.7,0.0,37,40578.97,Amudat,1.95,34.95
2023-01-06,31.4,16.9,0.0,29,40563.73,Amudat,1.95,34.95
2023-01-07,32.3,17.5,0.0,28,37528.93,Amudat,1.95,34.95
2023-01-08,31.6,17.3,0.0,34,40532.92,Amudat,1.95,34.95
2023-01-09,31.3,17.9,0.0,40,40204.02,Amudat,1.95,34.95
2023-01-10,31.4,17.3,0.0,40,40080.07,Amudat,1.95,34.95
2023-01-11,30.5,17.8,0.0,40,40060.9,Amudat,1.95,34.95
2023-01-12,30.5,18.8,0.0,40,40579.32,Amudat,1.95,34.95
2023-01-13,32.7,18.6,0.0,34,40693.45,Amudat,1.95,34.95
2023-01-14,31.7,17.7,0.0,31,40698.8,Amudat,1.95,34.95
2023-01-15,32.4,17.1,0.0,30,40318.8,Amudat,1.95,34.95
2023-01-16,30.9,16.8,0.0,32,35929.06,Amudat,1.95,34.95
2023-01-17,31.6,17.0,0.0,32,40625.63,Amudat,1.95,34.95
2023-01-18,32.7,17.0,0.0,27,40721.58,Amudat,1.95,34.95
2023-01-19,33.1,18.0,0.0,25,40717.38,Amudat,1.95,34.95
2023-01-20,33.4,19.0,0.0,26,40337.36,Amudat,1.95,34.95
2023-01-21,33.9,18.5,0.0,27,40584.83,Amudat,1.95,34.95
2023-01-22,32.8,17.6,0.0,26,39183.9,Amudat,1.95,34.95
2023-01-23,31.9,18.2,0.0,32,40451.36,Amudat,1.95,34.95
2023-01-24,31.9,18.4,0.0,34,40095.21,Amudat,1.95,34.95
2023-01-25,32.2,18.2,0.0,34,40769.58,Amudat,1.95,34.95
2023-01-26,32.9,17.7,0.0,31,40481.42,Amudat,1.95,34.95
2023-01-27,33.5,19.0,0.0,25,40784.6,Amudat,1.95,34.95
2023-01-28,32.3,16.9,0.0,27,40792.26,Amudat,1.95,34.95
2023-01-29,33.4,17.5,0.0,26,40757.41,Amudat,1.95,34.95
2023-01-30,34.1,16.8,0.0,28,40807.82,Amudat,1.95,34.95
2023-01-31,33.2,17.8,0.0,30,39918.13,Amudat,1.95,34.95
2023-02-01,34.3,18.7,0.0,30,40823.6,Amudat,1.95,34.95
2023-02-02,32.9,19.0,0.0,33,40831.54,Amudat,1.95,34.95
2023-02-03,32.8,17.7,0.0,28,40839.51,Amudat,1.95,34.95
2023-02-04,33.2,17.7,0.0,26,40847.49,Amudat,1.95,34.95
2023-02-05,32.5,17.2,0.0,29,40855.47,Amudat,1.95,34.95
2023-02-06,33.3,18.4,0.0,26,40863.44,Amudat,1.95,34.95
2023-02-07,34.2,18.4,0.0,25,40871.38,Amudat,1.95,34.95
2023-02-08,33.2,19.0,0.0,30,40879.36,Amudat,1.95,34.95
2023-02-09,33.3,19.2,0.0,30,39740.96,Amudat,1.95,34.95
2023-02-10,33.5,17.1,0.0,31,39385.96,Amudat,1.95,34.95
2023-02-11,34.6,19.8,0.0,30,40903.86,Amudat,1.95,34.95
