time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2018-01-01,31.2,19.6,0.1,59,39543.64,Amuria,2.015,33.6422
2018-01-02,30.8,17.9,0.0,55,39297.65,Amuria,2.015,33.6422
2018-01-03,33.2,18.0,0.0,39,38717.33,Amuria,2.015,33.6422
2018-01-04,31.9,19.6,0.0,32,36125.19,Amuria,2.015,33.6422
2018-01-05,32.1,18.0,0.0,53,32888.56,Amuria,2.015,33.6422
2018-01-06,32.5,20.7,0.0,25,31194.77,Amuria,2.015,33.6422
2018-01-07,32.4,19.0,0.0,26,40074.6,Amuria,2.015,33.6422
2018-01-08,32.7,19.7,0.0,24,32017.31,Amuria,2.015,33.6422
2018-01-09,34.0,19.4,0.0,22,40382.74,Amuria,2.015,33.6422
2018-01-10,33.4,17.1,0.0,37,39781.8,Amuria,2.015,33.6422
2018-01-11,33.9,19.4,0.0,30,38877.52,Amuria,2.015,33.6422
2018-01-12,32.7,19.4,0.0,47,35475.65,Amuria,2.015,33.6422
2018-01-13,32.9,19.7,0.0,52,35090.06,Amuria,2.015,33.6422
2018-01-14,33.5,18.7,0.0,56,39938.43,Amuria,2.015,33.6422
2018-01-15,32.5,18.2,0.0,51,38955.85,Amuria,2.015,33.6422
2018-01-16,32.1,19.0,0.0,56,40699.06,Amuria,2.015,33.6422
2018-01-17,34.0,17.4,0.0,27,40705.3,Amuria,2.015,33.6422
2018-01-18,34.2,18.3,0.0,29,40711.67,Amuria,2.015,33.6422
2018-01-19,32.6,18.3,0.0,45,35390.25,Amuria,2.015,33.6422
2018-01-20,32.5,21.1,0.0,31,30355.39,Amuria,2.015,33.6422
2018-01-21,34.4,18.6,0.0,44,40441.19,Amuria,2.015,33.6422
2018-01-22,34.3,17.9,0.0,29,34939.98,Amuria,2.015,33.6422
2018-01-23,34.3,18.4,0.0,30,36938.95,Amuria,2.015,33.6422
2018-01-24,32.4,19.2,2.6,56,40751.98,Amuria,2.015,33.6422
2018-01-25,31.7,18.5,0.1,59,40147.7,Amuria,2.015,33.6422
2018-01-26,32.6,18.9,0.0,62,39132.83,Amuria,2.015,33.6422
2018-01-27,34.0,18.0,0.1,47,40761.45,Amuria,2.015,33.6422
2018-01-28,34.1,19.1,0.0,46,39614.26,Amuria,2.015,33.6422
2018-01-29,35.3,18.6,0.0,49,40789.81,Amuria,2.015,33.6422
2018-01-30,35.1,19.6,0.0,39,36422.61,Amuria,2.015,33.6422
2018-01-31,34.3,21.1,0.0,25,27777.45,Amuria,2.015,33.6422
2018-02-01,35.6,19.2,0.0,31,40814.07,Amuria,2.015,33.6422
2018-02-02,35.1,20.7,0.0,29,38811.29,Amuria,2.015,33.6422
2018-02-03,36.1,19.6,0.0,26,40830.66,Amuria,2.015,33.6422
2018-02-04,35.3,20.3,0.0,27,34944.02,Amuria,2.015,33.6422
2018-02-05,35.2,21.3,0.0,31,40426.16,Amuria,2.015,33.6422
2018-02-06,35.7,22.3,0.0,30,34766.68,Amuria,2.015,33.6422
2018-02-07,36.3,21.5,0.0,26,35365.47,Amuria,2.015,33.6422
2018-02-08,36.4,20.4,0.0,19,40872.85,Amuria,2.015,33.6422
2018-02-09,36.4,19.1,0.0,19,40881.32,Amuria,2.015,33.6422
2018-02-10,36.3,21.6,0.0,21,40889.77,Amuria,2.015,33.6422
2018-02-11,36.0,20.0,0.0,28,40898.2,Amuria,2.015,33.6422
2018-02-12,35.3,20.2,0.0,36,35223.85,Amuria,2.015,33.6422
2018-02-13,36.0,21.6,0.0,30,33571.71,Amuria,2.015,33.6422
2018-02-14,35.7,22.4,0.0,30,40923.14,Amuria,2.015,33.6422
2018-02-15,35.4,21.0,0.0,29,40931.47,Amuria,2.015,33.6422
2018-02-16,36.4,20.8,0.0,30,40939.86,Amuria,2.015,33.6422
2018-02-17,34.7,21.4,0.0,31,38688.68,Amuria,2.015,33.6422
2018-02-18,36.0,23.1,0.0,32,32616.64,Amuria,2.015,33.6422
2018-02-19,33.9,22.0,0.4,41,39476.15,Amuria,2.015,33.6422
2018-02-20,33.8,22.5,0.9,47,35869.55,Amuria,2.015,33.6422
2018-02-21,33.5,20.9,0.5,54,35769.5,Amuria,2.015,33.6422
2018-02-22,34.8,19.8,0.0,50,40401.5,Amuria,2.015,33.6422
2018-02-23,34.5,20.2,0.1,45,40999.16,Amuria,2.015,33.6422
2018-02-24,34.2,19.9,0.1,51,41007.6,Amuria,2.015,33.6422
2018-02-25,32.1,20.6,0.0,56,41015.99,Amuria,2.015,33.6422
2018-02-26,33.9,19.5,0.0,49,41024.35,Amuria,2.015,33.6422
2018-02-27,31.1,20.1,1.4,56,41032.65,Amuria,2.015,33.6422
2018-02-28,30.6,19.6,3.0,69,38433.73,Amuria,2.015,33.6422
2018-03-01,30.6,18.5,11.6,78,29038.12,Amuria,2.015,33.6422
2018-03-02,26.1,18.7,8.2,89,26716.77,Amuria,2.015,33.6422
2018-03-03,26.0,18.7,6.4,81,13487.33,Amuria,2.015,33.6422
