time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,31.6,17.9,0.0,43,38711.01,Amuru,2.95,32.05
2023-01-02,30.5,20.0,0.0,44,39531.96,Amuru,2.95,32.05
2023-01-03,30.7,19.5,0.0,48,39745.98,Amuru,2.95,32.05
2023-01-04,32.0,18.8,0.0,42,34841.8,Amuru,2.95,32.05
2023-01-05,32.2,18.7,0.0,33,40456.78,Amuru,2.95,32.05
2023-01-06,32.9,18.5,0.0,32,40409.24,Amuru,2.95,32.05
2023-01-07,32.1,19.1,0.0,36,39162.3,Amuru,2.95,32.05
2023-01-08,32.2,19.5,0.0,34,38344.67,Amuru,2.95,32.05
2023-01-09,31.1,20.4,0.0,39,39235.29,Amuru,2.95,32.05
2023-01-10,31.8,19.8,0.0,46,39586.75,Amuru,2.95,32.05
2023-01-11,31.1,20.4,0.0,50,40102.41,Amuru,2.95,32.05
2023-01-12,30.5,18.7,0.0,46,38654.6,Amuru,2.95,32.05
2023-01-13,30.2,19.3,0.0,45,39778.15,Amuru,2.95,32.05
2023-01-14,31.1,19.3,0.0,48,40511.91,Amuru,2.95,32.05
2023-01-15,31.4,18.9,0.0,38,40519.1,Amuru,2.95,32.05
2023-01-16,31.1,20.5,0.0,36,39225.92,Amuru,2.95,32.05
2023-01-17,32.3,18.3,0.0,39,39059.45,Amuru,2.95,32.05
2023-01-18,32.2,18.2,0.0,37,40541.79,Amuru,2.95,32.05
2023-01-19,33.2,19.5,0.0,34,40550.01,Amuru,2.95,32.05
2023-01-20,32.6,19.6,0.0,36,35670.21,Amuru,2.95,32.05
2023-01-21,33.7,20.0,0.0,32,35918.45,Amuru,2.95,32.05
2023-01-22,31.6,19.4,0.0,37,40227.54,Amuru,2.95,32.05
2023-01-23,31.8,18.7,0.0,42,35686.49,Amuru,2.95,32.05
2023-01-24,31.0,21.2,0.0,45,38382.11,Amuru,2.95,32.05
2023-01-25,32.6,18.6,0.0,41,39174.8,Amuru,2.95,32.05
2023-01-26,32.8,18.9,0.0,41,40288.84,Amuru,2.95,32.05
2023-01-27,33.8,19.9,0.0,37,40543.09,Amuru,2.95,32.05
2023-01-28,34.3,19.2,0.0,32,40634.45,Amuru,2.95,32.05
2023-01-29,34.3,20.7,0.0,25,33510.43,Amuru,2.95,32.05
2023-01-30,33.8,19.7,0.0,42,37795.7,Amuru,2.95,32.05
2023-01-31,33.3,19.5,0.0,39,39412.19,Amuru,2.95,32.05
2023-02-01,32.8,20.8,0.0,36,40675.91,Amuru,2.95,32.05
2023-02-02,31.8,18.8,0.0,45,40686.47,Amuru,2.95,32.05
2023-02-03,32.6,19.6,0.0,41,40697.07,Amuru,2.95,32.05
2023-02-04,33.4,18.4,0.0,31,40707.7,Amuru,2.95,32.05
2023-02-05,32.2,19.7,0.0,33,28701.98,Amuru,2.95,32.05
2023-02-06,32.6,19.2,0.0,32,37497.05,Amuru,2.95,32.05
2023-02-07,32.9,19.8,0.0,32,40420.94,Amuru,2.95,32.05
2023-02-08,35.7,19.8,0.0,27,40750.42,Amuru,2.95,32.05
2023-02-09,32.8,19.8,0.0,27,40761.31,Amuru,2.95,32.05
2023-02-10,33.2,19.7,0.0,36,40772.32,Amuru,2.95,32.05
2023-02-11,35.5,21.1,0.0,29,39795.0,Amuru,2.95,32.05
2023-02-12,37.7,21.3,0.0,22,40794.67,Amuru,2.95,32.05
2023-02-13,35.4,21.5,0.0,19,40805.96,Amuru,2.95,32.05
2023-02-14,36.1,20.7,0.0,21,38447.92,Amuru,2.95,32.05
2023-02-15,35.5,21.6,0.0,22,31239.27,Amuru,2.95,32.05
2023-02-16,34.1,22.6,0.0,24,33824.28,Amuru,2.95,32.05
2023-02-17,33.8,20.6,0.0,23,37457.41,Amuru,2.95,32.05
2023-02-18,34.3,20.2,0.0,25,34218.07,Amuru,2.95,32.05
2023-02-19,34.0,20.6,0.0,24,38884.07,Amuru,2.95,32.05
2023-02-20,36.3,19.8,0.0,25,39312.41,Amuru,2.95,32.05
2023-02-21,36.1,21.3,0.0,21,40233.83,Amuru,2.95,32.05
2023-02-22,36.1,22.2,0.0,21,31090.34,Amuru,2.95,32.05
2023-02-23,36.0,22.3,0.0,23,37926.15,Amuru,2.95,32.05
2023-02-24,33.8,22.2,0.0,39,39392.86,Amuru,2.95,32.05
2023-02-25,35.0,22.2,0.2,47,34765.12,Amuru,2.95,32.05
2023-02-26,34.8,23.0,0.0,41,33366.3,Amuru,2.95,32.05
2023-02-27,29.7,22.8,6.9,56,36842.64,Amuru,2.95,32.05
2023-02-28,31.5,19.9,0.0,63,32537.16,Amuru,2.95,32.05
2023-03-01,31.1,19.9,6.8,69,28643.87,Amuru,2.95,32.05
2023-03-02,30.2,20.0,0.6,64,35167.95,Amuru,2.95,32.05
2023-03-03,30.4,19.4,8.7,75,33848.5,Amuru,2.95,32.05
2023-03-04,33.2,20.1,0.3,54,36679.49,Amuru,2.95,32.05
2023-03-05,35.2,20.6,0.0,49,40696.69,Amuru,2.95,32.05
2023-03-06,36.7,22.2,0.0,28,40979.94,Amuru,2.95,32.05
2023-03-07,37.3,22.3,0.0,24,32424.93,Amuru,2.95,32.05
2023-03-08,36.4,24.1,0.0,29,38478.45,Amuru,2.95,32.05
2023-03-09,32.8,21.7,1.5,53,39463.09,Amuru,2.95,32.05
