time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,32.0,18.1,0.0,54,40459.07,Apac,1.9847,32.5385
2019-01-02,31.5,17.6,0.0,56,39850.04,Apac,1.9847,32.5385
2019-01-03,33.1,19.9,0.0,55,38669.34,Apac,1.9847,32.5385
2019-01-04,31.7,22.4,0.1,49,26201.96,Apac,1.9847,32.5385
2019-01-05,33.8,20.0,0.0,42,40501.14,Apac,1.9847,32.5385
2019-01-06,34.0,21.4,0.0,43,35736.94,Apac,1.9847,32.5385
2019-01-07,33.4,20.6,0.0,42,40218.26,Apac,1.9847,32.5385
2019-01-08,31.7,19.6,0.0,51,31672.97,Apac,1.9847,32.5385
2019-01-09,32.3,18.3,0.0,56,40052.93,Apac,1.9847,32.5385
2019-01-10,34.5,20.1,0.0,42,34663.88,Apac,1.9847,32.5385
2019-01-11,34.3,20.9,0.0,38,35692.06,Apac,1.9847,32.5385
2019-01-12,34.5,20.0,0.0,27,40674.77,Apac,1.9847,32.5385
2019-01-13,34.7,20.8,0.0,21,40680.15,Apac,1.9847,32.5385
2019-01-14,34.1,21.4,0.0,30,37395.38,Apac,1.9847,32.5385
2019-01-15,33.0,20.4,0.1,51,40571.2,Apac,1.9847,32.5385
2019-01-16,29.8,21.0,10.4,70,36566.21,Apac,1.9847,32.5385
2019-01-17,30.2,19.7,0.0,67,40109.83,Apac,1.9847,32.5385
2019-01-18,29.0,20.2,0.7,68,40397.22,Apac,1.9847,32.5385
2019-01-19,29.9,18.4,0.2,63,40715.29,Apac,1.9847,32.5385
2019-01-20,30.9,18.6,0.0,64,40231.94,Apac,1.9847,32.5385
2019-01-21,30.7,20.6,0.1,60,39591.41,Apac,1.9847,32.5385
2019-01-22,31.9,19.5,0.0,65,40735.64,Apac,1.9847,32.5385
2019-01-23,30.9,20.0,0.1,65,40332.93,Apac,1.9847,32.5385
2019-01-24,31.5,21.1,0.4,66,36543.26,Apac,1.9847,32.5385
