time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,27.5,19.4,1.3,70,27877.37,Arua,3.0191,30.911
2021-01-02,25.4,19.2,0.4,69,30839.16,Arua,3.0191,30.911
2021-01-03,26.7,18.4,0.3,62,39471.52,Arua,3.0191,30.911
2021-01-04,27.4,19.3,0.0,59,39311.29,Arua,3.0191,30.911
2021-01-05,29.8,18.8,0.0,52,40444.69,Arua,3.0191,30.911
2021-01-06,30.1,20.1,0.0,45,40378.92,Arua,3.0191,30.911
2021-01-07,30.5,18.2,0.0,44,40454.66,Arua,3.0191,30.911
2021-01-08,30.8,20.1,0.0,39,40418.83,Arua,3.0191,30.911
2021-01-09,28.5,18.0,0.0,55,39824.65,Arua,3.0191,30.911
2021-01-10,29.4,18.8,0.0,50,36797.86,Arua,3.0191,30.911
2021-01-11,28.2,17.3,0.1,57,39706.23,Arua,3.0191,30.911
2021-01-12,30.1,18.9,0.0,45,33971.39,Arua,3.0191,30.911
2021-01-13,28.8,20.4,0.2,51,39391.21,Arua,3.0191,30.911
2021-01-14,30.8,20.9,0.0,38,35002.42,Arua,3.0191,30.911
2021-01-15,29.8,20.2,0.0,45,34043.05,Arua,3.0191,30.911
2021-01-16,28.7,19.6,0.0,54,39872.49,Arua,3.0191,30.911
2021-01-17,29.4,18.7,0.0,52,39893.54,Arua,3.0191,30.911
2021-01-18,31.6,17.6,0.0,42,40258.8,Arua,3.0191,30.911
2021-01-19,31.2,19.8,0.0,38,38790.89,Arua,3.0191,30.911
2021-01-20,30.8,19.4,0.0,41,40067.42,Arua,3.0191,30.911
2021-01-21,29.9,19.1,0.0,37,39516.64,Arua,3.0191,30.911
2021-01-22,29.8,18.5,0.0,39,39626.78,Arua,3.0191,30.911
2021-01-23,28.3,19.8,0.1,48,39334.4,Arua,3.0191,30.911
2021-01-24,29.7,19.7,0.0,52,39577.62,Arua,3.0191,30.911
2021-01-25,29.8,20.6,0.0,48,39595.34,Arua,3.0191,30.911
2021-01-26,29.8,19.7,0.0,47,40056.61,Arua,3.0191,30.911
