time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,29.1,18.7,3.9,78,33725.29,Budaka,1.0833,33.9333
2024-01-02,30.2,18.0,0.3,72,39370.08,Budaka,1.0833,33.9333
2024-01-03,29.9,18.4,1.2,71,40223.37,Budaka,1.0833,33.9333
2024-01-04,29.9,18.8,0.2,65,40311.43,Budaka,1.0833,33.9333
2024-01-05,28.9,18.2,2.1,74,36797.43,Budaka,1.0833,33.9333
2024-01-06,31.4,17.8,0.0,61,40493.77,Budaka,1.0833,33.9333
2024-01-07,30.6,17.5,0.4,65,40358.91,Budaka,1.0833,33.9333
2024-01-08,32.3,19.5,0.1,60,39991.62,Budaka,1.0833,33.9333
2024-01-09,28.0,19.0,6.3,73,35426.3,Budaka,1.0833,33.9333
2024-01-10,28.4,19.2,0.3,68,26304.29,Budaka,1.0833,33.9333
2024-01-11,30.5,19.2,1.1,66,36978.97,Budaka,1.0833,33.9333
2024-01-12,28.4,18.9,17.6,79,29642.68,Budaka,1.0833,33.9333
2024-01-13,29.1,18.0,0.6,71,36068.29,Budaka,1.0833,33.9333
2024-01-14,29.5,19.3,3.9,75,35491.05,Budaka,1.0833,33.9333
2024-01-15,29.0,19.1,0.6,76,34379.77,Budaka,1.0833,33.9333
2024-01-16,29.8,17.9,0.9,71,40864.83,Budaka,1.0833,33.9333
2024-01-17,28.2,18.0,4.4,75,30505.39,Budaka,1.0833,33.9333
2024-01-18,28.1,19.1,0.2,67,27317.59,Budaka,1.0833,33.9333
2024-01-19,29.2,16.9,1.3,66,38910.51,Budaka,1.0833,33.9333
2024-01-20,31.2,19.9,0.6,62,39757.57,Budaka,1.0833,33.9333
2024-01-21,31.1,17.5,7.6,66,33076.46,Budaka,1.0833,33.9333
2024-01-22,30.4,18.0,6.9,70,40092.9,Budaka,1.0833,33.9333
2024-01-23,28.8,19.6,1.0,69,40899.07,Budaka,1.0833,33.9333
2024-01-24,30.1,18.2,0.6,72,40064.75,Budaka,1.0833,33.9333
2024-01-25,31.6,18.9,0.2,69,40553.7,Budaka,1.0833,33.9333
2024-01-26,29.6,19.1,0.8,75,40794.35,Budaka,1.0833,33.9333
2024-01-27,29.7,18.7,2.1,73,39673.88,Budaka,1.0833,33.9333
2024-01-28,32.0,18.9,0.0,63,40925.85,Budaka,1.0833,33.9333
