time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,24.6,17.6,20.0,83,36152.5,Bududa,1.0,34.3333
2021-01-02,24.7,17.2,11.4,84,36956.18,Bududa,1.0,34.3333
2021-01-03,25.7,17.8,1.6,80,35958.36,Bududa,1.0,34.3333
2021-01-04,27.0,17.4,0.1,73,40695.12,Bududa,1.0,34.3333
2021-01-05,27.1,16.9,0.0,71,40233.29,Bududa,1.0,34.3333
2021-01-06,26.7,17.0,0.6,71,40844.46,Bududa,1.0,34.3333
2021-01-07,28.1,16.6,0.0,66,40641.75,Bududa,1.0,34.3333
2021-01-08,27.4,16.2,0.2,64,40397.78,Bududa,1.0,34.3333
2021-01-09,25.2,17.6,5.6,74,31944.62,Bududa,1.0,34.3333
2021-01-10,24.7,17.5,10.6,81,33696.63,Bududa,1.0,34.3333
2021-01-11,24.7,16.5,2.3,80,38827.25,Bududa,1.0,34.3333
2021-01-12,24.2,16.5,1.4,79,40791.33,Bududa,1.0,34.3333
2021-01-13,27.9,17.0,0.0,69,38929.24,Bududa,1.0,34.3333
2021-01-14,25.5,18.4,5.9,78,40187.23,Bududa,1.0,34.3333
2021-01-15,25.6,17.5,4.2,77,40508.78,Bududa,1.0,34.3333
2021-01-16,23.3,16.7,28.2,83,36719.59,Bududa,1.0,34.3333
2021-01-17,25.3,16.7,3.3,73,40886.31,Bududa,1.0,34.3333
2021-01-18,26.4,17.2,0.6,72,40890.92,Bududa,1.0,34.3333
2021-01-19,26.1,18.4,3.8,73,40895.62,Bududa,1.0,34.3333
2021-01-20,26.6,18.4,1.8,76,39093.52,Bududa,1.0,34.3333
2021-01-21,27.0,18.0,0.2,73,40173.39,Bududa,1.0,34.3333
2021-01-22,26.5,17.9,0.4,72,39668.24,Bududa,1.0,34.3333
2021-01-23,26.7,18.1,3.6,71,40021.81,Bududa,1.0,34.3333
2021-01-24,26.8,17.4,1.6,71,40920.06,Bududa,1.0,34.3333
2021-01-25,27.5,17.1,0.0,70,40925.07,Bududa,1.0,34.3333
2021-01-26,27.7,18.4,0.2,71,40930.09,Bududa,1.0,34.3333
2021-01-27,28.5,17.7,0.3,71,40935.14,Bududa,1.0,34.3333
2021-01-28,29.8,16.8,1.8,64,40940.24,Bududa,1.0,34.3333
2021-01-29,29.5,17.1,0.8,62,40945.48,Bududa,1.0,34.3333
2021-01-30,29.2,18.8,0.0,63,40950.82,Bududa,1.0,34.3333
2021-01-31,29.5,18.6,0.0,63,40956.24,Bududa,1.0,34.3333
2021-02-01,30.1,17.7,0.0,57,40961.74,Bududa,1.0,34.3333
2021-02-02,30.6,16.1,0.0,49,39420.06,Bududa,1.0,34.3333
2021-02-03,29.5,18.1,0.0,58,40972.91,Bududa,1.0,34.3333
2021-02-04,30.0,19.4,0.0,60,40978.56,Bududa,1.0,34.3333
2021-02-05,29.1,18.6,0.5,65,40984.24,Bududa,1.0,34.3333
2021-02-06,27.3,18.7,1.0,70,40989.95,Bududa,1.0,34.3333
2021-02-07,29.5,18.6,0.0,57,40030.78,Bududa,1.0,34.3333
2021-02-08,29.6,19.0,0.0,58,39650.12,Bududa,1.0,34.3333
2021-02-09,28.6,18.4,0.2,58,40154.8,Bududa,1.0,34.3333
2021-02-10,29.1,19.1,6.3,64,39396.3,Bududa,1.0,34.3333
2021-02-11,24.7,19.2,12.9,82,20521.51,Bududa,1.0,34.3333
2021-02-12,29.9,17.9,0.2,67,39524.64,Bududa,1.0,34.3333
2021-02-13,27.5,18.4,8.8,76,35888.32,Bududa,1.0,34.3333
2021-02-14,28.3,18.6,2.6,70,37633.52,Bududa,1.0,34.3333
2021-02-15,28.9,18.3,0.3,67,40794.51,Bududa,1.0,34.3333
2021-02-16,26.7,19.7,12.8,74,36983.42,Bududa,1.0,34.3333
2021-02-17,28.2,18.3,2.5,76,40675.5,Bududa,1.0,34.3333
2021-02-18,27.9,19.4,3.0,74,39673.47,Bududa,1.0,34.3333
2021-02-19,24.8,18.7,1.8,70,40057.2,Bududa,1.0,34.3333
2021-02-20,27.7,17.0,0.1,58,40817.39,Bududa,1.0,34.3333
2021-02-21,28.0,17.6,0.0,55,39787.12,Bududa,1.0,34.3333
2021-02-22,26.5,18.8,0.2,65,31879.57,Bududa,1.0,34.3333
2021-02-23,28.8,17.5,0.1,64,39106.31,Bududa,1.0,34.3333
2021-02-24,28.8,17.1,0.9,63,39178.53,Bududa,1.0,34.3333
2021-02-25,29.9,17.4,0.0,61,40485.41,Bududa,1.0,34.3333
2021-02-26,28.7,18.5,0.7,66,41098.35,Bududa,1.0,34.3333
2021-02-27,27.9,17.9,5.7,67,41103.41,Bududa,1.0,34.3333
2021-02-28,31.6,18.6,0.0,56,41108.42,Bududa,1.0,34.3333
2021-03-01,31.0,19.5,0.2,56,39545.91,Bududa,1.0,34.3333
2021-03-02,31.9,18.6,0.1,56,41118.26,Bududa,1.0,34.3333
2021-03-03,29.4,19.9,13.3,67,40325.86,Bududa,1.0,34.3333
2021-03-04,28.5,19.7,5.0,69,40570.45,Bududa,1.0,34.3333
2021-03-05,28.6,17.8,19.1,72,41132.54,Bududa,1.0,34.3333
2021-03-06,27.3,18.0,3.6,75,40962.27,Bududa,1.0,34.3333
2021-03-07,26.6,18.3,7.0,75,41141.69,Bududa,1.0,34.3333
2021-03-08,25.5,18.1,6.0,77,36668.96,Bududa,1.0,34.3333
2021-03-09,26.6,18.1,0.9,75,39915.57,Bududa,1.0,34.3333
2021-03-10,29.0,18.5,1.1,70,41154.36,Bududa,1.0,34.3333
2021-03-11,30.9,17.4,0.0,58,41158.33,Bududa,1.0,34.3333
2021-03-12,31.8,18.4,0.0,53,40444.57,Bududa,1.0,34.3333
2021-03-13,32.3,18.0,0.0,46,41166.09,Bududa,1.0,34.3333
2021-03-14,30.0,19.5,0.5,54,41169.89,Bududa,1.0,34.3333
2021-03-15,30.9,18.9,0.5,60,40495.7,Bududa,1.0,34.3333
2021-03-16,27.2,18.2,0.2,65,36107.96,Bududa,1.0,34.3333
2021-03-17,27.4,18.4,8.4,69,37166.55,Bududa,1.0,34.3333
2021-03-18,24.9,16.7,5.0,77,33159.07,Bududa,1.0,34.3333
2021-03-19,28.5,17.1,1.1,67,40451.48,Bududa,1.0,34.3333
2021-03-20,28.4,18.4,0.7,67,41065.35,Bududa,1.0,34.3333
2021-03-21,28.2,17.6,3.2,69,40719.77,Bududa,1.0,34.3333
2021-03-22,28.2,18.2,5.6,67,35920.93,Bududa,1.0,34.3333
2021-03-23,29.7,18.1,0.0,62,39496.91,Bududa,1.0,34.3333
2021-03-24,29.9,17.4,1.4,62,41204.32,Bududa,1.0,34.3333
2021-03-25,31.3,18.2,0.0,57,41207.34,Bududa,1.0,34.3333
2021-03-26,31.0,17.0,1.2,58,39790.39,Bududa,1.0,34.3333
2021-03-27,23.8,17.6,2.1,78,18494.64,Bududa,1.0,34.3333
2021-03-28,27.2,18.0,1.9,67,39821.07,Bududa,1.0,34.3333
2021-03-29,26.7,18.3,8.1,72,39517.07,Bududa,1.0,34.3333
2021-03-30,23.5,17.6,8.7,83,26338.81,Bududa,1.0,34.3333
2021-03-31,24.1,17.6,18.1,83,37378.82,Bududa,1.0,34.3333
2021-04-01,26.5,17.2,10.4,80,41013.35,Bududa,1.0,34.3333
2021-04-02,24.3,17.9,6.2,82,35265.65,Bududa,1.0,34.3333
2021-04-03,26.1,17.8,19.1,80,34989.51,Bududa,1.0,34.3333
2021-04-04,25.9,18.1,17.5,80,36822.67,Bududa,1.0,34.3333
2021-04-05,25.7,17.4,16.6,80,33387.95,Bududa,1.0,34.3333
2021-04-06,24.8,18.0,9.6,80,34078.15,Bududa,1.0,34.3333
2021-04-07,26.1,16.8,12.5,76,40568.74,Bududa,1.0,34.3333
2021-04-08,25.5,17.9,12.2,79,28140.8,Bududa,1.0,34.3333
2021-04-09,25.7,18.4,4.7,78,39859.96,Bududa,1.0,34.3333
2021-04-10,26.4,18.1,12.5,78,40090.93,Bududa,1.0,34.3333
2021-04-11,25.3,17.6,11.0,80,38108.12,Bududa,1.0,34.3333
2021-04-12,24.2,18.0,38.0,84,25547.26,Bududa,1.0,34.3333
2021-04-13,24.6,17.7,75.8,87,14939.22,Bududa,1.0,34.3333
2021-04-14,26.0,17.7,3.8,78,40965.56,Bududa,1.0,34.3333
2021-04-15,27.0,18.6,1.5,74,40859.87,Bududa,1.0,34.3333
2021-04-16,26.5,19.0,5.9,75,38404.4,Bududa,1.0,34.3333
2021-04-17,25.5,17.8,7.0,78,38284.79,Bududa,1.0,34.3333
2021-04-18,25.8,16.9,4.1,80,39600.0,Bududa,1.0,34.3333
2021-04-19,25.3,17.9,8.2,82,37189.04,Bududa,1.0,34.3333
