time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2020-01-01,27.9,17.2,0.0,78,40917.6,Bugiri,0.5714,33.7412
2020-01-02,27.8,16.6,0.0,74,40719.01,Bugiri,0.5714,33.7412
2020-01-03,28.1,17.0,0.0,72,40470.42,Bugiri,0.5714,33.7412
2020-01-04,27.9,16.1,0.2,75,40217.84,Bugiri,0.5714,33.7412
2020-01-05,27.4,18.3,12.3,83,40772.13,Bugiri,0.5714,33.7412
2020-01-06,26.2,18.6,19.5,84,36529.87,Bugiri,0.5714,33.7412
2020-01-07,27.4,17.0,0.3,78,40732.09,Bugiri,0.5714,33.7412
2020-01-08,26.8,19.0,10.3,84,40357.0,Bugiri,0.5714,33.7412
2020-01-09,26.0,17.6,6.7,85,40935.16,Bugiri,0.5714,33.7412
2020-01-10,26.0,18.2,2.6,85,40913.36,Bugiri,0.5714,33.7412
2020-01-11,27.1,17.7,2.9,85,40940.48,Bugiri,0.5714,33.7412
2020-01-12,26.9,18.6,3.2,78,40636.12,Bugiri,0.5714,33.7412
2020-01-13,25.7,18.4,0.4,80,37726.74,Bugiri,0.5714,33.7412
2020-01-14,28.9,16.0,0.0,74,40949.14,Bugiri,0.5714,33.7412
2020-01-15,28.4,16.0,0.0,77,40952.5,Bugiri,0.5714,33.7412
2020-01-16,28.2,18.4,0.5,77,40815.56,Bugiri,0.5714,33.7412
2020-01-17,28.8,19.0,0.0,78,40959.6,Bugiri,0.5714,33.7412
2020-01-18,29.1,18.9,0.3,79,40963.31,Bugiri,0.5714,33.7412
2020-01-19,29.0,17.9,0.0,74,40312.89,Bugiri,0.5714,33.7412
2020-01-20,28.9,15.4,0.0,70,40971.03,Bugiri,0.5714,33.7412
2020-01-21,29.3,16.9,0.0,62,40975.0,Bugiri,0.5714,33.7412
2020-01-22,29.7,16.2,0.0,61,40979.05,Bugiri,0.5714,33.7412
2020-01-23,29.6,16.2,0.0,63,40921.82,Bugiri,0.5714,33.7412
2020-01-24,28.5,19.4,0.1,64,36633.11,Bugiri,0.5714,33.7412
2020-01-25,28.1,19.9,0.0,72,19466.27,Bugiri,0.5714,33.7412
2020-01-26,26.8,19.5,2.2,80,27655.43,Bugiri,0.5714,33.7412
2020-01-27,25.2,19.2,38.8,86,25026.76,Bugiri,0.5714,33.7412
2020-01-28,24.3,18.5,19.0,87,20590.15,Bugiri,0.5714,33.7412
2020-01-29,24.5,18.6,28.2,88,12186.86,Bugiri,0.5714,33.7412
2020-01-30,24.8,18.2,3.1,86,25770.94,Bugiri,0.5714,33.7412
2020-01-31,24.0,18.2,16.0,89,24177.46,Bugiri,0.5714,33.7412
2020-02-01,24.9,16.5,5.3,86,38227.16,Bugiri,0.5714,33.7412
2020-02-02,26.7,17.7,0.1,79,39679.95,Bugiri,0.5714,33.7412
2020-02-03,26.1,18.1,11.6,84,39694.72,Bugiri,0.5714,33.7412
2020-02-04,26.1,17.9,14.7,86,39688.17,Bugiri,0.5714,33.7412
2020-02-05,25.5,18.4,17.0,87,38331.7,Bugiri,0.5714,33.7412
2020-02-06,25.8,18.1,17.6,85,38465.81,Bugiri,0.5714,33.7412
2020-02-07,27.8,17.1,0.2,79,41047.22,Bugiri,0.5714,33.7412
2020-02-08,28.3,17.2,0.3,76,41051.64,Bugiri,0.5714,33.7412
2020-02-09,27.8,16.9,0.0,69,41056.07,Bugiri,0.5714,33.7412
2020-02-10,28.6,16.1,0.0,68,41060.51,Bugiri,0.5714,33.7412
2020-02-11,28.7,15.7,0.0,74,41064.96,Bugiri,0.5714,33.7412
2020-02-12,28.1,17.7,0.5,79,41069.39,Bugiri,0.5714,33.7412
2020-02-13,27.8,18.5,0.3,77,41073.8,Bugiri,0.5714,33.7412
2020-02-14,28.2,18.1,0.2,75,39843.47,Bugiri,0.5714,33.7412
2020-02-15,27.7,18.4,1.3,78,41082.55,Bugiri,0.5714,33.7412
2020-02-16,28.6,18.2,0.0,75,41086.88,Bugiri,0.5714,33.7412
2020-02-17,29.6,20.4,4.6,78,41091.16,Bugiri,0.5714,33.7412
2020-02-18,27.4,19.5,5.9,81,41095.39,Bugiri,0.5714,33.7412
2020-02-19,27.8,18.6,3.6,83,41099.58,Bugiri,0.5714,33.7412
2020-02-20,28.3,18.7,1.5,80,41103.7,Bugiri,0.5714,33.7412
2020-02-21,27.7,19.1,2.7,80,41107.76,Bugiri,0.5714,33.7412
2020-02-22,29.4,19.5,0.0,79,41111.76,Bugiri,0.5714,33.7412
2020-02-23,29.7,18.9,2.5,76,39932.37,Bugiri,0.5714,33.7412
2020-02-24,29.3,20.4,0.0,73,37119.11,Bugiri,0.5714,33.7412
2020-02-25,26.9,20.0,0.8,82,27477.1,Bugiri,0.5714,33.7412
2020-02-26,29.0,19.9,1.1,74,29490.87,Bugiri,0.5714,33.7412
2020-02-27,28.2,20.1,10.6,82,27790.87,Bugiri,0.5714,33.7412
2020-02-28,26.8,19.1,23.4,86,34902.93,Bugiri,0.5714,33.7412
2020-02-29,27.7,19.7,7.0,82,39040.92,Bugiri,0.5714,33.7412
2020-03-01,27.4,20.3,4.6,82,35260.71,Bugiri,0.5714,33.7412
2020-03-02,26.8,19.0,9.4,86,35270.35,Bugiri,0.5714,33.7412
2020-03-03,27.2,19.0,8.8,86,35139.07,Bugiri,0.5714,33.7412
2020-03-04,25.8,19.0,16.9,89,32718.67,Bugiri,0.5714,33.7412
2020-03-05,28.5,18.6,0.0,77,40477.71,Bugiri,0.5714,33.7412
2020-03-06,28.1,18.1,2.7,80,41157.14,Bugiri,0.5714,33.7412
2020-03-07,28.4,19.2,0.1,79,41160.25,Bugiri,0.5714,33.7412
2020-03-08,27.3,19.3,18.8,85,32066.48,Bugiri,0.5714,33.7412
2020-03-09,26.3,19.4,16.8,86,24682.59,Bugiri,0.5714,33.7412
2020-03-10,26.2,18.7,13.4,87,31150.9,Bugiri,0.5714,33.7412
2020-03-11,27.1,18.8,7.7,85,40940.67,Bugiri,0.5714,33.7412
2020-03-12,26.6,18.9,3.5,84,28549.08,Bugiri,0.5714,33.7412
2020-03-13,26.5,19.4,13.5,85,34238.31,Bugiri,0.5714,33.7412
2020-03-14,27.2,18.8,0.7,83,41103.75,Bugiri,0.5714,33.7412
2020-03-15,27.5,19.4,0.4,82,40883.89,Bugiri,0.5714,33.7412
2020-03-16,26.3,19.2,12.9,88,34043.53,Bugiri,0.5714,33.7412
2020-03-17,28.4,18.8,6.5,83,39939.33,Bugiri,0.5714,33.7412
2020-03-18,27.1,19.5,26.1,87,36110.77,Bugiri,0.5714,33.7412
2020-03-19,26.0,18.8,7.4,87,32993.49,Bugiri,0.5714,33.7412
2020-03-20,27.9,18.9,0.7,83,40593.56,Bugiri,0.5714,33.7412
2020-03-21,29.1,19.3,0.7,80,41193.89,Bugiri,0.5714,33.7412
2020-03-22,27.4,18.8,1.3,79,41101.94,Bugiri,0.5714,33.7412
2020-03-23,27.2,18.5,8.7,85,40292.86,Bugiri,0.5714,33.7412
2020-03-24,26.7,19.0,10.2,85,40077.32,Bugiri,0.5714,33.7412
2020-03-25,25.7,19.0,28.4,87,34049.93,Bugiri,0.5714,33.7412
2020-03-26,26.7,19.3,3.2,83,27497.26,Bugiri,0.5714,33.7412
2020-03-27,24.2,19.6,21.9,86,18100.87,Bugiri,0.5714,33.7412
