time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,27.1,17.5,6.3,83,39457.09,Bugweri,0.5785,33.5378
2024-01-02,27.9,18.1,1.1,83,35290.02,Bugweri,0.5785,33.5378
2024-01-03,27.2,18.5,6.5,79,40079.99,Bugweri,0.5785,33.5378
2024-01-04,27.5,17.8,2.0,78,40753.55,Bugweri,0.5785,33.5378
2024-01-05,26.7,18.0,18.0,82,38703.54,Bugweri,0.5785,33.5378
2024-01-06,28.8,17.3,0.0,72,40927.78,Bugweri,0.5785,33.5378
2024-01-07,29.4,17.3,0.3,72,39737.9,Bugweri,0.5785,33.5378
2024-01-08,29.4,19.2,0.3,71,38469.85,Bugweri,0.5785,33.5378
2024-01-09,26.6,18.4,17.5,82,34400.15,Bugweri,0.5785,33.5378
2024-01-10,26.6,19.5,4.1,79,26677.55,Bugweri,0.5785,33.5378
2024-01-11,27.8,18.2,9.3,82,37029.0,Bugweri,0.5785,33.5378
2024-01-12,26.6,19.3,12.8,84,30889.07,Bugweri,0.5785,33.5378
2024-01-13,25.9,17.8,1.4,82,35721.84,Bugweri,0.5785,33.5378
2024-01-14,27.2,19.7,12.3,85,26954.19,Bugweri,0.5785,33.5378
2024-01-15,27.1,18.7,2.8,81,25670.71,Bugweri,0.5785,33.5378
2024-01-16,27.5,17.8,6.3,78,38135.02,Bugweri,0.5785,33.5378
2024-01-17,27.1,17.8,2.6,79,32242.9,Bugweri,0.5785,33.5378
2024-01-18,25.5,19.1,7.1,82,27067.79,Bugweri,0.5785,33.5378
2024-01-19,28.5,16.3,0.1,74,38270.66,Bugweri,0.5785,33.5378
2024-01-20,29.4,18.8,0.9,68,40971.18,Bugweri,0.5785,33.5378
2024-01-21,29.9,17.8,0.0,68,30404.93,Bugweri,0.5785,33.5378
2024-01-22,28.7,18.1,0.1,76,39629.2,Bugweri,0.5785,33.5378
