time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,23.1,16.1,0.8,59,23757.65,Buhweju,-0.3142,30.3717
2025-01-02,24.7,14.3,0.0,55,38349.57,Buhweju,-0.3142,30.3717
2025-01-03,23.8,15.3,0.1,62,32565.85,Buhweju,-0.3142,30.3717
2025-01-04,23.9,15.2,0.4,60,41108.11,Buhweju,-0.3142,30.3717
2025-01-05,24.6,15.4,0.9,62,39341.1,Buhweju,-0.3142,30.3717
2025-01-06,24.5,14.4,0.3,56,31346.23,Buhweju,-0.3142,30.3717
2025-01-07,24.3,15.6,0.5,60,38218.39,Buhweju,-0.3142,30.3717
2025-01-08,22.5,13.9,0.6,70,41112.88,Buhweju,-0.3142,30.3717
2025-01-09,24.1,14.3,0.9,66,41114.48,Buhweju,-0.3142,30.3717
2025-01-10,23.8,15.1,0.3,65,37971.46,Buhweju,-0.3142,30.3717
2025-01-11,22.1,15.3,10.0,68,33268.98,Buhweju,-0.3142,30.3717
2025-01-12,22.2,14.6,0.2,70,32417.31,Buhweju,-0.3142,30.3717
2025-01-13,23.4,15.1,1.4,64,41121.46,Buhweju,-0.3142,30.3717
2025-01-14,24.7,15.2,1.1,61,40776.17,Buhweju,-0.3142,30.3717
2025-01-15,25.7,14.3,0.0,57,41125.21,Buhweju,-0.3142,30.3717
2025-01-16,22.9,14.0,0.7,60,41127.13,Buhweju,-0.3142,30.3717
2025-01-17,24.8,15.3,0.0,53,40880.62,Buhweju,-0.3142,30.3717
2025-01-18,24.7,15.3,0.0,57,27087.96,Buhweju,-0.3142,30.3717
2025-01-19,23.9,16.1,0.4,58,32400.0,Buhweju,-0.3142,30.3717
2025-01-20,23.1,14.4,0.2,70,40156.88,Buhweju,-0.3142,30.3717
2025-01-21,22.5,13.2,2.7,77,34445.3,Buhweju,-0.3142,30.3717
2025-01-22,21.2,14.3,27.0,79,35777.59,Buhweju,-0.3142,30.3717
2025-01-23,22.1,13.4,7.1,78,32472.05,Buhweju,-0.3142,30.3717
2025-01-24,22.5,14.4,0.5,72,40450.77,Buhweju,-0.3142,30.3717
2025-01-25,21.6,12.9,0.1,78,40926.18,Buhweju,-0.3142,30.3717
2025-01-26,21.6,14.2,0.7,74,37538.55,Buhweju,-0.3142,30.3717
2025-01-27,21.9,14.2,0.1,73,41058.74,Buhweju,-0.3142,30.3717
2025-01-28,21.8,13.9,0.1,62,34695.53,Buhweju,-0.3142,30.3717
2025-01-29,21.8,13.9,0.1,65,30928.78,Buhweju,-0.3142,30.3717
2025-01-30,23.8,14.9,0.6,64,34195.98,Buhweju,-0.3142,30.3717
2025-01-31,22.5,14.4,0.1,68,41156.5,Buhweju,-0.3142,30.3717
