time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,25.7,15.3,0.0,76,40974.8,Buikwe,0.3292,33.0806
2023-01-02,26.8,17.5,0.0,67,40976.48,Buikwe,0.3292,33.0806
2023-01-03,25.8,17.7,0.0,70,40978.27,Buikwe,0.3292,33.0806
2023-01-04,25.6,17.6,0.4,72,40980.17,Buikwe,0.3292,33.0806
2023-01-05,26.1,17.4,0.0,69,40982.17,Buikwe,0.3292,33.0806
2023-01-06,27.2,16.1,0.0,65,40984.26,Buikwe,0.3292,33.0806
2023-01-07,28.9,16.6,0.0,61,40986.45,Buikwe,0.3292,33.0806
2023-01-08,27.1,16.7,0.1,72,40988.72,Buikwe,0.3292,33.0806
2023-01-09,26.2,17.2,0.5,78,39734.39,Buikwe,0.3292,33.0806
2023-01-10,23.5,17.7,14.2,85,28269.66,Buikwe,0.3292,33.0806
2023-01-11,25.6,17.0,0.6,79,39784.86,Buikwe,0.3292,33.0806
2023-01-12,24.8,18.0,1.9,83,37122.57,Buikwe,0.3292,33.0806
2023-01-13,24.3,18.3,4.0,83,41001.15,Buikwe,0.3292,33.0806
2023-01-14,24.9,16.1,2.1,83,41003.8,Buikwe,0.3292,33.0806
2023-01-15,26.6,17.7,0.6,80,41006.51,Buikwe,0.3292,33.0806
2023-01-16,25.5,17.5,0.2,76,41009.25,Buikwe,0.3292,33.0806
2023-01-17,26.0,17.4,0.2,71,41012.03,Buikwe,0.3292,33.0806
2023-01-18,27.0,17.5,0.8,75,41014.95,Buikwe,0.3292,33.0806
2023-01-19,27.1,18.1,0.8,75,41018.12,Buikwe,0.3292,33.0806
2023-01-20,27.5,17.9,0.1,77,39599.89,Buikwe,0.3292,33.0806
2023-01-21,28.1,17.0,0.1,71,41024.71,Buikwe,0.3292,33.0806
2023-01-22,25.5,18.2,4.8,78,39169.91,Buikwe,0.3292,33.0806
2023-01-23,26.5,17.4,2.0,80,37564.66,Buikwe,0.3292,33.0806
2023-01-24,26.0,17.8,4.5,80,39761.73,Buikwe,0.3292,33.0806
2023-01-25,27.1,17.3,0.1,70,41038.71,Buikwe,0.3292,33.0806
2023-01-26,28.1,16.1,0.0,74,41042.33,Buikwe,0.3292,33.0806
2023-01-27,27.7,17.6,0.1,72,41045.97,Buikwe,0.3292,33.0806
2023-01-28,28.3,18.3,0.0,67,41049.65,Buikwe,0.3292,33.0806
2023-01-29,27.4,16.6,0.1,69,41053.33,Buikwe,0.3292,33.0806
2023-01-30,28.4,16.8,1.3,73,41057.03,Buikwe,0.3292,33.0806
2023-01-31,28.4,15.9,0.0,73,41060.72,Buikwe,0.3292,33.0806
2023-02-01,27.2,17.5,1.8,80,39855.11,Buikwe,0.3292,33.0806
2023-02-02,29.5,17.3,0.1,73,40773.42,Buikwe,0.3292,33.0806
2023-02-03,28.0,16.8,3.0,80,41071.74,Buikwe,0.3292,33.0806
2023-02-04,27.4,17.6,0.0,77,41075.36,Buikwe,0.3292,33.0806
2023-02-05,28.5,17.5,0.3,73,41078.95,Buikwe,0.3292,33.0806
2023-02-06,27.6,18.3,1.2,77,41082.51,Buikwe,0.3292,33.0806
2023-02-07,27.1,18.1,1.1,79,41086.0,Buikwe,0.3292,33.0806
2023-02-08,25.7,19.0,0.4,81,41089.47,Buikwe,0.3292,33.0806
2023-02-09,25.0,18.9,5.3,82,36167.63,Buikwe,0.3292,33.0806
2023-02-10,26.8,18.1,0.3,76,41096.48,Buikwe,0.3292,33.0806
2023-02-11,28.3,19.0,0.0,72,41099.98,Buikwe,0.3292,33.0806
2023-02-12,29.0,18.4,0.0,68,41103.5,Buikwe,0.3292,33.0806
2023-02-13,30.1,18.1,0.0,62,41107.0,Buikwe,0.3292,33.0806
2023-02-14,27.6,17.5,0.1,65,41110.48,Buikwe,0.3292,33.0806
2023-02-15,28.4,18.4,2.2,74,41113.94,Buikwe,0.3292,33.0806
2023-02-16,29.5,19.4,0.0,58,40271.65,Buikwe,0.3292,33.0806
2023-02-17,27.6,17.5,4.8,72,38723.58,Buikwe,0.3292,33.0806
2023-02-18,29.7,19.7,0.0,63,41124.12,Buikwe,0.3292,33.0806
2023-02-19,28.8,17.4,0.0,63,41127.43,Buikwe,0.3292,33.0806
2023-02-20,29.5,18.0,0.0,62,41130.69,Buikwe,0.3292,33.0806
2023-02-21,29.4,19.3,0.1,70,38648.98,Buikwe,0.3292,33.0806
2023-02-22,28.5,21.3,1.6,75,31443.47,Buikwe,0.3292,33.0806
2023-02-23,26.6,20.1,8.7,79,40755.18,Buikwe,0.3292,33.0806
2023-02-24,27.7,21.0,0.2,76,41143.16,Buikwe,0.3292,33.0806
2023-02-25,27.7,18.2,16.4,77,30256.1,Buikwe,0.3292,33.0806
2023-02-26,26.9,19.4,5.4,78,37384.0,Buikwe,0.3292,33.0806
2023-02-27,26.1,19.2,9.4,84,21747.37,Buikwe,0.3292,33.0806
2023-02-28,25.5,18.0,5.9,88,27800.19,Buikwe,0.3292,33.0806
2023-03-01,24.3,18.0,16.9,87,32129.95,Buikwe,0.3292,33.0806
2023-03-02,24.2,18.1,6.8,86,35203.21,Buikwe,0.3292,33.0806
2023-03-03,24.6,17.6,9.3,86,27769.11,Buikwe,0.3292,33.0806
2023-03-04,26.1,18.4,2.3,82,34973.27,Buikwe,0.3292,33.0806
2023-03-05,27.6,18.8,3.9,78,39859.19,Buikwe,0.3292,33.0806
2023-03-06,28.5,18.7,0.0,72,41168.24,Buikwe,0.3292,33.0806
2023-03-07,28.5,17.6,2.2,71,41170.4,Buikwe,0.3292,33.0806
2023-03-08,29.6,17.9,0.0,68,41172.5,Buikwe,0.3292,33.0806
2023-03-09,28.8,19.2,1.2,72,39032.75,Buikwe,0.3292,33.0806
2023-03-10,26.0,17.9,16.0,81,27886.68,Buikwe,0.3292,33.0806
2023-03-11,25.3,17.9,0.8,84,31418.58,Buikwe,0.3292,33.0806
2023-03-12,21.1,17.3,40.6,93,10013.31,Buikwe,0.3292,33.0806
2023-03-13,25.2,16.4,6.5,83,37946.86,Buikwe,0.3292,33.0806
2023-03-14,23.5,16.1,41.9,93,8352.71,Buikwe,0.3292,33.0806
2023-03-15,25.0,15.9,0.5,88,23589.52,Buikwe,0.3292,33.0806
2023-03-16,24.1,16.1,1.3,84,33461.85,Buikwe,0.3292,33.0806
