time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2018-01-01,29.3,20.4,0.3,65,40041.93,Bukedea,1.35,34.05
2018-01-02,29.8,19.0,0.0,55,39156.82,Bukedea,1.35,34.05
2018-01-03,31.5,19.1,0.0,52,32343.58,Bukedea,1.35,34.05
2018-01-04,31.5,21.0,0.0,52,37257.51,Bukedea,1.35,34.05
2018-01-05,30.7,18.3,0.0,53,39397.3,Bukedea,1.35,34.05
2018-01-06,31.9,18.0,0.0,43,30336.97,Bukedea,1.35,34.05
2018-01-07,33.0,17.4,0.0,37,40242.34,Bukedea,1.35,34.05
2018-01-08,31.3,18.5,0.0,40,32675.98,Bukedea,1.35,34.05
2018-01-09,33.0,16.6,0.0,37,37376.12,Bukedea,1.35,34.05
2018-01-10,31.3,18.9,0.0,40,37407.84,Bukedea,1.35,34.05
2018-01-11,33.1,18.8,0.0,48,39474.95,Bukedea,1.35,34.05
2018-01-12,33.2,19.2,0.0,52,31880.31,Bukedea,1.35,34.05
2018-01-13,31.9,19.6,0.0,60,31688.76,Bukedea,1.35,34.05
2018-01-14,34.2,19.7,0.0,54,39987.39,Bukedea,1.35,34.05
2018-01-15,33.0,20.6,0.0,50,39849.27,Bukedea,1.35,34.05
2018-01-16,32.4,19.1,0.1,55,40816.2,Bukedea,1.35,34.05
2018-01-17,33.2,17.8,0.0,47,40411.13,Bukedea,1.35,34.05
2018-01-18,32.7,17.6,0.0,48,40516.44,Bukedea,1.35,34.05
2018-01-19,32.1,18.1,0.0,51,40831.59,Bukedea,1.35,34.05
2018-01-20,32.1,20.0,0.0,48,39757.49,Bukedea,1.35,34.05
2018-01-21,33.6,18.2,0.0,48,40719.88,Bukedea,1.35,34.05
2018-01-22,33.9,17.4,0.0,45,40847.66,Bukedea,1.35,34.05
2018-01-23,33.6,18.4,0.0,41,35095.6,Bukedea,1.35,34.05
2018-01-24,31.3,20.0,0.1,55,40440.1,Bukedea,1.35,34.05
2018-01-25,31.2,18.6,0.3,63,40864.51,Bukedea,1.35,34.05
2018-01-26,31.3,19.5,0.0,63,40197.19,Bukedea,1.35,34.05
2018-01-27,32.6,17.1,0.0,51,40876.53,Bukedea,1.35,34.05
2018-01-28,33.9,20.4,0.0,53,40882.71,Bukedea,1.35,34.05
2018-01-29,31.2,18.6,0.0,62,40888.99,Bukedea,1.35,34.05
2018-01-30,33.4,18.3,0.0,51,40895.36,Bukedea,1.35,34.05
2018-01-31,33.7,18.8,0.0,48,39752.66,Bukedea,1.35,34.05
2018-02-01,34.9,18.0,0.0,44,39116.19,Bukedea,1.35,34.05
2018-02-02,34.6,19.1,0.0,44,39739.5,Bukedea,1.35,34.05
2018-02-03,35.9,18.9,0.0,28,40921.5,Bukedea,1.35,34.05
2018-02-04,35.6,19.0,0.0,35,28141.61,Bukedea,1.35,34.05
2018-02-05,34.6,20.9,0.0,34,39851.84,Bukedea,1.35,34.05
2018-02-06,33.9,22.3,0.0,31,36871.35,Bukedea,1.35,34.05
2018-02-07,35.0,20.2,0.0,36,35842.28,Bukedea,1.35,34.05
2018-02-08,35.2,19.2,0.0,38,40954.8,Bukedea,1.35,34.05
2018-02-09,36.2,19.9,0.0,24,40961.45,Bukedea,1.35,34.05
2018-02-10,36.2,19.0,0.0,41,40968.07,Bukedea,1.35,34.05
2018-02-11,35.6,18.8,0.0,31,40974.66,Bukedea,1.35,34.05
2018-02-12,34.4,19.5,0.0,32,39488.71,Bukedea,1.35,34.05
2018-02-13,36.2,19.6,0.0,31,40987.65,Bukedea,1.35,34.05
2018-02-14,35.6,20.5,0.0,33,40994.04,Bukedea,1.35,34.05
2018-02-15,36.1,21.1,0.0,30,40377.4,Bukedea,1.35,34.05
2018-02-16,36.1,20.9,0.0,31,35077.53,Bukedea,1.35,34.05
2018-02-17,35.1,20.9,0.0,32,33747.47,Bukedea,1.35,34.05
