time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,26.3,16.6,0.7,81,41075.3,Bukomansimbi,-0.15,31.65
2019-01-02,27.4,16.3,0.4,77,41076.56,Bukomansimbi,-0.15,31.65
2019-01-03,28.9,18.3,0.3,74,39821.97,Bukomansimbi,-0.15,31.65
2019-01-04,26.6,18.1,2.2,81,41079.31,Bukomansimbi,-0.15,31.65
2019-01-05,28.3,18.1,0.9,76,41080.79,Bukomansimbi,-0.15,31.65
2019-01-06,27.6,19.4,7.6,73,39495.0,Bukomansimbi,-0.15,31.65
2019-01-07,30.3,19.5,0.4,68,38709.98,Bukomansimbi,-0.15,31.65
2019-01-08,27.9,16.1,0.7,74,41085.58,Bukomansimbi,-0.15,31.65
2019-01-09,28.0,18.9,0.3,74,38774.05,Bukomansimbi,-0.15,31.65
2019-01-10,28.7,17.3,1.2,72,41089.04,Bukomansimbi,-0.15,31.65
2019-01-11,29.4,17.6,0.0,67,41090.83,Bukomansimbi,-0.15,31.65
2019-01-12,29.0,16.8,0.6,67,41092.64,Bukomansimbi,-0.15,31.65
2019-01-13,30.5,16.1,0.0,66,41094.49,Bukomansimbi,-0.15,31.65
2019-01-14,30.2,18.4,0.0,58,41096.37,Bukomansimbi,-0.15,31.65
2019-01-15,26.9,18.8,6.0,74,34658.47,Bukomansimbi,-0.15,31.65
2019-01-16,23.9,17.9,7.3,85,18457.71,Bukomansimbi,-0.15,31.65
2019-01-17,26.9,17.7,3.3,80,37955.4,Bukomansimbi,-0.15,31.65
2019-01-18,26.7,17.6,2.4,78,26996.98,Bukomansimbi,-0.15,31.65
2019-01-19,27.4,17.1,5.4,80,38494.54,Bukomansimbi,-0.15,31.65
2019-01-20,27.4,16.1,3.8,82,39771.74,Bukomansimbi,-0.15,31.65
2019-01-21,28.4,18.9,3.3,78,35996.03,Bukomansimbi,-0.15,31.65
2019-01-22,27.9,17.0,2.4,82,40915.12,Bukomansimbi,-0.15,31.65
2019-01-23,26.6,17.8,0.7,83,38861.44,Bukomansimbi,-0.15,31.65
2019-01-24,27.6,18.1,1.4,80,35911.18,Bukomansimbi,-0.15,31.65
2019-01-25,27.9,17.3,0.2,80,31778.44,Bukomansimbi,-0.15,31.65
2019-01-26,28.6,17.6,0.1,74,39044.84,Bukomansimbi,-0.15,31.65
2019-01-27,30.0,16.1,0.0,73,39805.07,Bukomansimbi,-0.15,31.65
2019-01-28,29.1,16.0,1.1,76,41127.46,Bukomansimbi,-0.15,31.65
2019-01-29,30.0,16.8,0.0,71,40692.16,Bukomansimbi,-0.15,31.65
2019-01-30,28.8,17.3,0.3,71,40294.84,Bukomansimbi,-0.15,31.65
2019-01-31,31.1,16.5,0.0,64,41134.81,Bukomansimbi,-0.15,31.65
2019-02-01,29.0,16.8,0.6,69,40836.82,Bukomansimbi,-0.15,31.65
2019-02-02,30.0,17.3,0.1,62,40842.64,Bukomansimbi,-0.15,31.65
2019-02-03,31.1,16.8,0.0,65,41141.98,Bukomansimbi,-0.15,31.65
2019-02-04,30.2,16.9,0.6,65,41144.3,Bukomansimbi,-0.15,31.65
2019-02-05,30.6,19.4,0.5,61,39642.86,Bukomansimbi,-0.15,31.65
2019-02-06,30.7,19.3,0.1,69,40495.95,Bukomansimbi,-0.15,31.65
2019-02-07,27.3,19.2,0.6,75,37362.89,Bukomansimbi,-0.15,31.65
2019-02-08,30.4,17.2,0.2,74,28722.18,Bukomansimbi,-0.15,31.65
2019-02-09,30.8,19.5,1.9,71,35430.71,Bukomansimbi,-0.15,31.65
2019-02-10,31.6,19.7,0.2,67,39538.48,Bukomansimbi,-0.15,31.65
2019-02-11,28.4,19.8,1.4,72,39034.54,Bukomansimbi,-0.15,31.65
2019-02-12,29.4,19.2,0.5,74,39375.64,Bukomansimbi,-0.15,31.65
2019-02-13,32.2,17.8,0.0,61,40981.39,Bukomansimbi,-0.15,31.65
2019-02-14,30.8,19.7,0.0,53,40978.74,Bukomansimbi,-0.15,31.65
2019-02-15,30.9,20.0,0.2,48,39613.65,Bukomansimbi,-0.15,31.65
