time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2022-01-01,26.3,15.7,0.0,45,39316.77,Bukwo,1.2925,34.7425
2022-01-02,28.5,13.1,0.0,42,39291.05,Bukwo,1.2925,34.7425
2022-01-03,28.5,14.4,0.0,36,40777.95,Bukwo,1.2925,34.7425
2022-01-04,26.8,13.5,0.0,36,40646.98,Bukwo,1.2925,34.7425
2022-01-05,26.6,14.2,0.0,37,32616.02,Bukwo,1.2925,34.7425
2022-01-06,26.2,13.6,0.0,42,39021.36,Bukwo,1.2925,34.7425
2022-01-07,26.9,15.5,0.0,47,37300.11,Bukwo,1.2925,34.7425
2022-01-08,28.3,14.7,0.0,37,39146.56,Bukwo,1.2925,34.7425
2022-01-09,27.4,13.9,0.0,33,40798.3,Bukwo,1.2925,34.7425
2022-01-10,27.6,13.8,0.0,33,40802.31,Bukwo,1.2925,34.7425
2022-01-11,27.7,13.4,0.0,32,40806.47,Bukwo,1.2925,34.7425
2022-01-12,27.2,13.1,0.0,32,40810.78,Bukwo,1.2925,34.7425
2022-01-13,28.0,11.8,0.0,25,40815.21,Bukwo,1.2925,34.7425
2022-01-14,28.8,14.1,0.0,31,40031.46,Bukwo,1.2925,34.7425
2022-01-15,25.9,16.7,0.3,47,35283.08,Bukwo,1.2925,34.7425
2022-01-16,26.1,15.7,0.7,57,30145.96,Bukwo,1.2925,34.7425
2022-01-17,18.2,14.3,18.1,89,4195.73,Bukwo,1.2925,34.7425
2022-01-18,18.7,13.9,4.5,87,15981.58,Bukwo,1.2925,34.7425
2022-01-19,23.1,12.3,1.1,64,40844.1,Bukwo,1.2925,34.7425
2022-01-20,24.1,11.3,0.0,52,39809.16,Bukwo,1.2925,34.7425
2022-01-21,24.1,12.6,0.0,56,39910.95,Bukwo,1.2925,34.7425
2022-01-22,25.7,13.9,0.0,47,39778.75,Bukwo,1.2925,34.7425
2022-01-23,26.5,12.0,0.0,45,37532.29,Bukwo,1.2925,34.7425
2022-01-24,26.7,13.0,0.0,41,40870.5,Bukwo,1.2925,34.7425
2022-01-25,26.7,14.3,0.0,37,40876.21,Bukwo,1.2925,34.7425
2022-01-26,26.8,12.8,0.0,34,40882.06,Bukwo,1.2925,34.7425
