time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,28.4,18.6,2.1,73,39156.36,Bulambuli,1.375,34.1667
2021-01-02,31.1,18.0,0.5,71,40028.44,Bulambuli,1.375,34.1667
2021-01-03,30.7,17.6,0.0,67,40112.38,Bulambuli,1.375,34.1667
2021-01-04,33.2,16.8,0.0,60,39980.0,Bulambuli,1.375,34.1667
2021-01-05,33.5,17.5,0.0,57,40508.23,Bulambuli,1.375,34.1667
2021-01-06,34.2,17.7,0.0,58,40712.51,Bulambuli,1.375,34.1667
2021-01-07,34.3,16.9,0.0,54,40584.25,Bulambuli,1.375,34.1667
2021-01-08,32.6,17.5,0.0,53,39663.65,Bulambuli,1.375,34.1667
2021-01-09,29.0,18.8,0.2,66,38118.23,Bulambuli,1.375,34.1667
2021-01-10,29.1,18.9,9.5,74,33538.67,Bulambuli,1.375,34.1667
2021-01-11,31.4,18.8,0.1,64,39133.93,Bulambuli,1.375,34.1667
2021-01-12,29.9,19.2,1.0,66,38641.05,Bulambuli,1.375,34.1667
2021-01-13,33.3,18.5,0.0,54,35702.62,Bulambuli,1.375,34.1667
2021-01-14,31.4,20.1,0.0,66,39412.17,Bulambuli,1.375,34.1667
2021-01-15,30.7,20.7,0.3,62,40100.15,Bulambuli,1.375,34.1667
2021-01-16,29.0,19.1,11.8,70,39128.83,Bulambuli,1.375,34.1667
2021-01-17,30.8,17.0,0.3,67,40783.17,Bulambuli,1.375,34.1667
2021-01-18,32.1,17.1,0.2,61,40048.78,Bulambuli,1.375,34.1667
2021-01-19,33.2,18.9,0.0,62,40032.52,Bulambuli,1.375,34.1667
2021-01-20,33.6,17.5,0.0,62,40380.77,Bulambuli,1.375,34.1667
2021-01-21,33.4,17.8,0.0,61,40001.58,Bulambuli,1.375,34.1667
2021-01-22,33.2,17.9,0.1,62,38838.14,Bulambuli,1.375,34.1667
2021-01-23,32.3,18.3,0.0,52,40709.9,Bulambuli,1.375,34.1667
2021-01-24,33.0,18.1,0.0,53,40861.19,Bulambuli,1.375,34.1667
2021-01-25,34.2,17.8,0.0,55,40867.0,Bulambuli,1.375,34.1667
2021-01-26,34.4,18.5,0.0,56,40872.85,Bulambuli,1.375,34.1667
2021-01-27,34.9,17.8,0.0,50,40878.73,Bulambuli,1.375,34.1667
2021-01-28,35.3,17.3,0.0,49,40538.71,Bulambuli,1.375,34.1667
2021-01-29,35.3,19.4,0.0,44,40281.47,Bulambuli,1.375,34.1667
2021-01-30,34.8,19.3,0.0,50,40023.93,Bulambuli,1.375,34.1667
2021-01-31,35.3,18.3,0.0,43,40903.32,Bulambuli,1.375,34.1667
2021-02-01,35.4,16.5,0.0,39,40909.73,Bulambuli,1.375,34.1667
2021-02-02,34.7,16.8,0.0,41,39125.29,Bulambuli,1.375,34.1667
2021-02-03,34.9,18.1,0.0,50,40922.79,Bulambuli,1.375,34.1667
2021-02-04,34.2,19.6,0.0,49,40929.41,Bulambuli,1.375,34.1667
2021-02-05,34.2,20.9,0.0,51,40936.08,Bulambuli,1.375,34.1667
2021-02-06,33.2,20.5,0.4,53,40942.78,Bulambuli,1.375,34.1667
2021-02-07,33.4,20.7,0.0,41,39484.22,Bulambuli,1.375,34.1667
2021-02-08,34.0,20.1,0.8,42,40493.41,Bulambuli,1.375,34.1667
2021-02-09,33.4,19.8,0.3,45,40493.23,Bulambuli,1.375,34.1667
2021-02-10,34.5,20.7,0.0,44,39482.88,Bulambuli,1.375,34.1667
2021-02-11,29.5,21.7,6.7,66,23892.64,Bulambuli,1.375,34.1667
2021-02-12,33.1,18.4,0.0,58,40370.05,Bulambuli,1.375,34.1667
2021-02-13,31.1,20.5,2.0,60,39488.29,Bulambuli,1.375,34.1667
2021-02-14,33.0,20.1,0.0,58,35970.21,Bulambuli,1.375,34.1667
2021-02-15,35.6,19.8,0.1,54,38864.57,Bulambuli,1.375,34.1667
2021-02-16,31.7,21.7,0.9,64,38658.14,Bulambuli,1.375,34.1667
2021-02-17,32.9,20.4,0.3,61,39883.37,Bulambuli,1.375,34.1667
2021-02-18,32.7,20.7,6.2,66,40896.4,Bulambuli,1.375,34.1667
2021-02-19,30.6,19.6,0.1,59,39491.32,Bulambuli,1.375,34.1667
2021-02-20,32.0,18.2,0.0,47,34587.92,Bulambuli,1.375,34.1667
2021-02-21,32.8,17.3,0.0,42,38700.38,Bulambuli,1.375,34.1667
2021-02-22,29.4,20.8,0.0,52,25881.01,Bulambuli,1.375,34.1667
2021-02-23,32.2,18.0,0.0,54,39684.73,Bulambuli,1.375,34.1667
2021-02-24,32.2,18.1,0.5,53,39070.6,Bulambuli,1.375,34.1667
2021-02-25,35.5,17.2,0.0,52,40453.95,Bulambuli,1.375,34.1667
2021-02-26,33.3,18.8,0.0,54,41072.62,Bulambuli,1.375,34.1667
2021-02-27,32.9,18.6,0.0,54,41078.83,Bulambuli,1.375,34.1667
2021-02-28,35.8,18.5,0.0,44,39623.76,Bulambuli,1.375,34.1667
2021-03-01,35.9,20.3,0.0,44,38865.41,Bulambuli,1.375,34.1667
2021-03-02,36.9,20.4,0.0,38,40885.37,Bulambuli,1.375,34.1667
2021-03-03,34.9,23.5,0.1,45,39400.86,Bulambuli,1.375,34.1667
2021-03-04,34.2,22.0,0.3,53,40543.41,Bulambuli,1.375,34.1667
2021-03-05,35.6,20.7,0.0,55,40557.5,Bulambuli,1.375,34.1667
2021-03-06,33.3,20.4,2.2,60,41120.65,Bulambuli,1.375,34.1667
2021-03-07,32.5,20.1,0.7,63,41126.34,Bulambuli,1.375,34.1667
2021-03-08,29.4,18.8,3.8,71,40964.36,Bulambuli,1.375,34.1667
2021-03-09,32.3,19.5,0.3,61,41137.31,Bulambuli,1.375,34.1667
2021-03-10,34.9,18.7,0.1,53,41142.45,Bulambuli,1.375,34.1667
2021-03-11,36.6,17.8,0.0,46,41147.56,Bulambuli,1.375,34.1667
2021-03-12,36.4,18.5,0.0,36,41140.93,Bulambuli,1.375,34.1667
2021-03-13,37.5,18.3,0.0,37,41157.66,Bulambuli,1.375,34.1667
2021-03-14,34.0,19.7,0.2,47,41162.63,Bulambuli,1.375,34.1667
2021-03-15,34.9,19.7,0.0,45,40831.01,Bulambuli,1.375,34.1667
2021-03-16,31.9,19.4,0.1,55,39430.09,Bulambuli,1.375,34.1667
2021-03-17,30.6,19.1,0.7,61,40159.09,Bulambuli,1.375,34.1667
2021-03-18,30.8,19.2,6.3,74,34631.78,Bulambuli,1.375,34.1667
2021-03-19,33.1,18.8,0.0,58,39615.41,Bulambuli,1.375,34.1667
2021-03-20,32.0,19.1,1.7,57,40801.91,Bulambuli,1.375,34.1667
2021-03-21,33.5,19.4,0.0,54,40820.06,Bulambuli,1.375,34.1667
2021-03-22,35.1,19.0,0.0,58,39054.61,Bulambuli,1.375,34.1667
2021-03-23,35.6,18.9,0.0,51,38293.57,Bulambuli,1.375,34.1667
