time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,31.0,22.2,0.2,68,40025.88,Buliisa,2.0833,31.4167
2019-01-02,30.4,21.6,0.0,65,40469.45,Buliisa,2.0833,31.4167
2019-01-03,31.2,22.9,0.0,68,40279.7,Buliisa,2.0833,31.4167
2019-01-04,31.0,23.4,0.3,61,35974.43,Buliisa,2.0833,31.4167
2019-01-05,30.0,22.2,0.0,68,39380.89,Buliisa,2.0833,31.4167
2019-01-06,30.7,26.3,0.0,68,39493.81,Buliisa,2.0833,31.4167
2019-01-07,29.9,24.0,0.0,69,38210.86,Buliisa,2.0833,31.4167
2019-01-08,29.5,24.3,0.0,70,40264.75,Buliisa,2.0833,31.4167
2019-01-09,30.0,21.0,0.0,62,40586.43,Buliisa,2.0833,31.4167
2019-01-10,30.7,22.6,0.0,64,39857.48,Buliisa,2.0833,31.4167
2019-01-11,30.8,23.7,0.0,70,38737.38,Buliisa,2.0833,31.4167
2019-01-12,33.5,23.1,0.0,62,40640.26,Buliisa,2.0833,31.4167
2019-01-13,32.2,21.1,0.0,58,40659.41,Buliisa,2.0833,31.4167
2019-01-14,30.8,20.9,0.0,65,38705.31,Buliisa,2.0833,31.4167
2019-01-15,29.4,23.1,0.8,71,40013.6,Buliisa,2.0833,31.4167
2019-01-16,29.5,25.1,0.0,69,38918.77,Buliisa,2.0833,31.4167
2019-01-17,30.0,23.8,0.0,72,38764.34,Buliisa,2.0833,31.4167
2019-01-18,28.8,24.9,0.0,74,39049.36,Buliisa,2.0833,31.4167
2019-01-19,29.5,24.2,0.0,74,39915.69,Buliisa,2.0833,31.4167
2019-01-20,29.9,22.8,0.0,69,40053.82,Buliisa,2.0833,31.4167
2019-01-21,29.7,26.1,0.0,67,39592.46,Buliisa,2.0833,31.4167
2019-01-22,30.8,22.2,0.0,64,40206.45,Buliisa,2.0833,31.4167
2019-01-23,31.3,22.2,0.0,62,39747.23,Buliisa,2.0833,31.4167
2019-01-24,31.4,24.0,0.0,59,36728.25,Buliisa,2.0833,31.4167
2019-01-25,31.0,23.6,0.0,64,37436.59,Buliisa,2.0833,31.4167
2019-01-26,31.3,23.7,0.0,64,39677.97,Buliisa,2.0833,31.4167
2019-01-27,32.2,23.3,0.0,61,39810.24,Buliisa,2.0833,31.4167
2019-01-28,31.6,22.4,0.0,63,40057.95,Buliisa,2.0833,31.4167
2019-01-29,31.7,25.1,0.0,66,40070.84,Buliisa,2.0833,31.4167
2019-01-30,33.1,25.0,0.0,66,40199.25,Buliisa,2.0833,31.4167
2019-01-31,32.1,22.6,0.0,59,40326.52,Buliisa,2.0833,31.4167
2019-02-01,33.9,22.5,0.0,56,40337.01,Buliisa,2.0833,31.4167
2019-02-02,32.4,21.5,0.0,58,40346.88,Buliisa,2.0833,31.4167
2019-02-03,31.9,22.2,0.0,57,40356.11,Buliisa,2.0833,31.4167
2019-02-04,33.2,22.2,0.0,52,39088.98,Buliisa,2.0833,31.4167
2019-02-05,32.8,24.8,0.0,60,40027.71,Buliisa,2.0833,31.4167
2019-02-06,31.3,26.3,0.4,66,39231.21,Buliisa,2.0833,31.4167
2019-02-07,30.6,25.2,0.0,64,40042.18,Buliisa,2.0833,31.4167
2019-02-08,33.3,24.7,0.0,60,40048.22,Buliisa,2.0833,31.4167
2019-02-09,32.1,25.4,0.0,59,39296.27,Buliisa,2.0833,31.4167
2019-02-10,33.4,25.8,0.0,67,39943.01,Buliisa,2.0833,31.4167
2019-02-11,33.4,24.8,0.0,52,40061.22,Buliisa,2.0833,31.4167
2019-02-12,31.0,24.7,0.0,62,35988.75,Buliisa,2.0833,31.4167
2019-02-13,34.4,24.0,0.0,59,39836.01,Buliisa,2.0833,31.4167
2019-02-14,33.4,24.2,0.0,51,39836.95,Buliisa,2.0833,31.4167
2019-02-15,30.3,24.9,0.0,62,39491.55,Buliisa,2.0833,31.4167
2019-02-16,32.0,24.4,0.0,64,40182.59,Buliisa,2.0833,31.4167
2019-02-17,31.5,26.6,0.1,63,40297.42,Buliisa,2.0833,31.4167
2019-02-18,32.3,25.5,0.0,63,40064.77,Buliisa,2.0833,31.4167
2019-02-19,32.7,23.3,0.0,61,40410.52,Buliisa,2.0833,31.4167
2019-02-20,32.7,24.2,0.0,54,38967.14,Buliisa,2.0833,31.4167
2019-02-21,32.2,24.0,1.0,58,39124.7,Buliisa,2.0833,31.4167
2019-02-22,29.0,23.6,2.9,73,38961.81,Buliisa,2.0833,31.4167
2019-02-23,28.2,23.7,1.1,77,36481.46,Buliisa,2.0833,31.4167
2019-02-24,27.6,22.3,6.3,79,37212.16,Buliisa,2.0833,31.4167
2019-02-25,30.1,21.9,2.2,74,40391.1,Buliisa,2.0833,31.4167
2019-02-26,33.2,21.9,0.0,65,40740.21,Buliisa,2.0833,31.4167
2019-02-27,33.3,21.9,0.0,57,40736.08,Buliisa,2.0833,31.4167
2019-02-28,29.8,23.7,0.0,72,38913.77,Buliisa,2.0833,31.4167
2019-03-01,30.0,26.0,0.0,67,40131.42,Buliisa,2.0833,31.4167
2019-03-02,29.4,25.6,0.0,68,40481.52,Buliisa,2.0833,31.4167
2019-03-03,30.9,24.4,0.0,68,40713.47,Buliisa,2.0833,31.4167
2019-03-04,30.1,23.9,0.0,63,39507.71,Buliisa,2.0833,31.4167
2019-03-05,31.0,24.6,2.5,66,40698.13,Buliisa,2.0833,31.4167
2019-03-06,29.7,23.6,3.6,75,40689.61,Buliisa,2.0833,31.4167
2019-03-07,30.0,24.0,0.0,75,40923.39,Buliisa,2.0833,31.4167
2019-03-08,30.5,25.4,0.0,70,39733.52,Buliisa,2.0833,31.4167
2019-03-09,31.7,22.6,0.0,65,40661.0,Buliisa,2.0833,31.4167
2019-03-10,31.6,23.5,0.0,60,41113.98,Buliisa,2.0833,31.4167
2019-03-11,33.0,24.2,0.0,60,41121.74,Buliisa,2.0833,31.4167
2019-03-12,33.2,23.7,0.0,56,41129.44,Buliisa,2.0833,31.4167
2019-03-13,31.3,25.8,0.0,62,41137.05,Buliisa,2.0833,31.4167
2019-03-14,31.3,23.2,0.0,65,41144.59,Buliisa,2.0833,31.4167
2019-03-15,33.2,22.5,0.0,57,41152.05,Buliisa,2.0833,31.4167
2019-03-16,35.8,23.4,0.0,46,41159.42,Buliisa,2.0833,31.4167
2019-03-17,32.7,23.9,0.0,54,41166.69,Buliisa,2.0833,31.4167
2019-03-18,32.7,25.9,0.0,60,41173.87,Buliisa,2.0833,31.4167
2019-03-19,33.5,23.4,0.0,53,41180.95,Buliisa,2.0833,31.4167
2019-03-20,33.5,23.2,0.0,54,41187.78,Buliisa,2.0833,31.4167
2019-03-21,33.3,24.0,0.0,63,41194.37,Buliisa,2.0833,31.4167
2019-03-22,33.7,24.9,0.0,52,41200.9,Buliisa,2.0833,31.4167
2019-03-23,34.5,24.3,0.0,47,41207.4,Buliisa,2.0833,31.4167
2019-03-24,34.1,22.0,0.0,50,41213.84,Buliisa,2.0833,31.4167
2019-03-25,31.9,25.0,0.0,59,40673.65,Buliisa,2.0833,31.4167
2019-03-26,30.2,26.5,0.1,67,41226.55,Buliisa,2.0833,31.4167
2019-03-27,29.4,25.0,1.8,71,34124.27,Buliisa,2.0833,31.4167
2019-03-28,28.2,23.0,5.0,80,31444.82,Buliisa,2.0833,31.4167
2019-03-29,31.6,22.9,0.2,78,41245.09,Buliisa,2.0833,31.4167
2019-03-30,31.0,24.4,0.0,72,40908.56,Buliisa,2.0833,31.4167
