time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,30.6,17.3,0.1,64,40888.39,Bundibugyo,0.7306,30.0419
2023-01-02,30.6,17.9,0.0,55,40846.81,Bundibugyo,0.7306,30.0419
2023-01-03,30.3,17.6,0.1,59,40867.87,Bundibugyo,0.7306,30.0419
2023-01-04,31.0,18.1,0.3,62,40638.61,Bundibugyo,0.7306,30.0419
2023-01-05,32.0,18.9,0.0,54,40897.41,Bundibugyo,0.7306,30.0419
2023-01-06,32.1,18.6,0.0,48,40900.0,Bundibugyo,0.7306,30.0419
2023-01-07,31.8,18.3,0.0,48,40902.7,Bundibugyo,0.7306,30.0419
2023-01-08,32.1,20.6,0.0,45,40905.52,Bundibugyo,0.7306,30.0419
2023-01-09,31.6,19.3,0.0,48,40865.58,Bundibugyo,0.7306,30.0419
2023-01-10,30.9,19.1,0.0,53,34338.35,Bundibugyo,0.7306,30.0419
2023-01-11,29.5,19.4,0.2,64,39828.49,Bundibugyo,0.7306,30.0419
2023-01-12,28.7,19.4,0.6,62,39576.8,Bundibugyo,0.7306,30.0419
2023-01-13,30.2,18.2,0.3,56,40348.17,Bundibugyo,0.7306,30.0419
2023-01-14,31.9,19.1,0.2,56,40602.3,Bundibugyo,0.7306,30.0419
2023-01-15,30.7,19.6,0.0,57,40503.56,Bundibugyo,0.7306,30.0419
2023-01-16,31.5,18.4,0.0,48,40173.92,Bundibugyo,0.7306,30.0419
2023-01-17,32.7,19.2,0.0,45,40192.44,Bundibugyo,0.7306,30.0419
2023-01-18,32.8,18.8,0.0,46,39981.19,Bundibugyo,0.7306,30.0419
2023-01-19,32.9,18.2,0.0,46,40568.54,Bundibugyo,0.7306,30.0419
2023-01-20,33.2,19.4,0.0,43,40130.3,Bundibugyo,0.7306,30.0419
2023-01-21,31.9,20.5,0.0,50,40259.47,Bundibugyo,0.7306,30.0419
2023-01-22,32.1,19.3,0.1,54,38718.07,Bundibugyo,0.7306,30.0419
2023-01-23,33.1,19.0,0.0,49,37463.8,Bundibugyo,0.7306,30.0419
2023-01-24,32.8,19.9,0.0,51,39190.7,Bundibugyo,0.7306,30.0419
2023-01-25,33.2,18.6,0.0,50,40427.98,Bundibugyo,0.7306,30.0419
2023-01-26,31.9,18.3,0.0,55,40330.36,Bundibugyo,0.7306,30.0419
2023-01-27,32.8,18.4,0.0,56,39684.41,Bundibugyo,0.7306,30.0419
2023-01-28,33.7,19.1,0.0,45,40354.47,Bundibugyo,0.7306,30.0419
2023-01-29,29.1,19.3,0.0,62,40256.67,Bundibugyo,0.7306,30.0419
2023-01-30,29.9,18.4,0.0,60,40084.13,Bundibugyo,0.7306,30.0419
2023-01-31,33.6,18.3,0.0,47,40277.66,Bundibugyo,0.7306,30.0419
2023-02-01,31.8,19.3,4.3,50,40287.12,Bundibugyo,0.7306,30.0419
2023-02-02,32.4,17.0,0.1,64,40188.24,Bundibugyo,0.7306,30.0419
2023-02-03,32.1,19.9,0.0,52,40196.52,Bundibugyo,0.7306,30.0419
2023-02-04,32.5,20.6,0.0,43,40311.2,Bundibugyo,0.7306,30.0419
2023-02-05,32.6,21.0,0.0,44,40317.74,Bundibugyo,0.7306,30.0419
2023-02-06,32.4,21.4,0.0,46,40109.93,Bundibugyo,0.7306,30.0419
2023-02-07,33.2,19.4,0.0,44,40221.85,Bundibugyo,0.7306,30.0419
2023-02-08,34.0,19.7,0.0,42,39906.39,Bundibugyo,0.7306,30.0419
2023-02-09,32.3,18.8,0.0,45,40229.48,Bundibugyo,0.7306,30.0419
2023-02-10,33.7,19.1,0.0,44,40232.03,Bundibugyo,0.7306,30.0419
2023-02-11,34.5,19.6,0.0,45,40233.76,Bundibugyo,0.7306,30.0419
2023-02-12,34.8,21.2,0.0,40,40128.2,Bundibugyo,0.7306,30.0419
2023-02-13,35.2,20.3,0.0,36,40341.46,Bundibugyo,0.7306,30.0419
2023-02-14,34.6,19.8,0.0,36,40341.03,Bundibugyo,0.7306,30.0419
2023-02-15,32.0,20.1,0.0,49,39372.5,Bundibugyo,0.7306,30.0419
