time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,23.9,14.1,0.1,58,40931.62,Bunyangabu,0.5,30.1667
2023-01-02,23.6,15.6,0.0,59,40833.77,Bunyangabu,0.5,30.1667
2023-01-03,23.7,15.9,1.0,64,40663.36,Bunyangabu,0.5,30.1667
2023-01-04,24.0,15.6,1.2,64,40495.31,Bunyangabu,0.5,30.1667
2023-01-05,25.9,15.7,0.0,56,40939.8,Bunyangabu,0.5,30.1667
2023-01-06,26.9,15.6,0.0,52,40942.14,Bunyangabu,0.5,30.1667
2023-01-07,26.2,15.1,0.0,53,40944.59,Bunyangabu,0.5,30.1667
2023-01-08,26.4,13.4,0.0,53,35654.26,Bunyangabu,0.5,30.1667
2023-01-09,26.5,13.9,0.0,56,40949.79,Bunyangabu,0.5,30.1667
2023-01-10,24.7,15.5,0.7,60,26715.1,Bunyangabu,0.5,30.1667
2023-01-11,25.0,16.7,0.4,64,38760.03,Bunyangabu,0.5,30.1667
2023-01-12,24.5,14.2,0.7,65,40788.43,Bunyangabu,0.5,30.1667
2023-01-13,24.9,13.6,0.4,63,40566.34,Bunyangabu,0.5,30.1667
2023-01-14,25.6,14.2,0.7,64,40834.0,Bunyangabu,0.5,30.1667
2023-01-15,26.1,15.0,0.0,60,40967.22,Bunyangabu,0.5,30.1667
2023-01-16,26.3,14.3,0.0,51,40970.34,Bunyangabu,0.5,30.1667
2023-01-17,27.5,16.6,0.0,45,40635.86,Bunyangabu,0.5,30.1667
2023-01-18,27.2,13.8,0.0,50,40767.77,Bunyangabu,0.5,30.1667
2023-01-19,27.7,14.4,0.0,49,40980.39,Bunyangabu,0.5,30.1667
2023-01-20,28.4,15.7,0.0,47,40102.35,Bunyangabu,0.5,30.1667
2023-01-21,27.2,16.0,0.0,48,39773.92,Bunyangabu,0.5,30.1667
2023-01-22,27.5,14.2,0.3,53,38351.98,Bunyangabu,0.5,30.1667
2023-01-23,27.2,15.0,0.0,51,39580.42,Bunyangabu,0.5,30.1667
2023-01-24,26.0,16.6,0.2,53,39597.55,Bunyangabu,0.5,30.1667
2023-01-25,27.3,15.9,0.0,51,40969.07,Bunyangabu,0.5,30.1667
2023-01-26,27.2,14.3,0.0,53,40979.22,Bunyangabu,0.5,30.1667
2023-01-27,26.9,15.5,0.1,56,40092.6,Bunyangabu,0.5,30.1667
2023-01-28,28.6,15.0,0.0,44,40886.36,Bunyangabu,0.5,30.1667
2023-01-29,26.6,14.7,0.1,56,40784.14,Bunyangabu,0.5,30.1667
2023-01-30,26.4,15.6,0.1,52,37379.7,Bunyangabu,0.5,30.1667
2023-01-31,27.9,14.1,0.3,49,40801.22,Bunyangabu,0.5,30.1667
2023-02-01,27.1,15.0,0.0,53,40808.89,Bunyangabu,0.5,30.1667
2023-02-02,27.3,14.6,0.1,60,40376.28,Bunyangabu,0.5,30.1667
2023-02-03,27.8,14.5,0.4,59,40493.46,Bunyangabu,0.5,30.1667
2023-02-04,28.0,14.1,0.1,51,40828.32,Bunyangabu,0.5,30.1667
2023-02-05,27.9,13.8,0.2,51,40833.58,Bunyangabu,0.5,30.1667
2023-02-06,27.7,15.8,0.0,51,40511.02,Bunyangabu,0.5,30.1667
2023-02-07,28.7,14.7,0.0,49,40733.23,Bunyangabu,0.5,30.1667
2023-02-08,28.4,17.7,0.0,45,40301.34,Bunyangabu,0.5,30.1667
2023-02-09,28.4,15.4,0.0,49,39730.39,Bunyangabu,0.5,30.1667
2023-02-10,28.6,15.3,0.0,48,40632.46,Bunyangabu,0.5,30.1667
2023-02-11,29.3,16.0,0.0,48,40742.41,Bunyangabu,0.5,30.1667
2023-02-12,30.3,17.4,0.0,42,40634.31,Bunyangabu,0.5,30.1667
2023-02-13,30.4,17.5,0.0,35,40742.98,Bunyangabu,0.5,30.1667
2023-02-14,30.4,15.9,0.0,35,37251.14,Bunyangabu,0.5,30.1667
2023-02-15,29.2,17.1,0.0,43,39652.14,Bunyangabu,0.5,30.1667
2023-02-16,28.0,16.9,0.0,42,39331.68,Bunyangabu,0.5,30.1667
2023-02-17,29.0,16.9,0.0,41,36372.85,Bunyangabu,0.5,30.1667
2023-02-18,29.7,17.2,0.0,38,35062.58,Bunyangabu,0.5,30.1667
2023-02-19,30.7,15.4,0.0,38,29820.22,Bunyangabu,0.5,30.1667
2023-02-20,30.8,17.9,0.0,34,39304.85,Bunyangabu,0.5,30.1667
2023-02-21,30.2,17.3,0.0,36,38074.85,Bunyangabu,0.5,30.1667
2023-02-22,30.5,17.2,0.0,36,28102.38,Bunyangabu,0.5,30.1667
2023-02-23,30.5,17.2,0.0,39,39303.57,Bunyangabu,0.5,30.1667
2023-02-24,29.2,17.3,0.3,50,40596.05,Bunyangabu,0.5,30.1667
2023-02-25,26.7,17.3,7.5,67,30157.71,Bunyangabu,0.5,30.1667
2023-02-26,27.7,16.9,2.9,66,33887.13,Bunyangabu,0.5,30.1667
2023-02-27,26.1,16.8,26.1,77,22337.5,Bunyangabu,0.5,30.1667
2023-02-28,23.7,16.1,31.1,83,25706.57,Bunyangabu,0.5,30.1667
2023-03-01,24.2,15.1,8.6,81,27907.41,Bunyangabu,0.5,30.1667
2023-03-02,24.0,15.8,39.1,83,34002.65,Bunyangabu,0.5,30.1667
2023-03-03,23.3,14.2,4.8,79,37671.02,Bunyangabu,0.5,30.1667
2023-03-04,25.9,14.4,6.8,77,38556.27,Bunyangabu,0.5,30.1667
2023-03-05,26.3,16.8,0.2,68,41155.15,Bunyangabu,0.5,30.1667
2023-03-06,28.3,17.2,0.0,55,40679.33,Bunyangabu,0.5,30.1667
2023-03-07,29.0,17.5,0.0,52,41066.02,Bunyangabu,0.5,30.1667
2023-03-08,28.3,16.1,0.0,59,41163.72,Bunyangabu,0.5,30.1667
2023-03-09,27.2,16.5,6.1,72,39296.73,Bunyangabu,0.5,30.1667
2023-03-10,25.0,16.7,2.0,79,18382.36,Bunyangabu,0.5,30.1667
2023-03-11,25.7,15.8,9.6,78,29356.79,Bunyangabu,0.5,30.1667
2023-03-12,20.9,15.9,9.1,89,20486.94,Bunyangabu,0.5,30.1667
