time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,26.8,16.9,0.9,85,39508.32,Busia,0.46,34.1
2024-01-02,27.7,17.3,2.2,80,39231.06,Busia,0.46,34.1
2024-01-03,26.5,17.5,6.9,84,40000.07,Busia,0.46,34.1
2024-01-04,27.2,17.2,0.5,77,40647.02,Busia,0.46,34.1
2024-01-05,26.4,16.9,17.6,84,36288.5,Busia,0.46,34.1
2024-01-06,29.0,17.6,0.0,72,40833.19,Busia,0.46,34.1
2024-01-07,27.2,16.4,1.0,76,39316.95,Busia,0.46,34.1
2024-01-08,28.9,18.1,1.2,73,40214.92,Busia,0.46,34.1
2024-01-09,25.1,17.8,31.1,88,36472.01,Busia,0.46,34.1
2024-01-10,25.8,17.4,8.5,82,28939.6,Busia,0.46,34.1
2024-01-11,27.7,18.0,6.7,81,40148.07,Busia,0.46,34.1
2024-01-12,24.7,17.9,18.0,88,39769.97,Busia,0.46,34.1
2024-01-13,25.5,17.6,3.9,85,28683.28,Busia,0.46,34.1
2024-01-14,27.6,18.6,6.6,85,33816.24,Busia,0.46,34.1
2024-01-15,26.8,18.5,2.1,85,33699.38,Busia,0.46,34.1
2024-01-16,27.4,17.2,4.2,82,36570.49,Busia,0.46,34.1
2024-01-17,26.7,17.4,4.3,82,35595.59,Busia,0.46,34.1
2024-01-18,25.2,17.7,1.1,81,28369.31,Busia,0.46,34.1
2024-01-19,27.1,16.5,0.8,75,38397.3,Busia,0.46,34.1
2024-01-20,27.6,18.1,3.3,74,38994.04,Busia,0.46,34.1
2024-01-21,28.2,17.8,4.4,77,29060.79,Busia,0.46,34.1
2024-01-22,28.2,17.4,1.3,76,40440.93,Busia,0.46,34.1
2024-01-23,26.4,17.9,3.1,83,40426.6,Busia,0.46,34.1
2024-01-24,26.8,17.3,0.9,83,41011.16,Busia,0.46,34.1
2024-01-25,28.9,17.2,0.7,78,40902.41,Busia,0.46,34.1
2024-01-26,26.8,17.1,5.6,85,36918.48,Busia,0.46,34.1
2024-01-27,26.4,17.3,3.4,83,38285.57,Busia,0.46,34.1
2024-01-28,29.3,17.8,1.0,76,41026.69,Busia,0.46,34.1
2024-01-29,28.4,17.3,0.6,76,41030.59,Busia,0.46,34.1
2024-01-30,27.0,18.0,2.9,81,39193.27,Busia,0.46,34.1
2024-01-31,27.7,17.5,0.7,78,39848.17,Busia,0.46,34.1
2024-02-01,28.9,17.6,3.0,77,38493.24,Busia,0.46,34.1
2024-02-02,26.8,17.7,1.6,80,38455.26,Busia,0.46,34.1
2024-02-03,27.5,17.7,12.2,84,39671.3,Busia,0.46,34.1
2024-02-04,30.0,16.9,0.6,76,41053.97,Busia,0.46,34.1
2024-02-05,27.7,17.6,2.3,81,41057.97,Busia,0.46,34.1
2024-02-06,26.8,16.8,2.5,82,41061.99,Busia,0.46,34.1
2024-02-07,29.9,16.4,0.0,75,41066.03,Busia,0.46,34.1
2024-02-08,29.2,17.5,6.4,78,41070.08,Busia,0.46,34.1
2024-02-09,31.2,17.6,0.2,70,41074.14,Busia,0.46,34.1
2024-02-10,26.4,18.4,19.2,80,41078.2,Busia,0.46,34.1
2024-02-11,26.6,17.5,0.4,82,38775.3,Busia,0.46,34.1
2024-02-12,27.2,17.3,1.1,80,40669.12,Busia,0.46,34.1
2024-02-13,29.5,18.1,0.3,79,39825.46,Busia,0.46,34.1
2024-02-14,30.3,17.9,0.4,75,41094.23,Busia,0.46,34.1
2024-02-15,26.6,18.3,14.8,87,30251.5,Busia,0.46,34.1
2024-02-16,29.9,16.2,0.4,78,41102.05,Busia,0.46,34.1
2024-02-17,29.2,18.0,0.2,78,41105.89,Busia,0.46,34.1
