time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2020-01-01,28.9,17.8,0.1,74,40414.6,Butaleja,0.9419,33.9556
2020-01-02,28.8,17.1,0.0,72,40392.24,Butaleja,0.9419,33.9556
2020-01-03,29.6,17.6,0.0,68,40149.04,Butaleja,0.9419,33.9556
2020-01-04,29.7,16.7,0.0,69,40013.05,Butaleja,0.9419,33.9556
2020-01-05,28.6,18.2,4.6,78,40661.68,Butaleja,0.9419,33.9556
2020-01-06,26.5,18.3,5.3,78,38040.89,Butaleja,0.9419,33.9556
2020-01-07,28.6,18.2,0.0,72,40394.07,Butaleja,0.9419,33.9556
2020-01-08,28.0,19.1,5.5,76,39566.85,Butaleja,0.9419,33.9556
2020-01-09,28.8,18.7,0.0,72,40468.09,Butaleja,0.9419,33.9556
2020-01-10,27.4,18.1,2.6,77,40869.22,Butaleja,0.9419,33.9556
2020-01-11,28.6,17.9,4.7,76,40194.11,Butaleja,0.9419,33.9556
2020-01-12,28.8,18.7,2.0,70,40055.66,Butaleja,0.9419,33.9556
2020-01-13,28.6,17.8,0.1,69,40154.63,Butaleja,0.9419,33.9556
2020-01-14,31.5,16.6,0.0,65,37417.6,Butaleja,0.9419,33.9556
2020-01-15,30.2,17.2,0.0,68,40886.7,Butaleja,0.9419,33.9556
2020-01-16,30.0,18.5,0.0,62,40583.82,Butaleja,0.9419,33.9556
2020-01-17,31.0,19.9,0.0,64,40895.07,Butaleja,0.9419,33.9556
2020-01-18,32.0,19.3,0.0,68,40899.46,Butaleja,0.9419,33.9556
2020-01-19,30.7,18.6,0.1,66,40903.96,Butaleja,0.9419,33.9556
2020-01-20,31.3,17.0,0.0,59,40908.58,Butaleja,0.9419,33.9556
2020-01-21,31.5,15.6,0.0,60,40510.76,Butaleja,0.9419,33.9556
2020-01-22,31.8,17.8,0.0,59,39132.64,Butaleja,0.9419,33.9556
2020-01-23,31.5,18.0,0.0,54,37340.39,Butaleja,0.9419,33.9556
2020-01-24,30.2,19.1,0.0,61,36489.16,Butaleja,0.9419,33.9556
2020-01-25,30.0,21.1,0.0,67,22873.68,Butaleja,0.9419,33.9556
2020-01-26,28.9,20.3,0.1,73,29426.96,Butaleja,0.9419,33.9556
2020-01-27,27.2,19.6,9.5,83,20803.14,Butaleja,0.9419,33.9556
2020-01-28,25.7,18.5,13.7,88,15433.39,Butaleja,0.9419,33.9556
2020-01-29,24.9,18.8,36.4,89,8759.25,Butaleja,0.9419,33.9556
2020-01-30,27.5,18.5,4.1,84,31087.13,Butaleja,0.9419,33.9556
2020-01-31,23.2,18.4,10.1,88,28141.66,Butaleja,0.9419,33.9556
2020-02-01,25.8,17.8,0.9,84,27275.21,Butaleja,0.9419,33.9556
2020-02-02,27.4,17.9,0.0,76,33215.11,Butaleja,0.9419,33.9556
2020-02-03,28.4,18.1,3.0,79,28229.86,Butaleja,0.9419,33.9556
2020-02-04,27.0,17.3,7.0,83,40372.28,Butaleja,0.9419,33.9556
2020-02-05,27.1,18.5,7.8,84,35349.41,Butaleja,0.9419,33.9556
2020-02-06,26.5,18.3,13.9,83,40681.32,Butaleja,0.9419,33.9556
2020-02-07,29.1,18.1,0.3,73,41000.36,Butaleja,0.9419,33.9556
2020-02-08,29.8,17.7,0.0,70,41005.79,Butaleja,0.9419,33.9556
2020-02-09,29.3,18.4,0.0,69,41011.23,Butaleja,0.9419,33.9556
2020-02-10,29.9,15.6,0.0,66,41016.7,Butaleja,0.9419,33.9556
2020-02-11,30.5,15.8,0.0,61,41022.18,Butaleja,0.9419,33.9556
2020-02-12,30.4,17.8,0.2,63,41027.65,Butaleja,0.9419,33.9556
2020-02-13,29.5,18.4,0.4,69,40872.05,Butaleja,0.9419,33.9556
2020-02-14,29.3,19.1,0.2,71,40687.59,Butaleja,0.9419,33.9556
