time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2017-01-01,27.0,17.7,6.0,81,39717.52,Butambala,0.1711,32.1044
2017-01-02,25.7,18.2,5.2,80,38555.38,Butambala,0.1711,32.1044
2017-01-03,26.9,17.2,1.1,80,41008.09,Butambala,0.1711,32.1044
2017-01-04,27.6,16.6,0.5,78,37488.07,Butambala,0.1711,32.1044
2017-01-05,28.5,16.4,0.0,71,41011.2,Butambala,0.1711,32.1044
2017-01-06,29.5,16.6,0.0,61,41012.86,Butambala,0.1711,32.1044
2017-01-07,30.0,17.1,0.0,56,41014.57,Butambala,0.1711,32.1044
2017-01-08,32.3,17.8,0.0,51,41016.34,Butambala,0.1711,32.1044
2017-01-09,32.0,16.1,0.0,56,41018.36,Butambala,0.1711,32.1044
2017-01-10,27.9,16.9,1.0,70,41020.7,Butambala,0.1711,32.1044
2017-01-11,30.1,19.1,0.0,64,41023.13,Butambala,0.1711,32.1044
2017-01-12,30.8,17.6,0.0,53,41025.68,Butambala,0.1711,32.1044
2017-01-13,29.3,15.0,0.0,60,41028.3,Butambala,0.1711,32.1044
2017-01-14,29.4,18.6,0.1,61,41031.01,Butambala,0.1711,32.1044
2017-01-15,30.2,17.4,0.0,71,41033.79,Butambala,0.1711,32.1044
2017-01-16,30.2,17.5,0.0,67,41036.63,Butambala,0.1711,32.1044
2017-01-17,30.8,16.2,0.0,63,41039.55,Butambala,0.1711,32.1044
2017-01-18,29.1,17.4,0.6,60,41042.5,Butambala,0.1711,32.1044
2017-01-19,29.6,16.9,0.3,67,40456.9,Butambala,0.1711,32.1044
2017-01-20,30.6,17.8,0.0,64,41048.53,Butambala,0.1711,32.1044
2017-01-21,30.0,17.7,0.0,71,40048.28,Butambala,0.1711,32.1044
2017-01-22,27.8,17.0,0.2,79,41054.69,Butambala,0.1711,32.1044
2017-01-23,28.0,16.5,0.7,79,39240.05,Butambala,0.1711,32.1044
2017-01-24,28.3,17.2,0.8,71,41060.9,Butambala,0.1711,32.1044
2017-01-25,30.0,16.6,0.0,62,41064.01,Butambala,0.1711,32.1044
2017-01-26,28.1,17.5,0.5,63,41067.12,Butambala,0.1711,32.1044
2017-01-27,29.7,18.3,0.5,70,41070.22,Butambala,0.1711,32.1044
2017-01-28,28.7,17.6,2.0,75,41073.3,Butambala,0.1711,32.1044
2017-01-29,25.8,18.4,6.7,79,41076.4,Butambala,0.1711,32.1044
2017-01-30,25.9,18.5,10.6,81,38935.72,Butambala,0.1711,32.1044
2017-01-31,26.7,16.5,4.9,78,41082.8,Butambala,0.1711,32.1044
2017-02-01,27.0,18.2,3.0,80,38134.3,Butambala,0.1711,32.1044
2017-02-02,28.1,18.8,3.3,77,41089.33,Butambala,0.1711,32.1044
2017-02-03,26.5,18.5,1.7,77,36100.56,Butambala,0.1711,32.1044
2017-02-04,25.4,16.9,6.7,79,41095.94,Butambala,0.1711,32.1044
2017-02-05,27.8,17.2,3.2,77,41099.26,Butambala,0.1711,32.1044
2017-02-06,28.2,17.0,2.0,77,41102.57,Butambala,0.1711,32.1044
2017-02-07,27.2,18.0,7.4,83,35214.04,Butambala,0.1711,32.1044
2017-02-08,28.3,17.4,0.9,78,41109.15,Butambala,0.1711,32.1044
2017-02-09,27.4,17.0,2.0,80,40997.35,Butambala,0.1711,32.1044
