time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,29.4,19.0,2.5,78,29298.24,Butebo,1.2346,33.9087
2024-01-02,30.5,19.1,0.2,71,39571.43,Butebo,1.2346,33.9087
2024-01-03,30.1,19.1,0.6,69,40424.11,Butebo,1.2346,33.9087
2024-01-04,30.2,19.3,0.0,64,40402.71,Butebo,1.2346,33.9087
2024-01-05,29.2,18.9,1.0,71,36684.97,Butebo,1.2346,33.9087
2024-01-06,32.0,18.9,0.0,60,40586.75,Butebo,1.2346,33.9087
2024-01-07,31.6,18.3,0.0,62,40567.6,Butebo,1.2346,33.9087
2024-01-08,33.1,20.2,0.0,59,40088.08,Butebo,1.2346,33.9087
2024-01-09,28.6,20.0,13.1,69,36763.81,Butebo,1.2346,33.9087
2024-01-10,28.7,20.2,0.2,66,26682.45,Butebo,1.2346,33.9087
2024-01-11,30.9,20.1,0.7,63,38635.76,Butebo,1.2346,33.9087
2024-01-12,28.4,19.4,8.6,76,25482.96,Butebo,1.2346,33.9087
2024-01-13,29.8,18.9,0.4,69,37365.5,Butebo,1.2346,33.9087
2024-01-14,29.0,19.7,1.8,72,34131.05,Butebo,1.2346,33.9087
2024-01-15,29.3,19.7,0.8,74,36000.0,Butebo,1.2346,33.9087
2024-01-16,29.8,18.5,2.1,71,40838.71,Butebo,1.2346,33.9087
2024-01-17,28.2,18.9,1.1,71,35163.86,Butebo,1.2346,33.9087
2024-01-18,28.4,19.2,0.0,66,23685.93,Butebo,1.2346,33.9087
2024-01-19,29.4,17.5,0.0,64,39385.88,Butebo,1.2346,33.9087
2024-01-20,31.9,20.1,1.2,60,38716.09,Butebo,1.2346,33.9087
2024-01-21,31.4,19.6,5.6,58,35035.04,Butebo,1.2346,33.9087
2024-01-22,30.9,19.0,3.7,66,38063.04,Butebo,1.2346,33.9087
2024-01-23,29.9,19.8,0.5,66,40874.96,Butebo,1.2346,33.9087
2024-01-24,31.5,18.9,0.1,67,39673.55,Butebo,1.2346,33.9087
2024-01-25,32.3,19.9,0.1,64,40886.18,Butebo,1.2346,33.9087
2024-01-26,29.9,19.6,0.7,71,39310.04,Butebo,1.2346,33.9087
2024-01-27,29.9,19.1,2.2,70,40767.64,Butebo,1.2346,33.9087
2024-01-28,33.8,19.4,0.1,60,40903.4,Butebo,1.2346,33.9087
2024-01-29,32.8,18.8,0.0,59,40909.2,Butebo,1.2346,33.9087
2024-01-30,31.8,20.0,1.3,65,40342.34,Butebo,1.2346,33.9087
2024-01-31,32.0,20.2,0.6,61,39414.08,Butebo,1.2346,33.9087
2024-02-01,32.1,20.7,0.5,62,39454.8,Butebo,1.2346,33.9087
2024-02-02,31.4,19.4,2.2,65,38339.23,Butebo,1.2346,33.9087
2024-02-03,30.8,19.9,10.3,71,33516.9,Butebo,1.2346,33.9087
2024-02-04,33.1,19.3,3.0,62,40944.48,Butebo,1.2346,33.9087
2024-02-05,31.8,20.0,0.1,64,40950.59,Butebo,1.2346,33.9087
2024-02-06,32.6,19.2,1.3,65,40956.75,Butebo,1.2346,33.9087
2024-02-07,32.7,19.3,0.0,57,40962.96,Butebo,1.2346,33.9087
2024-02-08,31.7,20.5,3.8,64,40969.22,Butebo,1.2346,33.9087
2024-02-09,33.8,20.6,1.0,57,40975.52,Butebo,1.2346,33.9087
2024-02-10,32.5,20.4,0.5,66,40981.83,Butebo,1.2346,33.9087
2024-02-11,30.3,18.8,12.2,71,40988.15,Butebo,1.2346,33.9087
2024-02-12,32.0,19.9,0.6,65,40576.1,Butebo,1.2346,33.9087
2024-02-13,32.9,20.5,0.2,65,36593.74,Butebo,1.2346,33.9087
2024-02-14,34.8,20.0,0.0,60,39428.33,Butebo,1.2346,33.9087
2024-02-15,29.2,19.9,4.7,74,36841.24,Butebo,1.2346,33.9087
2024-02-16,32.6,19.4,1.0,68,41019.64,Butebo,1.2346,33.9087
2024-02-17,33.4,20.6,0.3,63,41025.86,Butebo,1.2346,33.9087
2024-02-18,32.1,20.5,0.0,64,39403.41,Butebo,1.2346,33.9087
2024-02-19,33.2,20.4,0.1,65,33859.35,Butebo,1.2346,33.9087
2024-02-20,33.3,18.8,0.0,62,41044.2,Butebo,1.2346,33.9087
2024-02-21,36.6,20.7,0.0,53,41050.18,Butebo,1.2346,33.9087
2024-02-22,35.8,20.9,0.0,41,41056.02,Butebo,1.2346,33.9087
2024-02-23,36.0,19.6,0.0,40,32821.41,Butebo,1.2346,33.9087
