time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,24.9,21.3,2.4,79,40989.05,Buvuma,0.244,33.2364
2019-01-02,25.6,20.4,1.2,78,40917.9,Buvuma,0.244,33.2364
2019-01-03,26.3,21.2,1.2,78,40424.14,Buvuma,0.244,33.2364
2019-01-04,26.5,21.9,3.8,78,40520.12,Buvuma,0.244,33.2364
2019-01-05,26.6,23.0,0.0,68,39655.91,Buvuma,0.244,33.2364
2019-01-06,26.5,22.3,0.0,66,40837.68,Buvuma,0.244,33.2364
2019-01-07,27.2,21.0,3.2,72,41000.34,Buvuma,0.244,33.2364
2019-01-08,24.5,20.8,3.9,80,40061.59,Buvuma,0.244,33.2364
2019-01-09,25.7,22.0,0.0,75,41004.83,Buvuma,0.244,33.2364
2019-01-10,26.3,21.1,0.0,75,38125.75,Buvuma,0.244,33.2364
2019-01-11,27.0,22.4,0.0,63,38316.8,Buvuma,0.244,33.2364
2019-01-12,26.9,21.2,0.0,61,41012.08,Buvuma,0.244,33.2364
2019-01-13,26.6,20.3,0.0,70,41014.61,Buvuma,0.244,33.2364
2019-01-14,26.6,22.2,0.0,68,41017.19,Buvuma,0.244,33.2364
2019-01-15,24.5,21.6,7.2,79,40031.48,Buvuma,0.244,33.2364
2019-01-16,23.8,19.3,15.2,85,29912.12,Buvuma,0.244,33.2364
2019-01-17,24.8,20.0,6.1,80,39724.55,Buvuma,0.244,33.2364
2019-01-18,25.0,20.8,5.5,83,38652.47,Buvuma,0.244,33.2364
2019-01-19,24.8,21.0,5.6,84,39624.86,Buvuma,0.244,33.2364
2019-01-20,24.5,21.9,1.1,81,41033.79,Buvuma,0.244,33.2364
2019-01-21,23.8,18.9,13.1,84,32022.15,Buvuma,0.244,33.2364
2019-01-22,25.8,22.4,0.4,80,40543.8,Buvuma,0.244,33.2364
2019-01-23,25.3,22.1,1.0,82,35310.66,Buvuma,0.244,33.2364
2019-01-24,25.7,22.1,1.6,80,36025.35,Buvuma,0.244,33.2364
2019-01-25,26.1,21.4,7.1,79,41050.23,Buvuma,0.244,33.2364
2019-01-26,25.3,22.3,0.8,77,41053.67,Buvuma,0.244,33.2364
2019-01-27,26.2,22.3,0.3,76,41057.15,Buvuma,0.244,33.2364
2019-01-28,27.7,23.5,0.0,72,41060.64,Buvuma,0.244,33.2364
2019-01-29,26.4,22.1,1.5,77,41064.16,Buvuma,0.244,33.2364
2019-01-30,26.0,21.5,1.2,75,41067.69,Buvuma,0.244,33.2364
2019-01-31,27.4,20.5,0.0,73,41071.21,Buvuma,0.244,33.2364
2019-02-01,27.7,22.5,0.0,68,41074.73,Buvuma,0.244,33.2364
2019-02-02,27.6,22.7,0.0,64,41078.24,Buvuma,0.244,33.2364
2019-02-03,27.3,21.4,0.0,71,41081.73,Buvuma,0.244,33.2364
2019-02-04,27.7,24.0,0.0,72,41085.2,Buvuma,0.244,33.2364
2019-02-05,27.3,22.4,0.0,72,40396.55,Buvuma,0.244,33.2364
2019-02-06,26.3,20.9,6.0,76,35745.78,Buvuma,0.244,33.2364
2019-02-07,25.3,21.4,5.5,78,40385.18,Buvuma,0.244,33.2364
2019-02-08,26.9,21.7,1.1,76,39186.13,Buvuma,0.244,33.2364
2019-02-09,27.3,23.6,0.3,75,41101.92,Buvuma,0.244,33.2364
2019-02-10,27.6,21.6,2.8,73,41105.18,Buvuma,0.244,33.2364
2019-02-11,25.9,20.1,21.0,81,36287.52,Buvuma,0.244,33.2364
2019-02-12,27.2,24.0,0.2,72,38832.65,Buvuma,0.244,33.2364
2019-02-13,27.3,22.0,0.0,68,41114.97,Buvuma,0.244,33.2364
2019-02-14,27.4,23.2,0.8,64,41118.22,Buvuma,0.244,33.2364
2019-02-15,27.8,21.6,0.0,64,40776.48,Buvuma,0.244,33.2364
2019-02-16,26.4,20.1,0.0,70,41124.64,Buvuma,0.244,33.2364
2019-02-17,25.8,22.0,3.1,79,40213.89,Buvuma,0.244,33.2364
2019-02-18,26.5,20.4,3.7,79,39297.38,Buvuma,0.244,33.2364
2019-02-19,26.6,21.6,0.9,78,39811.77,Buvuma,0.244,33.2364
2019-02-20,26.9,21.8,1.0,74,41108.14,Buvuma,0.244,33.2364
2019-02-21,25.7,22.2,2.3,79,38884.44,Buvuma,0.244,33.2364
2019-02-22,25.3,21.2,1.2,77,41094.87,Buvuma,0.244,33.2364
2019-02-23,25.1,18.8,33.8,82,31929.15,Buvuma,0.244,33.2364
2019-02-24,23.4,19.3,32.5,86,27212.5,Buvuma,0.244,33.2364
2019-02-25,25.1,20.4,2.0,79,37079.2,Buvuma,0.244,33.2364
2019-02-26,27.2,20.5,0.0,70,41154.07,Buvuma,0.244,33.2364
2019-02-27,28.1,23.9,0.0,69,41156.68,Buvuma,0.244,33.2364
2019-02-28,27.1,23.1,0.0,69,41159.09,Buvuma,0.244,33.2364
2019-03-01,27.5,21.8,0.0,69,38667.12,Buvuma,0.244,33.2364
2019-03-02,26.4,19.9,16.4,83,33442.12,Buvuma,0.244,33.2364
2019-03-03,25.7,21.6,1.7,79,41165.58,Buvuma,0.244,33.2364
2019-03-04,24.7,21.3,6.4,82,37845.93,Buvuma,0.244,33.2364
2019-03-05,25.3,20.7,2.1,80,41169.67,Buvuma,0.244,33.2364
2019-03-06,25.7,21.7,0.9,78,39517.65,Buvuma,0.244,33.2364
2019-03-07,25.4,19.8,11.3,83,39368.27,Buvuma,0.244,33.2364
2019-03-08,25.9,21.8,1.3,72,41175.4,Buvuma,0.244,33.2364
2019-03-09,27.0,23.1,0.1,71,41177.18,Buvuma,0.244,33.2364
2019-03-10,26.5,21.4,3.1,77,41178.9,Buvuma,0.244,33.2364
2019-03-11,26.3,22.1,1.8,77,41180.54,Buvuma,0.244,33.2364
2019-03-12,26.2,21.7,2.6,79,41182.12,Buvuma,0.244,33.2364
2019-03-13,25.4,22.8,8.7,78,41183.63,Buvuma,0.244,33.2364
2019-03-14,27.5,22.4,0.5,71,41185.07,Buvuma,0.244,33.2364
2019-03-15,27.3,23.5,0.0,71,41186.44,Buvuma,0.244,33.2364
2019-03-16,27.1,22.7,0.0,70,41187.72,Buvuma,0.244,33.2364
2019-03-17,26.8,22.0,1.2,75,39787.67,Buvuma,0.244,33.2364
2019-03-18,27.1,23.0,0.3,75,41190.09,Buvuma,0.244,33.2364
2019-03-19,28.7,21.7,0.0,71,41191.16,Buvuma,0.244,33.2364
2019-03-20,27.8,23.1,0.3,72,41192.01,Buvuma,0.244,33.2364
2019-03-21,27.2,22.3,1.1,75,40263.98,Buvuma,0.244,33.2364
2019-03-22,27.8,24.3,0.0,69,41155.61,Buvuma,0.244,33.2364
2019-03-23,28.0,22.7,0.1,76,41193.59,Buvuma,0.244,33.2364
2019-03-24,27.4,23.2,1.0,71,41038.88,Buvuma,0.244,33.2364
2019-03-25,27.1,21.5,1.9,75,41194.31,Buvuma,0.244,33.2364
2019-03-26,26.4,21.4,0.9,76,37762.86,Buvuma,0.244,33.2364
2019-03-27,25.4,22.1,1.7,78,39060.87,Buvuma,0.244,33.2364
2019-03-28,25.4,19.6,12.7,83,33544.02,Buvuma,0.244,33.2364
2019-03-29,26.6,20.9,8.9,80,40624.37,Buvuma,0.244,33.2364
2019-03-30,25.1,19.7,11.7,82,26803.29,Buvuma,0.244,33.2364
2019-03-31,25.9,20.3,12.0,80,38895.6,Buvuma,0.244,33.2364
2019-04-01,25.4,21.3,6.2,82,38874.25,Buvuma,0.244,33.2364
2019-04-02,24.8,19.6,24.5,84,30224.32,Buvuma,0.244,33.2364
2019-04-03,25.7,21.1,3.2,82,36112.88,Buvuma,0.244,33.2364
2019-04-04,25.5,22.0,0.2,79,38416.43,Buvuma,0.244,33.2364
2019-04-05,25.9,20.5,13.5,80,39364.12,Buvuma,0.244,33.2364
2019-04-06,27.9,22.9,0.0,71,41192.96,Buvuma,0.244,33.2364
2019-04-07,28.3,21.0,5.7,76,40334.96,Buvuma,0.244,33.2364
2019-04-08,26.6,20.9,7.7,81,37303.46,Buvuma,0.244,33.2364
2019-04-09,25.7,19.9,23.2,84,33253.55,Buvuma,0.244,33.2364
2019-04-10,25.0,19.0,22.5,85,30237.04,Buvuma,0.244,33.2364
2019-04-11,25.3,20.2,7.3,84,33967.01,Buvuma,0.244,33.2364
