time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,28.7,18.2,0.0,65,40602.97,Buyende,1.2739,33.5158
2023-01-02,29.4,19.3,0.0,52,39570.8,Buyende,1.2739,33.5158
2023-01-03,29.6,20.3,0.0,60,39996.84,Buyende,1.2739,33.5158
2023-01-04,29.6,18.6,0.0,60,39514.53,Buyende,1.2739,33.5158
2023-01-05,31.4,21.7,0.0,46,40409.81,Buyende,1.2739,33.5158
2023-01-06,29.5,20.7,0.0,53,40787.39,Buyende,1.2739,33.5158
2023-01-07,31.8,18.7,0.0,47,39665.02,Buyende,1.2739,33.5158
2023-01-08,29.7,19.0,0.0,62,40794.36,Buyende,1.2739,33.5158
2023-01-09,28.4,19.4,0.1,68,40564.95,Buyende,1.2739,33.5158
2023-01-10,26.5,19.5,7.3,73,40368.41,Buyende,1.2739,33.5158
2023-01-11,27.6,18.6,0.2,71,40527.7,Buyende,1.2739,33.5158
2023-01-12,27.8,19.8,0.1,70,40809.94,Buyende,1.2739,33.5158
2023-01-13,27.9,19.5,0.3,71,40814.14,Buyende,1.2739,33.5158
2023-01-14,28.4,18.9,0.2,69,40818.43,Buyende,1.2739,33.5158
2023-01-15,28.6,18.2,0.0,69,40822.83,Buyende,1.2739,33.5158
2023-01-16,26.1,19.9,0.1,73,40827.32,Buyende,1.2739,33.5158
2023-01-17,29.5,17.9,0.0,63,40831.89,Buyende,1.2739,33.5158
2023-01-18,28.9,19.2,0.0,65,39332.42,Buyende,1.2739,33.5158
2023-01-19,30.7,19.3,0.0,63,40841.72,Buyende,1.2739,33.5158
2023-01-20,29.5,20.1,0.0,63,40846.96,Buyende,1.2739,33.5158
2023-01-21,32.6,19.1,0.0,57,36008.17,Buyende,1.2739,33.5158
2023-01-22,28.1,20.5,1.3,64,40857.88,Buyende,1.2739,33.5158
2023-01-23,30.1,18.0,0.0,67,39835.01,Buyende,1.2739,33.5158
2023-01-24,30.1,20.2,0.0,66,40869.29,Buyende,1.2739,33.5158
2023-01-25,32.3,19.1,0.0,63,40875.15,Buyende,1.2739,33.5158
2023-01-26,31.9,19.0,0.0,62,40180.47,Buyende,1.2739,33.5158
2023-01-27,30.4,20.2,0.0,62,40887.14,Buyende,1.2739,33.5158
2023-01-28,32.3,19.6,0.0,49,40893.23,Buyende,1.2739,33.5158
2023-01-29,33.2,21.4,0.0,46,40899.39,Buyende,1.2739,33.5158
2023-01-30,31.3,19.2,0.0,56,40905.59,Buyende,1.2739,33.5158
2023-01-31,31.7,19.8,0.0,57,40911.82,Buyende,1.2739,33.5158
2023-02-01,30.2,20.7,0.0,64,40918.08,Buyende,1.2739,33.5158
2023-02-02,31.1,20.2,0.1,61,40924.35,Buyende,1.2739,33.5158
2023-02-03,30.1,20.2,0.0,64,40930.63,Buyende,1.2739,33.5158
2023-02-04,29.0,20.2,0.2,64,40936.9,Buyende,1.2739,33.5158
2023-02-05,30.1,19.5,0.0,59,40232.14,Buyende,1.2739,33.5158
2023-02-06,30.9,20.4,0.0,57,40949.41,Buyende,1.2739,33.5158
2023-02-07,30.4,20.8,0.0,61,40955.6,Buyende,1.2739,33.5158
2023-02-08,30.2,21.0,0.0,63,40961.82,Buyende,1.2739,33.5158
2023-02-09,30.3,20.1,0.1,65,40968.11,Buyende,1.2739,33.5158
2023-02-10,32.4,19.9,0.0,62,40974.45,Buyende,1.2739,33.5158
2023-02-11,34.9,21.1,0.0,52,40980.84,Buyende,1.2739,33.5158
2023-02-12,34.5,19.7,0.0,41,40987.26,Buyende,1.2739,33.5158
2023-02-13,33.7,21.3,0.0,34,40993.71,Buyende,1.2739,33.5158
2023-02-14,33.2,21.2,0.0,38,41000.17,Buyende,1.2739,33.5158
2023-02-15,32.8,21.1,0.0,45,41006.63,Buyende,1.2739,33.5158
2023-02-16,33.4,22.4,0.0,39,34052.35,Buyende,1.2739,33.5158
2023-02-17,32.8,21.8,0.0,52,41019.54,Buyende,1.2739,33.5158
2023-02-18,33.4,19.7,0.0,52,38103.69,Buyende,1.2739,33.5158
2023-02-19,35.0,20.7,0.0,35,33338.34,Buyende,1.2739,33.5158
2023-02-20,34.7,23.4,0.0,33,39614.48,Buyende,1.2739,33.5158
2023-02-21,33.5,21.6,0.0,50,39198.82,Buyende,1.2739,33.5158
2023-02-22,34.1,22.7,0.0,51,37843.62,Buyende,1.2739,33.5158
2023-02-23,32.8,22.3,0.0,59,41057.5,Buyende,1.2739,33.5158
2023-02-24,31.9,22.3,0.0,59,41063.65,Buyende,1.2739,33.5158
2023-02-25,30.5,22.1,0.7,60,41069.72,Buyende,1.2739,33.5158
2023-02-26,34.0,21.9,0.1,58,39956.12,Buyende,1.2739,33.5158
2023-02-27,29.1,21.4,5.5,70,34250.62,Buyende,1.2739,33.5158
2023-02-28,29.9,20.4,0.3,68,38520.47,Buyende,1.2739,33.5158
2023-03-01,28.6,20.5,0.2,69,36947.23,Buyende,1.2739,33.5158
2023-03-02,28.3,21.6,0.2,71,39450.79,Buyende,1.2739,33.5158
2023-03-03,27.9,20.1,1.8,74,40754.58,Buyende,1.2739,33.5158
2023-03-04,28.9,20.7,0.5,71,41109.52,Buyende,1.2739,33.5158
2023-03-05,32.2,20.5,0.0,67,41115.03,Buyende,1.2739,33.5158
2023-03-06,35.1,20.2,0.0,57,41120.5,Buyende,1.2739,33.5158
2023-03-07,34.5,20.6,0.0,49,41125.93,Buyende,1.2739,33.5158
2023-03-08,35.0,21.6,0.0,48,40322.99,Buyende,1.2739,33.5158
2023-03-09,31.8,23.3,0.0,55,41136.61,Buyende,1.2739,33.5158
2023-03-10,29.4,20.5,5.5,64,37702.0,Buyende,1.2739,33.5158
2023-03-11,28.8,22.4,2.4,66,38443.92,Buyende,1.2739,33.5158
2023-03-12,24.6,19.6,69.3,82,16292.45,Buyende,1.2739,33.5158
2023-03-13,29.0,19.8,0.0,71,41157.2,Buyende,1.2739,33.5158
2023-03-14,24.0,20.0,27.0,83,17167.65,Buyende,1.2739,33.5158
2023-03-15,24.2,19.8,7.6,79,30729.32,Buyende,1.2739,33.5158
2023-03-16,27.9,19.9,4.5,73,37315.34,Buyende,1.2739,33.5158
2023-03-17,27.9,19.8,13.2,73,38126.63,Buyende,1.2739,33.5158
2023-03-18,25.1,20.1,6.6,77,25138.15,Buyende,1.2739,33.5158
2023-03-19,27.3,19.3,0.0,74,38203.22,Buyende,1.2739,33.5158
2023-03-20,24.8,19.7,17.5,81,35964.36,Buyende,1.2739,33.5158
2023-03-21,26.6,19.5,4.5,74,26954.65,Buyende,1.2739,33.5158
2023-03-22,28.0,19.5,0.3,73,38086.51,Buyende,1.2739,33.5158
2023-03-23,24.9,20.7,24.8,81,22111.07,Buyende,1.2739,33.5158
2023-03-24,27.5,19.7,0.2,74,35732.59,Buyende,1.2739,33.5158
2023-03-25,28.7,20.5,1.9,77,32646.74,Buyende,1.2739,33.5158
2023-03-26,25.5,19.8,2.3,81,31966.76,Buyende,1.2739,33.5158
2023-03-27,28.2,20.3,4.5,73,39364.43,Buyende,1.2739,33.5158
2023-03-28,26.6,19.5,4.4,76,41034.49,Buyende,1.2739,33.5158
2023-03-29,27.5,18.5,0.7,74,41224.22,Buyende,1.2739,33.5158
2023-03-30,29.8,20.6,0.0,72,40486.23,Buyende,1.2739,33.5158
2023-03-31,27.5,20.1,28.1,77,36919.66,Buyende,1.2739,33.5158
2023-04-01,26.0,19.8,24.1,78,38588.45,Buyende,1.2739,33.5158
2023-04-02,28.1,19.8,0.1,73,40313.56,Buyende,1.2739,33.5158
2023-04-03,26.9,20.7,20.2,79,33790.5,Buyende,1.2739,33.5158
2023-04-04,28.0,20.4,4.6,78,30408.68,Buyende,1.2739,33.5158
2023-04-05,28.9,19.8,2.0,74,41055.14,Buyende,1.2739,33.5158
2023-04-06,27.9,19.6,0.6,73,38758.66,Buyende,1.2739,33.5158
2023-04-07,29.7,20.0,0.1,71,41252.77,Buyende,1.2739,33.5158
2023-04-08,29.9,20.4,0.1,70,41255.41,Buyende,1.2739,33.5158
2023-04-09,31.2,21.9,1.0,72,40665.55,Buyende,1.2739,33.5158
2023-04-10,30.4,20.7,0.1,71,41241.49,Buyende,1.2739,33.5158
2023-04-11,31.3,20.6,0.0,70,40585.67,Buyende,1.2739,33.5158
2023-04-12,29.4,21.4,0.1,71,40824.11,Buyende,1.2739,33.5158
2023-04-13,28.8,21.1,0.4,70,40285.14,Buyende,1.2739,33.5158
2023-04-14,28.1,20.9,1.3,73,33900.02,Buyende,1.2739,33.5158
2023-04-15,29.3,21.0,0.0,70,40978.56,Buyende,1.2739,33.5158
2023-04-16,29.1,21.1,1.5,72,39786.55,Buyende,1.2739,33.5158
2023-04-17,27.8,21.1,12.2,75,40787.5,Buyende,1.2739,33.5158
2023-04-18,26.6,20.3,3.4,79,36042.39,Buyende,1.2739,33.5158
2023-04-19,28.7,20.5,0.1,74,40815.02,Buyende,1.2739,33.5158
2023-04-20,29.9,20.3,0.4,72,41044.45,Buyende,1.2739,33.5158
2023-04-21,28.9,21.4,0.0,75,35950.32,Buyende,1.2739,33.5158
2023-04-22,25.6,21.2,4.7,81,21918.24,Buyende,1.2739,33.5158
2023-04-23,24.2,20.6,17.2,83,5403.59,Buyende,1.2739,33.5158
2023-04-24,26.6,20.9,6.1,82,25024.78,Buyende,1.2739,33.5158
2023-04-25,26.6,20.2,31.1,84,26454.38,Buyende,1.2739,33.5158
2023-04-26,26.7,20.3,2.5,78,22783.47,Buyende,1.2739,33.5158
2023-04-27,27.0,20.3,7.6,80,39613.45,Buyende,1.2739,33.5158
2023-04-28,27.7,20.6,18.6,77,40780.12,Buyende,1.2739,33.5158
2023-04-29,24.9,20.1,22.3,82,19951.17,Buyende,1.2739,33.5158
2023-04-30,22.0,20.1,17.0,86,6131.83,Buyende,1.2739,33.5158
2023-05-01,23.6,19.5,7.8,83,20902.13,Buyende,1.2739,33.5158
2023-05-02,25.9,19.2,6.8,81,25725.19,Buyende,1.2739,33.5158
2023-05-03,26.8,19.7,2.7,79,39730.42,Buyende,1.2739,33.5158
2023-05-04,25.2,19.6,10.3,84,40361.04,Buyende,1.2739,33.5158
2023-05-05,27.7,19.5,5.4,77,39838.13,Buyende,1.2739,33.5158
2023-05-06,27.4,19.4,4.5,79,40362.56,Buyende,1.2739,33.5158
2023-05-07,27.7,20.6,0.6,74,40886.15,Buyende,1.2739,33.5158
2023-05-08,28.2,20.4,4.9,76,40573.16,Buyende,1.2739,33.5158
2023-05-09,27.8,20.9,0.6,78,40469.45,Buyende,1.2739,33.5158
