time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2022-01-01,28.5,19.4,2.4,71,32708.99,Dokolo,1.9167,33.1667
2022-01-02,30.8,17.4,0.0,70,38839.16,Dokolo,1.9167,33.1667
2022-01-03,33.4,18.6,0.0,57,40416.44,Dokolo,1.9167,33.1667
2022-01-04,32.5,18.9,0.0,51,37132.16,Dokolo,1.9167,33.1667
2022-01-05,32.5,17.9,0.0,46,39217.3,Dokolo,1.9167,33.1667
2022-01-06,32.1,17.0,0.0,47,37512.62,Dokolo,1.9167,33.1667
2022-01-07,32.9,19.5,0.0,46,35977.12,Dokolo,1.9167,33.1667
2022-01-08,34.5,19.8,0.0,36,37585.45,Dokolo,1.9167,33.1667
2022-01-09,35.0,19.2,0.0,32,35988.14,Dokolo,1.9167,33.1667
2022-01-10,34.9,19.4,0.0,33,40046.53,Dokolo,1.9167,33.1667
2022-01-11,34.4,20.2,0.0,30,38211.14,Dokolo,1.9167,33.1667
2022-01-12,34.4,20.3,0.0,32,40250.69,Dokolo,1.9167,33.1667
2022-01-13,34.8,21.3,0.0,28,40694.76,Dokolo,1.9167,33.1667
2022-01-14,33.1,20.2,1.9,48,40214.96,Dokolo,1.9167,33.1667
2022-01-15,31.8,19.0,0.5,63,33520.54,Dokolo,1.9167,33.1667
2022-01-16,31.6,19.2,5.8,69,38263.84,Dokolo,1.9167,33.1667
2022-01-17,21.5,16.9,26.0,96,9.62,Dokolo,1.9167,33.1667
2022-01-18,27.1,15.4,3.7,81,24690.18,Dokolo,1.9167,33.1667
2022-01-19,29.1,15.8,0.0,75,38274.22,Dokolo,1.9167,33.1667
2022-01-20,29.5,16.4,0.3,63,39585.36,Dokolo,1.9167,33.1667
2022-01-21,30.3,16.5,0.0,51,37529.22,Dokolo,1.9167,33.1667
2022-01-22,30.5,16.6,0.0,54,36863.95,Dokolo,1.9167,33.1667
2022-01-23,30.7,17.1,0.0,50,40756.82,Dokolo,1.9167,33.1667
2022-01-24,31.5,16.6,0.0,61,38655.15,Dokolo,1.9167,33.1667
2022-01-25,33.1,18.5,0.0,38,38530.94,Dokolo,1.9167,33.1667
2022-01-26,33.7,18.5,0.0,37,40304.72,Dokolo,1.9167,33.1667
2022-01-27,33.1,18.3,0.0,37,34789.04,Dokolo,1.9167,33.1667
2022-01-28,32.6,17.9,0.0,40,36609.16,Dokolo,1.9167,33.1667
2022-01-29,33.9,17.4,0.0,44,35640.36,Dokolo,1.9167,33.1667
2022-01-30,32.2,17.9,0.1,61,39751.97,Dokolo,1.9167,33.1667
2022-01-31,29.7,18.7,0.3,66,28667.77,Dokolo,1.9167,33.1667
2022-02-01,29.4,19.6,0.0,64,21118.7,Dokolo,1.9167,33.1667
2022-02-02,31.7,18.9,0.4,58,40833.0,Dokolo,1.9167,33.1667
2022-02-03,30.9,19.3,0.6,59,39271.93,Dokolo,1.9167,33.1667
2022-02-04,32.1,18.9,0.0,47,39198.43,Dokolo,1.9167,33.1667
2022-02-05,31.4,19.2,0.0,62,40158.55,Dokolo,1.9167,33.1667
2022-02-06,31.2,18.7,0.0,61,40157.98,Dokolo,1.9167,33.1667
2022-02-07,31.8,17.7,0.0,38,40184.75,Dokolo,1.9167,33.1667
