time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2017-01-01,33.9,20.7,0.0,29,34478.79,Gulu,2.7746,32.298
2017-01-02,33.3,19.8,0.0,42,40475.22,Gulu,2.7746,32.298
2017-01-03,33.3,19.1,0.0,46,40479.14,Gulu,2.7746,32.298
2017-01-04,34.1,19.3,0.0,24,40483.33,Gulu,2.7746,32.298
2017-01-05,34.1,20.1,0.0,20,40487.75,Gulu,2.7746,32.298
2017-01-06,33.8,18.6,0.0,22,40492.42,Gulu,2.7746,32.298
2017-01-07,34.2,20.6,0.0,21,37861.04,Gulu,2.7746,32.298
2017-01-08,34.1,19.9,0.0,20,40297.59,Gulu,2.7746,32.298
2017-01-09,33.9,18.7,0.0,22,40507.94,Gulu,2.7746,32.298
2017-01-10,33.4,19.7,0.0,26,40514.0,Gulu,2.7746,32.298
2017-01-11,33.6,19.4,0.0,23,40520.35,Gulu,2.7746,32.298
2017-01-12,33.7,20.1,0.0,21,40527.02,Gulu,2.7746,32.298
2017-01-13,33.4,20.2,0.0,24,35316.01,Gulu,2.7746,32.298
2017-01-14,34.1,20.7,0.0,23,40541.17,Gulu,2.7746,32.298
2017-01-15,34.7,21.1,0.0,25,40548.62,Gulu,2.7746,32.298
2017-01-16,35.2,20.1,0.0,22,40556.32,Gulu,2.7746,32.298
2017-01-17,34.7,20.8,0.0,20,40564.23,Gulu,2.7746,32.298
2017-01-18,34.7,20.0,0.0,23,40572.35,Gulu,2.7746,32.298
2017-01-19,34.4,20.6,0.0,26,36741.45,Gulu,2.7746,32.298
2017-01-20,35.1,21.1,0.0,29,40589.12,Gulu,2.7746,32.298
2017-01-21,35.0,20.9,0.0,25,38663.15,Gulu,2.7746,32.298
2017-01-22,35.1,21.1,0.0,28,40606.53,Gulu,2.7746,32.298
2017-01-23,35.5,21.4,0.0,25,40615.44,Gulu,2.7746,32.298
2017-01-24,35.6,21.4,0.0,25,40624.46,Gulu,2.7746,32.298
2017-01-25,35.1,20.8,0.0,25,40633.58,Gulu,2.7746,32.298
2017-01-26,34.1,19.2,0.0,28,40642.79,Gulu,2.7746,32.298
2017-01-27,34.2,19.7,0.0,28,40652.07,Gulu,2.7746,32.298
2017-01-28,33.3,20.8,0.6,32,40661.42,Gulu,2.7746,32.298
2017-01-29,32.1,21.1,0.5,47,40287.86,Gulu,2.7746,32.298
2017-01-30,32.1,19.7,0.8,58,40054.85,Gulu,2.7746,32.298
2017-01-31,31.8,20.2,1.2,53,40690.37,Gulu,2.7746,32.298
2017-02-01,33.0,20.1,0.6,52,40700.41,Gulu,2.7746,32.298
2017-02-02,31.6,20.6,0.3,49,40710.59,Gulu,2.7746,32.298
2017-02-03,32.6,20.4,0.0,41,40720.93,Gulu,2.7746,32.298
2017-02-04,30.7,19.5,0.2,47,40731.38,Gulu,2.7746,32.298
2017-02-05,33.6,20.4,0.0,38,40741.95,Gulu,2.7746,32.298
2017-02-06,33.9,20.5,0.0,36,40752.61,Gulu,2.7746,32.298
2017-02-07,34.7,21.6,0.0,33,40763.35,Gulu,2.7746,32.298
2017-02-08,35.1,21.5,0.0,30,40774.15,Gulu,2.7746,32.298
2017-02-09,34.7,21.8,0.0,30,38098.76,Gulu,2.7746,32.298
