time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2018-01-01,28.4,17.6,0.0,62,39773.51,Hoima,1.4356,31.352
2018-01-02,28.2,17.1,0.0,60,40036.25,Hoima,1.4356,31.352
2018-01-03,28.7,18.4,0.0,53,38850.8,Hoima,1.4356,31.352
2018-01-04,28.7,18.4,0.0,54,38327.62,Hoima,1.4356,31.352
2018-01-05,29.4,18.1,0.0,49,38460.46,Hoima,1.4356,31.352
2018-01-06,28.9,19.6,0.0,41,39243.28,Hoima,1.4356,31.352
2018-01-07,28.9,18.4,0.0,44,40762.61,Hoima,1.4356,31.352
2018-01-08,29.7,19.4,0.0,43,40766.47,Hoima,1.4356,31.352
2018-01-09,30.3,17.3,0.0,37,40770.52,Hoima,1.4356,31.352
2018-01-10,30.3,17.0,0.0,36,40774.73,Hoima,1.4356,31.352
2018-01-11,31.2,19.8,0.0,36,38142.43,Hoima,1.4356,31.352
2018-01-12,29.7,19.1,0.0,59,33463.26,Hoima,1.4356,31.352
2018-01-13,29.7,19.5,0.0,56,38613.08,Hoima,1.4356,31.352
2018-01-14,29.4,18.3,0.0,63,40393.49,Hoima,1.4356,31.352
2018-01-15,30.2,19.4,0.0,48,39866.0,Hoima,1.4356,31.352
2018-01-16,30.2,18.2,0.0,49,40678.64,Hoima,1.4356,31.352
2018-01-17,31.1,18.3,0.0,39,40808.38,Hoima,1.4356,31.352
2018-01-18,31.5,18.2,0.0,36,40813.65,Hoima,1.4356,31.352
2018-01-19,30.4,17.3,0.0,42,40819.01,Hoima,1.4356,31.352
2018-01-20,29.8,20.2,0.0,44,38807.53,Hoima,1.4356,31.352
2018-01-21,29.1,17.7,0.3,57,40516.62,Hoima,1.4356,31.352
2018-01-22,31.1,17.5,0.9,57,39691.54,Hoima,1.4356,31.352
2018-01-23,30.8,19.4,0.0,48,39857.92,Hoima,1.4356,31.352
2018-01-24,28.7,19.9,0.8,60,39129.27,Hoima,1.4356,31.352
2018-01-25,28.5,18.7,0.0,59,40570.34,Hoima,1.4356,31.352
2018-01-26,29.2,17.7,0.2,63,40227.32,Hoima,1.4356,31.352
2018-01-27,29.9,18.7,0.0,56,39650.08,Hoima,1.4356,31.352
2018-01-28,31.3,18.4,0.0,48,40251.3,Hoima,1.4356,31.352
2018-01-29,31.2,18.4,0.0,53,40262.32,Hoima,1.4356,31.352
2018-01-30,30.8,18.3,0.0,38,40155.74,Hoima,1.4356,31.352
2018-01-31,32.2,21.3,0.0,29,40165.79,Hoima,1.4356,31.352
2018-02-01,32.2,20.3,0.0,33,40175.15,Hoima,1.4356,31.352
2018-02-02,32.4,20.1,0.0,48,37803.58,Hoima,1.4356,31.352
2018-02-03,33.2,21.3,0.0,42,39959.84,Hoima,1.4356,31.352
2018-02-04,32.5,19.4,0.0,44,40663.07,Hoima,1.4356,31.352
2018-02-05,32.5,21.1,0.0,38,39511.63,Hoima,1.4356,31.352
2018-02-06,32.8,21.7,0.0,38,40212.39,Hoima,1.4356,31.352
2018-02-07,33.5,19.9,0.0,42,40202.95,Hoima,1.4356,31.352
2018-02-08,34.4,18.5,0.0,51,40107.29,Hoima,1.4356,31.352
2018-02-09,33.0,19.6,0.0,49,40111.58,Hoima,1.4356,31.352
2018-02-10,34.2,18.7,0.0,46,40807.63,Hoima,1.4356,31.352
2018-02-11,32.3,18.9,0.0,54,37083.02,Hoima,1.4356,31.352
2018-02-12,32.6,19.6,0.0,46,37019.59,Hoima,1.4356,31.352
2018-02-13,32.9,20.4,0.0,52,35154.68,Hoima,1.4356,31.352
2018-02-14,34.2,20.0,0.0,41,36909.16,Hoima,1.4356,31.352
2018-02-15,34.1,19.7,0.0,46,40584.84,Hoima,1.4356,31.352
2018-02-16,33.5,19.1,0.0,40,40815.74,Hoima,1.4356,31.352
2018-02-17,32.3,20.9,0.1,43,40274.16,Hoima,1.4356,31.352
2018-02-18,31.2,22.1,2.3,56,29943.59,Hoima,1.4356,31.352
2018-02-19,31.7,20.3,2.4,62,35209.37,Hoima,1.4356,31.352
2018-02-20,30.0,20.6,2.2,67,32605.66,Hoima,1.4356,31.352
2018-02-21,29.5,20.7,0.6,72,32053.85,Hoima,1.4356,31.352
2018-02-22,28.6,18.3,1.3,75,38784.93,Hoima,1.4356,31.352
2018-02-23,30.9,19.0,0.7,71,38942.31,Hoima,1.4356,31.352
2018-02-24,30.9,19.6,3.4,74,40320.79,Hoima,1.4356,31.352
