time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2022-01-01,24.1,16.0,4.7,80,25982.78,Ibanda,-0.1191,30.4994
2022-01-02,24.9,14.9,0.6,72,41062.12,Ibanda,-0.1191,30.4994
2022-01-03,25.5,15.2,1.1,71,34789.45,Ibanda,-0.1191,30.4994
2022-01-04,26.1,15.4,0.0,65,37464.75,Ibanda,-0.1191,30.4994
2022-01-05,26.1,14.5,0.0,63,40797.62,Ibanda,-0.1191,30.4994
2022-01-06,26.3,14.6,0.0,58,41068.01,Ibanda,-0.1191,30.4994
2022-01-07,26.8,17.5,0.2,57,38478.78,Ibanda,-0.1191,30.4994
2022-01-08,27.6,18.2,0.1,55,34070.32,Ibanda,-0.1191,30.4994
2022-01-09,27.8,16.2,0.0,55,37127.39,Ibanda,-0.1191,30.4994
2022-01-10,28.9,16.9,0.0,51,34215.79,Ibanda,-0.1191,30.4994
2022-01-11,29.4,17.5,0.0,51,32213.7,Ibanda,-0.1191,30.4994
2022-01-12,30.2,16.9,0.0,50,36216.81,Ibanda,-0.1191,30.4994
2022-01-13,29.7,17.3,0.0,49,39975.64,Ibanda,-0.1191,30.4994
2022-01-14,26.2,17.6,0.4,65,22165.72,Ibanda,-0.1191,30.4994
2022-01-15,27.7,17.0,1.5,64,35734.68,Ibanda,-0.1191,30.4994
2022-01-16,25.7,16.1,6.7,73,33930.87,Ibanda,-0.1191,30.4994
2022-01-17,23.1,14.6,0.2,81,9326.27,Ibanda,-0.1191,30.4994
2022-01-18,22.4,15.1,17.8,84,23718.63,Ibanda,-0.1191,30.4994
2022-01-19,25.3,13.5,2.6,78,35964.64,Ibanda,-0.1191,30.4994
2022-01-20,25.0,15.2,0.2,70,39268.43,Ibanda,-0.1191,30.4994
2022-01-21,25.9,15.4,0.0,63,40711.86,Ibanda,-0.1191,30.4994
2022-01-22,27.3,15.0,0.0,59,25200.0,Ibanda,-0.1191,30.4994
2022-01-23,26.0,16.2,0.4,60,39135.33,Ibanda,-0.1191,30.4994
2022-01-24,26.5,15.5,0.0,62,31192.68,Ibanda,-0.1191,30.4994
2022-01-25,28.4,17.0,0.0,55,32400.0,Ibanda,-0.1191,30.4994
2022-01-26,29.6,15.0,0.0,48,41111.48,Ibanda,-0.1191,30.4994
2022-01-27,28.6,17.3,0.0,50,37942.69,Ibanda,-0.1191,30.4994
2022-01-28,29.5,16.4,0.0,50,31095.2,Ibanda,-0.1191,30.4994
2022-01-29,29.1,16.0,0.0,48,28053.15,Ibanda,-0.1191,30.4994
2022-01-30,28.1,17.8,0.0,48,24269.39,Ibanda,-0.1191,30.4994
2022-01-31,25.3,16.8,0.5,62,4875.12,Ibanda,-0.1191,30.4994
2022-02-01,25.8,14.8,0.2,65,22790.61,Ibanda,-0.1191,30.4994
2022-02-02,26.2,17.2,0.1,60,21312.93,Ibanda,-0.1191,30.4994
2022-02-03,28.4,16.3,0.0,57,29331.46,Ibanda,-0.1191,30.4994
2022-02-04,28.9,17.0,0.0,51,35529.64,Ibanda,-0.1191,30.4994
2022-02-05,26.0,17.8,0.0,59,29189.24,Ibanda,-0.1191,30.4994
2022-02-06,27.6,15.6,0.1,58,40838.22,Ibanda,-0.1191,30.4994
2022-02-07,26.2,17.0,0.0,56,24391.4,Ibanda,-0.1191,30.4994
2022-02-08,28.3,16.4,0.0,56,27448.15,Ibanda,-0.1191,30.4994
2022-02-09,25.8,19.2,2.4,64,29395.32,Ibanda,-0.1191,30.4994
2022-02-10,28.1,17.5,0.0,52,32400.0,Ibanda,-0.1191,30.4994
2022-02-11,28.0,17.9,1.0,58,30723.78,Ibanda,-0.1191,30.4994
2022-02-12,27.9,17.1,0.0,59,31425.83,Ibanda,-0.1191,30.4994
2022-02-13,29.4,16.1,0.0,55,39305.4,Ibanda,-0.1191,30.4994
2022-02-14,28.8,16.6,0.1,53,37994.93,Ibanda,-0.1191,30.4994
2022-02-15,28.2,17.0,0.1,57,40504.81,Ibanda,-0.1191,30.4994
2022-02-16,29.5,17.1,0.0,54,37649.62,Ibanda,-0.1191,30.4994
2022-02-17,28.6,15.9,0.6,59,39935.82,Ibanda,-0.1191,30.4994
2022-02-18,27.6,17.9,2.0,66,29730.23,Ibanda,-0.1191,30.4994
