time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,29.2,17.9,0.0,68,40566.46,Iganga,0.6092,33.4686
2025-01-02,30.4,18.2,0.2,71,40891.08,Iganga,0.6092,33.4686
2025-01-03,30.9,18.6,0.0,70,40922.43,Iganga,0.6092,33.4686
2025-01-04,30.1,17.7,0.1,69,40735.37,Iganga,0.6092,33.4686
2025-01-05,31.0,17.9,0.0,67,40926.27,Iganga,0.6092,33.4686
2025-01-06,32.7,18.6,0.0,61,40928.33,Iganga,0.6092,33.4686
2025-01-07,29.8,18.8,5.0,74,40930.67,Iganga,0.6092,33.4686
2025-01-08,29.6,18.3,1.6,72,40933.39,Iganga,0.6092,33.4686
2025-01-09,30.2,18.3,0.1,73,39180.16,Iganga,0.6092,33.4686
2025-01-10,28.8,18.4,7.1,80,33217.77,Iganga,0.6092,33.4686
2025-01-11,28.4,17.7,3.1,80,40942.37,Iganga,0.6092,33.4686
2025-01-12,27.2,17.8,2.3,82,39954.07,Iganga,0.6092,33.4686
2025-01-13,27.8,17.5,0.3,76,40948.96,Iganga,0.6092,33.4686
2025-01-14,29.4,17.9,2.2,74,40798.24,Iganga,0.6092,33.4686
2025-01-15,31.3,16.6,0.0,58,40955.94,Iganga,0.6092,33.4686
2025-01-16,32.4,17.4,0.0,56,40959.56,Iganga,0.6092,33.4686
2025-01-17,30.7,17.1,0.0,61,40963.25,Iganga,0.6092,33.4686
2025-01-18,29.5,17.1,0.0,67,40632.1,Iganga,0.6092,33.4686
2025-01-19,30.5,17.9,0.8,68,40970.84,Iganga,0.6092,33.4686
2025-01-20,28.3,18.5,1.7,77,40974.7,Iganga,0.6092,33.4686
2025-01-21,29.2,17.7,8.3,75,40978.61,Iganga,0.6092,33.4686
2025-01-22,27.9,18.0,12.6,81,40962.99,Iganga,0.6092,33.4686
2025-01-23,27.1,17.6,0.7,80,40986.52,Iganga,0.6092,33.4686
2025-01-24,28.6,17.0,1.4,80,40990.5,Iganga,0.6092,33.4686
2025-01-25,27.2,17.9,7.3,80,40459.25,Iganga,0.6092,33.4686
2025-01-26,27.4,18.1,2.8,80,26148.72,Iganga,0.6092,33.4686
2025-01-27,29.0,16.3,0.0,71,41002.55,Iganga,0.6092,33.4686
2025-01-28,27.0,17.3,9.3,77,40429.59,Iganga,0.6092,33.4686
2025-01-29,27.9,17.6,0.8,70,41011.0,Iganga,0.6092,33.4686
2025-01-30,27.3,18.1,1.3,76,35014.54,Iganga,0.6092,33.4686
2025-01-31,26.7,17.2,12.0,78,41019.7,Iganga,0.6092,33.4686
2025-02-01,27.0,17.6,14.6,81,41024.12,Iganga,0.6092,33.4686
2025-02-02,27.7,18.6,2.8,80,40394.78,Iganga,0.6092,33.4686
2025-02-03,29.8,17.3,0.2,74,41033.07,Iganga,0.6092,33.4686
2025-02-04,29.8,18.8,0.0,71,41037.57,Iganga,0.6092,33.4686
2025-02-05,30.6,18.6,0.0,76,41042.09,Iganga,0.6092,33.4686
2025-02-06,31.5,17.6,0.0,71,41046.61,Iganga,0.6092,33.4686
2025-02-07,29.6,18.4,0.3,74,41051.12,Iganga,0.6092,33.4686
2025-02-08,28.5,18.5,1.3,79,41055.62,Iganga,0.6092,33.4686
2025-02-09,28.3,17.3,3.6,78,41060.11,Iganga,0.6092,33.4686
2025-02-10,31.3,18.4,0.6,73,41064.56,Iganga,0.6092,33.4686
2025-02-11,33.2,19.5,0.0,68,41068.98,Iganga,0.6092,33.4686
2025-02-12,32.4,21.1,0.0,62,40942.9,Iganga,0.6092,33.4686
2025-02-13,30.4,20.0,1.4,71,41077.69,Iganga,0.6092,33.4686
2025-02-14,32.0,20.0,0.2,64,41081.96,Iganga,0.6092,33.4686
2025-02-15,29.8,20.4,4.8,68,41086.2,Iganga,0.6092,33.4686
2025-02-16,31.4,18.4,0.0,65,41090.29,Iganga,0.6092,33.4686
2025-02-17,29.8,18.7,5.5,75,41094.27,Iganga,0.6092,33.4686
2025-02-18,32.3,18.2,0.0,66,41098.25,Iganga,0.6092,33.4686
2025-02-19,32.1,18.6,0.0,63,41102.23,Iganga,0.6092,33.4686
2025-02-20,32.8,16.7,0.0,65,41106.19,Iganga,0.6092,33.4686
2025-02-21,32.9,19.3,0.0,63,41110.13,Iganga,0.6092,33.4686
2025-02-22,31.5,19.3,0.0,63,41114.04,Iganga,0.6092,33.4686
2025-02-23,31.0,19.5,0.0,58,41117.92,Iganga,0.6092,33.4686
2025-02-24,34.1,18.6,0.0,59,41121.77,Iganga,0.6092,33.4686
2025-02-25,34.1,19.3,0.0,48,41115.05,Iganga,0.6092,33.4686
2025-02-26,34.6,20.2,0.0,32,39579.7,Iganga,0.6092,33.4686
2025-02-27,33.3,18.9,0.0,52,41133.01,Iganga,0.6092,33.4686
2025-02-28,33.6,19.0,0.0,58,41136.65,Iganga,0.6092,33.4686
2025-03-01,33.1,18.8,0.0,63,41140.22,Iganga,0.6092,33.4686
2025-03-02,33.5,19.9,0.3,62,41143.73,Iganga,0.6092,33.4686
2025-03-03,30.6,20.9,0.6,69,41147.18,Iganga,0.6092,33.4686
2025-03-04,30.1,19.6,4.6,73,40453.94,Iganga,0.6092,33.4686
2025-03-05,35.2,19.0,0.0,59,41153.85,Iganga,0.6092,33.4686
2025-03-06,33.4,20.2,0.0,59,41157.08,Iganga,0.6092,33.4686
2025-03-07,33.5,20.4,0.1,60,41160.22,Iganga,0.6092,33.4686
2025-03-08,32.1,20.4,6.0,64,41163.14,Iganga,0.6092,33.4686
2025-03-09,28.4,19.0,18.4,76,38230.72,Iganga,0.6092,33.4686
2025-03-10,27.4,19.4,22.7,83,30770.7,Iganga,0.6092,33.4686
2025-03-11,30.5,18.2,0.1,67,39025.11,Iganga,0.6092,33.4686
2025-03-12,28.3,19.6,7.4,78,38549.35,Iganga,0.6092,33.4686
2025-03-13,28.4,18.4,1.0,79,40426.33,Iganga,0.6092,33.4686
2025-03-14,30.7,18.6,1.2,72,41178.51,Iganga,0.6092,33.4686
2025-03-15,30.6,19.7,0.3,68,41180.87,Iganga,0.6092,33.4686
2025-03-16,27.4,19.7,7.8,76,38400.38,Iganga,0.6092,33.4686
2025-03-17,28.8,20.4,0.6,69,37558.2,Iganga,0.6092,33.4686
2025-03-18,30.7,18.5,2.0,72,39285.0,Iganga,0.6092,33.4686
2025-03-19,26.9,19.7,13.9,80,25772.91,Iganga,0.6092,33.4686
2025-03-20,26.2,19.1,12.6,85,25047.57,Iganga,0.6092,33.4686
2025-03-21,27.6,19.3,0.5,77,33259.68,Iganga,0.6092,33.4686
2025-03-22,29.0,18.4,1.0,78,38647.64,Iganga,0.6092,33.4686
2025-03-23,28.7,18.9,18.7,81,34083.66,Iganga,0.6092,33.4686
2025-03-24,27.9,18.1,1.0,82,33410.75,Iganga,0.6092,33.4686
2025-03-25,28.3,18.1,4.1,77,40755.08,Iganga,0.6092,33.4686
2025-03-26,28.0,19.1,13.2,78,37119.05,Iganga,0.6092,33.4686
2025-03-27,26.9,19.0,10.0,84,22727.26,Iganga,0.6092,33.4686
2025-03-28,23.8,19.1,29.2,89,6148.25,Iganga,0.6092,33.4686
2025-03-29,26.6,19.0,4.9,83,31918.65,Iganga,0.6092,33.4686
2025-03-30,26.3,19.2,3.6,83,35452.73,Iganga,0.6092,33.4686
2025-03-31,26.5,18.8,11.1,86,40619.29,Iganga,0.6092,33.4686
