time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2017-01-01,26.7,18.5,1.6,78,40768.02,Isingiro,-0.8194,30.8039
2017-01-02,27.3,16.9,1.2,81,38611.41,Isingiro,-0.8194,30.8039
2017-01-03,28.7,18.4,0.5,70,41206.69,Isingiro,-0.8194,30.8039
2017-01-04,28.3,16.6,0.0,72,41207.2,Isingiro,-0.8194,30.8039
2017-01-05,30.1,16.1,0.0,66,41207.72,Isingiro,-0.8194,30.8039
2017-01-06,29.7,17.3,0.0,65,41208.24,Isingiro,-0.8194,30.8039
2017-01-07,30.7,16.0,0.0,59,41208.77,Isingiro,-0.8194,30.8039
2017-01-08,30.6,18.1,0.0,54,31420.87,Isingiro,-0.8194,30.8039
2017-01-09,30.9,16.3,0.0,53,41209.97,Isingiro,-0.8194,30.8039
2017-01-10,29.5,17.7,0.0,59,40429.2,Isingiro,-0.8194,30.8039
2017-01-11,29.6,17.9,0.0,63,32346.8,Isingiro,-0.8194,30.8039
2017-01-12,31.4,16.8,0.0,58,41212.85,Isingiro,-0.8194,30.8039
2017-01-13,30.8,16.5,0.0,56,41213.85,Isingiro,-0.8194,30.8039
2017-01-14,30.2,18.4,0.0,54,40777.59,Isingiro,-0.8194,30.8039
2017-01-15,30.5,17.7,0.0,63,39738.22,Isingiro,-0.8194,30.8039
2017-01-16,32.5,17.7,0.0,59,41216.9,Isingiro,-0.8194,30.8039
2017-01-17,32.0,16.3,0.0,60,41217.92,Isingiro,-0.8194,30.8039
2017-01-18,32.2,16.2,0.0,57,41218.93,Isingiro,-0.8194,30.8039
2017-01-19,32.4,18.3,0.0,58,41219.93,Isingiro,-0.8194,30.8039
2017-01-20,30.7,17.5,0.0,60,41220.92,Isingiro,-0.8194,30.8039
2017-01-21,29.2,18.2,0.3,58,41221.89,Isingiro,-0.8194,30.8039
2017-01-22,28.9,18.1,0.0,63,40616.48,Isingiro,-0.8194,30.8039
2017-01-23,30.2,17.7,0.0,61,41219.72,Isingiro,-0.8194,30.8039
2017-01-24,31.4,17.2,0.1,59,41224.62,Isingiro,-0.8194,30.8039
2017-01-25,31.7,18.3,0.0,52,40028.91,Isingiro,-0.8194,30.8039
2017-01-26,28.8,18.7,0.9,56,36782.8,Isingiro,-0.8194,30.8039
2017-01-27,29.3,17.8,0.0,64,41133.21,Isingiro,-0.8194,30.8039
2017-01-28,30.5,18.8,0.1,60,40661.84,Isingiro,-0.8194,30.8039
2017-01-29,27.6,18.3,2.2,72,38014.98,Isingiro,-0.8194,30.8039
2017-01-30,28.7,17.6,4.8,73,39725.85,Isingiro,-0.8194,30.8039
2017-01-31,28.5,17.0,2.4,73,37713.98,Isingiro,-0.8194,30.8039
2017-02-01,27.4,17.7,5.9,79,41230.62,Isingiro,-0.8194,30.8039
2017-02-02,26.6,17.9,7.0,82,39091.88,Isingiro,-0.8194,30.8039
2017-02-03,25.3,17.9,6.5,84,23878.99,Isingiro,-0.8194,30.8039
2017-02-04,26.9,16.5,0.6,77,41232.55,Isingiro,-0.8194,30.8039
2017-02-05,28.8,17.0,1.9,77,41233.13,Isingiro,-0.8194,30.8039
2017-02-06,28.0,17.4,0.4,72,41233.67,Isingiro,-0.8194,30.8039
2017-02-07,28.6,17.7,0.4,71,41234.17,Isingiro,-0.8194,30.8039
2017-02-08,29.5,17.5,0.0,67,41234.61,Isingiro,-0.8194,30.8039
2017-02-09,29.0,17.2,0.2,67,41235.01,Isingiro,-0.8194,30.8039
2017-02-10,28.9,17.4,0.1,70,41235.35,Isingiro,-0.8194,30.8039
2017-02-11,30.5,19.0,0.0,67,35527.84,Isingiro,-0.8194,30.8039
2017-02-12,29.8,19.2,0.2,61,40700.67,Isingiro,-0.8194,30.8039
2017-02-13,30.8,17.0,0.2,59,41236.04,Isingiro,-0.8194,30.8039
2017-02-14,29.9,17.9,0.0,64,39533.13,Isingiro,-0.8194,30.8039
