time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2020-01-01,26.3,19.0,0.0,82,40946.42,Jinja,0.4242,33.2047
2020-01-02,26.5,19.9,0.0,79,40948.12,Jinja,0.4242,33.2047
2020-01-03,26.7,19.9,0.0,77,40628.16,Jinja,0.4242,33.2047
2020-01-04,27.5,19.7,0.2,76,40486.71,Jinja,0.4242,33.2047
2020-01-05,26.8,19.1,1.2,82,39888.2,Jinja,0.4242,33.2047
2020-01-06,25.3,18.6,4.4,82,40561.01,Jinja,0.4242,33.2047
2020-01-07,25.9,19.8,0.1,82,38362.35,Jinja,0.4242,33.2047
2020-01-08,25.2,20.0,5.7,83,39751.29,Jinja,0.4242,33.2047
2020-01-09,25.4,19.0,3.2,87,40380.49,Jinja,0.4242,33.2047
2020-01-10,24.7,19.4,5.9,87,40965.17,Jinja,0.4242,33.2047
2020-01-11,26.4,18.4,9.4,83,40702.09,Jinja,0.4242,33.2047
2020-01-12,26.7,19.2,0.4,75,39045.15,Jinja,0.4242,33.2047
2020-01-13,23.9,19.3,3.6,84,35826.12,Jinja,0.4242,33.2047
2020-01-14,27.5,17.2,0.0,78,40975.67,Jinja,0.4242,33.2047
2020-01-15,28.2,18.8,0.0,77,40978.8,Jinja,0.4242,33.2047
2020-01-16,26.0,19.5,2.4,83,40982.04,Jinja,0.4242,33.2047
2020-01-17,27.1,20.9,1.1,83,40985.38,Jinja,0.4242,33.2047
2020-01-18,27.7,19.3,3.1,86,40825.52,Jinja,0.4242,33.2047
2020-01-19,28.3,18.5,0.0,76,38932.4,Jinja,0.4242,33.2047
2020-01-20,28.2,17.0,0.0,67,40995.98,Jinja,0.4242,33.2047
2020-01-21,28.4,17.6,0.0,62,40999.66,Jinja,0.4242,33.2047
2020-01-22,28.2,17.5,0.0,60,41003.4,Jinja,0.4242,33.2047
2020-01-23,28.6,17.2,0.0,61,40762.55,Jinja,0.4242,33.2047
2020-01-24,27.8,18.5,0.0,62,39969.16,Jinja,0.4242,33.2047
2020-01-25,26.9,18.3,0.0,78,17418.12,Jinja,0.4242,33.2047
2020-01-26,25.2,20.1,3.8,85,27167.72,Jinja,0.4242,33.2047
2020-01-27,25.0,20.0,20.1,89,22141.35,Jinja,0.4242,33.2047
2020-01-28,23.3,19.3,18.9,87,20685.45,Jinja,0.4242,33.2047
2020-01-29,22.6,18.6,33.5,91,6994.31,Jinja,0.4242,33.2047
2020-01-30,23.3,18.9,4.4,89,13001.81,Jinja,0.4242,33.2047
2020-01-31,22.7,19.0,15.1,91,27891.55,Jinja,0.4242,33.2047
2020-02-01,24.5,17.3,5.9,89,34534.78,Jinja,0.4242,33.2047
2020-02-02,24.7,18.0,0.0,84,39416.08,Jinja,0.4242,33.2047
2020-02-03,24.4,18.4,8.6,89,40991.65,Jinja,0.4242,33.2047
2020-02-04,24.6,18.8,8.2,89,39814.56,Jinja,0.4242,33.2047
2020-02-05,23.9,18.7,6.0,89,39827.86,Jinja,0.4242,33.2047
2020-02-06,24.3,18.6,10.7,87,39052.07,Jinja,0.4242,33.2047
2020-02-07,26.2,19.3,0.0,83,41065.93,Jinja,0.4242,33.2047
2020-02-08,26.6,18.7,0.0,81,41069.96,Jinja,0.4242,33.2047
2020-02-09,26.7,19.7,0.2,74,41073.99,Jinja,0.4242,33.2047
2020-02-10,27.4,17.4,0.0,74,41078.02,Jinja,0.4242,33.2047
2020-02-11,27.8,19.8,0.0,79,41082.05,Jinja,0.4242,33.2047
2020-02-12,26.4,20.6,3.1,83,41086.06,Jinja,0.4242,33.2047
2020-02-13,28.5,19.4,0.1,73,41090.05,Jinja,0.4242,33.2047
2020-02-14,26.0,19.4,0.8,79,39838.83,Jinja,0.4242,33.2047
2020-02-15,25.2,20.0,5.8,81,38617.16,Jinja,0.4242,33.2047
2020-02-16,26.7,20.7,0.0,78,41101.84,Jinja,0.4242,33.2047
2020-02-17,27.0,21.7,1.3,79,40735.9,Jinja,0.4242,33.2047
2020-02-18,25.7,20.5,4.3,86,38788.43,Jinja,0.4242,33.2047
2020-02-19,26.5,20.0,12.9,84,40986.6,Jinja,0.4242,33.2047
2020-02-20,26.6,20.6,1.0,82,41116.93,Jinja,0.4242,33.2047
2020-02-21,26.4,21.2,3.9,82,41120.55,Jinja,0.4242,33.2047
2020-02-22,27.7,21.0,1.0,83,41124.11,Jinja,0.4242,33.2047
2020-02-23,27.9,21.2,0.5,80,38592.05,Jinja,0.4242,33.2047
2020-02-24,28.5,22.4,1.3,77,36319.42,Jinja,0.4242,33.2047
2020-02-25,24.2,20.4,7.3,86,22166.72,Jinja,0.4242,33.2047
2020-02-26,26.1,21.5,4.3,81,30930.95,Jinja,0.4242,33.2047
2020-02-27,26.4,21.4,3.4,81,32381.23,Jinja,0.4242,33.2047
2020-02-28,26.6,20.5,9.2,88,29229.72,Jinja,0.4242,33.2047
2020-02-29,25.6,20.6,3.1,85,37063.5,Jinja,0.4242,33.2047
2020-03-01,25.4,21.1,2.9,86,28305.35,Jinja,0.4242,33.2047
2020-03-02,24.6,19.6,10.8,87,31675.58,Jinja,0.4242,33.2047
2020-03-03,25.7,19.5,2.4,86,27949.38,Jinja,0.4242,33.2047
2020-03-04,24.6,20.3,6.8,88,34093.14,Jinja,0.4242,33.2047
2020-03-05,26.3,21.1,0.0,83,40854.27,Jinja,0.4242,33.2047
2020-03-06,26.5,20.4,2.8,82,41163.57,Jinja,0.4242,33.2047
2020-03-07,27.2,22.0,1.7,80,41166.22,Jinja,0.4242,33.2047
2020-03-08,26.3,20.8,4.3,87,32434.22,Jinja,0.4242,33.2047
2020-03-09,25.2,19.2,15.4,86,22684.71,Jinja,0.4242,33.2047
2020-03-10,25.6,20.8,5.2,83,38778.77,Jinja,0.4242,33.2047
2020-03-11,25.6,20.8,4.2,86,37596.5,Jinja,0.4242,33.2047
2020-03-12,26.0,19.3,6.5,85,26368.04,Jinja,0.4242,33.2047
2020-03-13,25.0,20.1,6.5,87,31173.82,Jinja,0.4242,33.2047
2020-03-14,25.7,19.7,1.6,85,40887.34,Jinja,0.4242,33.2047
2020-03-15,26.5,20.4,2.7,84,40615.44,Jinja,0.4242,33.2047
2020-03-16,25.2,20.2,10.6,88,33189.84,Jinja,0.4242,33.2047
2020-03-17,26.3,20.0,2.9,85,40687.25,Jinja,0.4242,33.2047
2020-03-18,25.4,20.4,17.2,88,34110.11,Jinja,0.4242,33.2047
2020-03-19,24.4,19.7,6.3,89,26800.68,Jinja,0.4242,33.2047
2020-03-20,26.0,20.5,2.0,84,38250.75,Jinja,0.4242,33.2047
2020-03-21,25.9,20.2,9.7,87,38558.56,Jinja,0.4242,33.2047
2020-03-22,26.9,18.9,14.4,83,38226.76,Jinja,0.4242,33.2047
2020-03-23,26.1,19.6,6.7,85,40591.43,Jinja,0.4242,33.2047
2020-03-24,25.5,20.8,7.6,85,40921.68,Jinja,0.4242,33.2047
2020-03-25,25.1,19.4,23.5,86,32490.25,Jinja,0.4242,33.2047
2020-03-26,25.9,19.8,5.2,82,24866.24,Jinja,0.4242,33.2047
2020-03-27,23.4,20.0,10.6,88,24262.45,Jinja,0.4242,33.2047
2020-03-28,23.5,19.5,14.7,88,24779.48,Jinja,0.4242,33.2047
2020-03-29,25.6,20.0,2.3,86,30714.58,Jinja,0.4242,33.2047
2020-03-30,26.7,19.7,0.4,84,40900.86,Jinja,0.4242,33.2047
2020-03-31,25.7,20.4,3.2,87,39744.97,Jinja,0.4242,33.2047
2020-04-01,26.3,20.1,0.1,84,41203.55,Jinja,0.4242,33.2047
2020-04-02,27.5,20.2,0.0,82,41204.06,Jinja,0.4242,33.2047
2020-04-03,26.7,20.1,1.6,84,41192.56,Jinja,0.4242,33.2047
2020-04-04,25.8,21.1,1.8,85,41204.45,Jinja,0.4242,33.2047
2020-04-05,26.0,20.4,3.3,85,41204.45,Jinja,0.4242,33.2047
2020-04-06,25.7,21.3,1.3,83,40545.26,Jinja,0.4242,33.2047
2020-04-07,26.1,21.5,1.6,82,40903.19,Jinja,0.4242,33.2047
2020-04-08,26.4,20.9,1.9,82,41204.07,Jinja,0.4242,33.2047
2020-04-09,27.4,21.2,0.0,81,41157.92,Jinja,0.4242,33.2047
2020-04-10,25.9,21.0,12.5,85,39706.15,Jinja,0.4242,33.2047
2020-04-11,26.2,21.3,2.7,83,41121.16,Jinja,0.4242,33.2047
2020-04-12,25.4,20.4,16.3,87,20585.88,Jinja,0.4242,33.2047
2020-04-13,25.0,19.9,11.9,87,26423.1,Jinja,0.4242,33.2047
2020-04-14,23.8,19.2,13.7,89,15545.02,Jinja,0.4242,33.2047
2020-04-15,25.1,20.1,4.0,88,27267.6,Jinja,0.4242,33.2047
2020-04-16,26.2,19.9,2.6,85,34426.19,Jinja,0.4242,33.2047
2020-04-17,24.6,20.6,19.1,89,21737.24,Jinja,0.4242,33.2047
2020-04-18,23.4,19.4,11.3,91,18640.44,Jinja,0.4242,33.2047
2020-04-19,24.6,19.6,7.2,85,20762.49,Jinja,0.4242,33.2047
2020-04-20,21.0,18.2,36.3,94,2911.69,Jinja,0.4242,33.2047
2020-04-21,24.0,18.6,3.5,88,17051.86,Jinja,0.4242,33.2047
2020-04-22,25.6,18.6,7.0,86,38285.85,Jinja,0.4242,33.2047
2020-04-23,21.9,19.6,12.4,90,2860.59,Jinja,0.4242,33.2047
2020-04-24,25.2,19.8,3.5,88,35750.52,Jinja,0.4242,33.2047
2020-04-25,24.7,20.1,0.4,87,31725.7,Jinja,0.4242,33.2047
2020-04-26,25.2,20.3,6.2,84,39167.5,Jinja,0.4242,33.2047
2020-04-27,25.6,20.4,4.1,84,39846.5,Jinja,0.4242,33.2047
2020-04-28,24.9,19.7,11.9,85,36856.27,Jinja,0.4242,33.2047
2020-04-29,24.1,19.3,7.0,88,25429.46,Jinja,0.4242,33.2047
2020-04-30,24.3,19.8,7.0,86,39662.69,Jinja,0.4242,33.2047
2020-05-01,24.4,19.7,4.2,91,21654.48,Jinja,0.4242,33.2047
2020-05-02,23.4,19.1,9.5,92,30601.12,Jinja,0.4242,33.2047
2020-05-03,22.9,18.6,9.7,91,32730.73,Jinja,0.4242,33.2047
2020-05-04,25.2,18.6,1.5,88,39902.52,Jinja,0.4242,33.2047
2020-05-05,24.8,19.8,5.9,89,39699.07,Jinja,0.4242,33.2047
2020-05-06,24.7,19.9,6.8,89,29909.88,Jinja,0.4242,33.2047
2020-05-07,25.0,19.9,8.7,88,34843.15,Jinja,0.4242,33.2047
2020-05-08,22.9,20.2,12.5,90,21647.25,Jinja,0.4242,33.2047
2020-05-09,23.7,19.8,6.7,89,37235.0,Jinja,0.4242,33.2047
2020-05-10,23.1,19.4,10.5,91,23076.62,Jinja,0.4242,33.2047
2020-05-11,24.5,19.7,5.2,89,40084.42,Jinja,0.4242,33.2047
2020-05-12,23.6,19.5,9.7,90,26683.63,Jinja,0.4242,33.2047
2020-05-13,25.1,19.1,5.0,88,37589.29,Jinja,0.4242,33.2047
2020-05-14,25.3,20.1,0.7,86,40555.68,Jinja,0.4242,33.2047
2020-05-15,24.5,19.7,3.5,87,39825.8,Jinja,0.4242,33.2047
2020-05-16,24.5,19.9,6.5,86,39928.21,Jinja,0.4242,33.2047
2020-05-17,24.8,19.9,3.8,86,40865.15,Jinja,0.4242,33.2047
2020-05-18,24.5,19.0,6.4,88,40758.7,Jinja,0.4242,33.2047
2020-05-19,24.4,18.9,8.7,89,38437.9,Jinja,0.4242,33.2047
2020-05-20,24.8,19.1,3.7,89,40438.66,Jinja,0.4242,33.2047
2020-05-21,24.2,19.1,6.5,88,38680.52,Jinja,0.4242,33.2047
2020-05-22,23.9,18.9,6.9,88,33827.12,Jinja,0.4242,33.2047
2020-05-23,25.0,18.3,0.5,85,40003.39,Jinja,0.4242,33.2047
2020-05-24,23.3,19.0,4.7,90,31945.05,Jinja,0.4242,33.2047
2020-05-25,25.2,18.4,1.4,87,40308.42,Jinja,0.4242,33.2047
2020-05-26,25.6,18.8,0.9,85,40514.66,Jinja,0.4242,33.2047
2020-05-27,26.1,19.6,0.0,87,40828.3,Jinja,0.4242,33.2047
2020-05-28,25.9,18.9,0.5,85,40395.41,Jinja,0.4242,33.2047
2020-05-29,24.8,19.3,0.9,87,25664.6,Jinja,0.4242,33.2047
2020-05-30,25.3,19.2,1.9,88,36034.89,Jinja,0.4242,33.2047
2020-05-31,25.3,19.0,0.1,84,40481.73,Jinja,0.4242,33.2047
2020-06-01,24.9,19.3,0.2,83,40474.45,Jinja,0.4242,33.2047
2020-06-02,24.5,18.8,4.1,87,40467.02,Jinja,0.4242,33.2047
2020-06-03,24.1,18.8,1.5,89,39479.75,Jinja,0.4242,33.2047
2020-06-04,23.7,18.9,5.5,89,39416.88,Jinja,0.4242,33.2047
2020-06-05,25.3,18.1,0.0,87,40551.05,Jinja,0.4242,33.2047
2020-06-06,24.2,18.1,3.1,87,38199.47,Jinja,0.4242,33.2047
2020-06-07,25.6,18.4,1.2,84,40337.55,Jinja,0.4242,33.2047
2020-06-08,22.7,18.6,13.5,91,24952.2,Jinja,0.4242,33.2047
2020-06-09,24.4,19.2,1.7,85,34364.9,Jinja,0.4242,33.2047
2020-06-10,23.0,19.0,5.1,88,26058.93,Jinja,0.4242,33.2047
2020-06-11,24.6,18.2,10.3,88,39591.45,Jinja,0.4242,33.2047
2020-06-12,23.0,17.6,12.0,91,38289.66,Jinja,0.4242,33.2047
2020-06-13,23.6,17.8,1.4,88,39448.0,Jinja,0.4242,33.2047
2020-06-14,23.1,18.5,4.5,87,40000.69,Jinja,0.4242,33.2047
2020-06-15,23.8,17.9,0.5,86,39300.21,Jinja,0.4242,33.2047
2020-06-16,24.0,18.6,0.5,83,40088.36,Jinja,0.4242,33.2047
2020-06-17,24.6,19.6,0.0,73,39960.37,Jinja,0.4242,33.2047
2020-06-18,24.6,18.9,1.6,82,39771.67,Jinja,0.4242,33.2047
2020-06-19,23.1,18.7,6.3,89,38111.82,Jinja,0.4242,33.2047
2020-06-20,22.5,18.4,6.8,91,30216.64,Jinja,0.4242,33.2047
2020-06-21,23.6,18.0,10.2,90,36410.17,Jinja,0.4242,33.2047
2020-06-22,24.7,18.1,1.6,89,39211.8,Jinja,0.4242,33.2047
2020-06-23,24.4,17.6,0.5,88,39767.22,Jinja,0.4242,33.2047
2020-06-24,25.2,19.0,0.7,83,40697.38,Jinja,0.4242,33.2047
2020-06-25,24.5,18.0,0.7,88,40687.41,Jinja,0.4242,33.2047
2020-06-26,23.8,17.7,1.4,88,40677.25,Jinja,0.4242,33.2047
