time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,22.8,11.1,0.0,71,35434.8,Kabale,-1.2486,29.992
2023-01-02,21.5,12.2,0.7,70,35895.44,Kabale,-1.2486,29.992
2023-01-03,21.9,12.8,0.8,67,41233.89,Kabale,-1.2486,29.992
2023-01-04,21.4,13.2,1.3,77,41291.47,Kabale,-1.2486,29.992
2023-01-05,22.3,13.7,1.0,72,35964.29,Kabale,-1.2486,29.992
2023-01-06,23.0,12.5,0.1,65,36125.72,Kabale,-1.2486,29.992
2023-01-07,23.2,10.7,0.0,65,36253.09,Kabale,-1.2486,29.992
2023-01-08,21.9,14.0,0.0,65,30583.84,Kabale,-1.2486,29.992
2023-01-09,22.6,11.8,0.7,69,40218.9,Kabale,-1.2486,29.992
2023-01-10,22.5,11.7,4.5,83,31446.12,Kabale,-1.2486,29.992
2023-01-11,20.5,13.8,3.2,83,38530.65,Kabale,-1.2486,29.992
2023-01-12,21.2,13.3,4.1,86,31735.2,Kabale,-1.2486,29.992
2023-01-13,20.9,11.6,1.5,82,40002.23,Kabale,-1.2486,29.992
2023-01-14,21.8,11.3,2.0,81,39338.08,Kabale,-1.2486,29.992
2023-01-15,21.4,13.0,9.3,84,35889.45,Kabale,-1.2486,29.992
2023-01-16,21.4,12.6,0.7,75,39994.88,Kabale,-1.2486,29.992
2023-01-17,23.1,12.1,0.0,64,37693.61,Kabale,-1.2486,29.992
2023-01-18,22.9,12.3,0.6,71,41234.45,Kabale,-1.2486,29.992
2023-01-19,23.6,14.7,0.4,68,38714.65,Kabale,-1.2486,29.992
2023-01-20,23.2,12.5,0.9,73,40423.93,Kabale,-1.2486,29.992
2023-01-21,23.1,13.7,0.9,67,40911.76,Kabale,-1.2486,29.992
2023-01-22,22.3,13.2,0.1,76,32647.04,Kabale,-1.2486,29.992
2023-01-23,23.0,13.6,0.5,70,39334.76,Kabale,-1.2486,29.992
2023-01-24,22.7,13.8,1.4,72,38507.23,Kabale,-1.2486,29.992
2023-01-25,23.1,13.3,1.2,69,41294.29,Kabale,-1.2486,29.992
2023-01-26,23.1,13.2,1.4,70,40037.31,Kabale,-1.2486,29.992
2023-01-27,22.7,13.2,2.7,72,40625.22,Kabale,-1.2486,29.992
2023-01-28,24.7,12.6,0.0,57,41294.01,Kabale,-1.2486,29.992
2023-01-29,23.0,12.8,1.2,73,34348.38,Kabale,-1.2486,29.992
2023-01-30,22.6,13.5,0.2,71,32223.16,Kabale,-1.2486,29.992
2023-01-31,23.8,12.5,0.5,69,36190.89,Kabale,-1.2486,29.992
2023-02-01,23.5,14.1,0.6,71,39639.62,Kabale,-1.2486,29.992
2023-02-02,23.3,12.5,8.2,82,29958.57,Kabale,-1.2486,29.992
2023-02-03,22.9,12.4,0.7,76,39887.09,Kabale,-1.2486,29.992
2023-02-04,23.1,12.4,0.7,71,39669.14,Kabale,-1.2486,29.992
2023-02-05,23.3,11.8,1.2,70,40010.11,Kabale,-1.2486,29.992
2023-02-06,23.6,13.7,0.5,64,38810.3,Kabale,-1.2486,29.992
2023-02-07,23.9,14.0,0.0,65,39683.23,Kabale,-1.2486,29.992
2023-02-08,24.2,14.0,0.9,69,39662.46,Kabale,-1.2486,29.992
2023-02-09,23.0,13.1,1.0,74,39908.96,Kabale,-1.2486,29.992
2023-02-10,23.9,11.9,0.4,71,40130.58,Kabale,-1.2486,29.992
2023-02-11,24.3,13.7,0.0,71,40676.98,Kabale,-1.2486,29.992
2023-02-12,23.9,12.5,1.3,71,40680.45,Kabale,-1.2486,29.992
2023-02-13,25.4,12.8,0.0,59,39581.35,Kabale,-1.2486,29.992
2023-02-14,26.0,13.0,0.0,59,38013.91,Kabale,-1.2486,29.992
2023-02-15,25.0,13.7,0.1,58,41000.5,Kabale,-1.2486,29.992
2023-02-16,23.3,14.8,0.7,62,36531.73,Kabale,-1.2486,29.992
2023-02-17,24.5,14.2,0.0,62,39463.59,Kabale,-1.2486,29.992
2023-02-18,24.2,14.2,0.1,58,29550.75,Kabale,-1.2486,29.992
2023-02-19,25.6,13.8,0.0,57,26932.22,Kabale,-1.2486,29.992
2023-02-20,25.5,14.4,0.0,55,26733.09,Kabale,-1.2486,29.992
2023-02-21,26.3,14.8,0.0,62,23124.59,Kabale,-1.2486,29.992
2023-02-22,25.5,15.2,0.2,69,35829.54,Kabale,-1.2486,29.992
2023-02-23,25.0,15.2,0.3,66,33045.74,Kabale,-1.2486,29.992
2023-02-24,24.4,16.0,0.6,70,40041.86,Kabale,-1.2486,29.992
