time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,23.2,16.0,13.2,88,20333.39,Kabarole,0.6667,30.275
2021-01-02,22.8,14.9,0.6,83,29127.13,Kabarole,0.6667,30.275
2021-01-03,24.0,16.1,4.2,80,37852.03,Kabarole,0.6667,30.275
2021-01-04,23.5,15.2,1.0,75,40293.84,Kabarole,0.6667,30.275
2021-01-05,25.0,15.6,0.5,67,40912.4,Kabarole,0.6667,30.275
2021-01-06,24.7,15.8,0.7,65,40914.58,Kabarole,0.6667,30.275
2021-01-07,25.4,14.7,0.2,61,40916.86,Kabarole,0.6667,30.275
2021-01-08,25.0,16.0,0.2,65,40449.23,Kabarole,0.6667,30.275
2021-01-09,23.8,14.2,0.1,80,37034.3,Kabarole,0.6667,30.275
2021-01-10,24.0,14.6,0.3,83,35889.61,Kabarole,0.6667,30.275
2021-01-11,24.5,15.4,0.2,74,30632.12,Kabarole,0.6667,30.275
2021-01-12,24.8,16.2,0.0,69,31548.26,Kabarole,0.6667,30.275
2021-01-13,25.5,17.1,0.2,63,37772.0,Kabarole,0.6667,30.275
2021-01-14,24.5,16.9,0.0,70,32254.62,Kabarole,0.6667,30.275
2021-01-15,22.6,17.4,0.1,76,12236.35,Kabarole,0.6667,30.275
2021-01-16,24.7,14.4,0.9,70,33657.2,Kabarole,0.6667,30.275
2021-01-17,25.8,15.7,0.5,71,39681.16,Kabarole,0.6667,30.275
2021-01-18,25.3,16.5,0.0,58,38541.97,Kabarole,0.6667,30.275
2021-01-19,26.0,16.5,0.0,60,39376.06,Kabarole,0.6667,30.275
2021-01-20,26.0,17.4,0.0,54,39101.5,Kabarole,0.6667,30.275
2021-01-21,26.6,13.8,0.0,56,39563.0,Kabarole,0.6667,30.275
2021-01-22,26.1,16.0,0.0,54,40579.22,Kabarole,0.6667,30.275
2021-01-23,25.4,17.2,0.3,57,39912.01,Kabarole,0.6667,30.275
2021-01-24,24.3,17.2,1.9,71,28795.39,Kabarole,0.6667,30.275
2021-01-25,25.3,15.1,0.7,71,39943.2,Kabarole,0.6667,30.275
2021-01-26,26.2,15.5,0.0,63,39817.67,Kabarole,0.6667,30.275
2021-01-27,27.2,15.0,0.0,57,40863.49,Kabarole,0.6667,30.275
2021-01-28,26.9,16.1,0.0,52,40316.37,Kabarole,0.6667,30.275
2021-01-29,26.4,17.0,0.0,50,39883.07,Kabarole,0.6667,30.275
2021-01-30,27.1,16.2,0.0,51,40004.43,Kabarole,0.6667,30.275
2021-01-31,27.1,16.4,0.0,53,40014.1,Kabarole,0.6667,30.275
2021-02-01,28.6,16.4,0.0,45,40132.98,Kabarole,0.6667,30.275
2021-02-02,27.9,15.2,0.0,45,40031.08,Kabarole,0.6667,30.275
2021-02-03,26.8,15.4,0.1,53,40805.26,Kabarole,0.6667,30.275
2021-02-04,27.8,16.6,0.0,55,40701.18,Kabarole,0.6667,30.275
2021-02-05,27.0,17.9,0.0,63,34584.83,Kabarole,0.6667,30.275
2021-02-06,27.5,18.1,0.0,54,39755.8,Kabarole,0.6667,30.275
2021-02-07,27.0,17.4,0.0,49,39842.37,Kabarole,0.6667,30.275
2021-02-08,27.2,15.1,0.0,42,40172.9,Kabarole,0.6667,30.275
2021-02-09,28.1,16.2,0.0,41,39306.62,Kabarole,0.6667,30.275
2021-02-10,29.3,16.8,0.0,44,39947.46,Kabarole,0.6667,30.275
2021-02-11,28.0,16.9,0.1,51,36649.38,Kabarole,0.6667,30.275
2021-02-12,27.0,16.6,0.0,67,35527.76,Kabarole,0.6667,30.275
2021-02-13,27.2,18.1,0.0,56,36541.71,Kabarole,0.6667,30.275
2021-02-14,28.2,16.6,0.0,64,36432.47,Kabarole,0.6667,30.275
2021-02-15,27.4,17.6,0.4,64,40288.82,Kabarole,0.6667,30.275
2021-02-16,23.5,16.4,5.0,78,24499.02,Kabarole,0.6667,30.275
2021-02-17,27.4,17.0,0.2,70,35952.48,Kabarole,0.6667,30.275
2021-02-18,25.1,15.4,7.8,82,33786.8,Kabarole,0.6667,30.275
2021-02-19,24.6,14.0,0.8,75,38485.67,Kabarole,0.6667,30.275
2021-02-20,25.7,16.8,0.2,60,39834.72,Kabarole,0.6667,30.275
2021-02-21,26.4,15.0,0.0,56,39468.75,Kabarole,0.6667,30.275
2021-02-22,27.4,14.8,0.0,55,38230.55,Kabarole,0.6667,30.275
2021-02-23,25.8,14.5,0.0,66,39591.62,Kabarole,0.6667,30.275
2021-02-24,25.8,17.8,0.1,55,38803.44,Kabarole,0.6667,30.275
2021-02-25,26.3,17.9,0.0,48,37045.11,Kabarole,0.6667,30.275
2021-02-26,27.4,16.0,0.0,49,41121.79,Kabarole,0.6667,30.275
2021-02-27,28.1,15.1,0.0,48,37086.55,Kabarole,0.6667,30.275
2021-02-28,28.3,15.7,0.0,48,40546.72,Kabarole,0.6667,30.275
2021-03-01,28.6,17.7,0.0,45,39431.23,Kabarole,0.6667,30.275
2021-03-02,26.9,18.6,2.2,63,40527.4,Kabarole,0.6667,30.275
