time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,31.1,15.9,0.0,64,40302.35,Kaberamaido,1.7667,33.15
2023-01-02,29.8,18.4,0.1,51,39784.66,Kaberamaido,1.7667,33.15
2023-01-03,30.3,18.9,0.2,55,39873.95,Kaberamaido,1.7667,33.15
2023-01-04,31.1,17.7,0.0,52,33266.51,Kaberamaido,1.7667,33.15
2023-01-05,32.3,19.2,0.0,40,40684.8,Kaberamaido,1.7667,33.15
2023-01-06,31.9,16.5,0.0,43,40270.02,Kaberamaido,1.7667,33.15
2023-01-07,34.4,15.4,0.0,40,38764.68,Kaberamaido,1.7667,33.15
2023-01-08,32.3,18.0,0.0,47,40696.84,Kaberamaido,1.7667,33.15
2023-01-09,30.3,17.4,0.0,65,39849.06,Kaberamaido,1.7667,33.15
2023-01-10,28.3,18.9,3.4,73,39464.69,Kaberamaido,1.7667,33.15
2023-01-11,29.5,18.0,0.2,72,40532.55,Kaberamaido,1.7667,33.15
2023-01-12,30.2,16.6,0.1,58,39904.73,Kaberamaido,1.7667,33.15
2023-01-13,28.8,16.5,0.3,64,40720.3,Kaberamaido,1.7667,33.15
2023-01-14,29.7,16.9,0.3,69,40725.42,Kaberamaido,1.7667,33.15
2023-01-15,31.4,13.5,0.0,65,40730.67,Kaberamaido,1.7667,33.15
2023-01-16,29.5,19.1,0.1,68,39053.8,Kaberamaido,1.7667,33.15
2023-01-17,32.9,16.0,0.0,50,39308.42,Kaberamaido,1.7667,33.15
2023-01-18,31.0,17.1,0.0,48,40747.19,Kaberamaido,1.7667,33.15
2023-01-19,31.9,17.6,0.0,63,40753.22,Kaberamaido,1.7667,33.15
2023-01-20,31.6,18.5,0.0,64,40759.44,Kaberamaido,1.7667,33.15
2023-01-21,34.7,17.3,0.0,40,39237.83,Kaberamaido,1.7667,33.15
2023-01-22,30.4,16.8,0.1,47,38820.94,Kaberamaido,1.7667,33.15
2023-01-23,31.0,18.2,0.0,66,38822.3,Kaberamaido,1.7667,33.15
2023-01-24,30.9,19.2,0.0,66,40786.06,Kaberamaido,1.7667,33.15
2023-01-25,32.5,17.4,0.0,62,40281.38,Kaberamaido,1.7667,33.15
2023-01-26,33.4,15.7,0.0,48,40713.54,Kaberamaido,1.7667,33.15
2023-01-27,31.4,18.4,0.1,60,40807.42,Kaberamaido,1.7667,33.15
2023-01-28,33.4,16.4,0.0,38,40814.73,Kaberamaido,1.7667,33.15
2023-01-29,34.3,18.9,0.0,36,40822.12,Kaberamaido,1.7667,33.15
2023-01-30,32.8,17.5,0.0,52,40829.57,Kaberamaido,1.7667,33.15
2023-01-31,32.5,16.2,0.0,50,40674.89,Kaberamaido,1.7667,33.15
2023-02-01,31.9,17.7,0.2,61,40668.85,Kaberamaido,1.7667,33.15
2023-02-02,32.4,17.5,0.0,59,40852.2,Kaberamaido,1.7667,33.15
2023-02-03,30.7,17.9,0.1,61,40859.8,Kaberamaido,1.7667,33.15
2023-02-04,31.6,16.3,0.0,57,40867.39,Kaberamaido,1.7667,33.15
2023-02-05,31.4,16.5,0.0,53,40874.98,Kaberamaido,1.7667,33.15
2023-02-06,32.6,18.2,0.0,58,40882.57,Kaberamaido,1.7667,33.15
2023-02-07,32.0,19.4,0.5,67,40890.12,Kaberamaido,1.7667,33.15
2023-02-08,30.6,19.8,0.0,69,40897.72,Kaberamaido,1.7667,33.15
2023-02-09,30.2,18.5,0.7,69,40589.28,Kaberamaido,1.7667,33.15
2023-02-10,32.8,18.8,0.0,63,40913.17,Kaberamaido,1.7667,33.15
2023-02-11,35.0,19.1,0.0,56,40921.0,Kaberamaido,1.7667,33.15
2023-02-12,34.7,18.9,0.0,34,40928.88,Kaberamaido,1.7667,33.15
2023-02-13,34.3,18.9,0.0,25,40936.8,Kaberamaido,1.7667,33.15
2023-02-14,34.3,19.7,0.0,32,40944.74,Kaberamaido,1.7667,33.15
2023-02-15,33.4,18.5,0.0,39,40952.71,Kaberamaido,1.7667,33.15
2023-02-16,33.9,21.0,0.0,38,34926.09,Kaberamaido,1.7667,33.15
2023-02-17,34.0,18.9,0.0,36,40968.66,Kaberamaido,1.7667,33.15
2023-02-18,35.5,17.8,0.0,40,39364.81,Kaberamaido,1.7667,33.15
2023-02-19,35.5,19.0,0.0,33,40420.05,Kaberamaido,1.7667,33.15
2023-02-20,36.3,20.0,0.0,29,40992.47,Kaberamaido,1.7667,33.15
2023-02-21,34.5,19.8,0.0,37,40435.65,Kaberamaido,1.7667,33.15
2023-02-22,35.6,19.8,0.0,41,38016.98,Kaberamaido,1.7667,33.15
2023-02-23,32.6,18.8,0.0,60,40062.43,Kaberamaido,1.7667,33.15
2023-02-24,31.2,20.6,0.0,64,41023.64,Kaberamaido,1.7667,33.15
2023-02-25,31.1,20.4,1.8,68,36390.45,Kaberamaido,1.7667,33.15
2023-02-26,34.4,20.2,0.0,61,39436.04,Kaberamaido,1.7667,33.15
2023-02-27,29.3,20.2,16.7,78,28776.86,Kaberamaido,1.7667,33.15
2023-02-28,28.7,19.8,6.9,76,37572.82,Kaberamaido,1.7667,33.15
2023-03-01,28.8,19.7,4.2,77,35733.07,Kaberamaido,1.7667,33.15
2023-03-02,27.6,18.5,3.0,77,40401.2,Kaberamaido,1.7667,33.15
2023-03-03,28.1,17.9,10.0,80,36808.63,Kaberamaido,1.7667,33.15
2023-03-04,30.3,19.1,0.6,75,41082.16,Kaberamaido,1.7667,33.15
2023-03-05,32.5,19.9,0.0,68,41089.3,Kaberamaido,1.7667,33.15
2023-03-06,35.3,19.9,0.0,58,41096.4,Kaberamaido,1.7667,33.15
2023-03-07,35.3,20.4,0.0,43,36749.59,Kaberamaido,1.7667,33.15
2023-03-08,35.5,18.1,0.0,50,39858.34,Kaberamaido,1.7667,33.15
2023-03-09,33.2,20.4,0.1,55,41117.42,Kaberamaido,1.7667,33.15
2023-03-10,29.3,19.1,6.5,75,34330.16,Kaberamaido,1.7667,33.15
2023-03-11,29.2,19.5,4.8,75,40924.08,Kaberamaido,1.7667,33.15
2023-03-12,23.8,18.3,55.9,92,7053.91,Kaberamaido,1.7667,33.15
2023-03-13,29.2,17.2,12.8,75,40020.64,Kaberamaido,1.7667,33.15
2023-03-14,24.9,18.4,20.0,89,9497.1,Kaberamaido,1.7667,33.15
2023-03-15,27.1,17.5,21.0,91,20953.74,Kaberamaido,1.7667,33.15
2023-03-16,27.5,18.1,9.2,78,38341.43,Kaberamaido,1.7667,33.15
2023-03-17,29.3,17.6,18.4,76,37944.78,Kaberamaido,1.7667,33.15
2023-03-18,25.9,18.3,2.6,82,37686.52,Kaberamaido,1.7667,33.15
2023-03-19,29.1,16.7,6.8,75,40677.15,Kaberamaido,1.7667,33.15
2023-03-20,26.2,18.0,12.3,84,31448.58,Kaberamaido,1.7667,33.15
2023-03-21,27.2,17.5,2.2,77,37437.62,Kaberamaido,1.7667,33.15
2023-03-22,29.1,18.5,0.8,73,36051.0,Kaberamaido,1.7667,33.15
2023-03-23,24.8,18.2,26.0,87,19090.19,Kaberamaido,1.7667,33.15
2023-03-24,29.4,16.6,4.3,78,33909.43,Kaberamaido,1.7667,33.15
2023-03-25,29.5,19.3,6.0,80,37824.7,Kaberamaido,1.7667,33.15
2023-03-26,27.1,18.6,14.4,86,28947.26,Kaberamaido,1.7667,33.15
2023-03-27,30.0,18.2,0.5,76,37321.16,Kaberamaido,1.7667,33.15
2023-03-28,27.6,18.0,2.3,76,40860.41,Kaberamaido,1.7667,33.15
2023-03-29,28.3,18.7,2.2,76,38947.1,Kaberamaido,1.7667,33.15
2023-03-30,31.3,18.1,1.3,73,38891.62,Kaberamaido,1.7667,33.15
2023-03-31,28.1,18.8,3.6,84,27506.8,Kaberamaido,1.7667,33.15
2023-04-01,26.0,17.3,5.8,82,41198.61,Kaberamaido,1.7667,33.15
2023-04-02,28.3,18.8,0.6,78,40602.67,Kaberamaido,1.7667,33.15
2023-04-03,28.4,17.6,21.6,86,30283.56,Kaberamaido,1.7667,33.15
2023-04-04,28.2,19.1,2.2,81,37429.17,Kaberamaido,1.7667,33.15
2023-04-05,30.5,19.1,0.3,74,40776.75,Kaberamaido,1.7667,33.15
2023-04-06,29.0,18.8,0.0,74,39790.25,Kaberamaido,1.7667,33.15
2023-04-07,30.4,19.2,0.2,72,41280.62,Kaberamaido,1.7667,33.15
2023-04-08,30.8,19.5,0.3,74,41284.8,Kaberamaido,1.7667,33.15
2023-04-09,32.5,18.4,0.0,65,40730.21,Kaberamaido,1.7667,33.15
2023-04-10,31.6,19.6,0.1,72,40747.05,Kaberamaido,1.7667,33.15
2023-04-11,32.0,19.7,0.0,70,41221.59,Kaberamaido,1.7667,33.15
2023-04-12,31.7,19.5,0.0,73,40324.0,Kaberamaido,1.7667,33.15
2023-04-13,30.3,19.8,0.8,74,39799.6,Kaberamaido,1.7667,33.15
2023-04-14,28.7,18.3,2.1,79,38314.75,Kaberamaido,1.7667,33.15
2023-04-15,30.4,17.5,0.4,74,40828.92,Kaberamaido,1.7667,33.15
2023-04-16,29.4,18.6,6.5,77,40281.03,Kaberamaido,1.7667,33.15
2023-04-17,27.3,19.1,18.8,87,26938.86,Kaberamaido,1.7667,33.15
2023-04-18,28.5,17.7,4.4,84,35121.98,Kaberamaido,1.7667,33.15
2023-04-19,29.5,19.5,0.2,77,40665.96,Kaberamaido,1.7667,33.15
2023-04-20,30.7,19.9,1.7,78,41126.42,Kaberamaido,1.7667,33.15
2023-04-21,28.9,19.7,0.7,78,41028.4,Kaberamaido,1.7667,33.15
2023-04-22,26.9,20.5,5.5,81,38853.91,Kaberamaido,1.7667,33.15
2023-04-23,22.6,19.1,32.1,93,0.0,Kaberamaido,1.7667,33.15
2023-04-24,27.4,19.0,10.9,89,32383.46,Kaberamaido,1.7667,33.15
2023-04-25,24.8,19.0,14.1,90,24930.71,Kaberamaido,1.7667,33.15
2023-04-26,27.0,18.8,4.6,83,12687.46,Kaberamaido,1.7667,33.15
2023-04-27,27.7,18.2,21.5,83,39572.71,Kaberamaido,1.7667,33.15
2023-04-28,27.4,18.3,24.3,83,39469.83,Kaberamaido,1.7667,33.15
2023-04-29,26.3,18.0,9.3,87,18879.81,Kaberamaido,1.7667,33.15
2023-04-30,21.6,18.1,14.8,96,463.65,Kaberamaido,1.7667,33.15
2023-05-01,24.8,17.8,13.3,91,26892.39,Kaberamaido,1.7667,33.15
2023-05-02,27.3,17.9,1.5,82,37887.77,Kaberamaido,1.7667,33.15
2023-05-03,27.6,16.7,16.1,85,39731.62,Kaberamaido,1.7667,33.15
2023-05-04,27.1,17.0,16.3,87,38392.41,Kaberamaido,1.7667,33.15
2023-05-05,28.5,17.8,2.7,83,40691.47,Kaberamaido,1.7667,33.15
2023-05-06,28.9,18.0,0.6,78,40583.7,Kaberamaido,1.7667,33.15
2023-05-07,29.2,18.5,0.8,77,40693.13,Kaberamaido,1.7667,33.15
2023-05-08,29.4,16.9,0.5,77,40694.05,Kaberamaido,1.7667,33.15
2023-05-09,28.9,17.0,8.7,81,40261.05,Kaberamaido,1.7667,33.15
2023-05-10,27.4,17.1,11.0,82,40045.06,Kaberamaido,1.7667,33.15
2023-05-11,27.8,18.6,1.0,81,40371.57,Kaberamaido,1.7667,33.15
2023-05-12,29.2,18.6,0.0,76,40806.84,Kaberamaido,1.7667,33.15
2023-05-13,29.5,19.5,0.5,77,40699.47,Kaberamaido,1.7667,33.15
2023-05-14,29.2,19.4,0.1,76,41026.77,Kaberamaido,1.7667,33.15
2023-05-15,29.6,19.6,0.0,75,41137.11,Kaberamaido,1.7667,33.15
2023-05-16,30.3,20.0,0.9,80,40267.88,Kaberamaido,1.7667,33.15
2023-05-17,30.0,19.3,3.2,78,39723.76,Kaberamaido,1.7667,33.15
2023-05-18,28.9,19.0,0.4,79,40597.14,Kaberamaido,1.7667,33.15
2023-05-19,29.8,19.4,0.5,77,40598.53,Kaberamaido,1.7667,33.15
2023-05-20,29.4,19.1,1.5,74,40819.02,Kaberamaido,1.7667,33.15
2023-05-21,30.5,19.6,0.6,76,40820.96,Kaberamaido,1.7667,33.15
2023-05-22,29.3,19.0,0.0,75,40823.0,Kaberamaido,1.7667,33.15
2023-05-23,28.2,19.7,2.1,80,40714.89,Kaberamaido,1.7667,33.15
2023-05-24,30.1,18.3,2.8,81,40495.8,Kaberamaido,1.7667,33.15
2023-05-25,29.0,19.0,0.0,75,40718.75,Kaberamaido,1.7667,33.15
2023-05-26,29.9,18.9,0.2,76,40498.54,Kaberamaido,1.7667,33.15
2023-05-27,29.5,18.1,0.0,75,40165.64,Kaberamaido,1.7667,33.15
2023-05-28,28.9,19.0,2.8,78,39584.36,Kaberamaido,1.7667,33.15
2023-05-29,27.9,17.2,0.7,76,40726.8,Kaberamaido,1.7667,33.15
2023-05-30,28.9,18.2,1.1,74,40728.81,Kaberamaido,1.7667,33.15
2023-05-31,27.5,17.7,13.0,81,40274.32,Kaberamaido,1.7667,33.15
2023-06-01,28.2,18.9,0.4,75,40945.17,Kaberamaido,1.7667,33.15
2023-06-02,29.5,17.7,0.0,71,40938.89,Kaberamaido,1.7667,33.15
2023-06-03,29.3,18.8,0.2,75,40932.37,Kaberamaido,1.7667,33.15
2023-06-04,27.8,18.7,8.5,79,40811.31,Kaberamaido,1.7667,33.15
2023-06-05,27.3,18.1,0.1,80,40460.01,Kaberamaido,1.7667,33.15
2023-06-06,29.0,18.9,2.1,77,40796.49,Kaberamaido,1.7667,33.15
2023-06-07,28.4,19.6,1.4,77,40904.27,Kaberamaido,1.7667,33.15
2023-06-08,28.6,17.7,0.2,74,40549.13,Kaberamaido,1.7667,33.15
2023-06-09,29.0,18.5,1.0,71,40423.37,Kaberamaido,1.7667,33.15
2023-06-10,28.4,19.2,0.4,76,40062.87,Kaberamaido,1.7667,33.15
2023-06-11,27.9,18.3,1.9,79,37688.53,Kaberamaido,1.7667,33.15
2023-06-12,29.4,17.2,4.9,81,39802.38,Kaberamaido,1.7667,33.15
2023-06-13,26.0,18.3,24.0,88,27982.36,Kaberamaido,1.7667,33.15
2023-06-14,26.5,17.8,5.3,85,37543.74,Kaberamaido,1.7667,33.15
2023-06-15,28.3,18.0,0.9,78,39876.95,Kaberamaido,1.7667,33.15
2023-06-16,29.1,16.6,1.6,76,40577.87,Kaberamaido,1.7667,33.15
2023-06-17,28.6,18.7,6.2,79,38748.18,Kaberamaido,1.7667,33.15
2023-06-18,29.1,18.7,0.6,78,40312.45,Kaberamaido,1.7667,33.15
2023-06-19,28.4,18.7,1.6,82,36707.87,Kaberamaido,1.7667,33.15
2023-06-20,28.0,18.1,0.6,80,38784.66,Kaberamaido,1.7667,33.15
2023-06-21,27.4,17.7,17.1,84,39333.28,Kaberamaido,1.7667,33.15
2023-06-22,26.6,18.0,11.5,88,27420.3,Kaberamaido,1.7667,33.15
2023-06-23,26.5,17.9,9.0,86,37081.05,Kaberamaido,1.7667,33.15
2023-06-24,26.1,17.8,20.5,84,36231.38,Kaberamaido,1.7667,33.15
2023-06-25,26.3,17.4,4.4,83,33474.62,Kaberamaido,1.7667,33.15
2023-06-26,26.9,17.3,11.8,81,40577.44,Kaberamaido,1.7667,33.15
2023-06-27,27.7,17.6,2.6,81,40566.61,Kaberamaido,1.7667,33.15
2023-06-28,27.6,17.4,3.0,80,38868.54,Kaberamaido,1.7667,33.15
2023-06-29,29.4,18.4,2.6,73,40544.63,Kaberamaido,1.7667,33.15
2023-06-30,27.1,17.9,10.0,84,39105.92,Kaberamaido,1.7667,33.15
2023-07-01,27.5,17.0,0.9,79,38502.62,Kaberamaido,1.7667,33.15
2023-07-02,27.8,17.1,0.9,81,40009.7,Kaberamaido,1.7667,33.15
2023-07-03,26.0,17.3,14.9,83,40052.55,Kaberamaido,1.7667,33.15
2023-07-04,27.1,17.9,0.3,78,41097.71,Kaberamaido,1.7667,33.15
2023-07-05,27.4,16.8,0.4,74,41358.15,Kaberamaido,1.7667,33.15
2023-07-06,26.2,17.8,0.2,76,40624.15,Kaberamaido,1.7667,33.15
2023-07-07,26.5,18.5,0.7,76,34287.95,Kaberamaido,1.7667,33.15
2023-07-08,27.4,17.6,6.1,80,40189.21,Kaberamaido,1.7667,33.15
2023-07-09,27.6,16.2,0.2,75,41066.84,Kaberamaido,1.7667,33.15
2023-07-10,28.5,16.5,0.3,74,40803.26,Kaberamaido,1.7667,33.15
2023-07-11,29.8,17.9,0.0,68,41394.31,Kaberamaido,1.7667,33.15
2023-07-12,28.8,18.0,1.3,73,40523.29,Kaberamaido,1.7667,33.15
2023-07-13,28.4,17.0,1.1,78,40010.77,Kaberamaido,1.7667,33.15
2023-07-14,27.5,17.4,0.4,77,41279.29,Kaberamaido,1.7667,33.15
2023-07-15,28.9,16.9,0.0,70,41391.73,Kaberamaido,1.7667,33.15
2023-07-16,28.7,17.8,0.9,70,41390.96,Kaberamaido,1.7667,33.15
2023-07-17,29.7,17.4,0.0,68,41390.22,Kaberamaido,1.7667,33.15
2023-07-18,29.0,17.2,0.0,66,41389.54,Kaberamaido,1.7667,33.15
2023-07-19,29.1,17.5,0.1,65,41388.82,Kaberamaido,1.7667,33.15
2023-07-20,29.4,18.1,0.1,62,40707.64,Kaberamaido,1.7667,33.15
2023-07-21,29.2,15.6,0.0,66,41387.23,Kaberamaido,1.7667,33.15
2023-07-22,29.6,16.1,0.0,59,41105.81,Kaberamaido,1.7667,33.15
2023-07-23,30.1,17.2,0.2,61,40973.72,Kaberamaido,1.7667,33.15
