time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2017-01-01,29.2,19.4,0.0,59,37670.93,Kagadi,0.9397,30.7987
2017-01-02,30.4,17.9,0.0,58,40199.89,Kagadi,0.9397,30.7987
2017-01-03,31.3,19.3,0.9,55,40851.52,Kagadi,0.9397,30.7987
2017-01-04,32.2,16.9,0.0,48,40853.83,Kagadi,0.9397,30.7987
2017-01-05,31.8,17.7,0.0,39,40856.25,Kagadi,0.9397,30.7987
2017-01-06,32.3,16.7,0.0,34,40858.8,Kagadi,0.9397,30.7987
2017-01-07,31.5,16.9,0.0,32,40861.46,Kagadi,0.9397,30.7987
2017-01-08,32.1,19.6,0.0,32,40864.23,Kagadi,0.9397,30.7987
2017-01-09,31.8,17.3,0.0,36,40867.27,Kagadi,0.9397,30.7987
2017-01-10,31.3,17.3,0.0,36,40870.71,Kagadi,0.9397,30.7987
2017-01-11,31.4,19.3,0.0,39,40702.37,Kagadi,0.9397,30.7987
2017-01-12,31.6,16.9,0.0,29,40878.08,Kagadi,0.9397,30.7987
2017-01-13,30.4,16.2,0.0,32,40881.98,Kagadi,0.9397,30.7987
2017-01-14,30.6,19.1,0.0,34,40188.11,Kagadi,0.9397,30.7987
2017-01-15,31.7,16.8,0.0,48,40890.2,Kagadi,0.9397,30.7987
2017-01-16,32.7,16.5,0.0,49,40894.48,Kagadi,0.9397,30.7987
2017-01-17,32.7,16.4,0.0,43,40898.87,Kagadi,0.9397,30.7987
2017-01-18,32.2,17.0,0.0,36,38802.05,Kagadi,0.9397,30.7987
2017-01-19,31.7,17.7,0.0,39,40907.93,Kagadi,0.9397,30.7987
2017-01-20,32.0,16.3,0.0,40,40912.58,Kagadi,0.9397,30.7987
2017-01-21,31.8,18.3,0.0,46,38898.38,Kagadi,0.9397,30.7987
2017-01-22,32.8,17.8,0.3,54,40922.07,Kagadi,0.9397,30.7987
2017-01-23,30.9,16.8,0.0,56,38651.75,Kagadi,0.9397,30.7987
2017-01-24,31.3,16.7,0.0,51,40931.76,Kagadi,0.9397,30.7987
2017-01-25,30.4,17.6,0.0,52,40936.66,Kagadi,0.9397,30.7987
2017-01-26,29.4,18.7,0.1,60,40847.81,Kagadi,0.9397,30.7987
2017-01-27,30.3,19.5,0.1,59,40946.51,Kagadi,0.9397,30.7987
2017-01-28,31.3,18.6,0.3,53,40951.44,Kagadi,0.9397,30.7987
2017-01-29,29.4,18.3,0.0,55,40382.83,Kagadi,0.9397,30.7987
2017-01-30,29.2,18.7,2.4,64,40428.55,Kagadi,0.9397,30.7987
2017-01-31,29.0,17.9,3.8,67,39782.51,Kagadi,0.9397,30.7987
2017-02-01,27.3,17.9,0.9,71,40971.98,Kagadi,0.9397,30.7987
2017-02-02,29.4,18.5,0.5,67,40977.31,Kagadi,0.9397,30.7987
2017-02-03,27.5,17.6,0.3,66,40982.7,Kagadi,0.9397,30.7987
2017-02-04,27.5,15.9,0.0,68,40988.12,Kagadi,0.9397,30.7987
2017-02-05,29.5,17.3,2.0,60,40993.59,Kagadi,0.9397,30.7987
2017-02-06,30.9,16.8,0.0,53,38011.31,Kagadi,0.9397,30.7987
2017-02-07,30.5,17.3,0.0,58,41004.59,Kagadi,0.9397,30.7987
2017-02-08,31.0,18.7,0.0,53,41010.11,Kagadi,0.9397,30.7987
2017-02-09,32.4,19.1,0.1,52,41015.62,Kagadi,0.9397,30.7987
2017-02-10,32.5,19.9,0.0,50,41021.13,Kagadi,0.9397,30.7987
2017-02-11,32.3,18.8,0.0,51,39170.13,Kagadi,0.9397,30.7987
2017-02-12,32.0,19.2,0.0,51,39929.13,Kagadi,0.9397,30.7987
2017-02-13,30.7,19.1,0.0,50,41037.5,Kagadi,0.9397,30.7987
2017-02-14,30.0,20.8,0.0,55,40266.93,Kagadi,0.9397,30.7987
