time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2017-01-01,30.2,18.1,0.0,60,40612.04,Kakumiro,0.7803,31.3244
2017-01-02,29.6,17.9,0.0,59,40877.98,Kakumiro,0.7803,31.3244
2017-01-03,30.1,17.2,0.4,58,40880.02,Kakumiro,0.7803,31.3244
2017-01-04,31.1,16.3,0.0,57,40882.19,Kakumiro,0.7803,31.3244
2017-01-05,31.1,15.6,0.0,50,40884.46,Kakumiro,0.7803,31.3244
2017-01-06,31.6,15.6,0.0,39,40886.85,Kakumiro,0.7803,31.3244
2017-01-07,31.7,16.0,0.0,34,37671.05,Kakumiro,0.7803,31.3244
2017-01-08,32.0,16.8,0.0,33,40891.92,Kakumiro,0.7803,31.3244
2017-01-09,32.1,16.3,0.0,32,40894.79,Kakumiro,0.7803,31.3244
2017-01-10,32.0,16.6,0.0,35,40138.23,Kakumiro,0.7803,31.3244
2017-01-11,31.6,17.9,0.0,49,38512.32,Kakumiro,0.7803,31.3244
2017-01-12,31.4,16.8,0.0,31,40904.95,Kakumiro,0.7803,31.3244
2017-01-13,31.1,16.0,0.0,34,38638.26,Kakumiro,0.7803,31.3244
2017-01-14,31.4,17.6,0.0,36,40740.86,Kakumiro,0.7803,31.3244
2017-01-15,32.3,16.3,0.0,55,40032.39,Kakumiro,0.7803,31.3244
2017-01-16,32.8,17.7,0.0,46,40920.37,Kakumiro,0.7803,31.3244
2017-01-17,32.6,17.6,0.0,40,40924.48,Kakumiro,0.7803,31.3244
2017-01-18,32.2,16.0,0.0,39,33430.0,Kakumiro,0.7803,31.3244
2017-01-19,31.8,16.6,0.0,41,37332.98,Kakumiro,0.7803,31.3244
2017-01-20,32.2,17.5,0.0,45,40827.13,Kakumiro,0.7803,31.3244
2017-01-21,31.2,17.8,0.0,51,37298.5,Kakumiro,0.7803,31.3244
2017-01-22,32.6,17.1,0.0,59,40946.22,Kakumiro,0.7803,31.3244
2017-01-23,29.6,17.0,0.0,61,40950.73,Kakumiro,0.7803,31.3244
2017-01-24,31.5,16.0,0.0,52,40955.27,Kakumiro,0.7803,31.3244
2017-01-25,31.5,16.1,0.0,50,40959.85,Kakumiro,0.7803,31.3244
2017-01-26,30.1,16.6,0.0,53,40289.63,Kakumiro,0.7803,31.3244
