time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,24.1,20.3,1.9,77,38245.99,Kalangala,-0.3073,32.225
2024-01-02,24.2,20.5,8.1,82,29665.83,Kalangala,-0.3073,32.225
2024-01-03,24.3,19.4,11.9,78,18918.96,Kalangala,-0.3073,32.225
2024-01-04,24.9,20.8,0.4,74,38262.76,Kalangala,-0.3073,32.225
2024-01-05,23.7,21.0,0.6,75,40471.36,Kalangala,-0.3073,32.225
2024-01-06,24.6,20.7,2.5,78,40189.99,Kalangala,-0.3073,32.225
2024-01-07,25.8,21.1,0.0,70,41111.49,Kalangala,-0.3073,32.225
2024-01-08,25.2,20.2,0.7,75,41112.75,Kalangala,-0.3073,32.225
2024-01-09,23.8,20.2,5.0,83,31753.1,Kalangala,-0.3073,32.225
2024-01-10,23.9,19.2,7.3,82,34851.39,Kalangala,-0.3073,32.225
2024-01-11,24.5,19.5,5.3,81,38475.78,Kalangala,-0.3073,32.225
2024-01-12,23.8,21.2,5.3,81,33245.25,Kalangala,-0.3073,32.225
2024-01-13,24.3,21.1,0.9,77,36119.22,Kalangala,-0.3073,32.225
2024-01-14,24.2,19.4,12.8,83,36283.46,Kalangala,-0.3073,32.225
2024-01-15,24.9,20.6,4.3,77,33598.77,Kalangala,-0.3073,32.225
2024-01-16,24.6,20.3,2.2,79,38566.49,Kalangala,-0.3073,32.225
2024-01-17,25.8,21.8,0.0,67,34044.97,Kalangala,-0.3073,32.225
2024-01-18,23.9,20.8,0.1,72,31097.3,Kalangala,-0.3073,32.225
2024-01-19,25.1,20.0,0.1,71,41130.99,Kalangala,-0.3073,32.225
2024-01-20,26.6,20.2,0.0,65,41133.02,Kalangala,-0.3073,32.225
2024-01-21,27.1,22.4,0.0,62,41135.08,Kalangala,-0.3073,32.225
2024-01-22,25.9,21.4,0.0,65,36221.43,Kalangala,-0.3073,32.225
2024-01-23,24.7,19.6,9.4,79,28589.49,Kalangala,-0.3073,32.225
2024-01-24,24.3,19.1,5.7,82,39075.3,Kalangala,-0.3073,32.225
2024-01-25,24.6,20.3,1.7,81,39885.93,Kalangala,-0.3073,32.225
2024-01-26,24.1,18.8,36.3,83,33373.45,Kalangala,-0.3073,32.225
2024-01-27,24.2,20.0,1.1,80,36954.97,Kalangala,-0.3073,32.225
2024-01-28,26.2,21.5,0.4,68,40949.23,Kalangala,-0.3073,32.225
2024-01-29,26.0,20.5,3.3,74,40446.5,Kalangala,-0.3073,32.225
2024-01-30,24.0,19.4,4.1,79,12532.72,Kalangala,-0.3073,32.225
2024-01-31,24.5,19.3,2.2,82,33931.07,Kalangala,-0.3073,32.225
2024-02-01,25.0,21.6,0.4,77,36801.05,Kalangala,-0.3073,32.225
2024-02-02,23.7,19.6,11.2,82,32395.79,Kalangala,-0.3073,32.225
2024-02-03,25.1,20.8,0.7,74,41112.5,Kalangala,-0.3073,32.225
2024-02-04,24.7,21.1,2.4,77,40108.41,Kalangala,-0.3073,32.225
2024-02-05,24.8,19.5,7.8,77,40112.71,Kalangala,-0.3073,32.225
2024-02-06,25.5,19.4,4.0,76,38876.51,Kalangala,-0.3073,32.225
2024-02-07,25.9,21.2,0.4,74,41168.66,Kalangala,-0.3073,32.225
2024-02-08,25.2,21.7,2.7,76,40120.55,Kalangala,-0.3073,32.225
2024-02-09,27.1,21.9,0.2,71,34046.57,Kalangala,-0.3073,32.225
2024-02-10,24.7,20.1,5.7,75,31330.8,Kalangala,-0.3073,32.225
2024-02-11,25.0,21.1,0.0,75,36669.44,Kalangala,-0.3073,32.225
2024-02-12,24.9,21.6,1.9,77,39371.21,Kalangala,-0.3073,32.225
2024-02-13,25.4,21.2,1.8,76,39687.43,Kalangala,-0.3073,32.225
2024-02-14,26.0,21.8,1.7,74,41180.93,Kalangala,-0.3073,32.225
2024-02-15,24.0,20.1,15.6,84,5911.04,Kalangala,-0.3073,32.225
2024-02-16,25.5,22.2,0.0,68,41184.04,Kalangala,-0.3073,32.225
2024-02-17,25.6,21.2,7.2,75,39314.38,Kalangala,-0.3073,32.225
2024-02-18,26.1,21.7,0.6,75,37107.78,Kalangala,-0.3073,32.225
2024-02-19,25.7,21.9,0.7,76,37040.56,Kalangala,-0.3073,32.225
2024-02-20,25.9,22.1,0.2,79,38601.12,Kalangala,-0.3073,32.225
2024-02-21,26.0,23.3,5.1,78,41190.75,Kalangala,-0.3073,32.225
2024-02-22,26.7,21.8,1.5,73,29734.27,Kalangala,-0.3073,32.225
2024-02-23,25.6,21.4,1.3,77,40566.16,Kalangala,-0.3073,32.225
2024-02-24,26.9,22.9,0.6,65,38847.82,Kalangala,-0.3073,32.225
2024-02-25,26.9,23.0,1.0,65,38916.89,Kalangala,-0.3073,32.225
2024-02-26,25.9,21.5,8.2,73,39784.16,Kalangala,-0.3073,32.225
2024-02-27,23.4,19.9,38.6,86,22369.21,Kalangala,-0.3073,32.225
2024-02-28,24.4,20.9,7.0,78,33997.72,Kalangala,-0.3073,32.225
2024-02-29,26.4,21.5,0.0,72,41196.84,Kalangala,-0.3073,32.225
2024-03-01,26.2,22.7,1.1,73,40364.64,Kalangala,-0.3073,32.225
2024-03-02,26.4,21.6,1.4,75,39383.36,Kalangala,-0.3073,32.225
2024-03-03,25.8,19.3,6.0,77,41167.79,Kalangala,-0.3073,32.225
2024-03-04,25.8,19.9,5.3,79,39940.96,Kalangala,-0.3073,32.225
2024-03-05,24.9,20.8,9.6,81,36264.67,Kalangala,-0.3073,32.225
2024-03-06,24.9,20.0,6.1,81,35118.9,Kalangala,-0.3073,32.225
2024-03-07,25.4,21.4,1.8,77,39896.49,Kalangala,-0.3073,32.225
2024-03-08,25.4,20.8,9.3,80,37297.41,Kalangala,-0.3073,32.225
2024-03-09,25.7,21.9,0.7,74,36149.03,Kalangala,-0.3073,32.225
2024-03-10,25.5,20.3,5.4,79,35059.43,Kalangala,-0.3073,32.225
2024-03-11,25.3,21.1,4.8,80,35579.35,Kalangala,-0.3073,32.225
2024-03-12,26.1,21.9,0.0,76,37989.91,Kalangala,-0.3073,32.225
2024-03-13,27.1,22.8,0.2,72,41197.84,Kalangala,-0.3073,32.225
2024-03-14,27.4,22.3,0.2,71,41197.12,Kalangala,-0.3073,32.225
2024-03-15,26.7,21.7,2.1,75,40541.33,Kalangala,-0.3073,32.225
2024-03-16,26.4,20.0,1.4,75,41195.44,Kalangala,-0.3073,32.225
2024-03-17,26.9,21.7,1.2,72,41194.5,Kalangala,-0.3073,32.225
2024-03-18,27.5,22.8,0.3,70,41193.5,Kalangala,-0.3073,32.225
2024-03-19,27.2,22.6,2.5,75,41192.42,Kalangala,-0.3073,32.225
2024-03-20,26.6,20.4,6.5,78,38189.84,Kalangala,-0.3073,32.225
2024-03-21,25.8,23.2,1.3,77,41190.05,Kalangala,-0.3073,32.225
2024-03-22,26.2,22.2,7.9,76,38799.92,Kalangala,-0.3073,32.225
2024-03-23,25.0,20.8,9.6,79,25776.56,Kalangala,-0.3073,32.225
2024-03-24,24.4,19.9,23.9,85,0.0,Kalangala,-0.3073,32.225
2024-03-25,24.6,20.9,1.7,81,41184.48,Kalangala,-0.3073,32.225
2024-03-26,24.1,20.3,9.6,85,34738.97,Kalangala,-0.3073,32.225
2024-03-27,25.0,20.3,12.0,83,31774.35,Kalangala,-0.3073,32.225
