time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,28.6,18.1,3.5,82,33288.59,Kaliro,0.8945,33.4789
2024-01-02,29.8,18.4,0.5,78,39383.21,Kaliro,0.8945,33.4789
2024-01-03,29.1,18.8,6.7,75,38753.62,Kaliro,0.8945,33.4789
2024-01-04,29.6,18.3,0.0,71,40363.64,Kaliro,0.8945,33.4789
2024-01-05,28.3,18.7,1.1,77,40223.75,Kaliro,0.8945,33.4789
2024-01-06,30.3,18.2,0.1,67,40871.49,Kaliro,0.8945,33.4789
2024-01-07,30.7,17.4,0.1,69,40176.61,Kaliro,0.8945,33.4789
2024-01-08,31.1,19.0,0.7,67,38850.79,Kaliro,0.8945,33.4789
2024-01-09,29.1,20.5,0.9,74,34931.04,Kaliro,0.8945,33.4789
2024-01-10,27.2,19.3,4.3,76,22795.19,Kaliro,0.8945,33.4789
2024-01-11,30.6,19.2,1.0,74,40087.48,Kaliro,0.8945,33.4789
2024-01-12,29.0,19.4,10.4,74,36045.4,Kaliro,0.8945,33.4789
2024-01-13,28.8,17.7,0.9,78,32108.88,Kaliro,0.8945,33.4789
2024-01-14,29.2,19.6,1.3,80,27916.59,Kaliro,0.8945,33.4789
2024-01-15,29.5,18.6,1.2,79,36540.83,Kaliro,0.8945,33.4789
2024-01-16,28.7,18.4,7.7,76,40738.37,Kaliro,0.8945,33.4789
2024-01-17,29.3,17.1,0.4,74,34203.79,Kaliro,0.8945,33.4789
2024-01-18,28.0,19.1,0.9,76,23713.05,Kaliro,0.8945,33.4789
2024-01-19,30.1,16.6,0.0,67,39833.91,Kaliro,0.8945,33.4789
2024-01-20,30.9,18.5,0.3,61,40921.25,Kaliro,0.8945,33.4789
2024-01-21,30.9,18.0,0.0,60,38478.89,Kaliro,0.8945,33.4789
2024-01-22,30.5,19.7,1.2,68,39583.5,Kaliro,0.8945,33.4789
2024-01-23,29.0,18.8,0.5,75,39229.49,Kaliro,0.8945,33.4789
2024-01-24,29.0,17.9,0.9,75,40625.29,Kaliro,0.8945,33.4789
2024-01-25,30.8,18.9,0.4,74,40944.8,Kaliro,0.8945,33.4789
2024-01-26,30.0,19.3,9.9,78,40342.99,Kaliro,0.8945,33.4789
2024-01-27,28.8,18.9,12.5,77,37393.03,Kaliro,0.8945,33.4789
2024-01-28,31.1,18.0,0.0,72,40959.49,Kaliro,0.8945,33.4789
2024-01-29,31.7,17.6,0.0,68,40964.44,Kaliro,0.8945,33.4789
2024-01-30,30.7,19.4,0.2,71,31113.94,Kaliro,0.8945,33.4789
2024-01-31,30.5,19.3,0.5,69,37973.07,Kaliro,0.8945,33.4789
2024-02-01,29.8,19.4,1.2,75,31823.31,Kaliro,0.8945,33.4789
2024-02-02,28.4,19.2,2.3,76,37700.57,Kaliro,0.8945,33.4789
2024-02-03,29.3,19.0,1.4,75,40989.23,Kaliro,0.8945,33.4789
2024-02-04,31.7,18.0,0.1,69,40994.3,Kaliro,0.8945,33.4789
2024-02-05,30.0,18.9,0.2,73,40295.37,Kaliro,0.8945,33.4789
2024-02-06,28.7,18.0,0.3,76,41004.64,Kaliro,0.8945,33.4789
2024-02-07,29.9,18.0,0.7,73,41009.87,Kaliro,0.8945,33.4789
2024-02-08,30.7,18.7,1.0,74,39814.74,Kaliro,0.8945,33.4789
2024-02-09,32.0,18.7,0.8,68,41020.4,Kaliro,0.8945,33.4789
2024-02-10,30.9,19.5,0.0,72,41025.69,Kaliro,0.8945,33.4789
2024-02-11,29.1,19.2,9.6,77,41030.97,Kaliro,0.8945,33.4789
2024-02-12,28.7,19.4,1.5,76,41036.25,Kaliro,0.8945,33.4789
2024-02-13,30.9,19.6,1.4,73,41041.52,Kaliro,0.8945,33.4789
2024-02-14,31.9,18.9,0.7,72,41035.7,Kaliro,0.8945,33.4789
2024-02-15,27.3,19.7,12.3,82,29548.12,Kaliro,0.8945,33.4789
2024-02-16,30.2,18.4,0.9,76,40535.21,Kaliro,0.8945,33.4789
2024-02-17,31.0,19.2,0.9,73,41062.29,Kaliro,0.8945,33.4789
