time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,27.2,14.2,0.1,72,41075.43,Kalungu,-0.21,31.765
2023-01-02,27.3,15.6,0.7,70,41076.69,Kalungu,-0.21,31.765
2023-01-03,26.5,16.7,2.8,71,38835.51,Kalungu,-0.21,31.765
2023-01-04,27.2,17.1,0.1,67,41079.41,Kalungu,-0.21,31.765
2023-01-05,28.1,18.8,0.0,61,39721.71,Kalungu,-0.21,31.765
2023-01-06,29.4,15.3,0.0,64,41082.39,Kalungu,-0.21,31.765
2023-01-07,31.1,16.4,0.0,54,41083.97,Kalungu,-0.21,31.765
2023-01-08,29.5,18.8,0.0,51,33342.6,Kalungu,-0.21,31.765
2023-01-09,29.7,16.0,0.0,60,41087.28,Kalungu,-0.21,31.765
2023-01-10,26.3,17.9,2.3,81,28334.23,Kalungu,-0.21,31.765
2023-01-11,27.1,15.6,0.2,72,39330.05,Kalungu,-0.21,31.765
2023-01-12,26.6,16.6,0.6,75,35067.07,Kalungu,-0.21,31.765
2023-01-13,26.3,16.2,0.2,69,38871.35,Kalungu,-0.21,31.765
2023-01-14,27.9,15.1,0.3,75,41096.2,Kalungu,-0.21,31.765
2023-01-15,29.2,16.4,0.4,73,41098.05,Kalungu,-0.21,31.765
2023-01-16,29.3,16.3,0.0,66,41099.93,Kalungu,-0.21,31.765
2023-01-17,29.1,16.3,0.1,63,41101.81,Kalungu,-0.21,31.765
2023-01-18,29.7,16.8,0.0,61,41103.82,Kalungu,-0.21,31.765
2023-01-19,29.5,16.3,0.1,67,41106.02,Kalungu,-0.21,31.765
2023-01-20,31.2,17.0,0.1,66,41108.29,Kalungu,-0.21,31.765
2023-01-21,31.7,17.1,0.0,58,41088.28,Kalungu,-0.21,31.765
2023-01-22,27.0,19.0,6.8,65,38184.2,Kalungu,-0.21,31.765
2023-01-23,28.4,17.6,2.5,72,38503.1,Kalungu,-0.21,31.765
2023-01-24,28.6,18.8,2.8,68,36172.96,Kalungu,-0.21,31.765
2023-01-25,30.3,17.7,0.0,60,41120.21,Kalungu,-0.21,31.765
2023-01-26,30.1,16.5,0.0,59,41122.66,Kalungu,-0.21,31.765
2023-01-27,29.8,17.5,3.4,65,40033.62,Kalungu,-0.21,31.765
2023-01-28,28.8,16.0,0.4,64,41127.58,Kalungu,-0.21,31.765
2023-01-29,31.5,18.1,0.0,58,41130.04,Kalungu,-0.21,31.765
2023-01-30,29.9,18.4,0.0,50,40560.05,Kalungu,-0.21,31.765
2023-01-31,31.7,18.0,0.1,51,37866.24,Kalungu,-0.21,31.765
2023-02-01,30.8,19.8,0.0,56,40697.98,Kalungu,-0.21,31.765
2023-02-02,30.5,17.7,3.9,63,39845.86,Kalungu,-0.21,31.765
2023-02-03,30.1,17.8,0.7,64,40831.98,Kalungu,-0.21,31.765
2023-02-04,31.2,18.0,0.0,57,40836.5,Kalungu,-0.21,31.765
2023-02-05,30.9,17.1,0.4,59,41084.09,Kalungu,-0.21,31.765
2023-02-06,30.9,19.5,0.0,57,31818.4,Kalungu,-0.21,31.765
2023-02-07,30.2,18.5,0.7,66,41150.94,Kalungu,-0.21,31.765
2023-02-08,29.0,18.2,1.2,69,41153.04,Kalungu,-0.21,31.765
2023-02-09,27.6,19.0,1.5,70,37933.64,Kalungu,-0.21,31.765
2023-02-10,29.1,17.0,0.2,68,40606.14,Kalungu,-0.21,31.765
2023-02-11,29.9,17.8,0.2,67,40242.44,Kalungu,-0.21,31.765
2023-02-12,31.8,17.8,0.0,55,41161.36,Kalungu,-0.21,31.765
2023-02-13,30.4,17.0,0.1,62,41163.39,Kalungu,-0.21,31.765
2023-02-14,31.4,16.2,0.0,62,40828.72,Kalungu,-0.21,31.765
2023-02-15,33.3,19.2,0.1,53,39265.3,Kalungu,-0.21,31.765
2023-02-16,31.9,21.6,0.0,43,24307.44,Kalungu,-0.21,31.765
2023-02-17,31.9,21.3,0.2,44,37767.33,Kalungu,-0.21,31.765
2023-02-18,30.7,19.3,0.6,53,40219.2,Kalungu,-0.21,31.765
2023-02-19,31.6,19.9,0.0,45,40455.79,Kalungu,-0.21,31.765
2023-02-20,31.7,18.2,0.2,54,41176.44,Kalungu,-0.21,31.765
2023-02-21,31.0,19.6,1.5,60,35386.55,Kalungu,-0.21,31.765
2023-02-22,31.3,21.9,1.3,59,30677.67,Kalungu,-0.21,31.765
2023-02-23,31.7,20.2,0.1,62,35187.98,Kalungu,-0.21,31.765
2023-02-24,29.0,19.6,2.3,62,39809.46,Kalungu,-0.21,31.765
2023-02-25,28.0,19.0,8.1,69,23306.04,Kalungu,-0.21,31.765
2023-02-26,31.1,18.3,0.1,57,41013.38,Kalungu,-0.21,31.765
2023-02-27,26.4,19.6,2.4,73,29914.89,Kalungu,-0.21,31.765
2023-02-28,25.7,17.3,0.4,78,33306.86,Kalungu,-0.21,31.765
2023-03-01,26.2,18.1,3.3,77,31936.8,Kalungu,-0.21,31.765
2023-03-02,28.4,18.1,1.5,75,37123.62,Kalungu,-0.21,31.765
2023-03-03,27.6,17.8,2.3,75,38163.36,Kalungu,-0.21,31.765
2023-03-04,27.3,17.9,3.8,79,34591.52,Kalungu,-0.21,31.765
2023-03-05,28.8,18.5,0.6,74,39823.08,Kalungu,-0.21,31.765
2023-03-06,29.9,17.3,0.0,68,40180.54,Kalungu,-0.21,31.765
2023-03-07,31.0,17.4,0.0,58,41192.41,Kalungu,-0.21,31.765
2023-03-08,32.2,16.6,0.0,60,41192.87,Kalungu,-0.21,31.765
2023-03-09,30.2,19.7,3.2,61,39566.99,Kalungu,-0.21,31.765
2023-03-10,28.7,19.2,7.0,70,30725.82,Kalungu,-0.21,31.765
2023-03-11,28.4,19.5,6.6,75,29807.77,Kalungu,-0.21,31.765
2023-03-12,25.4,17.9,0.9,82,22660.23,Kalungu,-0.21,31.765
2023-03-13,27.9,17.9,0.9,74,40826.54,Kalungu,-0.21,31.765
2023-03-14,26.7,18.2,11.9,83,15617.11,Kalungu,-0.21,31.765
2023-03-15,26.8,18.3,8.9,81,23623.01,Kalungu,-0.21,31.765
2023-03-16,25.8,17.1,0.0,79,28772.0,Kalungu,-0.21,31.765
2023-03-17,23.2,16.9,7.2,83,18401.6,Kalungu,-0.21,31.765
2023-03-18,24.9,16.6,0.8,79,32296.23,Kalungu,-0.21,31.765
2023-03-19,27.5,16.1,0.0,73,41193.24,Kalungu,-0.21,31.765
2023-03-20,24.8,17.4,8.4,79,25226.22,Kalungu,-0.21,31.765
2023-03-21,26.4,17.4,0.3,75,26767.25,Kalungu,-0.21,31.765
2023-03-22,27.7,17.9,1.1,75,41190.91,Kalungu,-0.21,31.765
2023-03-23,26.4,18.9,3.8,80,17904.88,Kalungu,-0.21,31.765
2023-03-24,27.9,17.9,0.6,73,25468.96,Kalungu,-0.21,31.765
2023-03-25,26.2,17.8,1.7,74,33173.25,Kalungu,-0.21,31.765
2023-03-26,26.1,18.0,2.0,82,33648.55,Kalungu,-0.21,31.765
2023-03-27,26.5,17.2,0.1,75,40204.4,Kalungu,-0.21,31.765
2023-03-28,23.7,17.1,2.6,81,5389.23,Kalungu,-0.21,31.765
2023-03-29,27.1,16.4,0.3,77,41183.02,Kalungu,-0.21,31.765
2023-03-30,26.0,17.7,4.9,79,35198.63,Kalungu,-0.21,31.765
2023-03-31,27.0,17.2,1.1,82,24819.58,Kalungu,-0.21,31.765
2023-04-01,26.0,16.6,3.0,79,37936.68,Kalungu,-0.21,31.765
2023-04-02,26.6,17.7,1.4,75,40900.0,Kalungu,-0.21,31.765
2023-04-03,23.8,17.8,5.0,83,26204.15,Kalungu,-0.21,31.765
2023-04-04,26.3,17.6,1.2,77,38702.29,Kalungu,-0.21,31.765
2023-04-05,25.7,17.9,14.5,82,14537.21,Kalungu,-0.21,31.765
2023-04-06,25.3,17.0,3.2,80,28941.52,Kalungu,-0.21,31.765
2023-04-07,26.5,16.4,1.0,77,41168.36,Kalungu,-0.21,31.765
2023-04-08,26.9,18.8,3.0,76,40948.34,Kalungu,-0.21,31.765
2023-04-09,26.3,19.0,6.4,79,33821.31,Kalungu,-0.21,31.765
2023-04-10,28.2,16.9,0.8,73,40606.54,Kalungu,-0.21,31.765
2023-04-11,28.3,17.2,0.4,73,41159.44,Kalungu,-0.21,31.765
2023-04-12,27.0,18.9,0.4,74,41121.64,Kalungu,-0.21,31.765
2023-04-13,26.9,18.4,1.4,76,38664.53,Kalungu,-0.21,31.765
2023-04-14,25.1,18.5,9.8,85,16668.26,Kalungu,-0.21,31.765
2023-04-15,25.6,17.3,9.6,84,27962.29,Kalungu,-0.21,31.765
2023-04-16,26.4,18.6,5.1,77,39728.46,Kalungu,-0.21,31.765
2023-04-17,25.8,18.7,10.0,82,34936.7,Kalungu,-0.21,31.765
2023-04-18,25.7,16.9,1.7,83,30550.74,Kalungu,-0.21,31.765
2023-04-19,26.5,18.6,0.8,79,38105.55,Kalungu,-0.21,31.765
2023-04-20,26.9,18.5,2.8,79,41135.69,Kalungu,-0.21,31.765
2023-04-21,26.0,18.5,13.0,81,14855.0,Kalungu,-0.21,31.765
2023-04-22,25.4,17.8,3.2,81,22761.44,Kalungu,-0.21,31.765
2023-04-23,21.9,18.4,26.8,89,153.91,Kalungu,-0.21,31.765
2023-04-24,25.8,18.6,3.4,80,31994.66,Kalungu,-0.21,31.765
2023-04-25,24.1,17.3,10.8,87,18668.26,Kalungu,-0.21,31.765
2023-04-26,25.0,17.6,2.3,87,15478.48,Kalungu,-0.21,31.765
2023-04-27,24.2,16.9,8.6,87,28207.29,Kalungu,-0.21,31.765
2023-04-28,26.0,16.8,7.6,82,41022.33,Kalungu,-0.21,31.765
2023-04-29,23.7,17.8,3.8,85,13719.19,Kalungu,-0.21,31.765
2023-04-30,22.7,17.7,14.3,88,12773.27,Kalungu,-0.21,31.765
2023-05-01,20.5,17.3,11.6,93,779.56,Kalungu,-0.21,31.765
2023-05-02,24.9,14.9,1.5,84,40482.21,Kalungu,-0.21,31.765
2023-05-03,24.4,17.0,12.7,88,22593.27,Kalungu,-0.21,31.765
2023-05-04,25.3,17.4,5.4,88,32237.89,Kalungu,-0.21,31.765
2023-05-05,25.4,16.4,1.0,85,38951.08,Kalungu,-0.21,31.765
2023-05-06,26.4,15.7,3.4,86,41086.57,Kalungu,-0.21,31.765
2023-05-07,26.4,17.8,1.5,84,30722.99,Kalungu,-0.21,31.765
2023-05-08,27.1,16.9,1.4,80,41079.99,Kalungu,-0.21,31.765
2023-05-09,25.9,17.9,2.0,82,37760.26,Kalungu,-0.21,31.765
2023-05-10,25.5,17.3,6.5,84,37908.39,Kalungu,-0.21,31.765
2023-05-11,25.4,17.7,1.1,83,40743.4,Kalungu,-0.21,31.765
2023-05-12,26.5,17.4,3.6,84,32934.38,Kalungu,-0.21,31.765
2023-05-13,26.3,17.2,0.1,78,33190.86,Kalungu,-0.21,31.765
2023-05-14,27.4,16.2,0.9,78,41060.55,Kalungu,-0.21,31.765
2023-05-15,28.5,16.8,0.0,77,41057.43,Kalungu,-0.21,31.765
2023-05-16,28.5,17.5,2.4,75,41054.36,Kalungu,-0.21,31.765
2023-05-17,27.5,18.8,4.2,77,41051.34,Kalungu,-0.21,31.765
2023-05-18,27.8,18.4,1.0,79,40857.29,Kalungu,-0.21,31.765
2023-05-19,26.9,18.5,5.3,81,39354.96,Kalungu,-0.21,31.765
2023-05-20,27.8,17.5,2.7,79,41042.75,Kalungu,-0.21,31.765
2023-05-21,29.5,17.6,0.2,71,41039.95,Kalungu,-0.21,31.765
2023-05-22,27.9,18.0,2.9,70,41037.16,Kalungu,-0.21,31.765
2023-05-23,28.3,18.7,3.2,76,40030.82,Kalungu,-0.21,31.765
2023-05-24,28.3,17.4,0.6,80,40373.38,Kalungu,-0.21,31.765
2023-05-25,28.5,17.7,0.2,75,41029.0,Kalungu,-0.21,31.765
