time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2018-01-01,24.8,17.4,9.5,84,27793.46,Kampala,0.3136,32.5811
2018-01-02,24.6,17.3,11.4,82,40112.93,Kampala,0.3136,32.5811
2018-01-03,26.6,18.7,0.6,75,33341.12,Kampala,0.3136,32.5811
2018-01-04,25.9,18.8,0.3,77,27279.43,Kampala,0.3136,32.5811
2018-01-05,26.9,16.1,0.0,75,39193.45,Kampala,0.3136,32.5811
2018-01-06,27.7,17.0,0.0,61,39543.43,Kampala,0.3136,32.5811
2018-01-07,27.4,14.9,0.0,52,38770.65,Kampala,0.3136,32.5811
2018-01-08,28.8,15.6,0.0,53,40383.45,Kampala,0.3136,32.5811
2018-01-09,28.2,15.6,0.0,54,40990.96,Kampala,0.3136,32.5811
2018-01-10,28.3,16.0,0.0,70,40993.54,Kampala,0.3136,32.5811
2018-01-11,25.7,17.2,2.8,74,40964.82,Kampala,0.3136,32.5811
2018-01-12,24.7,19.0,21.5,84,34482.25,Kampala,0.3136,32.5811
2018-01-13,23.9,18.9,9.4,87,38793.38,Kampala,0.3136,32.5811
2018-01-14,24.5,18.8,5.1,84,41004.67,Kampala,0.3136,32.5811
2018-01-15,26.1,19.0,1.7,82,40792.14,Kampala,0.3136,32.5811
2018-01-16,26.3,18.7,1.4,80,40955.23,Kampala,0.3136,32.5811
2018-01-17,28.9,16.2,0.0,72,41013.67,Kampala,0.3136,32.5811
2018-01-18,25.3,16.3,6.6,80,41016.76,Kampala,0.3136,32.5811
2018-01-19,28.1,16.7,0.0,75,41019.88,Kampala,0.3136,32.5811
2018-01-20,26.1,18.9,3.2,73,39434.21,Kampala,0.3136,32.5811
2018-01-21,24.9,18.2,5.1,79,39978.02,Kampala,0.3136,32.5811
2018-01-22,27.1,17.0,2.1,79,41029.38,Kampala,0.3136,32.5811
2018-01-23,26.0,17.9,16.1,81,41032.56,Kampala,0.3136,32.5811
2018-01-24,24.4,17.9,3.6,84,40801.82,Kampala,0.3136,32.5811
2018-01-25,23.9,16.5,5.6,85,40227.95,Kampala,0.3136,32.5811
2018-01-26,26.0,16.4,2.8,83,39402.5,Kampala,0.3136,32.5811
2018-01-27,27.3,18.6,2.2,77,40831.68,Kampala,0.3136,32.5811
2018-01-28,25.3,20.5,1.8,80,39414.01,Kampala,0.3136,32.5811
2018-01-29,26.7,17.1,2.5,82,41053.55,Kampala,0.3136,32.5811
2018-01-30,29.6,17.1,0.0,68,40600.29,Kampala,0.3136,32.5811
2018-01-31,29.5,16.7,0.0,64,40607.64,Kampala,0.3136,32.5811
2018-02-01,26.5,19.1,0.6,77,40232.82,Kampala,0.3136,32.5811
2018-02-02,26.6,17.4,1.3,81,40620.4,Kampala,0.3136,32.5811
2018-02-03,28.7,16.3,2.5,75,41072.17,Kampala,0.3136,32.5811
2018-02-04,28.4,15.8,0.9,72,41075.91,Kampala,0.3136,32.5811
2018-02-05,28.8,17.7,1.6,73,41079.64,Kampala,0.3136,32.5811
2018-02-06,27.4,19.0,0.2,75,31349.16,Kampala,0.3136,32.5811
2018-02-07,27.0,17.8,0.3,81,40893.19,Kampala,0.3136,32.5811
2018-02-08,26.7,19.1,6.9,81,39762.57,Kampala,0.3136,32.5811
2018-02-09,26.5,17.6,2.4,81,38783.09,Kampala,0.3136,32.5811
2018-02-10,27.9,17.9,0.8,74,41097.89,Kampala,0.3136,32.5811
2018-02-11,27.7,16.7,1.5,74,41101.42,Kampala,0.3136,32.5811
2018-02-12,26.3,17.2,0.5,82,31214.01,Kampala,0.3136,32.5811
2018-02-13,27.4,17.7,4.2,79,38611.67,Kampala,0.3136,32.5811
2018-02-14,28.5,17.5,0.4,74,39425.16,Kampala,0.3136,32.5811
2018-02-15,29.4,18.2,0.1,68,41114.82,Kampala,0.3136,32.5811
2018-02-16,29.4,16.8,0.1,69,41118.09,Kampala,0.3136,32.5811
2018-02-17,28.7,18.2,0.1,66,40383.05,Kampala,0.3136,32.5811
2018-02-18,28.8,19.7,2.1,62,40503.77,Kampala,0.3136,32.5811
2018-02-19,26.9,19.3,1.5,69,41127.8,Kampala,0.3136,32.5811
2018-02-20,25.9,17.3,1.0,74,35620.34,Kampala,0.3136,32.5811
2018-02-21,25.3,18.2,2.9,78,38047.5,Kampala,0.3136,32.5811
2018-02-22,27.7,17.4,1.2,76,40729.91,Kampala,0.3136,32.5811
2018-02-23,27.2,18.3,2.2,77,39584.89,Kampala,0.3136,32.5811
2018-02-24,24.9,17.9,7.9,80,35574.95,Kampala,0.3136,32.5811
2018-02-25,27.0,17.8,1.3,74,36794.07,Kampala,0.3136,32.5811
2018-02-26,27.3,18.1,0.1,74,37841.36,Kampala,0.3136,32.5811
2018-02-27,25.6,18.5,1.5,78,39084.16,Kampala,0.3136,32.5811
2018-02-28,26.3,17.6,5.3,78,40957.41,Kampala,0.3136,32.5811
2018-03-01,26.0,17.2,3.7,80,32423.7,Kampala,0.3136,32.5811
2018-03-02,21.7,17.6,22.3,92,1040.76,Kampala,0.3136,32.5811
2018-03-03,25.6,17.4,0.8,80,38979.58,Kampala,0.3136,32.5811
2018-03-04,22.6,18.1,13.5,87,19041.29,Kampala,0.3136,32.5811
2018-03-05,26.5,16.5,0.0,78,31515.46,Kampala,0.3136,32.5811
2018-03-06,24.7,19.0,0.8,82,35375.5,Kampala,0.3136,32.5811
2018-03-07,25.0,18.4,0.0,81,38636.12,Kampala,0.3136,32.5811
2018-03-08,26.6,16.7,0.0,78,41173.26,Kampala,0.3136,32.5811
2018-03-09,28.2,17.4,2.7,78,41175.14,Kampala,0.3136,32.5811
2018-03-10,26.6,18.4,1.4,82,41176.97,Kampala,0.3136,32.5811
2018-03-11,26.8,18.8,4.6,80,32967.79,Kampala,0.3136,32.5811
2018-03-12,25.1,19.3,10.9,83,29777.31,Kampala,0.3136,32.5811
2018-03-13,24.4,19.0,1.6,82,19511.17,Kampala,0.3136,32.5811
2018-03-14,26.9,18.0,0.3,78,40494.72,Kampala,0.3136,32.5811
2018-03-15,24.8,17.3,12.8,89,23201.04,Kampala,0.3136,32.5811
2018-03-16,23.3,17.2,6.7,88,16040.0,Kampala,0.3136,32.5811
2018-03-17,25.6,17.7,1.4,82,31477.62,Kampala,0.3136,32.5811
2018-03-18,27.2,18.8,12.0,85,38096.35,Kampala,0.3136,32.5811
2018-03-19,22.1,17.7,23.3,93,10844.82,Kampala,0.3136,32.5811
2018-03-20,24.0,17.7,8.8,88,26196.36,Kampala,0.3136,32.5811
2018-03-21,23.9,18.0,19.4,89,38412.55,Kampala,0.3136,32.5811
2018-03-22,24.3,18.4,1.5,85,41193.68,Kampala,0.3136,32.5811
2018-03-23,26.7,18.4,3.2,81,41194.61,Kampala,0.3136,32.5811
2018-03-24,25.1,17.3,4.6,82,41195.47,Kampala,0.3136,32.5811
2018-03-25,24.6,17.4,5.4,87,39724.04,Kampala,0.3136,32.5811
2018-03-26,25.0,18.0,1.3,86,38578.39,Kampala,0.3136,32.5811
2018-03-27,24.9,18.0,1.1,86,31103.16,Kampala,0.3136,32.5811
2018-03-28,25.6,18.4,12.8,84,34475.08,Kampala,0.3136,32.5811
2018-03-29,24.2,18.0,12.3,89,21673.97,Kampala,0.3136,32.5811
2018-03-30,23.8,17.6,12.6,88,34238.63,Kampala,0.3136,32.5811
2018-03-31,25.1,17.5,11.8,87,39381.39,Kampala,0.3136,32.5811
2018-04-01,24.1,18.6,8.4,87,39444.17,Kampala,0.3136,32.5811
2018-04-02,24.4,17.9,7.5,86,39828.63,Kampala,0.3136,32.5811
2018-04-03,24.5,18.1,19.1,91,16562.54,Kampala,0.3136,32.5811
2018-04-04,22.9,17.7,36.0,93,9169.51,Kampala,0.3136,32.5811
2018-04-05,23.8,17.2,17.6,90,18027.12,Kampala,0.3136,32.5811
2018-04-06,24.7,16.5,7.6,88,34324.68,Kampala,0.3136,32.5811
2018-04-07,23.4,16.9,8.6,87,29330.29,Kampala,0.3136,32.5811
2018-04-08,24.3,16.5,4.6,87,26564.98,Kampala,0.3136,32.5811
2018-04-09,24.2,16.5,1.9,88,24515.68,Kampala,0.3136,32.5811
2018-04-10,25.3,17.6,6.9,84,35870.57,Kampala,0.3136,32.5811
2018-04-11,23.7,17.5,8.2,87,34934.57,Kampala,0.3136,32.5811
2018-04-12,24.0,17.5,0.9,84,19542.94,Kampala,0.3136,32.5811
2018-04-13,24.0,16.9,9.0,87,32262.76,Kampala,0.3136,32.5811
2018-04-14,20.2,16.3,18.6,97,0.0,Kampala,0.3136,32.5811
2018-04-15,24.3,16.3,2.0,84,9590.38,Kampala,0.3136,32.5811
2018-04-16,22.5,17.2,6.5,89,1704.89,Kampala,0.3136,32.5811
2018-04-17,22.3,16.7,3.7,88,20868.42,Kampala,0.3136,32.5811
2018-04-18,24.4,18.4,4.3,86,39243.05,Kampala,0.3136,32.5811
2018-04-19,23.8,18.4,4.1,88,27384.6,Kampala,0.3136,32.5811
2018-04-20,24.9,17.0,0.3,87,33372.71,Kampala,0.3136,32.5811
2018-04-21,24.2,18.0,3.6,87,35597.53,Kampala,0.3136,32.5811
2018-04-22,22.6,17.0,13.8,93,11451.2,Kampala,0.3136,32.5811
2018-04-23,24.4,17.0,8.2,90,29706.79,Kampala,0.3136,32.5811
2018-04-24,22.5,17.9,24.0,90,17670.87,Kampala,0.3136,32.5811
2018-04-25,24.1,18.2,6.4,89,17654.89,Kampala,0.3136,32.5811
2018-04-26,24.2,16.8,12.6,89,23755.4,Kampala,0.3136,32.5811
2018-04-27,23.4,18.0,3.6,86,39505.95,Kampala,0.3136,32.5811
2018-04-28,23.7,17.8,2.2,85,40664.79,Kampala,0.3136,32.5811
2018-04-29,23.7,18.4,20.3,91,14397.59,Kampala,0.3136,32.5811
2018-04-30,23.2,17.3,6.0,90,17034.6,Kampala,0.3136,32.5811
2018-05-01,23.6,18.8,14.1,88,21824.96,Kampala,0.3136,32.5811
2018-05-02,23.5,18.2,6.5,86,32251.0,Kampala,0.3136,32.5811
2018-05-03,23.9,19.8,8.5,83,40588.09,Kampala,0.3136,32.5811
2018-05-04,24.6,19.1,3.5,85,39491.62,Kampala,0.3136,32.5811
2018-05-05,24.1,19.9,13.7,86,34704.74,Kampala,0.3136,32.5811
2018-05-06,23.2,18.0,10.9,88,27477.55,Kampala,0.3136,32.5811
2018-05-07,23.5,16.9,16.1,89,18486.9,Kampala,0.3136,32.5811
2018-05-08,23.8,18.3,2.0,87,35252.98,Kampala,0.3136,32.5811
2018-05-09,24.1,17.1,1.3,87,40390.94,Kampala,0.3136,32.5811
2018-05-10,23.8,19.0,4.9,87,33459.59,Kampala,0.3136,32.5811
2018-05-11,23.9,19.5,5.3,86,40613.81,Kampala,0.3136,32.5811
2018-05-12,23.7,19.6,3.3,86,40834.17,Kampala,0.3136,32.5811
2018-05-13,24.9,19.0,3.9,85,40725.11,Kampala,0.3136,32.5811
2018-05-14,24.3,18.8,3.2,86,41054.41,Kampala,0.3136,32.5811
2018-05-15,22.9,16.9,6.8,88,27506.05,Kampala,0.3136,32.5811
2018-05-16,23.8,15.8,0.0,82,28622.21,Kampala,0.3136,32.5811
2018-05-17,24.1,18.1,1.1,81,39394.63,Kampala,0.3136,32.5811
2018-05-18,24.7,18.2,1.3,83,36839.29,Kampala,0.3136,32.5811
2018-05-19,22.4,17.6,29.7,93,11335.82,Kampala,0.3136,32.5811
2018-05-20,23.3,18.0,2.6,85,40497.32,Kampala,0.3136,32.5811
2018-05-21,23.4,17.3,5.6,85,40163.18,Kampala,0.3136,32.5811
2018-05-22,21.4,17.2,19.8,93,7045.4,Kampala,0.3136,32.5811
2018-05-23,23.9,16.8,3.3,92,35123.34,Kampala,0.3136,32.5811
2018-05-24,23.5,16.7,0.8,89,38954.3,Kampala,0.3136,32.5811
2018-05-25,24.2,15.6,0.6,87,37405.24,Kampala,0.3136,32.5811
2018-05-26,23.5,16.6,10.4,88,30449.98,Kampala,0.3136,32.5811
2018-05-27,23.3,17.0,7.4,89,29455.99,Kampala,0.3136,32.5811
2018-05-28,24.2,18.0,0.4,83,40891.98,Kampala,0.3136,32.5811
2018-05-29,23.8,15.0,1.1,81,40791.27,Kampala,0.3136,32.5811
2018-05-30,24.3,15.5,0.0,76,40446.94,Kampala,0.3136,32.5811
2018-05-31,24.6,17.6,3.7,82,29186.3,Kampala,0.3136,32.5811
2018-06-01,24.6,17.9,1.6,86,36682.2,Kampala,0.3136,32.5811
2018-06-02,24.3,17.2,6.7,88,40762.94,Kampala,0.3136,32.5811
2018-06-03,23.7,16.7,8.9,88,38479.47,Kampala,0.3136,32.5811
2018-06-04,23.2,17.5,18.9,87,29285.63,Kampala,0.3136,32.5811
2018-06-05,22.9,17.0,5.3,88,20905.6,Kampala,0.3136,32.5811
2018-06-06,22.0,16.4,4.6,87,29206.12,Kampala,0.3136,32.5811
2018-06-07,23.2,16.1,14.2,87,39531.7,Kampala,0.3136,32.5811
2018-06-08,23.4,16.5,13.5,87,29946.92,Kampala,0.3136,32.5811
2018-06-09,24.4,17.5,1.7,80,40586.56,Kampala,0.3136,32.5811
2018-06-10,24.4,15.6,1.1,79,40110.04,Kampala,0.3136,32.5811
2018-06-11,24.9,15.9,0.5,76,40684.76,Kampala,0.3136,32.5811
2018-06-12,24.3,17.6,0.0,74,40675.67,Kampala,0.3136,32.5811
2018-06-13,23.6,16.7,1.1,79,40784.59,Kampala,0.3136,32.5811
2018-06-14,24.3,15.8,0.4,81,40420.84,Kampala,0.3136,32.5811
2018-06-15,25.2,14.9,0.6,80,40528.98,Kampala,0.3136,32.5811
2018-06-16,25.2,17.4,0.1,79,40875.71,Kampala,0.3136,32.5811
2018-06-17,25.4,16.4,0.7,76,40387.93,Kampala,0.3136,32.5811
2018-06-18,24.9,18.0,0.5,73,40136.34,Kampala,0.3136,32.5811
2018-06-19,23.5,17.5,3.1,80,39454.51,Kampala,0.3136,32.5811
2018-06-20,23.3,15.6,16.7,90,32844.91,Kampala,0.3136,32.5811
2018-06-21,22.0,15.6,1.4,92,21442.27,Kampala,0.3136,32.5811
2018-06-22,22.1,15.4,8.3,92,33398.36,Kampala,0.3136,32.5811
2018-06-23,24.3,14.5,0.3,86,39260.99,Kampala,0.3136,32.5811
2018-06-24,24.7,16.1,0.5,86,33087.37,Kampala,0.3136,32.5811
2018-06-25,23.4,15.9,0.7,90,34918.73,Kampala,0.3136,32.5811
