time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2018-01-01,30.2,18.7,0.0,62,36607.25,Kamwenge,0.19,30.4533
2018-01-02,28.6,17.1,0.0,60,34308.28,Kamwenge,0.19,30.4533
2018-01-03,26.9,18.9,5.0,69,38990.02,Kamwenge,0.19,30.4533
2018-01-04,25.3,18.5,0.0,69,21108.74,Kamwenge,0.19,30.4533
2018-01-05,27.7,17.6,0.0,60,37013.58,Kamwenge,0.19,30.4533
2018-01-06,29.3,18.5,0.0,57,31579.68,Kamwenge,0.19,30.4533
2018-01-07,30.2,18.8,0.0,51,27532.16,Kamwenge,0.19,30.4533
2018-01-08,29.9,18.5,0.0,50,35206.69,Kamwenge,0.19,30.4533
2018-01-09,31.7,18.1,0.0,49,37916.81,Kamwenge,0.19,30.4533
2018-01-10,30.3,17.7,0.0,49,38650.11,Kamwenge,0.19,30.4533
2018-01-11,31.0,19.0,0.0,49,29964.03,Kamwenge,0.19,30.4533
2018-01-12,29.0,18.1,0.0,52,35886.27,Kamwenge,0.19,30.4533
2018-01-13,30.2,20.2,0.3,55,26598.2,Kamwenge,0.19,30.4533
2018-01-14,29.5,17.8,0.0,61,40701.4,Kamwenge,0.19,30.4533
2018-01-15,30.4,19.9,0.7,59,36663.3,Kamwenge,0.19,30.4533
2018-01-16,30.6,19.0,0.0,51,38988.03,Kamwenge,0.19,30.4533
2018-01-17,31.9,17.7,0.0,44,40374.93,Kamwenge,0.19,30.4533
2018-01-18,31.6,18.8,0.0,46,41007.09,Kamwenge,0.19,30.4533
2018-01-19,31.1,17.4,0.0,46,40665.09,Kamwenge,0.19,30.4533
2018-01-20,30.7,19.4,0.0,48,33401.04,Kamwenge,0.19,30.4533
2018-01-21,28.2,17.0,0.2,57,40341.8,Kamwenge,0.19,30.4533
2018-01-22,30.7,18.6,0.3,48,40239.8,Kamwenge,0.19,30.4533
2018-01-23,31.7,20.1,0.0,48,34560.31,Kamwenge,0.19,30.4533
2018-01-24,28.4,18.9,4.1,56,39500.92,Kamwenge,0.19,30.4533
2018-01-25,29.1,18.5,0.1,62,40226.8,Kamwenge,0.19,30.4533
2018-01-26,29.3,19.0,0.8,66,36303.93,Kamwenge,0.19,30.4533
2018-01-27,29.8,18.1,1.2,60,37935.99,Kamwenge,0.19,30.4533
2018-01-28,31.0,17.4,0.0,57,32772.8,Kamwenge,0.19,30.4533
2018-01-29,31.4,18.5,0.0,57,34808.06,Kamwenge,0.19,30.4533
2018-01-30,31.9,18.5,0.0,49,35936.65,Kamwenge,0.19,30.4533
2018-01-31,32.0,16.7,0.0,46,38839.36,Kamwenge,0.19,30.4533
2018-02-01,32.7,18.5,0.0,50,31162.75,Kamwenge,0.19,30.4533
2018-02-02,31.9,19.1,0.1,50,35149.0,Kamwenge,0.19,30.4533
2018-02-03,32.7,20.2,0.0,48,39576.53,Kamwenge,0.19,30.4533
2018-02-04,32.9,21.3,0.0,42,37248.91,Kamwenge,0.19,30.4533
2018-02-05,32.3,20.9,0.0,44,34951.62,Kamwenge,0.19,30.4533
2018-02-06,32.0,21.5,0.0,42,36262.17,Kamwenge,0.19,30.4533
2018-02-07,32.5,19.9,0.0,48,37329.82,Kamwenge,0.19,30.4533
2018-02-08,34.1,20.4,0.0,48,37138.87,Kamwenge,0.19,30.4533
2018-02-09,32.7,20.5,0.0,48,39830.52,Kamwenge,0.19,30.4533
2018-02-10,33.9,19.8,0.0,41,37093.21,Kamwenge,0.19,30.4533
2018-02-11,33.4,19.3,0.0,45,34324.57,Kamwenge,0.19,30.4533
2018-02-12,32.5,19.4,0.0,46,34976.05,Kamwenge,0.19,30.4533
2018-02-13,32.0,19.4,0.3,49,38835.77,Kamwenge,0.19,30.4533
2018-02-14,32.6,20.1,0.2,47,37883.57,Kamwenge,0.19,30.4533
2018-02-15,31.6,18.8,0.0,52,36159.51,Kamwenge,0.19,30.4533
2018-02-16,32.9,18.5,0.0,48,40607.3,Kamwenge,0.19,30.4533
2018-02-17,33.0,20.9,0.0,46,31818.24,Kamwenge,0.19,30.4533
2018-02-18,28.9,21.5,7.0,56,36057.19,Kamwenge,0.19,30.4533
2018-02-19,31.7,19.7,0.5,67,29427.45,Kamwenge,0.19,30.4533
2018-02-20,27.7,19.2,1.6,73,18395.74,Kamwenge,0.19,30.4533
2018-02-21,28.4,18.7,3.1,77,32604.46,Kamwenge,0.19,30.4533
2018-02-22,28.8,18.4,0.2,77,39439.95,Kamwenge,0.19,30.4533
2018-02-23,27.5,17.8,6.6,74,40344.32,Kamwenge,0.19,30.4533
2018-02-24,27.5,18.3,3.3,78,39251.88,Kamwenge,0.19,30.4533
2018-02-25,28.4,18.2,4.1,75,35339.11,Kamwenge,0.19,30.4533
2018-02-26,28.7,17.1,0.2,74,40771.77,Kamwenge,0.19,30.4533
2018-02-27,28.7,17.8,6.4,76,40145.7,Kamwenge,0.19,30.4533
2018-02-28,27.6,18.5,2.7,71,37849.29,Kamwenge,0.19,30.4533
2018-03-01,24.6,18.3,0.0,77,32973.28,Kamwenge,0.19,30.4533
2018-03-02,20.3,16.9,3.2,87,6358.48,Kamwenge,0.19,30.4533
2018-03-03,26.3,15.9,5.9,76,39690.59,Kamwenge,0.19,30.4533
2018-03-04,26.6,18.3,4.3,75,29115.35,Kamwenge,0.19,30.4533
2018-03-05,27.1,16.7,0.2,76,30053.49,Kamwenge,0.19,30.4533
2018-03-06,26.5,17.6,6.2,80,39185.71,Kamwenge,0.19,30.4533
2018-03-07,26.7,16.9,0.9,78,26499.36,Kamwenge,0.19,30.4533
2018-03-08,29.2,16.5,0.0,70,40904.09,Kamwenge,0.19,30.4533
2018-03-09,27.1,17.2,0.7,76,41009.17,Kamwenge,0.19,30.4533
2018-03-10,27.1,18.0,6.0,77,33274.88,Kamwenge,0.19,30.4533
2018-03-11,26.7,19.3,0.1,75,32467.58,Kamwenge,0.19,30.4533
