time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2020-01-01,24.5,14.8,0.2,72,41233.75,Kanungu,-0.95,29.75
2020-01-02,24.4,15.9,1.1,68,41234.25,Kanungu,-0.95,29.75
2020-01-03,24.1,16.3,0.5,71,39618.34,Kanungu,-0.95,29.75
2020-01-04,23.9,16.1,0.7,75,37424.24,Kanungu,-0.95,29.75
2020-01-05,22.4,16.1,3.9,78,35576.39,Kanungu,-0.95,29.75
2020-01-06,23.5,15.3,0.9,80,28613.99,Kanungu,-0.95,29.75
2020-01-07,23.7,16.0,2.5,80,37843.4,Kanungu,-0.95,29.75
2020-01-08,22.7,15.5,3.1,82,29596.22,Kanungu,-0.95,29.75
2020-01-09,21.2,15.7,9.3,86,33880.27,Kanungu,-0.95,29.75
2020-01-10,23.2,14.8,0.8,78,37040.0,Kanungu,-0.95,29.75
2020-01-11,23.4,15.6,1.3,73,37461.97,Kanungu,-0.95,29.75
2020-01-12,22.8,15.8,1.1,77,28953.27,Kanungu,-0.95,29.75
2020-01-13,21.3,15.6,2.4,81,39743.73,Kanungu,-0.95,29.75
2020-01-14,24.7,14.9,0.3,78,41240.16,Kanungu,-0.95,29.75
2020-01-15,25.1,16.4,0.3,70,41240.9,Kanungu,-0.95,29.75
2020-01-16,25.6,17.0,0.1,62,38728.52,Kanungu,-0.95,29.75
2020-01-17,24.6,17.7,0.0,70,37745.1,Kanungu,-0.95,29.75
2020-01-18,23.0,18.5,6.4,76,26178.76,Kanungu,-0.95,29.75
2020-01-19,24.0,17.4,0.0,74,26991.24,Kanungu,-0.95,29.75
2020-01-20,23.6,17.4,0.3,77,26474.19,Kanungu,-0.95,29.75
2020-01-21,24.3,17.5,0.0,70,41245.41,Kanungu,-0.95,29.75
2020-01-22,24.8,17.6,1.1,67,36786.08,Kanungu,-0.95,29.75
2020-01-23,25.2,17.6,1.9,66,39355.48,Kanungu,-0.95,29.75
2020-01-24,22.0,17.2,3.6,72,13713.27,Kanungu,-0.95,29.75
2020-01-25,25.0,17.8,0.1,58,34012.37,Kanungu,-0.95,29.75
2020-01-26,24.2,18.4,0.2,70,33266.43,Kanungu,-0.95,29.75
2020-01-27,23.6,16.5,0.7,72,39788.98,Kanungu,-0.95,29.75
2020-01-28,22.2,17.5,3.1,79,24503.96,Kanungu,-0.95,29.75
2020-01-29,21.9,15.8,9.7,80,26117.01,Kanungu,-0.95,29.75
2020-01-30,22.8,15.7,0.1,76,19446.93,Kanungu,-0.95,29.75
2020-01-31,22.1,15.7,9.4,81,24423.46,Kanungu,-0.95,29.75
2020-02-01,21.6,15.4,2.3,83,29415.49,Kanungu,-0.95,29.75
2020-02-02,22.9,15.4,1.8,82,36503.51,Kanungu,-0.95,29.75
2020-02-03,23.2,16.1,6.5,81,34835.47,Kanungu,-0.95,29.75
2020-02-04,22.3,15.9,6.5,83,29656.64,Kanungu,-0.95,29.75
2020-02-05,22.6,16.5,5.3,84,25309.92,Kanungu,-0.95,29.75
2020-02-06,20.7,15.4,7.4,89,23902.75,Kanungu,-0.95,29.75
2020-02-07,25.6,14.8,1.5,78,40312.14,Kanungu,-0.95,29.75
2020-02-08,26.6,16.6,0.3,71,40743.29,Kanungu,-0.95,29.75
2020-02-09,27.0,16.7,0.0,60,40958.03,Kanungu,-0.95,29.75
2020-02-10,25.9,16.8,0.0,56,41064.51,Kanungu,-0.95,29.75
2020-02-11,25.7,15.0,0.0,60,41063.15,Kanungu,-0.95,29.75
2020-02-12,24.9,16.8,1.8,62,40954.27,Kanungu,-0.95,29.75
2020-02-13,24.9,17.3,1.0,66,36969.5,Kanungu,-0.95,29.75
2020-02-14,25.9,18.2,0.2,56,39879.52,Kanungu,-0.95,29.75
2020-02-15,25.4,15.2,1.3,72,40731.51,Kanungu,-0.95,29.75
2020-02-16,26.0,15.4,0.2,65,40941.41,Kanungu,-0.95,29.75
2020-02-17,26.4,16.4,5.9,71,40829.9,Kanungu,-0.95,29.75
2020-02-18,24.8,16.6,8.5,78,35762.17,Kanungu,-0.95,29.75
2020-02-19,24.4,15.4,7.3,83,40497.79,Kanungu,-0.95,29.75
2020-02-20,24.2,15.1,10.2,82,39677.82,Kanungu,-0.95,29.75
2020-02-21,26.6,14.7,3.2,77,40914.51,Kanungu,-0.95,29.75
2020-02-22,25.6,15.8,0.8,79,38792.44,Kanungu,-0.95,29.75
2020-02-23,25.5,16.9,4.3,78,33956.04,Kanungu,-0.95,29.75
2020-02-24,25.1,17.2,10.8,81,28619.31,Kanungu,-0.95,29.75
2020-02-25,25.5,16.5,1.3,78,35453.65,Kanungu,-0.95,29.75
2020-02-26,24.9,15.9,4.7,74,38397.43,Kanungu,-0.95,29.75
2020-02-27,24.8,16.8,3.2,74,33684.74,Kanungu,-0.95,29.75
2020-02-28,23.1,16.7,6.6,83,15706.9,Kanungu,-0.95,29.75
2020-02-29,25.1,16.2,0.0,71,37815.88,Kanungu,-0.95,29.75
2020-03-01,27.2,16.0,7.0,76,37398.39,Kanungu,-0.95,29.75
2020-03-02,26.6,17.3,1.0,72,31252.44,Kanungu,-0.95,29.75
2020-03-03,25.7,16.6,4.0,74,35922.74,Kanungu,-0.95,29.75
2020-03-04,26.3,18.2,0.3,64,28036.09,Kanungu,-0.95,29.75
2020-03-05,26.6,16.8,2.4,75,40334.71,Kanungu,-0.95,29.75
2020-03-06,27.9,16.9,1.4,73,40875.94,Kanungu,-0.95,29.75
2020-03-07,26.0,16.9,6.5,68,34951.32,Kanungu,-0.95,29.75
2020-03-08,28.5,16.5,15.7,72,33695.48,Kanungu,-0.95,29.75
2020-03-09,23.2,16.8,1.0,84,24189.26,Kanungu,-0.95,29.75
2020-03-10,22.3,16.7,2.6,86,19248.98,Kanungu,-0.95,29.75
2020-03-11,24.1,16.8,23.0,84,32105.85,Kanungu,-0.95,29.75
2020-03-12,23.3,16.0,3.4,84,30224.6,Kanungu,-0.95,29.75
2020-03-13,24.7,15.8,1.0,82,29154.45,Kanungu,-0.95,29.75
2020-03-14,25.1,15.9,2.2,80,39613.73,Kanungu,-0.95,29.75
2020-03-15,25.8,16.1,3.4,75,39824.1,Kanungu,-0.95,29.75
2020-03-16,24.9,17.2,3.2,80,38574.93,Kanungu,-0.95,29.75
2020-03-17,24.5,16.7,1.2,74,40595.53,Kanungu,-0.95,29.75
2020-03-18,23.4,16.6,8.1,84,21639.14,Kanungu,-0.95,29.75
2020-03-19,23.2,15.2,23.5,86,35998.68,Kanungu,-0.95,29.75
2020-03-20,25.7,16.6,0.7,73,36974.5,Kanungu,-0.95,29.75
2020-03-21,23.8,15.2,13.3,84,29709.8,Kanungu,-0.95,29.75
2020-03-22,21.2,15.5,30.1,89,35100.65,Kanungu,-0.95,29.75
2020-03-23,23.9,14.7,12.1,81,41180.38,Kanungu,-0.95,29.75
2020-03-24,24.8,15.0,5.1,80,40824.54,Kanungu,-0.95,29.75
2020-03-25,20.9,15.4,15.4,90,24302.77,Kanungu,-0.95,29.75
2020-03-26,23.5,15.5,0.3,77,30410.84,Kanungu,-0.95,29.75
2020-03-27,22.8,17.3,6.6,77,26110.52,Kanungu,-0.95,29.75
2020-03-28,22.4,16.6,6.7,84,20955.04,Kanungu,-0.95,29.75
2020-03-29,26.1,15.4,0.0,73,40858.22,Kanungu,-0.95,29.75
2020-03-30,26.4,15.4,2.4,74,41154.25,Kanungu,-0.95,29.75
2020-03-31,25.9,15.2,2.8,78,41150.32,Kanungu,-0.95,29.75
2020-04-01,27.0,16.6,0.5,70,41146.35,Kanungu,-0.95,29.75
2020-04-02,28.1,15.8,1.3,72,41142.34,Kanungu,-0.95,29.75
2020-04-03,26.8,16.2,1.2,71,40275.3,Kanungu,-0.95,29.75
2020-04-04,26.6,16.9,5.7,73,40426.21,Kanungu,-0.95,29.75
2020-04-05,24.9,15.5,0.9,76,41129.25,Kanungu,-0.95,29.75
2020-04-06,25.6,16.7,2.9,77,40980.0,Kanungu,-0.95,29.75
2020-04-07,27.1,16.5,2.8,75,39713.27,Kanungu,-0.95,29.75
2020-04-08,26.8,17.0,0.3,67,38940.72,Kanungu,-0.95,29.75
2020-04-09,26.8,16.8,3.3,70,39832.46,Kanungu,-0.95,29.75
2020-04-10,25.0,15.9,5.2,77,41105.84,Kanungu,-0.95,29.75
2020-04-11,25.9,15.7,2.3,74,41100.99,Kanungu,-0.95,29.75
2020-04-12,24.6,16.1,8.2,79,37840.11,Kanungu,-0.95,29.75
2020-04-13,23.6,15.9,4.0,86,28586.98,Kanungu,-0.95,29.75
2020-04-14,21.8,17.0,5.8,87,17158.44,Kanungu,-0.95,29.75
2020-04-15,22.9,16.6,11.5,86,28960.51,Kanungu,-0.95,29.75
2020-04-16,24.9,16.4,3.5,80,41076.2,Kanungu,-0.95,29.75
2020-04-17,22.7,16.7,14.8,84,38691.55,Kanungu,-0.95,29.75
2020-04-18,21.9,15.3,26.9,92,10768.63,Kanungu,-0.95,29.75
2020-04-19,20.0,16.8,7.3,89,7941.42,Kanungu,-0.95,29.75
2020-04-20,22.1,15.9,13.1,84,22839.35,Kanungu,-0.95,29.75
