time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,21.6,15.1,19.2,78,39249.46,Kapchorwa,1.4,34.45
2024-01-02,23.5,15.1,1.9,71,39591.97,Kapchorwa,1.4,34.45
2024-01-03,23.9,14.6,0.0,64,39457.3,Kapchorwa,1.4,34.45
2024-01-04,25.0,15.5,0.1,60,40591.79,Kapchorwa,1.4,34.45
2024-01-05,22.2,15.5,4.1,67,40769.72,Kapchorwa,1.4,34.45
2024-01-06,24.3,16.0,0.0,54,40122.55,Kapchorwa,1.4,34.45
2024-01-07,24.8,15.0,0.1,57,39445.67,Kapchorwa,1.4,34.45
2024-01-08,26.1,17.3,0.0,54,35971.78,Kapchorwa,1.4,34.45
2024-01-09,22.1,16.8,3.4,65,40056.55,Kapchorwa,1.4,34.45
2024-01-10,22.2,16.9,1.4,65,29258.12,Kapchorwa,1.4,34.45
2024-01-11,25.2,16.9,0.0,56,38062.8,Kapchorwa,1.4,34.45
2024-01-12,21.7,17.4,2.7,68,39654.95,Kapchorwa,1.4,34.45
2024-01-13,22.7,16.9,1.1,69,28235.93,Kapchorwa,1.4,34.45
2024-01-14,22.2,17.0,6.6,71,39383.39,Kapchorwa,1.4,34.45
2024-01-15,23.7,17.0,4.5,69,37398.73,Kapchorwa,1.4,34.45
2024-01-16,22.9,15.9,2.0,69,40812.58,Kapchorwa,1.4,34.45
2024-01-17,21.3,14.8,17.6,77,33835.67,Kapchorwa,1.4,34.45
2024-01-18,19.9,15.3,1.4,75,27508.69,Kapchorwa,1.4,34.45
2024-01-19,21.5,14.5,1.8,68,36482.94,Kapchorwa,1.4,34.45
2024-01-20,23.4,17.1,5.2,68,35840.21,Kapchorwa,1.4,34.45
2024-01-21,22.5,16.5,2.3,65,35448.53,Kapchorwa,1.4,34.45
2024-01-22,23.7,16.2,0.6,65,37018.07,Kapchorwa,1.4,34.45
2024-01-23,24.9,15.4,0.1,55,40850.85,Kapchorwa,1.4,34.45
2024-01-24,25.0,16.0,0.2,53,40856.74,Kapchorwa,1.4,34.45
2024-01-25,25.5,16.2,0.1,51,40862.7,Kapchorwa,1.4,34.45
2024-01-26,23.8,17.0,1.7,56,40868.73,Kapchorwa,1.4,34.45
2024-01-27,24.0,16.1,1.8,65,40874.81,Kapchorwa,1.4,34.45
2024-01-28,25.9,14.6,0.0,57,40880.93,Kapchorwa,1.4,34.45
2024-01-29,26.5,14.2,0.0,48,40887.07,Kapchorwa,1.4,34.45
2024-01-30,26.4,16.6,0.2,51,40464.68,Kapchorwa,1.4,34.45
2024-01-31,25.7,17.0,0.3,54,40899.43,Kapchorwa,1.4,34.45
2024-02-01,26.4,14.3,0.3,55,39710.14,Kapchorwa,1.4,34.45
2024-02-02,26.2,14.9,0.0,54,40569.42,Kapchorwa,1.4,34.45
