time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,29.1,16.8,0.7,50,41003.58,Kasese,0.1833,30.0833
2023-01-02,28.8,18.0,0.0,49,40770.0,Kasese,0.1833,30.0833
2023-01-03,28.6,19.0,0.3,50,39265.57,Kasese,0.1833,30.0833
2023-01-04,28.7,19.7,1.1,48,41008.54,Kasese,0.1833,30.0833
2023-01-05,30.6,20.3,0.0,42,40709.1,Kasese,0.1833,30.0833
2023-01-06,31.4,18.1,0.0,44,41012.32,Kasese,0.1833,30.0833
2023-01-07,31.3,17.0,0.0,48,36051.99,Kasese,0.1833,30.0833
2023-01-08,28.3,18.6,0.0,49,40062.36,Kasese,0.1833,30.0833
2023-01-09,29.3,18.1,0.0,51,40793.72,Kasese,0.1833,30.0833
2023-01-10,27.7,18.7,0.0,58,32840.3,Kasese,0.1833,30.0833
2023-01-11,27.6,19.4,0.1,59,37024.77,Kasese,0.1833,30.0833
2023-01-12,26.7,18.0,0.2,69,35466.33,Kasese,0.1833,30.0833
2023-01-13,27.9,17.7,0.2,60,40508.18,Kasese,0.1833,30.0833
2023-01-14,28.9,18.2,1.0,52,40026.79,Kasese,0.1833,30.0833
2023-01-15,27.9,18.5,0.0,57,40426.76,Kasese,0.1833,30.0833
2023-01-16,29.7,17.7,0.0,57,40090.54,Kasese,0.1833,30.0833
2023-01-17,32.0,18.5,0.1,45,40461.74,Kasese,0.1833,30.0833
2023-01-18,31.3,19.5,0.0,49,40361.02,Kasese,0.1833,30.0833
2023-01-19,30.6,18.9,0.0,47,40493.34,Kasese,0.1833,30.0833
2023-01-20,31.6,19.6,0.0,45,40075.99,Kasese,0.1833,30.0833
2023-01-21,31.6,19.8,0.0,46,39840.43,Kasese,0.1833,30.0833
2023-01-22,29.0,18.1,0.0,60,37647.21,Kasese,0.1833,30.0833
2023-01-23,30.8,19.6,0.0,53,39980.05,Kasese,0.1833,30.0833
2023-01-24,31.3,19.9,0.0,49,39215.42,Kasese,0.1833,30.0833
2023-01-25,32.1,19.1,0.1,42,40461.62,Kasese,0.1833,30.0833
2023-01-26,32.0,19.3,0.0,45,40361.11,Kasese,0.1833,30.0833
2023-01-27,30.8,19.5,1.0,51,39588.76,Kasese,0.1833,30.0833
2023-01-28,32.5,20.4,0.0,36,40607.21,Kasese,0.1833,30.0833
2023-01-29,30.3,20.3,2.0,43,39727.38,Kasese,0.1833,30.0833
2023-01-30,31.2,19.9,0.0,40,39407.02,Kasese,0.1833,30.0833
2023-01-31,30.8,18.9,0.0,44,40192.5,Kasese,0.1833,30.0833
2023-02-01,31.2,19.4,0.1,47,40201.57,Kasese,0.1833,30.0833
2023-02-02,29.9,18.2,0.2,52,39331.32,Kasese,0.1833,30.0833
2023-02-03,30.8,19.9,0.1,48,39888.79,Kasese,0.1833,30.0833
2023-02-04,31.4,19.3,0.0,42,40224.19,Kasese,0.1833,30.0833
2023-02-05,30.8,19.0,0.1,41,40230.16,Kasese,0.1833,30.0833
2023-02-06,30.4,21.2,0.0,44,36736.09,Kasese,0.1833,30.0833
2023-02-07,31.2,19.6,0.0,43,40124.02,Kasese,0.1833,30.0833
2023-02-08,31.1,20.2,0.0,46,40025.78,Kasese,0.1833,30.0833
2023-02-09,31.1,20.0,0.0,38,40245.51,Kasese,0.1833,30.0833
2023-02-10,32.4,19.7,0.0,38,40247.14,Kasese,0.1833,30.0833
2023-02-11,33.1,20.7,0.0,41,40247.94,Kasese,0.1833,30.0833
2023-02-12,33.5,21.0,0.0,39,40247.94,Kasese,0.1833,30.0833
2023-02-13,35.8,21.4,0.0,28,40247.16,Kasese,0.1833,30.0833
2023-02-14,33.6,20.5,0.0,29,40571.14,Kasese,0.1833,30.0833
2023-02-15,32.5,20.9,0.0,35,39700.48,Kasese,0.1833,30.0833
2023-02-16,33.2,21.4,0.0,38,37405.89,Kasese,0.1833,30.0833
2023-02-17,31.6,19.9,0.0,38,35810.63,Kasese,0.1833,30.0833
2023-02-18,33.4,21.9,0.0,29,33861.33,Kasese,0.1833,30.0833
2023-02-19,33.8,20.1,0.0,32,37077.73,Kasese,0.1833,30.0833
2023-02-20,34.7,20.8,0.0,31,36038.88,Kasese,0.1833,30.0833
2023-02-21,33.4,21.7,0.0,34,33114.52,Kasese,0.1833,30.0833
2023-02-22,31.9,21.5,0.0,39,30845.24,Kasese,0.1833,30.0833
2023-02-23,33.1,21.4,0.0,44,34666.21,Kasese,0.1833,30.0833
2023-02-24,32.3,21.3,0.0,44,38647.03,Kasese,0.1833,30.0833
2023-02-25,30.6,21.5,5.6,50,33100.3,Kasese,0.1833,30.0833
2023-02-26,31.9,21.4,1.2,52,35725.05,Kasese,0.1833,30.0833
2023-02-27,29.1,20.5,3.0,64,28339.06,Kasese,0.1833,30.0833
2023-02-28,28.0,19.1,2.8,78,34876.11,Kasese,0.1833,30.0833
2023-03-01,27.3,18.0,2.5,68,33140.38,Kasese,0.1833,30.0833
2023-03-02,28.5,19.7,11.6,75,35522.35,Kasese,0.1833,30.0833
2023-03-03,28.4,18.4,0.8,70,37118.98,Kasese,0.1833,30.0833
2023-03-04,29.1,19.1,0.0,60,39183.82,Kasese,0.1833,30.0833
2023-03-05,30.7,19.6,0.0,52,40552.75,Kasese,0.1833,30.0833
2023-03-06,33.5,21.0,0.0,40,39378.89,Kasese,0.1833,30.0833
2023-03-07,33.3,20.7,0.0,38,40983.04,Kasese,0.1833,30.0833
2023-03-08,33.0,20.3,0.0,41,41085.7,Kasese,0.1833,30.0833
2023-03-09,31.8,21.0,1.1,47,37984.85,Kasese,0.1833,30.0833
2023-03-10,29.1,21.5,0.2,65,26862.2,Kasese,0.1833,30.0833
2023-03-11,29.0,19.6,2.3,67,30926.66,Kasese,0.1833,30.0833
2023-03-12,26.5,18.8,3.5,81,21730.25,Kasese,0.1833,30.0833
2023-03-13,28.3,19.3,0.3,66,31933.68,Kasese,0.1833,30.0833
2023-03-14,27.5,18.7,6.7,69,25769.96,Kasese,0.1833,30.0833
2023-03-15,25.3,18.0,3.0,77,10107.8,Kasese,0.1833,30.0833
2023-03-16,26.9,18.9,0.5,68,27071.65,Kasese,0.1833,30.0833
