time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,34.3,17.8,0.0,34,40185.29,Katakwi,1.9167,34.0
2023-01-02,30.7,20.0,0.1,43,40164.52,Katakwi,1.9167,34.0
2023-01-03,31.2,21.0,0.0,47,40036.9,Katakwi,1.9167,34.0
2023-01-04,33.3,20.0,0.0,38,35406.41,Katakwi,1.9167,34.0
2023-01-05,33.6,18.9,0.0,32,40536.36,Katakwi,1.9167,34.0
2023-01-06,34.4,17.6,0.0,27,40299.61,Katakwi,1.9167,34.0
2023-01-07,35.7,17.5,0.0,25,37593.3,Katakwi,1.9167,34.0
2023-01-08,35.2,19.0,0.0,30,40596.58,Katakwi,1.9167,34.0
2023-01-09,34.3,18.6,0.0,47,38889.8,Katakwi,1.9167,34.0
2023-01-10,34.0,19.2,0.0,52,39655.38,Katakwi,1.9167,34.0
2023-01-11,33.5,19.0,0.0,50,38070.59,Katakwi,1.9167,34.0
2023-01-12,33.7,18.8,0.0,43,40532.52,Katakwi,1.9167,34.0
2023-01-13,35.1,18.3,0.0,48,38486.29,Katakwi,1.9167,34.0
2023-01-14,34.3,17.4,0.0,47,40618.89,Katakwi,1.9167,34.0
2023-01-15,34.8,17.2,0.0,32,38841.4,Katakwi,1.9167,34.0
2023-01-16,33.7,18.3,0.1,49,39290.9,Katakwi,1.9167,34.0
2023-01-17,33.6,19.4,0.0,31,39396.47,Katakwi,1.9167,34.0
2023-01-18,36.1,20.4,0.0,27,38089.23,Katakwi,1.9167,34.0
2023-01-19,36.8,17.4,0.0,42,39594.68,Katakwi,1.9167,34.0
2023-01-20,35.2,19.0,0.0,44,35612.98,Katakwi,1.9167,34.0
2023-01-21,36.1,20.7,0.0,25,40169.47,Katakwi,1.9167,34.0
2023-01-22,33.1,19.6,0.0,33,40643.82,Katakwi,1.9167,34.0
2023-01-23,33.0,17.1,0.0,48,38690.72,Katakwi,1.9167,34.0
2023-01-24,34.4,19.1,0.0,45,40762.24,Katakwi,1.9167,34.0
2023-01-25,34.0,18.5,0.0,40,37561.93,Katakwi,1.9167,34.0
2023-01-26,34.7,18.4,0.0,31,31794.0,Katakwi,1.9167,34.0
2023-01-27,35.8,19.2,0.0,39,34999.75,Katakwi,1.9167,34.0
2023-01-28,35.6,17.7,0.0,21,40792.26,Katakwi,1.9167,34.0
2023-01-29,36.4,20.0,0.0,23,40800.0,Katakwi,1.9167,34.0
2023-01-30,35.4,19.8,0.0,28,39207.65,Katakwi,1.9167,34.0
2023-01-31,35.3,19.0,0.0,33,36848.13,Katakwi,1.9167,34.0
2023-02-01,34.6,20.0,0.0,35,38566.65,Katakwi,1.9167,34.0
2023-02-02,34.6,19.6,0.0,42,40831.55,Katakwi,1.9167,34.0
2023-02-03,34.9,20.0,0.0,41,40839.51,Katakwi,1.9167,34.0
2023-02-04,33.4,18.7,0.1,46,38556.37,Katakwi,1.9167,34.0
2023-02-05,34.4,18.6,0.0,41,40855.47,Katakwi,1.9167,34.0
2023-02-06,33.9,18.5,0.0,40,39416.18,Katakwi,1.9167,34.0
2023-02-07,33.7,19.6,0.0,45,40871.38,Katakwi,1.9167,34.0
2023-02-08,34.6,19.6,0.0,47,40879.36,Katakwi,1.9167,34.0
2023-02-09,34.6,19.1,0.0,48,35054.25,Katakwi,1.9167,34.0
2023-02-10,35.7,18.8,0.0,43,39792.26,Katakwi,1.9167,34.0
2023-02-11,36.7,20.1,0.0,32,40903.86,Katakwi,1.9167,34.0
2023-02-12,36.2,19.5,0.0,23,40912.15,Katakwi,1.9167,34.0
2023-02-13,35.5,19.8,0.0,19,40920.5,Katakwi,1.9167,34.0
2023-02-14,36.7,21.0,0.0,22,38118.07,Katakwi,1.9167,34.0
2023-02-15,36.0,20.4,0.0,24,32864.14,Katakwi,1.9167,34.0
2023-02-16,35.9,22.0,0.0,27,36373.86,Katakwi,1.9167,34.0
2023-02-17,36.2,20.9,0.0,25,38602.53,Katakwi,1.9167,34.0
2023-02-18,36.0,20.6,0.0,26,38996.8,Katakwi,1.9167,34.0
2023-02-19,36.4,19.9,0.0,25,38332.76,Katakwi,1.9167,34.0
2023-02-20,36.6,21.8,0.0,22,40979.22,Katakwi,1.9167,34.0
2023-02-21,37.2,20.8,0.0,21,40987.54,Katakwi,1.9167,34.0
2023-02-22,37.8,22.2,0.0,20,31453.41,Katakwi,1.9167,34.0
2023-02-23,37.6,20.9,0.0,25,30706.45,Katakwi,1.9167,34.0
2023-02-24,34.9,21.4,0.1,46,41012.18,Katakwi,1.9167,34.0
2023-02-25,36.1,22.1,0.0,44,39023.31,Katakwi,1.9167,34.0
2023-02-26,36.5,21.3,0.0,37,40907.17,Katakwi,1.9167,34.0
2023-02-27,36.3,21.4,1.2,51,41036.07,Katakwi,1.9167,34.0
2023-02-28,34.5,21.1,0.2,51,41043.73,Katakwi,1.9167,34.0
2023-03-01,32.6,20.7,0.3,56,28691.31,Katakwi,1.9167,34.0
2023-03-02,33.4,19.9,0.5,60,41059.04,Katakwi,1.9167,34.0
2023-03-03,32.5,19.1,0.7,67,38865.18,Katakwi,1.9167,34.0
2023-03-04,34.5,19.8,0.6,58,40486.0,Katakwi,1.9167,34.0
2023-03-05,36.8,19.8,0.0,45,41081.91,Katakwi,1.9167,34.0
2023-03-06,37.1,20.7,0.0,26,41089.48,Katakwi,1.9167,34.0
2023-03-07,37.8,21.9,0.0,25,37451.34,Katakwi,1.9167,34.0
2023-03-08,38.0,21.8,0.0,27,38268.49,Katakwi,1.9167,34.0
2023-03-09,36.8,21.4,0.0,30,40689.09,Katakwi,1.9167,34.0
2023-03-10,33.9,21.1,0.0,50,38883.69,Katakwi,1.9167,34.0
2023-03-11,34.3,20.8,4.4,50,39151.54,Katakwi,1.9167,34.0
2023-03-12,26.9,19.4,16.8,76,24751.77,Katakwi,1.9167,34.0
2023-03-13,32.0,19.4,0.6,61,37398.9,Katakwi,1.9167,34.0
2023-03-14,24.5,19.1,16.3,80,1292.49,Katakwi,1.9167,34.0
2023-03-15,26.9,18.6,14.4,80,33152.57,Katakwi,1.9167,34.0
2023-03-16,27.6,18.5,1.6,78,11928.3,Katakwi,1.9167,34.0
2023-03-17,31.5,18.3,7.8,68,39404.68,Katakwi,1.9167,34.0
2023-03-18,26.9,19.0,11.2,81,12512.66,Katakwi,1.9167,34.0
2023-03-19,30.1,16.7,0.2,71,39448.06,Katakwi,1.9167,34.0
2023-03-20,26.8,18.5,9.7,78,28905.14,Katakwi,1.9167,34.0
2023-03-21,27.7,18.6,1.9,73,32944.12,Katakwi,1.9167,34.0
2023-03-22,29.6,17.6,0.3,69,40916.75,Katakwi,1.9167,34.0
2023-03-23,25.2,19.3,10.8,82,16950.7,Katakwi,1.9167,34.0
2023-03-24,28.5,17.9,2.9,78,33860.42,Katakwi,1.9167,34.0
2023-03-25,29.9,18.8,15.4,76,35825.32,Katakwi,1.9167,34.0
2023-03-26,27.4,18.3,0.5,82,31965.15,Katakwi,1.9167,34.0
2023-03-27,29.1,18.4,1.7,73,35791.15,Katakwi,1.9167,34.0
2023-03-28,28.8,18.2,3.2,74,40685.71,Katakwi,1.9167,34.0
2023-03-29,28.5,17.9,0.9,73,41241.48,Katakwi,1.9167,34.0
2023-03-30,31.5,18.3,0.3,64,40498.98,Katakwi,1.9167,34.0
2023-03-31,29.6,19.6,0.6,68,34734.75,Katakwi,1.9167,34.0
2023-04-01,28.5,18.2,2.6,71,40427.52,Katakwi,1.9167,34.0
2023-04-02,29.7,18.6,7.5,73,40336.09,Katakwi,1.9167,34.0
2023-04-03,30.5,18.4,30.7,79,33437.55,Katakwi,1.9167,34.0
2023-04-04,29.9,19.1,6.0,76,40598.97,Katakwi,1.9167,34.0
2023-04-05,31.8,18.7,0.0,66,40507.23,Katakwi,1.9167,34.0
2023-04-06,31.1,18.1,0.0,61,39455.92,Katakwi,1.9167,34.0
2023-04-07,32.3,18.2,0.0,60,41288.55,Katakwi,1.9167,34.0
2023-04-08,33.5,19.7,0.0,56,41218.42,Katakwi,1.9167,34.0
2023-04-09,34.0,19.0,0.0,47,41015.38,Katakwi,1.9167,34.0
2023-04-10,34.9,19.5,0.0,50,41031.11,Katakwi,1.9167,34.0
2023-04-11,34.7,18.8,0.0,54,41046.71,Katakwi,1.9167,34.0
2023-04-12,35.4,20.1,0.0,50,40630.75,Katakwi,1.9167,34.0
2023-04-13,33.7,20.6,0.0,49,40755.04,Katakwi,1.9167,34.0
2023-04-14,33.2,20.9,1.3,54,35328.05,Katakwi,1.9167,34.0
2023-04-15,35.0,19.4,0.1,50,40772.89,Katakwi,1.9167,34.0
2023-04-16,34.4,21.0,0.5,52,39921.55,Katakwi,1.9167,34.0
2023-04-17,34.5,21.2,3.6,62,29586.33,Katakwi,1.9167,34.0
2023-04-18,30.4,18.9,0.4,75,33380.52,Katakwi,1.9167,34.0
2023-04-19,32.6,19.0,0.1,66,39689.03,Katakwi,1.9167,34.0
2023-04-20,34.3,19.4,0.0,58,41082.9,Katakwi,1.9167,34.0
2023-04-21,33.4,20.0,0.0,62,39931.34,Katakwi,1.9167,34.0
2023-04-22,29.5,21.2,2.9,67,39600.0,Katakwi,1.9167,34.0
2023-04-23,31.1,20.4,42.3,78,15280.2,Katakwi,1.9167,34.0
2023-04-24,28.4,20.1,11.2,77,29876.52,Katakwi,1.9167,34.0
2023-04-25,28.4,19.1,13.9,82,35091.49,Katakwi,1.9167,34.0
2023-04-26,28.2,19.2,4.3,76,32945.57,Katakwi,1.9167,34.0
2023-04-27,29.1,19.2,17.4,80,36458.25,Katakwi,1.9167,34.0
2023-04-28,28.7,18.7,5.2,81,39600.0,Katakwi,1.9167,34.0
2023-04-29,26.5,18.6,5.4,86,24946.14,Katakwi,1.9167,34.0
2023-04-30,24.4,18.5,13.5,87,15644.7,Katakwi,1.9167,34.0
2023-05-01,24.1,18.4,10.1,86,12071.57,Katakwi,1.9167,34.0
2023-05-02,27.0,18.2,1.3,80,36652.86,Katakwi,1.9167,34.0
2023-05-03,28.3,17.8,6.4,84,33617.05,Katakwi,1.9167,34.0
2023-05-04,27.6,18.4,9.7,85,34299.29,Katakwi,1.9167,34.0
2023-05-05,28.9,18.1,0.0,78,40356.69,Katakwi,1.9167,34.0
2023-05-06,28.9,17.9,0.2,77,35196.2,Katakwi,1.9167,34.0
2023-05-07,29.4,18.5,0.0,69,40561.09,Katakwi,1.9167,34.0
2023-05-08,30.2,18.5,11.7,73,36386.29,Katakwi,1.9167,34.0
2023-05-09,28.7,17.8,2.1,77,40258.06,Katakwi,1.9167,34.0
2023-05-10,28.9,18.0,0.4,74,40360.32,Katakwi,1.9167,34.0
2023-05-11,29.8,18.8,5.1,72,32969.94,Katakwi,1.9167,34.0
2023-05-12,31.1,18.1,0.0,68,40463.49,Katakwi,1.9167,34.0
2023-05-13,31.6,19.0,0.0,68,40362.88,Katakwi,1.9167,34.0
2023-05-14,31.4,19.5,0.0,63,40567.04,Katakwi,1.9167,34.0
2023-05-15,31.8,20.1,0.0,63,40364.77,Katakwi,1.9167,34.0
2023-05-16,31.7,19.9,0.1,62,39754.88,Katakwi,1.9167,34.0
2023-05-17,33.1,20.8,5.9,65,38761.89,Katakwi,1.9167,34.0
2023-05-18,32.3,19.3,0.1,63,40163.65,Katakwi,1.9167,34.0
2023-05-19,31.9,19.6,0.3,60,40062.14,Katakwi,1.9167,34.0
2023-05-20,33.0,19.7,1.6,58,40370.12,Katakwi,1.9167,34.0
2023-05-21,33.3,20.1,0.1,58,40063.21,Katakwi,1.9167,34.0
2023-05-22,34.2,20.3,0.0,52,40372.58,Katakwi,1.9167,34.0
2023-05-23,33.1,20.9,4.6,63,35025.67,Katakwi,1.9167,34.0
2023-05-24,32.6,20.0,0.6,58,40168.12,Katakwi,1.9167,34.0
2023-05-25,33.6,20.5,0.0,56,40064.98,Katakwi,1.9167,34.0
2023-05-26,34.3,19.9,0.2,55,40273.67,Katakwi,1.9167,34.0
2023-05-27,34.1,20.7,0.0,54,39114.02,Katakwi,1.9167,34.0
2023-05-28,33.1,21.4,0.2,56,37508.55,Katakwi,1.9167,34.0
2023-05-29,33.5,19.3,0.0,52,39600.0,Katakwi,1.9167,34.0
2023-05-30,33.2,21.7,0.4,47,39643.88,Katakwi,1.9167,34.0
2023-05-31,31.7,20.2,1.4,60,39406.87,Katakwi,1.9167,34.0
2023-06-01,33.1,19.6,0.1,55,40066.62,Katakwi,1.9167,34.0
2023-06-02,33.6,20.3,0.0,50,39600.0,Katakwi,1.9167,34.0
2023-06-03,34.1,21.2,0.2,48,40066.69,Katakwi,1.9167,34.0
2023-06-04,34.3,20.4,0.2,51,39636.22,Katakwi,1.9167,34.0
2023-06-05,33.9,20.8,0.0,51,40089.05,Katakwi,1.9167,34.0
2023-06-06,32.6,21.1,0.8,57,36260.19,Katakwi,1.9167,34.0
2023-06-07,32.1,19.8,0.0,57,40283.89,Katakwi,1.9167,34.0
2023-06-08,30.9,19.8,0.8,61,39738.23,Katakwi,1.9167,34.0
2023-06-09,32.4,19.9,0.2,59,39626.86,Katakwi,1.9167,34.0
2023-06-10,31.9,20.2,0.2,62,39955.04,Katakwi,1.9167,34.0
2023-06-11,29.5,19.0,1.8,72,40064.67,Katakwi,1.9167,34.0
2023-06-12,30.0,18.4,8.1,72,39952.97,Katakwi,1.9167,34.0
2023-06-13,27.7,18.4,6.2,83,30677.71,Katakwi,1.9167,34.0
2023-06-14,28.4,18.8,3.6,78,37382.2,Katakwi,1.9167,34.0
2023-06-15,28.6,19.4,2.2,76,37017.67,Katakwi,1.9167,34.0
2023-06-16,29.9,18.8,0.2,66,40286.97,Katakwi,1.9167,34.0
2023-06-17,29.5,20.4,0.4,67,40181.72,Katakwi,1.9167,34.0
2023-06-18,30.8,19.0,1.5,71,38584.62,Katakwi,1.9167,34.0
2023-06-19,29.7,19.0,0.6,71,40396.23,Katakwi,1.9167,34.0
2023-06-20,29.6,19.0,2.5,72,40267.84,Katakwi,1.9167,34.0
2023-06-21,29.1,18.1,13.0,78,39289.13,Katakwi,1.9167,34.0
2023-06-22,28.8,18.4,4.8,83,32299.15,Katakwi,1.9167,34.0
2023-06-23,27.5,18.8,12.1,83,31705.91,Katakwi,1.9167,34.0
2023-06-24,26.7,18.5,9.9,79,33318.16,Katakwi,1.9167,34.0
2023-06-25,27.2,17.8,6.2,79,39966.61,Katakwi,1.9167,34.0
2023-06-26,27.3,17.9,8.5,82,39835.95,Katakwi,1.9167,34.0
2023-06-27,27.5,18.2,2.7,77,39712.27,Katakwi,1.9167,34.0
2023-06-28,27.8,17.8,0.7,75,40518.83,Katakwi,1.9167,34.0
2023-06-29,30.0,18.4,0.0,67,39796.58,Katakwi,1.9167,34.0
