time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,29.9,15.5,0.4,68,40902.8,Kayunga,0.7025,32.8886
2023-01-02,30.4,15.6,0.0,62,40793.4,Kayunga,0.7025,32.8886
2023-01-03,30.6,16.6,0.0,62,40412.43,Kayunga,0.7025,32.8886
2023-01-04,30.9,16.8,0.3,59,40268.36,Kayunga,0.7025,32.8886
2023-01-05,32.7,16.7,0.0,53,40366.42,Kayunga,0.7025,32.8886
2023-01-06,32.7,14.9,0.0,51,40914.05,Kayunga,0.7025,32.8886
2023-01-07,33.4,15.4,0.0,49,40916.67,Kayunga,0.7025,32.8886
2023-01-08,32.6,16.9,0.0,53,40919.4,Kayunga,0.7025,32.8886
2023-01-09,31.4,17.2,0.5,60,40922.23,Kayunga,0.7025,32.8886
2023-01-10,27.9,18.3,13.1,75,31368.3,Kayunga,0.7025,32.8886
2023-01-11,30.2,15.9,0.2,69,40928.18,Kayunga,0.7025,32.8886
2023-01-12,30.4,17.3,0.5,66,38260.84,Kayunga,0.7025,32.8886
2023-01-13,29.2,17.4,7.5,71,40934.45,Kayunga,0.7025,32.8886
2023-01-14,29.6,16.8,4.0,72,40937.7,Kayunga,0.7025,32.8886
2023-01-15,32.3,16.1,0.7,70,40941.0,Kayunga,0.7025,32.8886
2023-01-16,31.8,17.2,0.0,63,40944.37,Kayunga,0.7025,32.8886
2023-01-17,30.8,15.7,0.3,57,40947.79,Kayunga,0.7025,32.8886
2023-01-18,32.0,16.1,1.8,64,40951.37,Kayunga,0.7025,32.8886
2023-01-19,33.9,16.1,0.0,63,40955.21,Kayunga,0.7025,32.8886
2023-01-20,33.0,17.1,0.2,66,38501.49,Kayunga,0.7025,32.8886
2023-01-21,33.9,16.1,0.0,56,40963.25,Kayunga,0.7025,32.8886
2023-01-22,30.9,17.4,1.3,64,40419.76,Kayunga,0.7025,32.8886
