time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,26.7,14.6,0.1,64,40873.98,Kibaale,0.8,31.0833
2023-01-02,27.4,14.1,0.2,63,40876.08,Kibaale,0.8,31.0833
2023-01-03,26.3,16.5,1.3,66,40011.27,Kibaale,0.8,31.0833
2023-01-04,27.3,16.0,0.3,65,40250.75,Kibaale,0.8,31.0833
2023-01-05,28.7,16.2,0.0,55,40883.27,Kibaale,0.8,31.0833
2023-01-06,28.6,14.3,0.0,54,40885.93,Kibaale,0.8,31.0833
2023-01-07,29.3,15.0,0.0,52,40097.7,Kibaale,0.8,31.0833
2023-01-08,28.4,15.3,0.0,54,40891.65,Kibaale,0.8,31.0833
2023-01-09,27.9,15.5,0.0,56,38767.04,Kibaale,0.8,31.0833
2023-01-10,26.8,16.6,0.0,64,26931.63,Kibaale,0.8,31.0833
2023-01-11,26.7,16.2,0.0,65,40001.69,Kibaale,0.8,31.0833
2023-01-12,25.1,16.3,0.9,66,39989.86,Kibaale,0.8,31.0833
2023-01-13,27.0,14.9,0.0,63,40860.38,Kibaale,0.8,31.0833
2023-01-14,27.3,15.1,0.2,67,37311.23,Kibaale,0.8,31.0833
2023-01-15,27.6,14.9,0.0,61,40914.77,Kibaale,0.8,31.0833
2023-01-16,27.9,15.1,0.0,58,40786.29,Kibaale,0.8,31.0833
2023-01-17,30.6,15.5,0.0,46,40511.66,Kibaale,0.8,31.0833
2023-01-18,30.4,15.8,0.0,51,40925.91,Kibaale,0.8,31.0833
2023-01-19,30.2,14.7,0.0,54,39630.62,Kibaale,0.8,31.0833
2023-01-20,29.9,16.5,0.0,53,40722.86,Kibaale,0.8,31.0833
2023-01-21,30.6,17.6,0.0,44,37752.93,Kibaale,0.8,31.0833
2023-01-22,28.4,16.5,0.7,58,34994.25,Kibaale,0.8,31.0833
2023-01-23,29.0,17.1,0.0,56,36961.28,Kibaale,0.8,31.0833
2023-01-24,27.9,17.7,0.4,57,36594.73,Kibaale,0.8,31.0833
2023-01-25,29.8,15.6,0.0,54,40667.39,Kibaale,0.8,31.0833
2023-01-26,28.8,16.5,0.0,57,40961.82,Kibaale,0.8,31.0833
2023-01-27,29.1,17.6,0.2,56,38490.86,Kibaale,0.8,31.0833
2023-01-28,29.9,15.2,0.0,47,40971.54,Kibaale,0.8,31.0833
2023-01-29,29.5,15.6,0.0,53,40944.8,Kibaale,0.8,31.0833
2023-01-30,29.3,17.4,0.0,52,40953.39,Kibaale,0.8,31.0833
2023-01-31,30.2,16.5,0.0,48,39569.62,Kibaale,0.8,31.0833
2023-02-01,29.5,17.3,0.2,48,40968.92,Kibaale,0.8,31.0833
2023-02-02,30.6,17.3,0.0,55,40859.76,Kibaale,0.8,31.0833
2023-02-03,29.3,16.9,0.0,52,40518.79,Kibaale,0.8,31.0833
2023-02-04,29.7,17.9,0.0,45,40872.36,Kibaale,0.8,31.0833
2023-02-05,31.1,17.0,0.0,43,40877.74,Kibaale,0.8,31.0833
2023-02-06,30.1,18.0,0.0,39,40651.88,Kibaale,0.8,31.0833
2023-02-07,30.8,16.8,0.0,41,37858.5,Kibaale,0.8,31.0833
2023-02-08,31.2,17.4,0.0,48,40544.77,Kibaale,0.8,31.0833
2023-02-09,30.2,17.5,0.0,53,40547.69,Kibaale,0.8,31.0833
2023-02-10,31.1,17.2,0.0,50,40894.68,Kibaale,0.8,31.0833
2023-02-11,32.2,17.5,0.0,46,40436.34,Kibaale,0.8,31.0833
2023-02-12,32.6,17.6,0.0,41,40896.84,Kibaale,0.8,31.0833
2023-02-13,33.1,17.0,0.0,36,41050.44,Kibaale,0.8,31.0833
2023-02-14,32.6,15.6,0.0,48,33389.05,Kibaale,0.8,31.0833
2023-02-15,30.4,18.9,0.1,43,39222.75,Kibaale,0.8,31.0833
2023-02-16,31.1,19.4,0.0,41,36989.96,Kibaale,0.8,31.0833
2023-02-17,30.7,19.4,0.0,36,40776.64,Kibaale,0.8,31.0833
2023-02-18,31.3,16.9,0.0,38,36170.96,Kibaale,0.8,31.0833
2023-02-19,32.8,17.8,0.0,38,32618.71,Kibaale,0.8,31.0833
2023-02-20,32.6,17.2,0.0,36,32269.79,Kibaale,0.8,31.0833
2023-02-21,31.6,17.8,0.0,43,24613.11,Kibaale,0.8,31.0833
2023-02-22,31.3,19.8,0.0,44,25311.92,Kibaale,0.8,31.0833
2023-02-23,31.6,20.9,0.0,40,35099.88,Kibaale,0.8,31.0833
2023-02-24,31.6,18.8,0.0,48,40134.3,Kibaale,0.8,31.0833
2023-02-25,30.6,20.2,0.9,52,38298.52,Kibaale,0.8,31.0833
2023-02-26,30.8,19.2,4.0,60,36860.8,Kibaale,0.8,31.0833
2023-02-27,29.8,19.0,5.1,69,27549.43,Kibaale,0.8,31.0833
2023-02-28,25.6,16.8,10.0,80,29378.4,Kibaale,0.8,31.0833
2023-03-01,27.5,16.0,13.2,81,24287.44,Kibaale,0.8,31.0833
2023-03-02,26.5,17.0,7.3,81,33023.41,Kibaale,0.8,31.0833
2023-03-03,26.8,16.1,1.3,74,36287.72,Kibaale,0.8,31.0833
2023-03-04,28.3,16.6,0.2,68,40751.89,Kibaale,0.8,31.0833
2023-03-05,30.0,17.0,0.1,64,40913.58,Kibaale,0.8,31.0833
2023-03-06,29.1,17.2,0.2,55,41144.45,Kibaale,0.8,31.0833
2023-03-07,33.1,17.1,0.0,49,30994.05,Kibaale,0.8,31.0833
2023-03-08,32.1,17.7,0.0,50,41151.97,Kibaale,0.8,31.0833
2023-03-09,29.4,19.1,1.2,65,38810.63,Kibaale,0.8,31.0833
2023-03-10,29.9,18.2,1.8,74,24694.35,Kibaale,0.8,31.0833
2023-03-11,29.1,17.4,7.7,74,38295.01,Kibaale,0.8,31.0833
2023-03-12,25.1,16.8,9.9,87,24082.74,Kibaale,0.8,31.0833
2023-03-13,27.3,17.2,5.2,83,27983.48,Kibaale,0.8,31.0833
2023-03-14,24.2,16.7,12.9,88,20820.79,Kibaale,0.8,31.0833
2023-03-15,22.7,16.3,16.1,90,13507.33,Kibaale,0.8,31.0833
2023-03-16,24.3,16.9,3.2,81,22841.56,Kibaale,0.8,31.0833
2023-03-17,25.4,15.7,0.8,77,35877.55,Kibaale,0.8,31.0833
2023-03-18,26.0,14.5,1.2,79,32937.66,Kibaale,0.8,31.0833
2023-03-19,26.9,14.7,0.4,76,39736.94,Kibaale,0.8,31.0833
2023-03-20,24.0,15.9,2.6,84,29013.06,Kibaale,0.8,31.0833
2023-03-21,26.2,16.0,0.9,75,38767.62,Kibaale,0.8,31.0833
2023-03-22,26.9,15.9,0.8,71,41195.65,Kibaale,0.8,31.0833
2023-03-23,24.2,16.8,12.2,87,10191.83,Kibaale,0.8,31.0833
2023-03-24,26.0,15.9,0.0,72,29703.53,Kibaale,0.8,31.0833
2023-03-25,27.0,16.9,0.2,72,34996.96,Kibaale,0.8,31.0833
2023-03-26,23.6,17.2,28.8,90,18212.87,Kibaale,0.8,31.0833
2023-03-27,26.2,15.8,0.5,78,39202.02,Kibaale,0.8,31.0833
2023-03-28,23.1,16.5,4.4,80,8601.45,Kibaale,0.8,31.0833
2023-03-29,25.5,16.5,3.3,80,30665.01,Kibaale,0.8,31.0833
2023-03-30,26.4,15.7,1.1,79,39599.83,Kibaale,0.8,31.0833
2023-03-31,25.2,16.2,18.9,85,30708.11,Kibaale,0.8,31.0833
2023-04-01,26.2,14.9,0.8,80,32760.94,Kibaale,0.8,31.0833
2023-04-02,26.5,15.7,2.1,81,39381.49,Kibaale,0.8,31.0833
