time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,30.6,15.4,0.0,55,40845.12,Kiboga,0.9167,31.7667
2023-01-02,30.6,17.1,0.0,54,40847.35,Kiboga,0.9167,31.7667
2023-01-03,29.4,16.6,0.7,61,32774.16,Kiboga,0.9167,31.7667
2023-01-04,30.8,16.7,0.0,56,29377.22,Kiboga,0.9167,31.7667
2023-01-05,32.1,17.3,0.0,46,39971.02,Kiboga,0.9167,31.7667
2023-01-06,32.9,17.2,0.0,40,40857.8,Kiboga,0.9167,31.7667
2023-01-07,32.6,17.5,0.0,35,40860.77,Kiboga,0.9167,31.7667
2023-01-08,32.5,17.8,0.0,39,33837.46,Kiboga,0.9167,31.7667
2023-01-09,31.8,17.7,0.0,42,38448.48,Kiboga,0.9167,31.7667
2023-01-10,27.5,19.1,1.1,58,30288.66,Kiboga,0.9167,31.7667
2023-01-11,30.4,17.0,0.0,54,40873.86,Kiboga,0.9167,31.7667
2023-01-12,30.9,18.0,0.0,50,34467.96,Kiboga,0.9167,31.7667
2023-01-13,30.8,17.4,0.0,46,39104.36,Kiboga,0.9167,31.7667
2023-01-14,30.8,16.3,0.2,54,33698.01,Kiboga,0.9167,31.7667
2023-01-15,31.8,16.3,0.0,56,40403.78,Kiboga,0.9167,31.7667
2023-01-16,31.5,16.9,0.0,50,27673.63,Kiboga,0.9167,31.7667
2023-01-17,32.7,18.0,0.0,38,39127.35,Kiboga,0.9167,31.7667
2023-01-18,33.2,17.5,0.0,43,40900.43,Kiboga,0.9167,31.7667
2023-01-19,32.9,17.3,0.0,49,36547.68,Kiboga,0.9167,31.7667
2023-01-20,32.7,17.4,0.0,50,27597.72,Kiboga,0.9167,31.7667
2023-01-21,34.1,17.9,0.0,35,40914.0,Kiboga,0.9167,31.7667
2023-01-22,31.7,19.1,0.0,47,38845.95,Kiboga,0.9167,31.7667
2023-01-23,31.5,17.8,0.3,59,36668.53,Kiboga,0.9167,31.7667
2023-01-24,29.4,19.0,3.4,60,34281.55,Kiboga,0.9167,31.7667
2023-01-25,33.0,16.6,0.0,50,40765.3,Kiboga,0.9167,31.7667
2023-01-26,31.9,18.0,0.0,49,35185.0,Kiboga,0.9167,31.7667
2023-01-27,32.3,18.6,0.0,49,40174.28,Kiboga,0.9167,31.7667
2023-01-28,33.3,16.7,0.0,47,39234.43,Kiboga,0.9167,31.7667
2023-01-29,33.5,17.9,0.0,44,36310.05,Kiboga,0.9167,31.7667
2023-01-30,33.4,17.4,0.0,45,35656.15,Kiboga,0.9167,31.7667
2023-01-31,33.1,18.0,0.0,41,37417.95,Kiboga,0.9167,31.7667
2023-02-01,32.5,18.5,0.1,41,40970.43,Kiboga,0.9167,31.7667
2023-02-02,34.0,18.3,0.0,46,40975.77,Kiboga,0.9167,31.7667
2023-02-03,32.0,18.4,0.0,45,40276.15,Kiboga,0.9167,31.7667
2023-02-04,33.1,18.2,0.0,38,39735.91,Kiboga,0.9167,31.7667
2023-02-05,33.3,18.9,0.0,34,33921.34,Kiboga,0.9167,31.7667
2023-02-06,33.5,19.3,0.0,36,38088.99,Kiboga,0.9167,31.7667
2023-02-07,32.2,18.4,0.0,51,37519.46,Kiboga,0.9167,31.7667
2023-02-08,33.0,18.7,0.0,54,34487.08,Kiboga,0.9167,31.7667
2023-02-09,31.9,19.6,0.0,56,40992.69,Kiboga,0.9167,31.7667
2023-02-10,32.6,18.1,0.0,55,41018.12,Kiboga,0.9167,31.7667
2023-02-11,33.4,18.2,0.0,52,40876.36,Kiboga,0.9167,31.7667
2023-02-12,34.0,18.5,0.0,43,41028.85,Kiboga,0.9167,31.7667
2023-02-13,34.9,18.6,0.0,39,41034.25,Kiboga,0.9167,31.7667
2023-02-14,33.4,16.8,0.0,50,41039.64,Kiboga,0.9167,31.7667
2023-02-15,33.5,19.1,0.0,38,29699.69,Kiboga,0.9167,31.7667
2023-02-16,33.2,20.3,0.0,34,36918.05,Kiboga,0.9167,31.7667
2023-02-17,34.0,20.0,0.0,31,38837.49,Kiboga,0.9167,31.7667
2023-02-18,33.2,17.4,0.0,39,37148.86,Kiboga,0.9167,31.7667
