time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2020-01-01,29.6,16.9,0.0,73,40366.96,Kibuku,1.0623,33.85
2020-01-02,29.3,17.3,0.0,71,40454.57,Kibuku,1.0623,33.85
2020-01-03,29.7,17.3,0.0,70,40099.31,Kibuku,1.0623,33.85
2020-01-04,29.5,17.6,0.3,73,40298.98,Kibuku,1.0623,33.85
2020-01-05,28.9,18.7,5.1,81,40502.68,Kibuku,1.0623,33.85
2020-01-06,27.2,19.0,7.9,80,38279.46,Kibuku,1.0623,33.85
2020-01-07,29.3,17.4,0.1,74,40576.46,Kibuku,1.0623,33.85
2020-01-08,28.4,18.8,1.7,78,39745.15,Kibuku,1.0623,33.85
2020-01-09,29.5,18.2,0.6,76,40771.35,Kibuku,1.0623,33.85
2020-01-10,27.5,18.4,1.7,77,40841.77,Kibuku,1.0623,33.85
2020-01-11,28.9,18.1,1.3,79,40263.5,Kibuku,1.0623,33.85
2020-01-12,28.5,19.2,1.5,68,40601.45,Kibuku,1.0623,33.85
2020-01-13,28.4,18.1,0.2,69,40584.77,Kibuku,1.0623,33.85
2020-01-14,31.2,17.0,0.0,65,40229.25,Kibuku,1.0623,33.85
2020-01-15,30.3,17.2,0.0,65,40860.35,Kibuku,1.0623,33.85
2020-01-16,29.6,18.6,0.0,65,40659.32,Kibuku,1.0623,33.85
2020-01-17,31.3,19.6,0.1,65,40644.68,Kibuku,1.0623,33.85
2020-01-18,31.9,19.6,0.0,67,39807.52,Kibuku,1.0623,33.85
2020-01-19,30.2,18.9,0.0,65,40878.67,Kibuku,1.0623,33.85
2020-01-20,31.1,16.2,0.0,60,40883.57,Kibuku,1.0623,33.85
2020-01-21,31.7,19.3,0.0,48,40888.59,Kibuku,1.0623,33.85
2020-01-22,31.6,18.4,0.0,51,40893.7,Kibuku,1.0623,33.85
2020-01-23,31.2,18.0,0.0,47,37635.87,Kibuku,1.0623,33.85
2020-01-24,31.2,19.8,0.0,54,36903.82,Kibuku,1.0623,33.85
2020-01-25,31.5,21.1,0.1,66,29502.52,Kibuku,1.0623,33.85
