time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2020-01-01,29.2,16.4,0.0,61,40147.26,Kiruhura,-0.2,30.8
2020-01-02,29.2,16.4,0.2,63,41077.06,Kiruhura,-0.2,30.8
2020-01-03,28.9,17.3,0.0,62,40689.09,Kiruhura,-0.2,30.8
2020-01-04,28.4,17.3,0.6,67,39147.64,Kiruhura,-0.2,30.8
2020-01-05,28.7,17.6,2.2,71,37669.73,Kiruhura,-0.2,30.8
2020-01-06,27.5,16.6,0.7,73,37682.18,Kiruhura,-0.2,30.8
2020-01-07,27.1,15.2,0.6,69,38721.84,Kiruhura,-0.2,30.8
2020-01-08,28.1,17.8,4.6,74,23583.33,Kiruhura,-0.2,30.8
2020-01-09,27.5,17.3,8.1,81,36586.09,Kiruhura,-0.2,30.8
2020-01-10,27.2,15.9,0.3,73,33511.78,Kiruhura,-0.2,30.8
2020-01-11,29.1,16.3,0.0,61,39713.45,Kiruhura,-0.2,30.8
2020-01-12,28.3,15.5,0.3,71,34522.24,Kiruhura,-0.2,30.8
2020-01-13,26.8,15.8,0.6,75,35774.18,Kiruhura,-0.2,30.8
2020-01-14,30.3,15.0,0.0,63,40749.74,Kiruhura,-0.2,30.8
2020-01-15,32.4,16.4,0.0,58,38309.57,Kiruhura,-0.2,30.8
2020-01-16,30.1,16.8,0.1,66,32135.26,Kiruhura,-0.2,30.8
2020-01-17,29.4,19.1,0.3,69,35817.41,Kiruhura,-0.2,30.8
2020-01-18,29.1,19.6,8.0,66,31358.02,Kiruhura,-0.2,30.8
2020-01-19,30.3,18.0,0.2,60,31568.45,Kiruhura,-0.2,30.8
2020-01-20,31.6,17.4,0.0,50,35936.67,Kiruhura,-0.2,30.8
2020-01-21,32.2,16.8,0.0,46,40098.88,Kiruhura,-0.2,30.8
2020-01-22,31.3,16.6,0.0,48,40001.38,Kiruhura,-0.2,30.8
2020-01-23,30.5,18.1,0.0,47,39922.29,Kiruhura,-0.2,30.8
2020-01-24,30.4,17.9,0.0,50,23888.55,Kiruhura,-0.2,30.8
2020-01-25,31.8,19.0,0.0,50,28180.75,Kiruhura,-0.2,30.8
2020-01-26,26.9,19.8,0.5,64,23395.28,Kiruhura,-0.2,30.8
2020-01-27,29.6,19.7,1.1,61,26680.0,Kiruhura,-0.2,30.8
2020-01-28,24.5,18.9,20.0,79,12595.55,Kiruhura,-0.2,30.8
2020-01-29,22.7,17.8,5.6,82,3600.0,Kiruhura,-0.2,30.8
2020-01-30,25.2,16.6,1.5,74,20767.29,Kiruhura,-0.2,30.8
2020-01-31,24.5,15.2,5.1,82,27554.33,Kiruhura,-0.2,30.8
2020-02-01,24.1,16.2,0.6,87,23112.0,Kiruhura,-0.2,30.8
2020-02-02,26.9,16.2,0.6,81,35590.59,Kiruhura,-0.2,30.8
2020-02-03,27.2,16.7,6.5,81,36368.91,Kiruhura,-0.2,30.8
2020-02-04,25.3,16.4,8.6,85,31759.17,Kiruhura,-0.2,30.8
2020-02-05,25.6,16.3,11.7,88,26482.84,Kiruhura,-0.2,30.8
2020-02-06,24.6,16.4,12.5,86,35450.24,Kiruhura,-0.2,30.8
2020-02-07,27.9,15.8,0.2,72,40329.56,Kiruhura,-0.2,30.8
2020-02-08,29.6,15.7,0.1,70,41020.93,Kiruhura,-0.2,30.8
2020-02-09,30.4,16.5,0.0,62,41021.8,Kiruhura,-0.2,30.8
2020-02-10,30.3,15.8,0.0,57,41136.7,Kiruhura,-0.2,30.8
2020-02-11,29.5,15.0,0.0,52,41136.32,Kiruhura,-0.2,30.8
2020-02-12,31.0,14.9,0.0,52,41135.41,Kiruhura,-0.2,30.8
2020-02-13,30.8,16.9,0.0,54,37419.44,Kiruhura,-0.2,30.8
2020-02-14,28.4,19.4,2.0,56,35460.7,Kiruhura,-0.2,30.8
2020-02-15,27.9,17.3,1.0,69,33003.41,Kiruhura,-0.2,30.8
2020-02-16,29.0,16.3,0.0,63,40668.21,Kiruhura,-0.2,30.8
2020-02-17,31.5,18.7,0.0,61,35627.62,Kiruhura,-0.2,30.8
