time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,31.6,18.3,0.0,51,40626.34,Kiryandongo,1.9167,32.0833
2019-01-02,30.9,17.9,0.0,53,40364.24,Kiryandongo,1.9167,32.0833
2019-01-03,32.6,18.6,0.0,49,39486.08,Kiryandongo,1.9167,32.0833
2019-01-04,31.1,21.6,0.2,54,36355.68,Kiryandongo,1.9167,32.0833
2019-01-05,33.1,19.0,0.1,56,39429.99,Kiryandongo,1.9167,32.0833
2019-01-06,32.9,20.7,0.0,43,33493.57,Kiryandongo,1.9167,32.0833
2019-01-07,32.0,21.2,0.1,47,40133.3,Kiryandongo,1.9167,32.0833
2019-01-08,30.2,18.7,0.0,61,34685.66,Kiryandongo,1.9167,32.0833
2019-01-09,32.2,17.0,0.0,50,40673.47,Kiryandongo,1.9167,32.0833
2019-01-10,33.6,18.6,0.0,46,35189.15,Kiryandongo,1.9167,32.0833
2019-01-11,34.1,21.1,0.0,41,39229.58,Kiryandongo,1.9167,32.0833
2019-01-12,34.3,19.4,0.0,27,40688.32,Kiryandongo,1.9167,32.0833
2019-01-13,34.2,19.4,0.0,23,40693.59,Kiryandongo,1.9167,32.0833
2019-01-14,33.5,19.1,0.0,31,33816.76,Kiryandongo,1.9167,32.0833
2019-01-15,31.5,20.1,0.1,53,40228.62,Kiryandongo,1.9167,32.0833
2019-01-16,29.8,20.2,3.9,68,37813.81,Kiryandongo,1.9167,32.0833
2019-01-17,29.7,18.9,0.0,71,39486.59,Kiryandongo,1.9167,32.0833
2019-01-18,29.0,19.3,0.7,68,40495.39,Kiryandongo,1.9167,32.0833
2019-01-19,28.9,17.9,0.1,64,40727.96,Kiryandongo,1.9167,32.0833
2019-01-20,29.9,18.2,0.0,62,39560.98,Kiryandongo,1.9167,32.0833
2019-01-21,31.1,19.5,0.0,60,40063.11,Kiryandongo,1.9167,32.0833
2019-01-22,31.9,18.5,0.0,63,40523.41,Kiryandongo,1.9167,32.0833
2019-01-23,31.4,18.2,0.0,60,40754.88,Kiryandongo,1.9167,32.0833
2019-01-24,31.1,20.2,0.0,62,35000.76,Kiryandongo,1.9167,32.0833
2019-01-25,32.5,18.9,0.0,60,38050.45,Kiryandongo,1.9167,32.0833
2019-01-26,32.2,19.1,0.1,63,40776.79,Kiryandongo,1.9167,32.0833
2019-01-27,33.2,18.1,0.0,56,39174.5,Kiryandongo,1.9167,32.0833
2019-01-28,34.3,18.4,0.0,52,40792.0,Kiryandongo,1.9167,32.0833
2019-01-29,34.0,20.0,0.0,47,40420.87,Kiryandongo,1.9167,32.0833
2019-01-30,34.6,19.6,0.0,47,40807.59,Kiryandongo,1.9167,32.0833
2019-01-31,35.2,20.2,0.0,40,40815.47,Kiryandongo,1.9167,32.0833
2019-02-01,35.0,20.3,0.0,32,36691.29,Kiryandongo,1.9167,32.0833
2019-02-02,34.5,18.5,0.0,42,40831.4,Kiryandongo,1.9167,32.0833
2019-02-03,35.0,20.3,0.0,35,38092.59,Kiryandongo,1.9167,32.0833
2019-02-04,35.2,19.4,0.0,45,40847.43,Kiryandongo,1.9167,32.0833
2019-02-05,34.3,21.9,0.0,38,40365.48,Kiryandongo,1.9167,32.0833
2019-02-06,33.5,20.2,0.0,55,40732.28,Kiryandongo,1.9167,32.0833
2019-02-07,33.3,21.4,0.0,52,40498.34,Kiryandongo,1.9167,32.0833
2019-02-08,33.3,20.5,0.0,56,40743.3,Kiryandongo,1.9167,32.0833
2019-02-09,33.6,21.7,0.0,50,40508.23,Kiryandongo,1.9167,32.0833
2019-02-10,35.3,21.6,0.0,38,40512.02,Kiryandongo,1.9167,32.0833
2019-02-11,35.4,22.3,0.0,35,39916.15,Kiryandongo,1.9167,32.0833
2019-02-12,32.9,20.3,0.3,62,35118.05,Kiryandongo,1.9167,32.0833
2019-02-13,35.4,20.7,0.0,39,38715.27,Kiryandongo,1.9167,32.0833
2019-02-14,34.4,22.6,0.0,33,40520.14,Kiryandongo,1.9167,32.0833
2019-02-15,32.1,22.0,0.3,47,39273.6,Kiryandongo,1.9167,32.0833
2019-02-16,33.8,21.1,0.0,46,40826.45,Kiryandongo,1.9167,32.0833
2019-02-17,33.1,21.9,0.0,41,40501.34,Kiryandongo,1.9167,32.0833
2019-02-18,33.3,20.6,0.0,41,40962.15,Kiryandongo,1.9167,32.0833
2019-02-19,35.5,20.9,0.0,40,40352.35,Kiryandongo,1.9167,32.0833
2019-02-20,31.6,21.2,0.1,47,40271.66,Kiryandongo,1.9167,32.0833
2019-02-21,32.1,20.3,0.5,61,39662.29,Kiryandongo,1.9167,32.0833
2019-02-22,32.7,20.0,0.2,64,38186.05,Kiryandongo,1.9167,32.0833
2019-02-23,28.5,19.5,14.5,80,35398.34,Kiryandongo,1.9167,32.0833
2019-02-24,28.5,18.6,9.6,81,33212.38,Kiryandongo,1.9167,32.0833
2019-02-25,30.6,18.5,0.6,70,40982.89,Kiryandongo,1.9167,32.0833
2019-02-26,33.2,18.0,0.0,59,41028.09,Kiryandongo,1.9167,32.0833
2019-02-27,32.8,17.7,0.0,55,41036.05,Kiryandongo,1.9167,32.0833
2019-02-28,32.2,19.1,0.0,53,35690.92,Kiryandongo,1.9167,32.0833
2019-03-01,31.9,19.5,0.0,60,41051.43,Kiryandongo,1.9167,32.0833
