time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,22.4,11.7,0.5,83,39674.54,Kisoro,-1.2833,29.6833
2019-01-02,23.8,12.5,0.6,76,37290.01,Kisoro,-1.2833,29.6833
2019-01-03,22.4,13.6,3.6,77,41291.96,Kisoro,-1.2833,29.6833
2019-01-04,22.1,13.0,1.2,86,39892.04,Kisoro,-1.2833,29.6833
2019-01-05,22.7,13.5,3.3,85,32139.54,Kisoro,-1.2833,29.6833
2019-01-06,22.1,13.3,2.2,83,40075.42,Kisoro,-1.2833,29.6833
2019-01-07,22.1,13.0,7.1,87,39067.73,Kisoro,-1.2833,29.6833
2019-01-08,23.0,12.1,1.9,82,40253.71,Kisoro,-1.2833,29.6833
2019-01-09,22.3,13.3,0.0,73,37863.31,Kisoro,-1.2833,29.6833
2019-01-10,22.7,14.3,0.1,70,40550.68,Kisoro,-1.2833,29.6833
2019-01-11,22.8,15.1,0.0,73,41306.8,Kisoro,-1.2833,29.6833
2019-01-12,23.3,13.7,0.0,68,39929.11,Kisoro,-1.2833,29.6833
2019-01-13,23.9,13.0,0.0,71,41306.9,Kisoro,-1.2833,29.6833
2019-01-14,22.9,14.5,0.3,74,36952.78,Kisoro,-1.2833,29.6833
2019-01-15,22.6,13.2,4.1,78,31473.65,Kisoro,-1.2833,29.6833
2019-01-16,20.7,13.3,8.5,88,23680.83,Kisoro,-1.2833,29.6833
2019-01-17,23.4,12.7,3.3,86,37647.46,Kisoro,-1.2833,29.6833
2019-01-18,22.2,12.9,10.4,89,21264.48,Kisoro,-1.2833,29.6833
2019-01-19,21.8,12.7,0.6,80,36884.7,Kisoro,-1.2833,29.6833
2019-01-20,22.3,14.6,1.0,77,40089.73,Kisoro,-1.2833,29.6833
2019-01-21,22.7,13.9,2.3,79,28411.71,Kisoro,-1.2833,29.6833
2019-01-22,23.8,11.4,0.0,74,41215.05,Kisoro,-1.2833,29.6833
2019-01-23,23.0,13.8,0.0,71,40071.12,Kisoro,-1.2833,29.6833
2019-01-24,22.2,13.4,8.3,81,34020.07,Kisoro,-1.2833,29.6833
2019-01-25,23.2,13.1,1.3,77,36474.11,Kisoro,-1.2833,29.6833
2019-01-26,22.6,14.1,0.6,80,41114.34,Kisoro,-1.2833,29.6833
2019-01-27,24.5,12.1,0.0,69,40462.79,Kisoro,-1.2833,29.6833
2019-01-28,24.3,14.3,0.1,67,40134.25,Kisoro,-1.2833,29.6833
2019-01-29,24.3,14.5,3.9,74,40930.38,Kisoro,-1.2833,29.6833
2019-01-30,23.1,12.6,1.6,82,38079.81,Kisoro,-1.2833,29.6833
2019-01-31,24.1,11.9,0.0,70,40051.19,Kisoro,-1.2833,29.6833
2019-02-01,25.0,13.7,0.0,63,40836.65,Kisoro,-1.2833,29.6833
2019-02-02,24.1,14.3,0.0,67,36814.7,Kisoro,-1.2833,29.6833
2019-02-03,24.2,15.8,0.1,66,40293.97,Kisoro,-1.2833,29.6833
2019-02-04,25.1,14.3,0.0,67,39406.11,Kisoro,-1.2833,29.6833
2019-02-05,24.0,16.0,2.7,74,37094.12,Kisoro,-1.2833,29.6833
2019-02-06,22.8,13.8,6.4,87,33918.55,Kisoro,-1.2833,29.6833
2019-02-07,22.1,13.9,2.0,84,36272.09,Kisoro,-1.2833,29.6833
2019-02-08,24.3,13.3,0.5,76,39983.6,Kisoro,-1.2833,29.6833
2019-02-09,23.0,15.0,3.1,81,39578.68,Kisoro,-1.2833,29.6833
2019-02-10,23.2,14.0,11.5,88,26148.7,Kisoro,-1.2833,29.6833
2019-02-11,23.2,13.2,1.1,80,37454.22,Kisoro,-1.2833,29.6833
2019-02-12,24.6,13.8,0.9,80,40090.52,Kisoro,-1.2833,29.6833
2019-02-13,25.0,12.4,0.0,66,40847.16,Kisoro,-1.2833,29.6833
2019-02-14,22.6,14.8,0.2,69,40626.22,Kisoro,-1.2833,29.6833
2019-02-15,22.2,13.9,1.0,74,40730.07,Kisoro,-1.2833,29.6833
2019-02-16,22.0,12.8,0.8,80,28811.07,Kisoro,-1.2833,29.6833
2019-02-17,22.9,14.3,3.7,82,39532.49,Kisoro,-1.2833,29.6833
2019-02-18,22.5,13.0,11.9,87,36449.98,Kisoro,-1.2833,29.6833
2019-02-19,23.8,12.1,0.6,72,37242.95,Kisoro,-1.2833,29.6833
2019-02-20,22.3,14.4,2.0,78,36916.17,Kisoro,-1.2833,29.6833
2019-02-21,21.1,13.4,0.6,85,34106.35,Kisoro,-1.2833,29.6833
2019-02-22,22.1,12.9,18.9,89,28800.0,Kisoro,-1.2833,29.6833
2019-02-23,21.4,11.7,0.4,78,40781.18,Kisoro,-1.2833,29.6833
2019-02-24,22.0,12.3,7.8,82,40422.51,Kisoro,-1.2833,29.6833
2019-02-25,23.2,12.6,0.0,79,39469.16,Kisoro,-1.2833,29.6833
2019-02-26,24.4,11.3,0.2,73,40972.01,Kisoro,-1.2833,29.6833
2019-02-27,24.6,13.2,0.4,64,40081.35,Kisoro,-1.2833,29.6833
2019-02-28,23.4,14.3,0.6,71,41172.5,Kisoro,-1.2833,29.6833
2019-03-01,24.2,13.5,5.6,83,35189.94,Kisoro,-1.2833,29.6833
2019-03-02,22.9,13.4,7.4,83,30503.06,Kisoro,-1.2833,29.6833
2019-03-03,22.6,12.1,7.0,82,39694.41,Kisoro,-1.2833,29.6833
2019-03-04,22.9,13.6,2.6,78,32639.54,Kisoro,-1.2833,29.6833
