time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,28.3,18.6,0.4,59,33695.22,Koboko,3.4106,30.96
2024-01-02,29.3,18.4,0.8,68,34878.23,Koboko,3.4106,30.96
2024-01-03,29.9,17.9,0.0,50,38147.75,Koboko,3.4106,30.96
2024-01-04,30.2,17.2,0.0,39,40350.84,Koboko,3.4106,30.96
2024-01-05,30.6,17.4,0.0,44,38961.11,Koboko,3.4106,30.96
2024-01-06,30.1,18.1,0.0,35,38476.52,Koboko,3.4106,30.96
2024-01-07,30.7,17.9,0.0,35,40367.05,Koboko,3.4106,30.96
2024-01-08,31.4,18.4,0.0,34,40353.2,Koboko,3.4106,30.96
2024-01-09,30.8,18.1,0.0,36,32392.24,Koboko,3.4106,30.96
2024-01-10,32.2,18.1,0.0,40,38079.36,Koboko,3.4106,30.96
2024-01-11,32.5,19.1,0.0,39,35640.86,Koboko,3.4106,30.96
2024-01-12,31.2,19.0,0.0,38,40197.04,Koboko,3.4106,30.96
2024-01-13,31.5,18.5,0.0,47,38484.36,Koboko,3.4106,30.96
2024-01-14,31.1,19.6,0.0,44,38721.7,Koboko,3.4106,30.96
2024-01-15,32.1,20.2,0.0,33,36933.31,Koboko,3.4106,30.96
2024-01-16,30.6,19.1,0.0,30,39928.0,Koboko,3.4106,30.96
2024-01-17,30.0,18.2,0.0,28,38509.1,Koboko,3.4106,30.96
2024-01-18,30.7,18.1,0.0,32,37437.07,Koboko,3.4106,30.96
2024-01-19,29.1,17.0,0.0,37,37372.67,Koboko,3.4106,30.96
2024-01-20,31.3,18.5,0.0,28,40119.98,Koboko,3.4106,30.96
2024-01-21,31.0,18.7,0.0,25,39575.93,Koboko,3.4106,30.96
2024-01-22,31.5,18.4,0.0,25,36214.54,Koboko,3.4106,30.96
2024-01-23,30.9,21.3,0.0,31,28032.15,Koboko,3.4106,30.96
2024-01-24,30.8,19.9,0.2,45,38740.58,Koboko,3.4106,30.96
2024-01-25,31.9,19.8,0.0,40,39763.76,Koboko,3.4106,30.96
2024-01-26,30.7,19.2,0.0,34,39249.83,Koboko,3.4106,30.96
2024-01-27,30.0,17.7,0.0,29,40017.95,Koboko,3.4106,30.96
2024-01-28,31.4,18.6,0.0,27,40033.39,Koboko,3.4106,30.96
2024-01-29,31.0,18.3,0.0,30,39063.5,Koboko,3.4106,30.96
2024-01-30,31.3,18.8,0.0,36,36000.0,Koboko,3.4106,30.96
2024-01-31,32.5,18.6,0.0,35,39639.95,Koboko,3.4106,30.96
2024-02-01,31.2,20.7,0.0,35,37001.36,Koboko,3.4106,30.96
2024-02-02,29.9,19.8,0.8,50,38777.41,Koboko,3.4106,30.96
2024-02-03,29.6,21.0,1.5,39,37089.14,Koboko,3.4106,30.96
2024-02-04,30.6,20.3,0.0,35,39580.16,Koboko,3.4106,30.96
2024-02-05,30.5,19.5,2.8,52,39807.05,Koboko,3.4106,30.96
2024-02-06,31.1,19.8,0.0,37,40033.06,Koboko,3.4106,30.96
2024-02-07,31.7,20.0,0.0,31,39036.47,Koboko,3.4106,30.96
2024-02-08,32.8,20.1,0.0,31,38669.01,Koboko,3.4106,30.96
2024-02-09,32.1,20.3,0.9,39,39948.86,Koboko,3.4106,30.96
2024-02-10,30.9,20.9,1.4,55,33420.63,Koboko,3.4106,30.96
2024-02-11,30.4,19.6,0.9,57,39852.99,Koboko,3.4106,30.96
2024-02-12,30.7,19.4,0.2,55,38684.24,Koboko,3.4106,30.96
2024-02-13,31.0,21.3,0.0,55,24594.65,Koboko,3.4106,30.96
2024-02-14,30.8,22.0,0.0,53,36000.0,Koboko,3.4106,30.96
2024-02-15,26.1,18.5,24.0,77,14269.72,Koboko,3.4106,30.96
2024-02-16,30.2,19.4,0.5,65,39222.62,Koboko,3.4106,30.96
2024-02-17,31.6,21.4,0.0,44,39010.3,Koboko,3.4106,30.96
2024-02-18,31.3,18.3,0.0,35,39987.07,Koboko,3.4106,30.96
2024-02-19,31.9,20.2,0.0,33,39014.53,Koboko,3.4106,30.96
2024-02-20,32.7,21.4,0.0,35,40210.76,Koboko,3.4106,30.96
2024-02-21,31.7,22.2,0.8,42,39016.55,Koboko,3.4106,30.96
2024-02-22,33.0,21.6,0.0,42,38525.82,Koboko,3.4106,30.96
2024-02-23,34.2,21.3,0.0,34,35880.17,Koboko,3.4106,30.96
2024-02-24,32.4,22.1,0.1,41,35971.42,Koboko,3.4106,30.96
2024-02-25,32.4,20.3,0.4,42,40207.83,Koboko,3.4106,30.96
2024-02-26,33.1,20.4,0.0,48,39865.74,Koboko,3.4106,30.96
2024-02-27,30.5,20.5,1.0,61,27307.71,Koboko,3.4106,30.96
2024-02-28,29.3,19.0,0.1,63,35370.03,Koboko,3.4106,30.96
2024-02-29,31.4,19.8,0.0,56,26459.39,Koboko,3.4106,30.96
2024-03-01,31.8,20.8,6.4,65,28957.2,Koboko,3.4106,30.96
2024-03-02,31.0,20.0,0.1,61,40064.7,Koboko,3.4106,30.96
2024-03-03,32.2,22.0,0.3,51,39825.42,Koboko,3.4106,30.96
2024-03-04,33.4,20.9,0.0,46,39816.6,Koboko,3.4106,30.96
2024-03-05,32.6,21.4,0.0,50,39891.65,Koboko,3.4106,30.96
2024-03-06,30.1,20.8,0.2,59,34410.1,Koboko,3.4106,30.96
2024-03-07,31.8,19.8,0.0,53,40851.1,Koboko,3.4106,30.96
2024-03-08,32.9,19.4,0.0,49,40200.14,Koboko,3.4106,30.96
2024-03-09,32.2,22.0,0.6,42,40124.29,Koboko,3.4106,30.96
2024-03-10,32.5,21.6,13.2,66,35519.1,Koboko,3.4106,30.96
2024-03-11,31.3,21.1,0.2,59,39497.93,Koboko,3.4106,30.96
2024-03-12,33.7,19.6,0.0,50,40583.29,Koboko,3.4106,30.96
2024-03-13,33.0,21.0,0.0,41,41111.29,Koboko,3.4106,30.96
