time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,32.5,17.7,0.0,41,39325.95,Kole,2.4333,32.8
2023-01-02,30.5,19.7,0.0,47,39412.23,Kole,2.4333,32.8
2023-01-03,30.8,19.2,0.0,48,39845.52,Kole,2.4333,32.8
2023-01-04,32.2,18.6,0.0,40,33409.01,Kole,2.4333,32.8
2023-01-05,32.7,19.0,0.0,31,40556.71,Kole,2.4333,32.8
2023-01-06,33.4,18.6,0.0,30,40247.62,Kole,2.4333,32.8
2023-01-07,34.1,17.4,0.0,30,34784.16,Kole,2.4333,32.8
2023-01-08,32.8,19.1,0.0,36,37583.21,Kole,2.4333,32.8
2023-01-09,31.9,18.6,0.0,41,38552.02,Kole,2.4333,32.8
2023-01-10,30.2,19.2,0.1,55,38836.88,Kole,2.4333,32.8
2023-01-11,29.5,18.2,0.2,56,40587.45,Kole,2.4333,32.8
2023-01-12,30.7,19.4,0.4,47,40379.11,Kole,2.4333,32.8
2023-01-13,30.9,17.6,0.0,47,40362.63,Kole,2.4333,32.8
2023-01-14,31.1,17.9,0.0,49,40605.48,Kole,2.4333,32.8
2023-01-15,32.7,16.2,0.0,46,38459.19,Kole,2.4333,32.8
2023-01-16,30.9,18.9,0.0,42,35211.42,Kole,2.4333,32.8
2023-01-17,32.9,17.8,0.0,36,38394.24,Kole,2.4333,32.8
2023-01-18,33.5,17.8,0.0,34,40414.98,Kole,2.4333,32.8
2023-01-19,33.3,17.0,0.0,42,40639.07,Kole,2.4333,32.8
2023-01-20,32.5,18.1,0.0,40,35965.91,Kole,2.4333,32.8
2023-01-21,33.2,19.1,0.0,33,36422.34,Kole,2.4333,32.8
2023-01-22,32.9,19.8,0.0,32,37752.73,Kole,2.4333,32.8
2023-01-23,32.2,18.2,0.0,51,38314.95,Kole,2.4333,32.8
2023-01-24,32.0,19.6,0.0,51,40346.88,Kole,2.4333,32.8
2023-01-25,33.6,17.9,0.0,42,39914.37,Kole,2.4333,32.8
2023-01-26,33.0,18.1,0.0,38,37229.67,Kole,2.4333,32.8
2023-01-27,33.9,19.5,0.0,37,40704.59,Kole,2.4333,32.8
2023-01-28,34.2,19.1,0.0,27,40713.46,Kole,2.4333,32.8
2023-01-29,35.3,19.4,0.0,27,35726.47,Kole,2.4333,32.8
2023-01-30,35.2,19.9,0.0,35,38256.64,Kole,2.4333,32.8
2023-01-31,33.9,18.8,0.0,38,40740.66,Kole,2.4333,32.8
2023-02-01,33.4,19.4,0.0,34,40679.15,Kole,2.4333,32.8
2023-02-02,33.0,18.8,0.0,37,40759.12,Kole,2.4333,32.8
2023-02-03,32.3,19.1,0.0,41,40768.4,Kole,2.4333,32.8
2023-02-04,33.5,19.6,0.0,33,39743.12,Kole,2.4333,32.8
2023-02-05,33.9,19.6,0.0,30,30437.1,Kole,2.4333,32.8
2023-02-06,33.9,19.5,0.0,30,34637.34,Kole,2.4333,32.8
2023-02-07,32.7,19.4,0.0,40,40805.63,Kole,2.4333,32.8
2023-02-08,32.3,19.6,0.0,50,40815.0,Kole,2.4333,32.8
2023-02-09,29.4,18.6,0.1,54,40824.48,Kole,2.4333,32.8
2023-02-10,32.6,17.9,0.0,47,40531.41,Kole,2.4333,32.8
2023-02-11,36.4,19.2,0.0,34,40843.76,Kole,2.4333,32.8
2023-02-12,35.7,20.2,0.0,24,40853.51,Kole,2.4333,32.8
2023-02-13,34.9,21.6,0.0,20,40863.33,Kole,2.4333,32.8
2023-02-14,35.9,20.7,0.0,23,33103.17,Kole,2.4333,32.8
2023-02-15,35.0,21.3,0.0,26,38437.29,Kole,2.4333,32.8
2023-02-16,34.0,22.6,0.0,24,39589.4,Kole,2.4333,32.8
2023-02-17,33.9,21.6,0.0,22,34530.68,Kole,2.4333,32.8
2023-02-18,35.2,19.7,0.0,25,37594.51,Kole,2.4333,32.8
2023-02-19,35.8,20.6,0.0,25,39682.5,Kole,2.4333,32.8
2023-02-20,36.2,21.1,0.0,22,37981.5,Kole,2.4333,32.8
2023-02-21,35.7,20.8,0.0,22,36409.7,Kole,2.4333,32.8
2023-02-22,36.6,22.1,0.0,20,36139.86,Kole,2.4333,32.8
2023-02-23,36.8,21.1,0.0,27,38354.94,Kole,2.4333,32.8
2023-02-24,33.2,20.7,0.0,51,40229.58,Kole,2.4333,32.8
2023-02-25,32.6,22.2,0.0,44,35316.64,Kole,2.4333,32.8
2023-02-26,34.4,20.6,0.0,41,37249.57,Kole,2.4333,32.8
2023-02-27,29.2,21.2,12.5,64,34116.68,Kole,2.4333,32.8
2023-02-28,31.2,19.6,2.3,66,27436.2,Kole,2.4333,32.8
2023-03-01,30.0,18.8,4.7,71,31141.53,Kole,2.4333,32.8
2023-03-02,31.4,18.7,0.1,66,41028.25,Kole,2.4333,32.8
2023-03-03,30.1,18.6,2.3,73,36392.08,Kole,2.4333,32.8
2023-03-04,31.7,18.2,0.3,63,37446.74,Kole,2.4333,32.8
2023-03-05,35.9,19.8,0.0,54,40740.46,Kole,2.4333,32.8
2023-03-06,35.5,20.2,0.0,33,41065.16,Kole,2.4333,32.8
2023-03-07,36.3,20.6,0.0,32,38838.41,Kole,2.4333,32.8
2023-03-08,36.3,21.3,0.0,35,37229.32,Kole,2.4333,32.8
2023-03-09,33.3,21.5,0.0,50,41092.51,Kole,2.4333,32.8
2023-03-10,31.8,21.1,0.0,54,40185.11,Kole,2.4333,32.8
2023-03-11,32.0,20.6,13.7,66,38550.88,Kole,2.4333,32.8
2023-03-12,25.9,19.1,11.0,82,9393.28,Kole,2.4333,32.8
2023-03-13,29.8,18.8,3.6,71,34626.24,Kole,2.4333,32.8
2023-03-14,26.6,18.6,16.4,84,10067.98,Kole,2.4333,32.8
2023-03-15,27.0,19.0,5.8,84,8520.29,Kole,2.4333,32.8
