time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,27.3,18.3,3.0,74,26991.23,Kotido,3.0333,34.1167
2021-01-02,28.4,16.0,0.4,66,39821.2,Kotido,3.0333,34.1167
2021-01-03,29.5,15.6,0.0,57,39594.48,Kotido,3.0333,34.1167
2021-01-04,30.8,15.8,0.0,47,39881.37,Kotido,3.0333,34.1167
2021-01-05,29.9,15.5,0.0,45,39861.41,Kotido,3.0333,34.1167
2021-01-06,31.4,16.4,0.0,41,40264.91,Kotido,3.0333,34.1167
2021-01-07,31.1,16.5,0.0,38,39182.68,Kotido,3.0333,34.1167
2021-01-08,31.9,16.3,0.0,34,37941.86,Kotido,3.0333,34.1167
2021-01-09,32.0,15.5,0.0,35,38158.01,Kotido,3.0333,34.1167
2021-01-10,29.9,18.1,0.1,54,38541.72,Kotido,3.0333,34.1167
2021-01-11,30.8,15.6,0.0,59,30919.11,Kotido,3.0333,34.1167
2021-01-12,30.0,19.0,0.0,40,34978.81,Kotido,3.0333,34.1167
2021-01-13,31.7,18.7,0.0,34,31120.55,Kotido,3.0333,34.1167
2021-01-14,31.4,20.6,0.0,30,39926.84,Kotido,3.0333,34.1167
2021-01-15,30.8,19.3,0.0,32,35196.62,Kotido,3.0333,34.1167
2021-01-16,29.4,18.0,0.1,52,39897.34,Kotido,3.0333,34.1167
2021-01-17,29.1,17.2,0.0,55,40459.75,Kotido,3.0333,34.1167
2021-01-18,30.9,18.5,0.0,43,39405.05,Kotido,3.0333,34.1167
2021-01-19,31.4,18.0,0.0,40,40297.99,Kotido,3.0333,34.1167
2021-01-20,33.1,15.4,0.0,33,40077.68,Kotido,3.0333,34.1167
2021-01-21,32.5,16.8,0.0,40,40538.57,Kotido,3.0333,34.1167
2021-01-22,30.1,20.3,0.0,41,37126.04,Kotido,3.0333,34.1167
2021-01-23,29.4,19.3,0.0,50,40284.29,Kotido,3.0333,34.1167
2021-01-24,30.6,18.6,0.0,49,40577.02,Kotido,3.0333,34.1167
2021-01-25,31.0,18.0,0.0,42,40586.73,Kotido,3.0333,34.1167
2021-01-26,31.6,17.6,0.0,40,40596.52,Kotido,3.0333,34.1167
2021-01-27,32.0,17.3,0.0,37,40606.39,Kotido,3.0333,34.1167
2021-01-28,32.1,18.9,0.0,37,40616.4,Kotido,3.0333,34.1167
2021-01-29,31.6,19.3,0.0,38,40626.64,Kotido,3.0333,34.1167
2021-01-30,32.0,19.7,0.0,36,40637.11,Kotido,3.0333,34.1167
2021-01-31,32.4,16.7,0.0,32,40647.78,Kotido,3.0333,34.1167
2021-02-01,32.2,16.0,0.0,32,40658.63,Kotido,3.0333,34.1167
2021-02-02,32.9,17.4,0.0,31,40669.63,Kotido,3.0333,34.1167
2021-02-03,32.3,16.2,0.0,34,37542.71,Kotido,3.0333,34.1167
2021-02-04,33.0,16.8,0.0,30,40692.07,Kotido,3.0333,34.1167
2021-02-05,33.1,17.6,0.0,35,33230.06,Kotido,3.0333,34.1167
2021-02-06,31.4,19.9,0.0,32,40714.94,Kotido,3.0333,34.1167
2021-02-07,31.7,18.3,0.0,26,37126.49,Kotido,3.0333,34.1167
2021-02-08,31.8,17.5,0.0,31,40738.11,Kotido,3.0333,34.1167
2021-02-09,31.2,18.8,0.0,46,34339.78,Kotido,3.0333,34.1167
2021-02-10,32.4,20.6,0.0,40,33550.63,Kotido,3.0333,34.1167
2021-02-11,30.3,20.2,0.3,42,37851.95,Kotido,3.0333,34.1167
2021-02-12,31.3,17.9,0.0,51,39822.29,Kotido,3.0333,34.1167
2021-02-13,32.1,19.0,0.0,40,40379.35,Kotido,3.0333,34.1167
2021-02-14,32.2,19.6,0.0,41,40409.8,Kotido,3.0333,34.1167
2021-02-15,32.4,19.2,0.0,40,40819.97,Kotido,3.0333,34.1167
2021-02-16,33.1,21.3,0.0,36,40831.58,Kotido,3.0333,34.1167
2021-02-17,33.6,18.1,0.0,49,34962.25,Kotido,3.0333,34.1167
2021-02-18,33.2,18.9,0.0,38,35670.29,Kotido,3.0333,34.1167
2021-02-19,31.0,19.0,0.0,37,39190.42,Kotido,3.0333,34.1167
2021-02-20,31.5,18.2,0.0,27,40110.68,Kotido,3.0333,34.1167
2021-02-21,31.9,16.0,0.0,29,35423.15,Kotido,3.0333,34.1167
2021-02-22,31.6,18.2,0.1,30,36818.26,Kotido,3.0333,34.1167
2021-02-23,30.7,17.7,0.3,47,39342.02,Kotido,3.0333,34.1167
2021-02-24,30.4,18.3,0.4,46,39468.19,Kotido,3.0333,34.1167
2021-02-25,33.1,17.6,0.0,38,36512.39,Kotido,3.0333,34.1167
2021-02-26,33.9,17.4,0.0,37,39153.23,Kotido,3.0333,34.1167
2021-02-27,32.0,17.6,0.0,36,40959.61,Kotido,3.0333,34.1167
2021-02-28,32.7,18.5,0.0,32,40971.3,Kotido,3.0333,34.1167
2021-03-01,33.2,20.1,0.0,34,40982.95,Kotido,3.0333,34.1167
2021-03-02,33.9,20.8,0.0,32,38564.38,Kotido,3.0333,34.1167
2021-03-03,34.2,23.0,0.0,30,40620.54,Kotido,3.0333,34.1167
2021-03-04,32.6,20.0,0.0,34,41015.14,Kotido,3.0333,34.1167
2021-03-05,32.5,20.5,0.0,40,41028.95,Kotido,3.0333,34.1167
2021-03-06,34.7,20.7,0.0,36,38098.96,Kotido,3.0333,34.1167
2021-03-07,33.5,18.8,0.1,38,36385.97,Kotido,3.0333,34.1167
2021-03-08,31.4,18.3,0.2,39,39945.71,Kotido,3.0333,34.1167
2021-03-09,32.2,18.0,0.1,51,41073.46,Kotido,3.0333,34.1167
2021-03-10,31.9,17.3,0.0,45,41084.11,Kotido,3.0333,34.1167
2021-03-11,31.9,20.8,0.0,38,41094.78,Kotido,3.0333,34.1167
2021-03-12,33.6,20.9,0.0,34,41105.43,Kotido,3.0333,34.1167
2021-03-13,33.4,20.5,0.0,35,41116.06,Kotido,3.0333,34.1167
2021-03-14,33.0,20.6,0.0,35,41126.66,Kotido,3.0333,34.1167
2021-03-15,32.7,19.9,0.0,35,40920.36,Kotido,3.0333,34.1167
2021-03-16,31.2,21.4,0.4,44,41147.73,Kotido,3.0333,34.1167
2021-03-17,32.2,20.0,0.0,42,41158.18,Kotido,3.0333,34.1167
2021-03-18,29.3,18.1,2.8,62,40510.59,Kotido,3.0333,34.1167
2021-03-19,30.2,18.8,0.0,59,40966.2,Kotido,3.0333,34.1167
2021-03-20,30.4,20.1,0.1,50,41189.16,Kotido,3.0333,34.1167
2021-03-21,31.3,20.0,0.0,48,41199.33,Kotido,3.0333,34.1167
2021-03-22,32.0,19.6,0.0,42,41209.41,Kotido,3.0333,34.1167
2021-03-23,32.5,19.5,0.0,41,41199.9,Kotido,3.0333,34.1167
