time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,34.4,18.0,0.0,44,40202.01,Kumi,1.4856,33.9361
2025-01-02,35.3,18.6,0.0,39,36688.16,Kumi,1.4856,33.9361
2025-01-03,34.8,18.7,0.0,43,38977.92,Kumi,1.4856,33.9361
2025-01-04,34.5,19.2,0.0,42,40689.3,Kumi,1.4856,33.9361
2025-01-05,34.6,20.6,0.0,33,39262.17,Kumi,1.4856,33.9361
2025-01-06,35.0,19.0,0.0,29,37258.55,Kumi,1.4856,33.9361
2025-01-07,33.3,20.7,0.0,45,39688.68,Kumi,1.4856,33.9361
2025-01-08,33.0,18.9,0.0,47,40238.04,Kumi,1.4856,33.9361
2025-01-09,33.1,19.5,0.0,44,39455.77,Kumi,1.4856,33.9361
2025-01-10,33.0,20.0,0.5,57,36008.07,Kumi,1.4856,33.9361
2025-01-11,31.7,19.4,1.5,61,39992.41,Kumi,1.4856,33.9361
2025-01-12,31.1,19.4,0.1,61,40090.42,Kumi,1.4856,33.9361
2025-01-13,32.8,18.5,0.0,54,38808.05,Kumi,1.4856,33.9361
2025-01-14,34.2,20.7,0.0,35,40780.79,Kumi,1.4856,33.9361
2025-01-15,34.1,20.1,0.0,24,40785.98,Kumi,1.4856,33.9361
2025-01-16,34.5,20.5,0.0,25,40017.65,Kumi,1.4856,33.9361
2025-01-17,35.2,20.3,0.0,25,40796.76,Kumi,1.4856,33.9361
2025-01-18,34.3,18.5,0.0,31,35117.03,Kumi,1.4856,33.9361
2025-01-19,34.9,18.8,0.0,40,40455.48,Kumi,1.4856,33.9361
2025-01-20,33.7,19.7,0.0,49,37440.91,Kumi,1.4856,33.9361
2025-01-21,32.9,19.5,0.0,53,40819.62,Kumi,1.4856,33.9361
2025-01-22,32.5,19.6,0.3,56,39179.95,Kumi,1.4856,33.9361
2025-01-23,32.4,19.2,0.1,54,40403.99,Kumi,1.4856,33.9361
2025-01-24,32.4,18.8,0.1,53,40837.58,Kumi,1.4856,33.9361
2025-01-25,29.8,20.3,0.3,54,39264.54,Kumi,1.4856,33.9361
2025-01-26,29.3,19.5,1.4,57,40849.79,Kumi,1.4856,33.9361
