time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,34.7,19.7,0.0,35,35928.38,Kwania,2.1492,32.7092
2025-01-02,34.2,18.4,0.0,35,38827.16,Kwania,2.1492,32.7092
2025-01-03,35.7,18.9,0.0,34,36939.6,Kwania,2.1492,32.7092
2025-01-04,34.5,19.8,0.0,31,39691.76,Kwania,2.1492,32.7092
2025-01-05,34.8,19.7,0.0,30,36154.89,Kwania,2.1492,32.7092
2025-01-06,35.5,20.1,0.0,28,38607.62,Kwania,2.1492,32.7092
2025-01-07,34.9,19.3,0.0,49,40589.67,Kwania,2.1492,32.7092
2025-01-08,32.6,18.7,0.0,42,39200.45,Kwania,2.1492,32.7092
2025-01-09,35.4,19.4,0.0,33,37799.91,Kwania,2.1492,32.7092
2025-01-10,33.9,20.0,0.2,43,39433.37,Kwania,2.1492,32.7092
2025-01-11,32.8,20.4,3.5,56,38357.27,Kwania,2.1492,32.7092
2025-01-12,31.7,19.3,0.0,55,40649.45,Kwania,2.1492,32.7092
2025-01-13,32.3,19.7,0.1,56,40493.99,Kwania,2.1492,32.7092
2025-01-14,34.4,19.9,0.0,33,40226.8,Kwania,2.1492,32.7092
2025-01-15,34.5,21.4,0.0,24,38566.89,Kwania,2.1492,32.7092
2025-01-16,35.3,20.9,0.0,24,40674.37,Kwania,2.1492,32.7092
2025-01-17,35.7,20.6,0.0,24,38389.84,Kwania,2.1492,32.7092
2025-01-18,36.1,19.0,0.0,29,37774.43,Kwania,2.1492,32.7092
2025-01-19,35.7,19.7,0.0,39,40129.54,Kwania,2.1492,32.7092
2025-01-20,34.9,18.9,0.0,42,40649.26,Kwania,2.1492,32.7092
2025-01-21,33.9,19.8,0.0,47,40709.11,Kwania,2.1492,32.7092
2025-01-22,32.4,20.4,1.2,53,37016.66,Kwania,2.1492,32.7092
2025-01-23,33.0,19.8,0.1,55,40614.43,Kwania,2.1492,32.7092
2025-01-24,32.9,20.0,0.0,51,40604.0,Kwania,2.1492,32.7092
2025-01-25,33.4,20.1,0.0,42,36516.49,Kwania,2.1492,32.7092
2025-01-26,32.4,19.6,0.0,52,40585.18,Kwania,2.1492,32.7092
2025-01-27,33.9,19.1,0.0,47,40754.09,Kwania,2.1492,32.7092
2025-01-28,34.1,18.0,0.0,27,39908.42,Kwania,2.1492,32.7092
2025-01-29,33.2,19.4,0.0,47,34274.65,Kwania,2.1492,32.7092
2025-01-30,36.2,18.5,0.0,33,40778.32,Kwania,2.1492,32.7092
2025-01-31,31.5,20.7,1.1,53,32720.85,Kwania,2.1492,32.7092
2025-02-01,34.1,19.7,0.0,30,40413.14,Kwania,2.1492,32.7092
2025-02-02,33.1,20.3,0.0,54,40803.8,Kwania,2.1492,32.7092
2025-02-03,34.4,20.0,0.0,47,39207.78,Kwania,2.1492,32.7092
2025-02-04,36.0,20.2,0.0,31,38671.14,Kwania,2.1492,32.7092
2025-02-05,35.8,19.5,0.0,38,40830.11,Kwania,2.1492,32.7092
2025-02-06,38.2,19.1,0.0,44,34634.07,Kwania,2.1492,32.7092
2025-02-07,35.6,20.3,0.0,42,40847.94,Kwania,2.1492,32.7092
2025-02-08,34.7,20.4,0.0,45,40856.91,Kwania,2.1492,32.7092
2025-02-09,33.4,20.9,0.0,54,39462.94,Kwania,2.1492,32.7092
2025-02-10,35.1,21.1,0.0,50,40874.88,Kwania,2.1492,32.7092
2025-02-11,37.1,22.6,0.0,30,38636.49,Kwania,2.1492,32.7092
2025-02-12,36.4,22.2,0.0,31,38097.42,Kwania,2.1492,32.7092
2025-02-13,36.9,22.3,0.0,35,36120.15,Kwania,2.1492,32.7092
2025-02-14,37.4,21.5,0.0,28,37345.89,Kwania,2.1492,32.7092
2025-02-15,34.2,20.9,0.0,42,40867.44,Kwania,2.1492,32.7092
2025-02-16,35.1,21.2,0.0,45,40928.23,Kwania,2.1492,32.7092
2025-02-17,36.3,20.4,0.0,40,40822.37,Kwania,2.1492,32.7092
2025-02-18,37.0,21.9,0.0,23,40695.41,Kwania,2.1492,32.7092
2025-02-19,37.1,18.7,0.0,22,40954.39,Kwania,2.1492,32.7092
2025-02-20,37.5,21.8,0.0,22,40577.55,Kwania,2.1492,32.7092
2025-02-21,35.7,20.2,0.0,35,40972.02,Kwania,2.1492,32.7092
2025-02-22,37.4,21.7,0.0,24,40980.86,Kwania,2.1492,32.7092
2025-02-23,36.7,21.3,0.0,21,40989.69,Kwania,2.1492,32.7092
2025-02-24,37.4,23.7,0.0,21,40998.52,Kwania,2.1492,32.7092
2025-02-25,37.1,21.5,0.0,21,34779.79,Kwania,2.1492,32.7092
2025-02-26,36.5,22.5,0.0,20,39323.46,Kwania,2.1492,32.7092
2025-02-27,37.5,21.0,0.0,20,41024.84,Kwania,2.1492,32.7092
2025-02-28,37.1,19.8,0.0,29,41033.55,Kwania,2.1492,32.7092
2025-03-01,36.8,21.7,0.0,23,40024.85,Kwania,2.1492,32.7092
2025-03-02,36.2,22.0,0.0,26,41050.78,Kwania,2.1492,32.7092
2025-03-03,34.9,22.9,0.2,34,41059.3,Kwania,2.1492,32.7092
2025-03-04,34.7,20.5,0.0,50,41067.74,Kwania,2.1492,32.7092
2025-03-05,38.4,20.7,0.0,33,41076.11,Kwania,2.1492,32.7092
2025-03-06,36.0,22.8,0.0,30,41084.38,Kwania,2.1492,32.7092
2025-03-07,37.4,22.9,0.0,32,40378.87,Kwania,2.1492,32.7092
2025-03-08,33.9,24.5,0.3,40,35857.45,Kwania,2.1492,32.7092
2025-03-09,32.3,21.7,3.9,54,40233.17,Kwania,2.1492,32.7092
