time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,29.9,19.0,0.0,32,40212.08,Kween,1.4286,34.5439
2025-01-02,31.0,18.2,0.0,31,40085.34,Kween,1.4286,34.5439
2025-01-03,30.8,19.9,0.0,28,37422.23,Kween,1.4286,34.5439
2025-01-04,30.0,19.6,0.0,31,40753.99,Kween,1.4286,34.5439
2025-01-05,30.2,20.1,0.0,32,36846.0,Kween,1.4286,34.5439
2025-01-06,30.9,19.0,0.0,29,37268.35,Kween,1.4286,34.5439
2025-01-07,31.9,18.0,0.0,32,40763.27,Kween,1.4286,34.5439
2025-01-08,31.3,18.2,0.0,29,40767.09,Kween,1.4286,34.5439
2025-01-09,31.1,19.5,0.2,32,40487.22,Kween,1.4286,34.5439
2025-01-10,30.1,18.6,0.4,48,39006.55,Kween,1.4286,34.5439
2025-01-11,28.3,17.6,0.6,50,40567.23,Kween,1.4286,34.5439
2025-01-12,28.2,18.0,0.0,47,40784.34,Kween,1.4286,34.5439
2025-01-13,29.8,18.5,0.0,41,40789.1,Kween,1.4286,34.5439
2025-01-14,30.5,18.5,0.0,32,40794.02,Kween,1.4286,34.5439
2025-01-15,30.1,20.3,0.0,23,40506.23,Kween,1.4286,34.5439
2025-01-16,30.4,17.7,0.0,27,40804.27,Kween,1.4286,34.5439
2025-01-17,30.8,16.9,0.0,28,40809.6,Kween,1.4286,34.5439
2025-01-18,31.2,18.3,0.0,28,39403.31,Kween,1.4286,34.5439
2025-01-19,31.8,17.5,0.0,27,40567.28,Kween,1.4286,34.5439
2025-01-20,32.1,18.5,0.0,26,40435.59,Kween,1.4286,34.5439
2025-01-21,29.6,18.4,0.0,33,40831.88,Kween,1.4286,34.5439
2025-01-22,29.9,18.5,0.0,36,39090.95,Kween,1.4286,34.5439
2025-01-23,29.9,17.6,0.0,36,40639.47,Kween,1.4286,34.5439
2025-01-24,29.9,18.4,0.0,36,40849.36,Kween,1.4286,34.5439
2025-01-25,29.3,18.9,0.9,47,40855.29,Kween,1.4286,34.5439
2025-01-26,28.9,18.1,2.2,47,40861.25,Kween,1.4286,34.5439
2025-01-27,29.6,19.1,0.0,38,40867.29,Kween,1.4286,34.5439
2025-01-28,29.1,19.0,0.0,39,36261.32,Kween,1.4286,34.5439
2025-01-29,30.5,19.3,0.0,42,37518.14,Kween,1.4286,34.5439
2025-01-30,28.5,18.9,1.2,50,39476.47,Kween,1.4286,34.5439
2025-01-31,29.3,17.8,2.2,48,40576.61,Kween,1.4286,34.5439
2025-02-01,30.3,17.7,0.0,42,37739.95,Kween,1.4286,34.5439
2025-02-02,29.9,18.1,0.0,39,39456.02,Kween,1.4286,34.5439
2025-02-03,31.1,18.5,0.0,31,40913.0,Kween,1.4286,34.5439
2025-02-04,31.7,18.2,0.0,30,40919.83,Kween,1.4286,34.5439
2025-02-05,31.9,17.4,0.0,25,40926.71,Kween,1.4286,34.5439
2025-02-06,32.2,19.0,0.0,20,40933.61,Kween,1.4286,34.5439
2025-02-07,33.2,18.4,0.0,28,38499.61,Kween,1.4286,34.5439
2025-02-08,32.3,18.4,0.0,33,39437.46,Kween,1.4286,34.5439
2025-02-09,32.2,18.4,0.0,32,40954.4,Kween,1.4286,34.5439
2025-02-10,32.7,18.9,0.0,30,40555.71,Kween,1.4286,34.5439
2025-02-11,32.6,19.2,0.0,25,40968.24,Kween,1.4286,34.5439
2025-02-12,32.5,17.9,0.0,30,40975.11,Kween,1.4286,34.5439
